rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.04709114169641,81.96594436435838,000561,烽火电子,bottom_area,2025-09-09,11.05,2025-09-04,10.85,1.8433179723502402,6.267281105990781,32.60869565217392,False,-3.0702,3.2015,4,4,4,100.0,20.584458824284518,31.050955414012744,8.15668202764976,1.8433179723502402,历史4/4次成功; 当前距低点1.84%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
12,79.09519307061625,71.9047209732875,688347,华虹公司,bottom_area,2025-09-09,67.3,2025-09-09,67.3,0.0,4.739970282317977,28.34327086882454,False,-3.9258,5.0482,1,1,1,100.0,45.99312351229833,45.99312351229833,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.93%; 状态bottom_area; 底部未确认
13,78.26203295114765,72.09417276519193,300870,欧陆通,bottom_area,2025-09-09,203.5,2025-09-09,202.1,0.6927263730826352,3.414151410192977,28.30791060659808,False,-2.1399,2.6381,2,2,2,100.0,16.363381160324387,21.28571428571428,9.307273626917366,0.6927263730826352,历史2/2次成功; 当前距低点0.69%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
14,77.60645120126517,74.36388113288768,300570,太辰光,bottom_area,2025-09-09,105.38,2025-09-08,102.55,2.759629449049243,7.752315943442226,30.5499119599079,False,-0.7721,7.6781,2,2,2,100.0,14.063635896343833,14.728682170542637,7.240370550950757,2.759629449049243,历史2/2次成功; 当前距低点2.76%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
15,77.58498786642329,75.73253731343283,301009,可靠股份,bottom_area,2025-09-09,13.9,2025-09-05,13.4,3.731343283582089,5.522388059701494,27.762803234501348,False,-1.2784,3.5135,1,1,1,100.0,53.96648044692738,53.96648044692738,6.268656716417912,3.731343283582089,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
16,77.47402658072173,74.66943351599755,300902,国安达,bottom_area,2025-09-09,22.87,2025-09-04,22.19,3.0644434429923373,4.551599819738612,32.798304058146584,False,-1.1241,4.0365,2,2,2,100.0,19.4428202474198,26.906779661016937,6.935556557007663,3.0644434429923373,历史2/2次成功; 当前距低点3.06%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
17,77.08881848138871,75.30746623475913,002232,启明信息,bottom_area,2025-09-09,21.18,2025-09-05,20.41,3.7726604605585474,7.202351788339044,27.521306818181817,False,-2.0352,5.1561,3,3,3,100.0,14.887806907702295,17.044757817290016,6.227339539441453,3.7726604605585474,历史3/3次成功; 当前距低点3.77%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
18,76.99715237791413,70.21199141463241,300192,科德教育,bottom_area,2025-09-09,18.74,2025-09-09,18.71,0.16034206306786522,5.184393372528054,32.649388048956084,False,-4.0451,9.4272,1,1,1,100.0,26.599845797995382,26.599845797995382,9.839657936932134,0.16034206306786522,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
19,76.82780523316379,71.13685669737386,688221,前沿生物,bottom_area,2025-09-09,14.7,2025-09-09,14.56,0.9615384615384532,6.593406593406587,28.90625,False,-3.9216,5.8357,6,7,6,85.71428571428571,22.345737886152683,34.87394957983194,9.038461538461547,0.9615384615384532,历史6/7次成功; 当前距低点0.96%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
20,76.53893509252975,72.8554468634751,603280,南方路机,bottom_area,2025-09-09,42.05,2025-09-04,41.06,2.411105698977094,5.138821237213832,30.875420875420872,False,-0.8255,11.0161,1,1,1,100.0,18.348214285714302,18.348214285714302,7.588894301022907,2.411105698977094,历史1/1次成功; 当前距低点2.41%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
21,76.18118817301911,73.9904106509518,300153,科泰电源,confirmed_rebound,2025-09-09,35.8,2025-09-04,34.6,3.468208092485537,10.43352601156069,28.408855783157456,True,-2.4789,6.3369,2,2,2,100.0,21.763038181821596,26.1835396941005,6.531791907514465,3.468208092485537,历史2/2次成功; 当前距低点3.47%; 最新日涨幅-2.48%; 状态confirmed_rebound; 底部已确认
22,75.45412282698555,69.87042863628558,002298,中电鑫龙,bottom_area,2025-09-09,9.41,2025-09-05,9.32,0.9656652360515007,6.330472103004291,27.187500000000004,False,-3.7832,8.2988,6,7,6,85.71428571428571,15.587571137773518,23.734729493891784,9.0343347639485,0.9656652360515007,历史6/7次成功; 当前距低点0.97%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
23,75.41611136297207,69.57852634841703,300645,正元智慧,bottom_area,2025-09-09,18.26,2025-09-05,18.12,0.772626931567332,4.74613686534216,27.3164861612515,False,-3.3862,4.9642,1,1,1,100.0,30.699547055863096,30.699547055863096,9.22737306843267,0.772626931567332,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
24,73.06443792816016,72.23416022443106,688227,品高股份,bottom_area,2025-09-09,31.32,2025-09-04,30.0,4.400000000000001,7.999999999999995,31.818181818181817,True,-2.3691,2.3216,4,5,4,80.0,23.527743142102526,36.87150837988826,5.6,4.400000000000001,历史4/5次成功; 当前距低点4.40%; 最新日涨幅-2.37%; 状态bottom_area; 底部已确认
25,73.01947873387613,67.51576563815297,688552,航天南湖,bottom_area,2025-09-09,32.95,2025-09-04,32.66,0.8879363135333934,9.920391916717705,28.860814637333913,False,-3.655,4.79,1,1,1,100.0,21.02290555381236,21.02290555381236,9.112063686466607,0.8879363135333934,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
26,73.01579455804631,72.47543715151129,688084,晶品特装,bottom_area,2025-09-09,75.11,2025-09-04,71.8,4.610027855153207,8.077994428969355,28.343313373253498,True,-1.3139,2.9638,2,2,2,100.0,17.39946592075591,19.66039279869067,5.389972144846794,4.610027855153207,历史2/2次成功; 当前距低点4.61%; 最新日涨幅-1.31%; 状态bottom_area; 底部已确认
27,72.94886612373817,67.2273864277587,002256,兆新股份,bottom_area,2025-09-09,2.82,2025-09-09,2.8,0.714285714285715,4.642857142857156,29.82456140350878,False,-3.0928,10.3664,6,8,6,75.0,21.51052610930184,31.775700934579426,9.285714285714286,0.714285714285715,历史6/8次成功; 当前距低点0.71%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
28,72.42152207113453,71.14957437284897,002596,海南瑞泽,bottom_area,2025-09-09,3.58,2025-09-03,3.44,4.069767441860469,6.976744186046519,30.364372469635637,False,-0.831,1.6715,2,2,2,100.0,12.842172797262624,14.970059880239523,5.930232558139532,4.069767441860469,历史2/2次成功; 当前距低点4.07%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
29,72.18512284723893,66.486297359299,002265,建设工业,bottom_area,2025-09-09,29.4,2025-09-09,29.2,0.6849315068493127,4.17808219178083,28.780487804878053,False,-2.4876,5.1822,4,6,4,66.66666666666666,25.006852302412764,41.46981627296587,9.315068493150688,0.6849315068493127,历史4/6次成功; 当前距低点0.68%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
30,71.69679717479117,71.03047006350131,603080,新疆火炬,bottom_area,2025-09-09,21.32,2025-08-28,20.4,4.509803921568636,5.735294117647068,29.655172413793107,False,-1.0673,2.2732,2,2,2,100.0,17.595822605794677,22.385321100917427,5.490196078431364,4.509803921568636,历史2/2次成功; 当前距低点4.51%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
31,70.95202080507386,69.76791729078475,603262,技源集团,bottom_area,2025-09-09,31.11,2025-08-04,29.88,4.116465863453817,8.567603748326636,28.823249166269648,True,-1.4259,6.3728,1,1,1,100.0,13.459459459459449,13.459459459459449,5.883534136546184,4.116465863453817,历史1/1次成功; 当前距低点4.12%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
32,67.97920885211585,67.3252533656028,600967,内蒙一机,confirmed_rebound,2025-09-09,18.84,2025-09-05,18.03,4.492512479201324,13.033832501386566,31.39269406392694,True,-1.875,4.8177,1,1,1,100.0,15.151515151515143,15.151515151515143,5.507487520798677,4.492512479201324,历史1/1次成功; 当前距低点4.49%; 最新日涨幅-1.88%; 状态confirmed_rebound; 底部已确认
33,67.53090290278308,65.98000307946441,001298,好上好,bottom_area,2025-09-09,32.12,2025-09-04,30.95,3.7802907915993478,8.562197092084013,27.364468434639754,True,-2.5781,6.7648,2,3,2,66.66666666666666,27.862362460453,34.86910994764398,6.219709208400652,3.7802907915993478,历史2/3次成功; 当前距低点3.78%; 最新日涨幅-2.58%; 状态bottom_area; 底部已确认
34,67.05820479317454,63.436940737453426,605169,洪通燃气,bottom_area,2025-09-09,14.68,2025-09-05,14.38,2.0862308762169604,4.033379694019472,31.064237775647165,False,-1.3441,1.215,2,4,2,50.0,22.06208137219406,26.09375,7.91376912378304,2.0862308762169604,历史2/4次成功; 当前距低点2.09%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
35,66.51264906586324,64.25110532564162,300378,鼎捷数智,bottom_area,2025-09-09,48.61,2025-09-04,47.11,3.184037359371683,8.151135639991516,27.52307692307692,True,-3.4558,6.4802,3,5,3,60.0,19.251131747360528,26.480086114101198,6.815962640628317,3.184037359371683,历史3/5次成功; 当前距低点3.18%; 最新日涨幅-3.46%; 状态bottom_area; 底部已确认
36,63.414315546086264,60.74563591022445,001339,智微智能,bottom_area,2025-09-09,57.68,2025-09-04,56.14,2.7431421446384023,8.407552547203418,27.373868046571793,True,-3.3836,5.933,1,2,1,50.0,58.06629834254142,58.06629834254142,7.2568578553615986,2.7431421446384023,历史1/2次成功; 当前距低点2.74%; 最新日涨幅-3.38%; 状态bottom_area; 底部已确认
37,62.186765958044475,61.12032172382871,002800,天顺股份,bottom_area,2025-09-09,14.5,2025-09-03,13.93,4.091888011486003,6.030150753768844,27.673935617860856,False,-1.2262,2.4105,3,5,3,60.0,12.525948333423568,14.184397163120579,5.908111988513998,4.091888011486003,历史3/5次成功; 当前距低点4.09%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
38,61.77339713141272,61.52875001406058,688152,麒麟信安,bottom_area,2025-09-09,50.3,2025-09-04,48.0,4.791666666666661,8.958333333333329,29.046563192904664,True,-2.8958,4.6251,2,3,2,66.66666666666666,16.328405093515553,21.006836544437533,5.20833333333334,4.791666666666661,历史2/3次成功; 当前距低点4.79%; 最新日涨幅-2.90%; 状态bottom_area; 底部已确认
39,57.61683118438995,52.73404888062808,601669,中国电建,bottom_area,2025-09-09,5.67,2025-09-04,5.65,0.3539823008849482,2.1238938053097205,27.93367346938775,False,-1.2195,1.4954,1,2,1,50.0,16.457680250783696,16.457680250783696,9.646017699115053,0.3539823008849482,历史1/2次成功; 当前距低点0.35%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
40,57.15618004434627,54.17040944501477,002229,鸿博股份,bottom_area,2025-09-09,17.78,2025-09-04,17.4,2.1839080459770264,8.2183908045977,27.500000000000007,False,-3.317,7.8645,1,2,1,50.0,16.987740805604197,16.987740805604197,7.8160919540229745,2.1839080459770264,历史1/2次成功; 当前距低点2.18%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
41,56.81295591480367,55.01886257012566,688682,霍莱沃,bottom_area,2025-09-09,28.98,2025-09-04,28.05,3.3155080213903734,7.522281639928696,27.687548337200308,True,-3.5607,2.5503,1,2,1,50.0,26.22699386503069,26.22699386503069,6.6844919786096275,3.3155080213903734,历史1/2次成功; 当前距低点3.32%; 最新日涨幅-3.56%; 状态bottom_area; 底部已确认
42,48.820812301016815,45.194302418878074,688343,云天励飞,confirmed_rebound,2025-09-09,80.78,2025-09-04,80.02,0.9497625593601664,12.32191952011997,27.909909909909913,False,-1.9779,6.074,1,3,1,33.33333333333333,12.88402000476303,12.88402000476303,9.050237440639835,0.9497625593601664,历史1/3次成功; 当前距低点0.95%; 最新日涨幅-1.98%; 状态confirmed_rebound; 底部未确认
