time,code,name,start_date,end_date,status,rows,reason
2026-06-18 21:29:56,000100,TCL科技,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:56,000078,ST海王,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:56,000151,中成股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:56,000153,丰原药业,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:56,000088,盐田港,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:56,000155,川能动力,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:56,000090,天健集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:56,000089,深圳机场,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000156,华数传媒,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000096,广聚能源,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000157,中联重科,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000099,中信海直,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000100,TCL科技,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000158,常山北明,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000159,国际实业,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000166,申万宏源,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000153,丰原药业,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000301,东方盛虹,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000151,中成股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000333,美的集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000155,川能动力,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000338,潍柴动力,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000156,华数传媒,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000400,许继电气,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000157,中联重科,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000166,申万宏源,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000401,金隅冀东,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000158,常山北明,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000402,金融街,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000159,国际实业,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:57,000403,派林生物,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:57,000333,美的集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000404,长虹华意,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000407,胜利股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000301,东方盛虹,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000338,潍柴动力,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000408,藏格矿业,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000409,云鼎科技,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000400,许继电气,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000401,金隅冀东,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000410,沈阳机床,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000402,金融街,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000411,英特集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000403,派林生物,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000415,渤海租赁,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000417,合百集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000404,长虹华意,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000419,通程控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000407,胜利股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000408,藏格矿业,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:58,000420,吉林化纤,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000421,南京公用,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:58,000409,云鼎科技,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000422,湖北宜化,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000411,英特集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000410,沈阳机床,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000423,东阿阿胶,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000415,渤海租赁,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000425,徐工机械,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000426,兴业银锡,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000417,合百集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000419,通程控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000428,华天酒店,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000429,粤高速A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000420,吉林化纤,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000430,张家界,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000421,南京公用,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000422,湖北宜化,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:59,000488,ST晨鸣,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000498,山东路桥,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:59,000423,东阿阿胶,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000425,徐工机械,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000501,武商集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000426,兴业银锡,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000503,国新健康,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000429,粤高速A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000504,*ST生物,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000505,京粮控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000428,华天酒店,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000430,张家界,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000506,招金黄金,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000488,ST晨鸣,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000507,珠海港,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000498,山东路桥,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000509,华塑控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000510,新金路,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000501,武商集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000503,国新健康,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:00,000513,丽珠集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000514,渝开发,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:00,000504,*ST生物,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000505,京粮控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000516,国际医学,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000517,荣安地产,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000506,招金黄金,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000507,珠海港,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000518,四环生物,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000519,中兵红箭,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000509,华塑控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000510,新金路,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000520,凤凰航运,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000521,长虹美菱,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000513,丽珠集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000514,渝开发,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000523,红棉股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000516,国际医学,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000524,岭南控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000525,红太阳,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:01,000517,荣安地产,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000518,四环生物,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:01,000526,学大教育,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000519,中兵红箭,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000528,柳工,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000520,凤凰航运,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000529,广弘控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000521,长虹美菱,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000530,冰山冷热,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000523,红棉股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000531,穗恒运A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000532,华金资本,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000524,岭南控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000525,红太阳,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000533,顺钠股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000534,万泽股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000526,学大教育,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000536,华映科技,2026-06-18,2026-06-18,started,0,
2026-06-18 21:30:02,000528,柳工,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000529,广弘控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:30:02,000537,绿发电力,2026-06-18,2026-06-18,started,0,
