rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.82686249474854,82.19434312210201,603790,雅运股份,bottom_area,2026-03-24,19.94,26.8,2026-03-24,19.41,2.730551262235967,4.070066975785673,27.574626865671643,25.59701492537313,False,2.414,2.0787,1,1,1,100.0,63.59797297297298,63.59797297297298,17.269448737764034,2.730551262235967,历史1/1次成功; 当前距低点2.73%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
12,86.67061374703431,77.34924842181266,688584,上海合晶,bottom_area,2026-03-24,18.82,25.28,2026-03-23,18.14,3.7486218302094803,7.056229327453148,28.24367088607595,25.553797468354432,False,2.8978,0.9722,1,1,1,100.0,36.43067846607669,36.43067846607669,16.25137816979052,3.7486218302094803,历史1/1次成功; 当前距低点3.75%; 最新日涨幅2.90%; 状态bottom_area; 底部未确认
13,86.35381009321766,78.14131147540986,000932,华菱钢铁,bottom_area,2026-03-24,5.1,6.86,2026-03-24,4.88,4.508196721311471,4.508196721311471,28.86297376093295,25.65597667638485,False,3.2389,1.3172,1,1,1,100.0,55.72289156626506,55.72289156626506,15.491803278688533,4.508196721311471,历史1/1次成功; 当前距低点4.51%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
14,86.19954250671158,77.24873326081249,000567,海德股份,bottom_area,2026-03-24,5.23,7.02,2026-03-23,5.03,3.976143141153085,4.373757455268384,28.347578347578338,25.498575498575487,False,2.9528,0.704,1,1,1,100.0,38.67924528301886,38.67924528301886,16.023856858846916,3.976143141153085,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.95%; 状态bottom_area; 底部未确认
15,86.12739148650321,76.37252823335795,301071,力量钻石,bottom_area,2026-03-24,40.79,55.9,2026-03-24,39.45,3.3967046894803454,6.46387832699619,29.427549194991048,27.0304114490161,False,1.8223,5.4228,1,1,1,100.0,26.86567164179104,26.86567164179104,16.603295310519655,3.3967046894803454,历史1/1次成功; 当前距低点3.40%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
16,85.91307393005627,76.25420763022746,000802,北京文化,bottom_area,2026-03-24,3.9,5.34,2026-03-24,3.77,3.4482758620689626,3.4482758620689626,29.40074906367041,26.96629213483146,False,2.6316,1.5687,1,1,1,100.0,26.86170212765957,26.86170212765957,16.55172413793104,3.4482758620689626,历史1/1次成功; 当前距低点3.45%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
17,85.86830892227157,76.77560487083193,600843,上工申贝,bottom_area,2026-03-24,9.44,12.64,2026-03-23,9.09,3.8503850385038465,5.830583058305824,28.085443037974688,25.31645569620254,False,3.1694,2.1074,1,1,1,100.0,34.59399332591768,34.59399332591768,16.149614961496155,3.8503850385038465,历史1/1次成功; 当前距低点3.85%; 最新日涨幅3.17%; 状态bottom_area; 底部未确认
18,85.7905213320144,76.87355836798315,001328,登康口腔,bottom_area,2026-03-24,33.26,44.35,2026-03-23,31.99,3.9699906220693957,4.282588308846518,27.869222096956037,25.00563697857949,False,2.6543,1.7248,1,1,1,100.0,36.58675799086758,36.58675799086758,16.030009377930604,3.9699906220693957,历史1/1次成功; 当前距低点3.97%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
19,85.75931462131275,76.8618989280245,688007,光峰科技,bottom_area,2026-03-24,13.58,19.18,2026-03-23,13.06,3.981623277182232,7.963246554364464,31.9082377476538,29.1970802919708,False,2.8009,1.3407,1,1,1,100.0,36.66666666666667,36.66666666666667,16.018376722817766,3.981623277182232,历史1/1次成功; 当前距低点3.98%; 最新日涨幅2.80%; 状态bottom_area; 底部未确认
20,85.32385037239456,76.91467235307681,600391,航发科技,bottom_area,2026-03-24,38.58,51.2,2026-03-23,36.99,4.29845904298458,6.488240064882396,27.75390625,24.648437500000007,False,3.1551,4.276,2,2,2,100.0,24.1675213499013,27.709431751611014,15.701540957015423,4.29845904298458,历史2/2次成功; 当前距低点4.30%; 最新日涨幅3.16%; 状态bottom_area; 底部未确认
21,84.96431762328542,75.14311278259964,603179,新泉股份,bottom_area,2026-03-24,60.0,80.8,2026-03-24,58.11,3.2524522457408374,6.6942006539321985,28.08168316831683,25.742574257425737,False,-0.266,2.8507,2,2,2,100.0,24.294107004778237,25.201612903225808,16.747547754259163,3.2524522457408374,历史2/2次成功; 当前距低点3.25%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
22,84.87384979761639,75.95427945052127,603535,嘉诚国际,bottom_area,2026-03-24,8.26,11.77,2026-03-23,7.95,3.899371069182385,6.289308176100618,32.4553950722175,29.82158028887001,False,2.4814,0.8849,1,1,1,100.0,30.778739184178,30.778739184178,16.100628930817617,3.899371069182385,历史1/1次成功; 当前距低点3.90%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
23,84.39333205244628,75.08463156871409,605089,味知香,bottom_area,2026-03-24,23.44,33.37,2026-03-23,22.63,3.5793194874061083,6.93769332744145,32.1845969433623,29.75726700629307,False,1.913,0.7637,1,1,1,100.0,22.180000000000007,22.180000000000007,16.420680512593893,3.5793194874061083,历史1/1次成功; 当前距低点3.58%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
24,84.39192850276713,75.25737511053343,603848,好太太,bottom_area,2026-03-24,15.39,21.38,2026-03-23,14.84,3.706199460916447,5.121293800539082,30.589335827876518,28.016838166510748,False,2.737,0.6473,1,1,1,100.0,24.664031620553352,24.664031620553352,16.293800539083552,3.706199460916447,历史1/1次成功; 当前距低点3.71%; 最新日涨幅2.74%; 状态bottom_area; 底部未确认
25,84.21722359227611,75.52787265532605,688028,沃尔德,bottom_area,2026-03-24,88.05,120.99,2026-03-23,84.65,4.016538688718241,7.229769639692842,30.035540127283237,27.225390528142825,True,3.4179,2.9591,1,1,1,100.0,20.728929384965834,20.728929384965834,15.98346131128176,4.016538688718241,历史1/1次成功; 当前距低点4.02%; 最新日涨幅3.42%; 状态bottom_area; 底部已确认
26,84.05028648146367,75.94787791240272,600497,驰宏锌锗,bottom_area,2026-03-24,7.78,10.23,2026-03-23,7.45,4.429530201342283,7.651006711409387,27.17497556207234,23.949169110459433,False,3.183,2.7168,1,1,1,100.0,37.243047158403876,37.243047158403876,15.570469798657719,4.429530201342283,历史1/1次成功; 当前距低点4.43%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
27,83.69579854657607,75.87697835332953,002182,宝武镁业,bottom_area,2026-03-24,15.43,20.48,2026-03-24,14.75,4.610169491525422,5.830508474576267,27.978515625,24.658203125000004,False,2.2531,3.4549,1,1,1,100.0,39.0761548064919,39.0761548064919,15.389830508474578,4.610169491525422,历史1/1次成功; 当前距低点4.61%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
28,82.52870409390135,74.78851031282666,002788,鹭燕医药,bottom_area,2026-03-24,13.45,17.8,2026-03-23,12.86,4.587869362363918,5.520995334370147,27.75280898876405,24.43820224719102,False,3.3026,3.2635,1,1,1,100.0,32.950819672131146,32.950819672131146,15.412130637636084,4.587869362363918,历史1/1次成功; 当前距低点4.59%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
29,82.22337333272924,73.75710189709277,601020,华钰矿业,bottom_area,2026-03-24,26.85,35.5,2026-03-24,25.81,4.0294459511817236,4.571871367686942,27.295774647887328,24.36619718309859,False,2.0913,3.8496,3,4,3,75.0,24.727089601005904,26.324110671936758,15.970554048818277,4.0294459511817236,历史3/4次成功; 当前距低点4.03%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
30,82.09633983466313,71.30010884270742,001696,宗申动力,bottom_area,2026-03-24,19.02,25.86,2026-03-23,18.6,2.2580645161290223,5.752688172043012,28.07424593967517,26.450116009280745,False,1.9293,2.6072,2,4,2,50.0,43.97040827678273,65.16853932584267,17.74193548387098,2.2580645161290223,历史2/4次成功; 当前距低点2.26%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
31,81.7886757916496,74.00059788671786,000411,英特集团,bottom_area,2026-03-24,10.68,14.36,2026-03-23,10.22,4.500978473581204,6.164383561643826,28.830083565459603,25.62674094707521,False,3.7901,1.3557,3,4,3,75.0,31.816283905822544,47.98426745329401,15.499021526418796,4.500978473581204,历史3/4次成功; 当前距低点4.50%; 最新日涨幅3.79%; 状态bottom_area; 底部未确认
32,81.70845255505814,73.48621833568123,300542,新晨科技,bottom_area,2026-03-24,15.73,21.7,2026-03-23,15.1,4.172185430463581,5.496688741721855,30.414746543778804,27.51152073732718,False,2.945,1.4177,5,7,5,71.42857142857143,32.75853135174146,61.233480176211465,15.82781456953642,4.172185430463581,历史5/7次成功; 当前距低点4.17%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
33,79.25589063807969,69.67869424467195,300153,科泰电源,bottom_area,2026-03-24,28.84,41.4,2026-03-23,28.02,2.92648108493933,6.745182012847968,32.31884057971015,30.33816425120773,False,2.2333,3.0291,2,3,2,66.66666666666666,24.002174471327702,26.1835396941005,17.07351891506067,2.92648108493933,历史2/3次成功; 当前距低点2.93%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
34,79.00304591344087,69.44488695123233,002536,飞龙股份,bottom_area,2026-03-24,29.28,41.67,2026-03-24,28.45,2.91739894551846,5.79964850615115,31.72546196304296,29.733621310295177,False,0.2396,5.0549,2,4,2,50.0,42.07826100545388,55.505617977528075,17.082601054481543,2.91739894551846,历史2/4次成功; 当前距低点2.92%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
35,78.71029861989452,70.5866428781307,002639,雪人集团,bottom_area,2026-03-24,17.1,22.65,2026-03-24,16.44,4.014598540145986,4.501216545012156,27.417218543046346,24.503311258278135,False,1.6043,10.2967,3,5,3,60.0,39.999610482062025,63.25301204819277,15.985401459854016,4.014598540145986,历史3/5次成功; 当前距低点4.01%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
36,78.53480509771694,69.45174522102204,300622,博士眼镜,bottom_area,2026-03-24,23.52,32.11,2026-03-23,22.78,3.248463564530283,5.88235294117647,29.056368732482092,26.75179071940206,False,2.9772,3.2895,4,7,4,57.14285714285714,30.697154406342293,46.42601004064069,16.75153643546972,3.248463564530283,历史4/7次成功; 当前距低点3.25%; 最新日涨幅2.98%; 状态bottom_area; 底部未确认
37,78.52320919117957,70.17930969722391,002389,航天彩虹,bottom_area,2026-03-24,21.7,29.85,2026-03-23,20.9,3.827751196172252,5.550239234449761,29.98324958123954,27.303182579564496,False,3.58,3.9019,2,3,2,66.66666666666666,37.74148256897838,49.39236111111112,16.17224880382775,3.827751196172252,历史2/3次成功; 当前距低点3.83%; 最新日涨幅3.58%; 状态bottom_area; 底部未确认
38,77.99153509842121,70.56154463667824,603150,万朗磁塑,bottom_area,2026-03-24,45.3,60.5,2026-03-24,43.35,4.4982698961937615,7.520184544405993,28.34710743801653,25.12396694214877,False,-2.8106,5.2646,1,1,1,100.0,31.6,31.6,15.501730103806239,4.4982698961937615,历史1/1次成功; 当前距低点4.50%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
39,77.85819162203909,69.87387133627979,301225,恒勃股份,bottom_area,2026-03-24,94.69,125.0,2026-03-23,91.0,4.054945054945053,8.791208791208792,27.200000000000003,24.248000000000005,True,2.9239,6.5908,2,3,2,66.66666666666666,29.690749434880892,31.690140845070424,15.945054945054949,4.054945054945053,历史2/3次成功; 当前距低点4.05%; 最新日涨幅2.92%; 状态bottom_area; 底部已确认
40,77.75711032202183,69.28671831819999,603155,新亚强,bottom_area,2026-03-24,15.28,21.21,2026-03-23,14.74,3.663500678426046,5.630936227951154,30.504479019330503,27.958510136727966,False,3.0344,1.4157,3,5,3,60.0,28.70698852156653,32.05456095481671,16.336499321573957,3.663500678426046,历史3/5次成功; 当前距低点3.66%; 最新日涨幅3.03%; 状态bottom_area; 底部未确认
41,77.06372485879884,69.48717527312296,603037,凯众股份,bottom_area,2026-03-24,13.06,17.53,2026-03-23,12.52,4.313099041533554,6.789137380191692,28.579577866514555,25.499144324015976,False,3.8156,3.2349,3,5,3,60.0,37.7475327302121,47.48743718592965,15.686900958466449,4.313099041533554,历史3/5次成功; 当前距低点4.31%; 最新日涨幅3.82%; 状态bottom_area; 底部未确认
42,76.85264433334923,66.56340054995417,688232,新点软件,bottom_area,2026-03-24,22.28,30.57,2026-03-23,21.82,2.1081576535288766,4.766269477543534,28.622832842656198,27.118089630356558,False,1.5497,0.6886,1,2,1,50.0,51.87398153177622,51.87398153177622,17.891842346471122,2.1081576535288766,历史1/2次成功; 当前距低点2.11%; 最新日涨幅1.55%; 状态bottom_area; 底部未确认
43,76.7191064436696,68.21215600428299,300347,泰格医药,bottom_area,2026-03-24,48.8,67.85,2026-03-23,47.13,3.5433906216846904,5.962232123912572,30.537951363301392,28.076639646278558,False,2.6504,1.7856,3,5,3,60.0,21.457454955505728,23.423271500843175,16.456609378315314,3.5433906216846904,历史3/5次成功; 当前距低点3.54%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
44,76.08384853041679,68.32959151571237,300539,横河精密,bottom_area,2026-03-24,26.7,35.9,2026-03-23,25.65,4.093567251461992,7.212475633528272,28.551532033426184,25.62674094707521,False,3.3282,3.0739,3,5,3,60.0,28.832929295944616,39.25845147219192,15.90643274853801,4.093567251461992,历史3/5次成功; 当前距低点4.09%; 最新日涨幅3.33%; 状态bottom_area; 底部未确认
45,76.07650964486112,68.16546098650134,001332,锡装股份,bottom_area,2026-03-24,51.63,68.18,2026-03-23,49.66,3.966975432944032,8.33668948852195,27.163391023760646,24.27398063948372,False,3.7164,2.7052,2,3,2,66.66666666666666,28.620958639500337,31.086142322097377,16.03302456705597,3.966975432944032,历史2/3次成功; 当前距低点3.97%; 最新日涨幅3.72%; 状态bottom_area; 底部未确认
46,76.05351570358019,67.90713051493128,002829,星网宇达,bottom_area,2026-03-24,21.99,29.86,2026-03-24,21.19,3.7753657385559087,3.8697498820198217,29.03549899531145,26.35632953784327,False,2.2315,3.5277,3,5,3,60.0,22.66109891848788,24.36974789915967,16.224634261444095,3.7753657385559087,历史3/5次成功; 当前距低点3.78%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
47,74.81158651187398,67.63561294348033,000813,德展健康,bottom_area,2026-03-24,3.28,4.52,2026-03-23,3.14,4.458598726114639,5.732484076433112,30.530973451327426,27.43362831858407,False,3.7975,1.9984,3,5,3,60.0,29.57644107000913,39.9103139013453,15.541401273885363,4.458598726114639,历史3/5次成功; 当前距低点4.46%; 最新日涨幅3.80%; 状态bottom_area; 底部未确认
48,74.75592095703433,67.67479097448094,000603,盛达资源,bottom_area,2026-03-24,36.68,49.17,2026-03-23,35.09,4.5312054716443315,9.974351667141635,28.63534675615212,25.40166768354688,False,4.5312,5.2202,2,3,2,66.66666666666666,32.89931603851264,35.44303797468355,15.46879452835567,4.5312054716443315,历史2/3次成功; 当前距低点4.53%; 最新日涨幅4.53%; 状态bottom_area; 底部未确认
49,74.63325820791967,66.37232504750108,002045,国光电器,bottom_area,2026-03-24,11.65,16.38,2026-03-23,11.25,3.555555555555559,6.222222222222216,31.318681318681314,28.87667887667887,False,2.9152,1.7604,4,8,4,50.0,33.38167588262236,40.89958158995815,16.444444444444443,3.555555555555559,历史4/8次成功; 当前距低点3.56%; 最新日涨幅2.92%; 状态bottom_area; 底部未确认
50,74.6075894317458,67.97467852875381,002681,奋达科技,bottom_area,2026-03-24,5.37,7.11,2026-03-23,5.12,4.8828125,8.007812500000004,27.988748241912802,24.47257383966245,False,3.2692,2.069,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,15.117187500000002,4.8828125,历史2/3次成功; 当前距低点4.88%; 最新日涨幅3.27%; 状态bottom_area; 底部未确认
51,74.57077105647163,67.14644831585657,002590,万安科技,bottom_area,2026-03-24,12.3,16.25,2026-03-23,11.8,4.23728813559322,8.3050847457627,27.38461538461538,24.307692307692303,False,2.3295,1.3777,2,3,2,66.66666666666666,26.45590644270131,30.204778156996575,15.76271186440678,4.23728813559322,历史2/3次成功; 当前距低点4.24%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
52,74.50396298968505,67.8630762430443,002609,捷顺科技,bottom_area,2026-03-24,8.4,11.15,2026-03-23,8.01,4.86891385767791,6.117353308364548,28.16143497757848,24.663677130044842,False,3.8319,2.1303,2,3,2,66.66666666666666,38.05125361227564,49.678456591639886,15.131086142322092,4.86891385767791,历史2/3次成功; 当前距低点4.87%; 最新日涨幅3.83%; 状态bottom_area; 底部未确认
53,74.44228330046599,67.32202664810194,002017,东信和平,bottom_area,2026-03-24,18.91,25.2,2026-03-23,18.1,4.475138121546954,5.745856353591154,28.17460317460317,24.96031746031746,False,3.6164,2.2497,2,4,2,50.0,49.75990088832793,50.390015600624025,15.524861878453047,4.475138121546954,历史2/4次成功; 当前距低点4.48%; 最新日涨幅3.62%; 状态bottom_area; 底部未确认
54,74.334460275845,67.4432531071803,002457,青龙管业,bottom_area,2026-03-24,11.02,15.04,2026-03-23,10.53,4.653371320037989,5.128205128205137,29.986702127659576,26.728723404255316,False,3.8643,4.5058,2,3,2,66.66666666666666,33.152005646237896,42.51290877796902,15.346628679962013,4.653371320037989,历史2/3次成功; 当前距低点4.65%; 最新日涨幅3.86%; 状态bottom_area; 底部未确认
55,73.89811146717966,66.62622283876038,688315,诺禾致源,bottom_area,2026-03-24,13.56,18.24,2026-03-23,13.0,4.307692307692312,5.692307692307693,28.728070175438592,25.657894736842096,False,3.749,0.8733,3,6,3,50.0,43.9664586037573,86.2826357231662,15.692307692307688,4.307692307692312,历史3/6次成功; 当前距低点4.31%; 最新日涨幅3.75%; 状态bottom_area; 底部未确认
56,73.82709054595755,65.76956361051882,002676,顺威股份,bottom_area,2026-03-24,6.53,9.14,2026-03-23,6.3,3.650793650793658,5.71428571428572,31.07221006564552,28.555798687089716,False,2.8346,2.493,2,4,2,50.0,31.308457711442777,39.33333333333333,16.349206349206344,3.650793650793658,历史2/4次成功; 当前距低点3.65%; 最新日涨幅2.83%; 状态bottom_area; 底部未确认
57,73.38009178991652,63.747183987379216,002241,歌尔股份,bottom_area,2026-03-24,22.5,31.86,2026-03-24,22.0,2.272727272727273,3.5454545454545507,30.947897049591965,29.37853107344633,False,0.7613,2.1489,1,2,1,50.0,36.8763557483731,36.8763557483731,17.727272727272727,2.272727272727273,历史1/2次成功; 当前距低点2.27%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
58,72.79347456784804,65.2122186911966,603000,人民网,bottom_area,2026-03-24,19.44,27.18,2026-03-23,18.7,3.957219251336909,4.278074866310164,31.199411331861665,28.476821192052977,False,3.1847,2.1015,3,6,3,50.0,32.068164431423405,48.493150684931514,16.042780748663095,3.957219251336909,历史3/6次成功; 当前距低点3.96%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
59,72.65434471658963,62.827777897516015,301551,无线传媒,bottom_area,2026-03-24,28.26,40.65,2026-03-24,27.7,2.021660649819503,3.42960288808664,31.857318573185733,30.47970479704796,False,1.6181,2.3445,1,2,1,50.0,28.855721393034813,28.855721393034813,17.978339350180498,2.021660649819503,历史1/2次成功; 当前距低点2.02%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
60,72.37243403133104,62.33915061822093,000625,长安汽车,bottom_area,2026-03-24,10.14,13.84,2026-03-24,9.96,1.8072289156626478,2.1084337349397497,28.03468208092485,26.73410404624277,False,0.996,0.6545,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.192771084337352,1.8072289156626478,历史1/3次成功; 当前距低点1.81%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
61,72.19702384526089,63.29082930266965,002765,蓝黛科技,bottom_area,2026-03-24,10.02,13.66,2026-03-23,9.75,2.7692307692307647,6.256410256410251,28.62371888726208,26.647144948755496,False,1.9329,1.7849,2,5,2,40.0,28.84234116406334,29.470802919708017,17.230769230769237,2.7692307692307647,历史2/5次成功; 当前距低点2.77%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
62,71.48875091825349,64.15657133689416,002584,西陇科学,bottom_area,2026-03-24,7.7,10.48,2026-03-23,7.4,4.054054054054052,5.270270270270266,29.389312977099237,26.52671755725191,False,3.4946,3.3909,2,5,2,40.0,49.24631494697527,68.08510638297875,15.94594594594595,4.054054054054052,历史2/5次成功; 当前距低点4.05%; 最新日涨幅3.49%; 状态bottom_area; 底部未确认
63,71.33985663403146,64.01593058658773,300593,新雷能,bottom_area,2026-03-24,23.39,30.88,2026-03-24,22.48,4.048042704626336,5.6494661921708165,27.2020725388601,24.255181347150252,False,1.6957,3.5522,2,4,2,50.0,26.74982770503102,28.000000000000007,15.951957295373663,4.048042704626336,历史2/4次成功; 当前距低点4.05%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
64,70.85668610255455,61.75472132034634,002605,姚记科技,bottom_area,2026-03-24,20.49,27.66,2026-03-23,20.0,2.449999999999992,5.3999999999999915,27.69342010122921,25.921908893709332,False,1.5362,1.5774,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,17.55000000000001,2.449999999999992,历史2/6次成功; 当前距低点2.45%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
65,70.82922352416692,63.801574813296405,688035,德邦科技,bottom_area,2026-03-24,56.56,78.03,2026-03-24,54.25,4.2580645161290365,5.0691244239631335,30.475458157119057,27.51505831090606,False,3.3059,2.9197,2,4,2,50.0,28.171838226186054,30.132850241545906,15.741935483870964,4.2580645161290365,历史2/4次成功; 当前距低点4.26%; 最新日涨幅3.31%; 状态bottom_area; 底部未确认
66,70.79469002950462,62.68526483381722,605337,李子园,bottom_area,2026-03-24,10.59,14.95,2026-03-23,10.25,3.3170731707317063,4.292682926829264,31.438127090301,29.163879598662206,False,3.0156,1.0151,2,5,2,40.0,32.30210571551354,37.98882681564246,16.682926829268297,3.3170731707317063,历史2/5次成功; 当前距低点3.32%; 最新日涨幅3.02%; 状态bottom_area; 底部未确认
67,70.64695676406542,62.403963763710436,688225,亚信安全,bottom_area,2026-03-24,17.17,23.2,2026-03-24,16.64,3.1850961538461604,3.966346153846154,28.275862068965512,25.99137931034482,False,1.8991,0.6699,2,5,2,40.0,29.171951583224075,36.786114221724524,16.81490384615384,3.1850961538461604,历史2/5次成功; 当前距低点3.19%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
68,70.57167704755474,61.724777013925625,002664,信质集团,bottom_area,2026-03-24,19.41,27.55,2026-03-24,18.91,2.644103648863035,4.442094130089899,31.361161524500908,29.546279491833033,False,1.0938,2.077,1,3,1,33.33333333333333,52.526315789473685,52.526315789473685,17.355896351136966,2.644103648863035,历史1/3次成功; 当前距低点2.64%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
