rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.10825755775335,76.64759064723823,001391,国货航,bottom_area,2026-04-13,5.29,7.73,2026-04-03,5.2,1.7307692307692282,3.0769230769230793,32.729624838292374,31.56532988357051,False,-0.5639,0.8304,1,1,1,100.0,30.39647577092513,30.39647577092513,18.269230769230774,1.7307692307692282,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
13,65.90205221597876,57.20270946900872,000625,长安汽车,bottom_area,2026-04-13,10.1,13.84,2026-03-30,9.88,2.2267206477732677,3.441295546558703,28.612716763005775,27.02312138728324,False,-0.1976,0.5573,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,17.773279352226734,2.2267206477732677,历史1/3次成功; 当前距低点2.23%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
14,65.1459939618028,57.15298916759637,002373,千方科技,bottom_area,2026-04-13,9.51,13.46,2026-04-07,9.25,2.8108108108108083,6.05405405405406,31.27786032689451,29.346210995542354,False,-1.1435,1.1871,1,2,1,50.0,30.49267643142478,30.49267643142478,17.189189189189193,2.8108108108108083,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
15,64.58532300889156,58.72914087077962,600325,华发股份,bottom_area,2026-04-13,3.51,4.6,2026-04-07,3.35,4.776119402985065,5.3731343283582005,27.173913043478255,23.695652173913043,False,1.7391,1.6582,2,5,2,40.0,28.917704890244938,32.553606237816766,15.223880597014935,4.776119402985065,历史2/5次成功; 当前距低点4.78%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
16,63.61810124984522,57.6675773365172,603232,格尔软件,bottom_area,2026-04-13,19.77,26.53,2026-04-03,18.9,4.603174603174609,6.1904761904762,28.75989445910291,25.480588013569548,False,-0.5533,2.006,3,7,3,42.857142857142854,37.37304763616524,48.01488833746897,15.396825396825392,4.603174603174609,历史3/7次成功; 当前距低点4.60%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
17,62.67271367154573,53.940326892696575,600966,博汇纸业,bottom_area,2026-04-13,6.35,8.57,2026-04-03,6.24,1.762820512820504,8.493589743589732,27.18786464410735,25.904317386231046,True,-4.5113,1.7164,1,6,1,16.666666666666664,40.28436018957346,40.28436018957346,18.237179487179496,1.762820512820504,历史1/6次成功; 当前距低点1.76%; 最新日涨幅-4.51%; 状态bottom_area; 底部已确认
18,61.48521003401645,55.8027762925549,001258,立新能源,bottom_area,2026-04-13,8.74,12.33,2026-04-07,8.35,4.670658682634738,4.910179640718565,32.27899432278994,29.115977291159773,False,3.8005,4.2703,1,2,1,50.0,23.55848434925864,23.55848434925864,15.329341317365264,4.670658682634738,历史1/2次成功; 当前距低点4.67%; 最新日涨幅3.80%; 状态bottom_area; 底部未确认
19,60.721802534789624,54.83872132034633,002605,姚记科技,bottom_area,2026-04-13,20.88,27.66,2026-03-23,20.0,4.399999999999995,7.2499999999999964,27.69342010122921,24.5119305856833,True,-1.4164,1.3448,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,15.600000000000005,4.399999999999995,历史2/6次成功; 当前距低点4.40%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
20,59.76558351092678,53.950714802087354,300676,华大基因,bottom_area,2026-04-13,39.84,55.07,2026-03-23,38.17,4.375163741157982,10.400838354728842,30.68821499909206,27.655710913382965,True,-1.0186,0.7651,1,2,1,50.0,23.258538343696497,23.258538343696497,15.62483625884202,4.375163741157982,历史1/2次成功; 当前距低点4.38%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
21,59.07099256261978,51.827031771980934,000890,法尔胜,bottom_area,2026-04-13,13.15,17.61,2026-04-13,12.79,2.814698983580932,5.16028146989836,27.370812038614428,25.326519023282223,False,-7.4595,15.5457,1,4,1,25.0,32.954545454545446,32.954545454545446,17.185301016419068,2.814698983580932,历史1/4次成功; 当前距低点2.81%; 最新日涨幅-7.46%; 状态bottom_area; 底部未确认
22,56.71507883791358,51.36932766615148,300749,顶固集创,bottom_area,2026-04-13,27.06,35.99,2026-04-03,25.88,4.559505409582688,12.326120556414224,28.091136426785223,24.81244790219506,True,0.4827,6.6615,1,5,1,20.0,20.833333333333336,20.833333333333336,15.440494590417314,4.559505409582688,历史1/5次成功; 当前距低点4.56%; 最新日涨幅0.48%; 状态bottom_area; 底部已确认
23,56.00445104017771,47.22600172415344,300683,海特生物,bottom_area,2026-04-13,35.84,50.68,2026-04-13,35.61,0.6458859870822915,2.218477955630439,29.735595895816893,29.281767955801097,False,-0.9671,6.6046,1,5,1,20.0,22.089364380113267,22.089364380113267,19.35411401291771,0.6458859870822915,历史1/5次成功; 当前距低点0.65%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
