rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.6376986921545,86.56727655311012,300763,锦浪科技,bottom_area,2024-10-16,69.89,2024-10-16,69.17,1.0409136909064607,3.9323406100910785,29.266796195930056,False,-2.538,2.6937,4,4,4,100.0,25.271826711703444,36.020348268440614,6.95908630909354,1.0409136909064607,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
12,81.9206673187547,79.91924341698528,300601,康泰生物,bottom_area,2024-10-16,17.41,2024-10-16,16.95,2.7138643067846657,4.12979351032448,27.718550106609808,False,-0.2864,1.8145,4,4,4,100.0,10.036849658356518,11.580726965342352,5.286135693215335,2.7138643067846657,历史4/4次成功; 当前距低点2.71%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
13,81.89095778108648,77.55558666214722,688121,卓然股份,bottom_area,2024-10-16,11.22,2024-10-16,11.09,1.1722272317403135,3.2461677186654594,27.98701298701299,False,-1.4925,1.831,4,5,4,80.0,21.76486425008136,55.206611570247944,6.8277727682596865,1.1722272317403135,历史4/5次成功; 当前距低点1.17%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
14,80.95849771823602,78.11063624370476,688226,威腾电气,bottom_area,2024-10-16,16.72,2024-10-16,16.37,2.1380574221136097,4.703726328649966,27.244444444444436,False,0.0,1.8691,1,1,1,100.0,20.78175895765472,20.78175895765472,5.86194257788639,2.1380574221136097,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,80.89160970249024,75.64987577639752,688166,博瑞医药,bottom_area,2024-10-16,29.13,2024-10-16,28.98,0.5175983436852952,4.140786749482399,29.983087702343564,False,-1.5878,2.8867,1,1,1,100.0,50.993377483443716,50.993377483443716,7.482401656314705,0.5175983436852952,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
16,80.61983068233278,76.54263430760592,300693,盛弘股份,bottom_area,2024-10-16,24.12,2024-10-16,23.81,1.3019739605207992,3.149937001259975,27.62917933130699,False,-1.6313,3.2891,4,5,4,80.0,17.909327621469668,36.12334801762114,6.698026039479201,1.3019739605207992,历史4/5次成功; 当前距低点1.30%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
17,79.76786409818358,74.70505048565273,603076,乐惠国际,bottom_area,2024-10-16,20.41,2024-10-16,20.29,0.5914243469689552,2.0206998521439137,27.09306503772907,False,-1.0664,1.1061,3,3,3,100.0,12.491924713666421,13.440860215053762,7.408575653031045,0.5914243469689552,历史3/3次成功; 当前距低点0.59%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
18,79.65739980553202,74.71600846420965,300347,泰格医药,bottom_area,2024-10-16,60.01,2024-10-16,59.61,0.6710283509478251,2.9357490353967455,27.99855054958329,False,-2.232,1.7804,3,3,3,100.0,13.526629593390835,20.78172934893761,7.328971649052176,0.6710283509478251,历史3/3次成功; 当前距低点0.67%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
19,79.61919956458001,77.04441631478363,688315,诺禾致源,confirmed_rebound,2024-10-16,11.61,2024-10-14,11.35,2.2907488986784124,8.01762114537445,27.70700636942675,True,-0.4288,0.7177,4,5,4,80.0,33.749052708443045,86.2826357231662,5.709251101321588,2.2907488986784124,历史4/5次成功; 当前距低点2.29%; 最新日涨幅-0.43%; 状态confirmed_rebound; 底部已确认
20,78.4638694773959,77.17276616512761,301499,维科精密,confirmed_rebound,2024-10-16,26.3,2024-10-14,25.5,3.137254901960787,8.78431372549019,29.166666666666668,True,-0.6047,8.3306,3,3,3,100.0,18.148964202140924,21.950454687989964,4.8627450980392135,3.137254901960787,历史3/3次成功; 当前距低点3.14%; 最新日涨幅-0.60%; 状态confirmed_rebound; 底部已确认
21,78.28858219190202,78.00233509065193,300510,金冠股份,confirmed_rebound,2024-10-16,4.36,2024-10-11,4.2,3.809523809523813,8.809523809523812,27.835051546391753,True,-0.9091,3.2095,3,3,3,100.0,30.849727829925854,40.000000000000014,4.190476190476187,3.809523809523813,历史3/3次成功; 当前距低点3.81%; 最新日涨幅-0.91%; 状态confirmed_rebound; 底部已确认
22,77.91439921426021,74.05108659139947,300413,芒果超媒,bottom_area,2024-10-16,23.17,2024-10-16,22.86,1.3560804899387677,3.5870516185476826,27.56653992395437,False,-1.1519,1.7044,1,1,1,100.0,11.843817787418656,11.843817787418656,6.643919510061233,1.3560804899387677,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
23,77.75328261852334,76.2149562019322,300759,康龙化成,bottom_area,2024-10-16,26.08,2024-10-16,25.33,2.9609159099881563,3.8294512435846917,30.45030203185064,False,-4.8522,4.6613,3,3,3,100.0,20.0314219177698,32.829977628635355,5.039084090011844,2.9609159099881563,历史3/3次成功; 当前距低点2.96%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
24,77.5653890420578,72.94656873387652,688062,迈威生物,bottom_area,2024-10-16,23.69,2024-10-16,23.5,0.8085106382978777,4.553191489361703,28.78787878787879,False,-1.4559,1.4458,2,2,2,100.0,22.365446178471394,35.34313725490197,7.191489361702122,0.8085106382978777,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
25,77.29405545459706,74.03799556076206,688255,凯尔达,confirmed_rebound,2024-10-16,20.21,2024-10-11,19.86,1.7623363544813766,9.214501510574028,27.834302325581394,True,-2.2727,1.3615,1,1,1,100.0,17.774851876234372,17.774851876234372,6.237663645518624,1.7623363544813766,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-2.27%; 状态confirmed_rebound; 底部已确认
26,75.87026059993266,71.31494912118413,300568,星源材质,bottom_area,2024-10-16,9.03,2024-10-16,8.96,0.7812499999999832,3.124999999999993,27.449392712550598,False,-2.2727,3.5921,2,2,2,100.0,13.259135060129514,17.608695652173925,7.218750000000017,0.7812499999999832,历史2/2次成功; 当前距低点0.78%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
27,75.41965528876267,71.15493506493506,300723,一品红,bottom_area,2024-10-16,15.55,2024-10-16,15.4,0.9740259740259762,3.31168831168831,27.76735459662289,False,-1.2698,1.1845,1,1,1,100.0,31.428571428571427,31.428571428571427,7.025974025974024,0.9740259740259762,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
28,75.1020134804146,72.11901044765702,301529,福赛科技,bottom_area,2024-10-16,32.3,2024-10-14,31.7,1.8927444794952615,6.940063091482648,27.126436781609197,False,-0.9506,2.0792,1,1,1,100.0,8.034773445732341,8.034773445732341,6.107255520504738,1.8927444794952615,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
29,74.99986737148579,69.93627948154165,688036,传音控股,bottom_area,2024-10-16,90.35,2024-10-16,90.02,0.3665852032881563,5.076649633414805,30.49185391089491,False,-7.3713,1.4003,2,2,2,100.0,10.978998629240042,13.001154924929873,7.633414796711843,0.3665852032881563,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-7.37%; 状态bottom_area; 底部未确认
30,74.79851272800033,71.35166103532362,688236,春立医疗,bottom_area,2024-10-16,12.47,2024-10-16,12.28,1.5472312703583169,3.583061889250825,29.18108419838524,False,-1.5008,3.479,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,6.452768729641684,1.5472312703583169,历史2/3次成功; 当前距低点1.55%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
31,74.63403705351703,74.63903380891846,300622,博士眼镜,confirmed_rebound,2024-10-16,23.9,2024-10-11,22.98,4.00348128807658,11.140121845082675,31.402985074626866,True,0.0,8.8877,2,2,2,100.0,9.338554546951876,9.674461256304461,3.99651871192342,4.00348128807658,历史2/2次成功; 当前距低点4.00%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
32,74.22825729427612,69.91094953360441,688310,迈得医疗,bottom_area,2024-10-16,11.4,2024-10-16,11.3,0.8849557522123862,3.4513274336283075,28.25396825396825,False,-1.2132,0.7627,1,1,1,100.0,23.648648648648653,23.648648648648653,7.115044247787614,0.8849557522123862,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
33,74.04732564089392,71.42828839957612,688238,和元生物,bottom_area,2024-10-16,4.8,2024-10-16,4.7,2.1276595744680775,3.8297872340425467,27.018633540372672,False,-0.2079,1.8602,3,4,3,75.0,11.367485104103912,11.958224543080954,5.872340425531923,2.1276595744680775,历史3/4次成功; 当前距低点2.13%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
34,73.90277170783312,72.77572097024051,300662,科锐国际,bottom_area,2024-10-16,18.7,2024-10-16,18.12,3.200883002207496,4.74613686534216,31.519274376417233,False,-0.5848,4.0836,1,1,1,100.0,27.600721587492483,27.600721587492483,4.799116997792504,3.200883002207496,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
35,73.11999388316498,74.13517830682603,000981,山子高科,bottom_area,2024-10-16,1.11,2024-10-16,1.06,4.7169811320754755,6.603773584905645,27.89115646258503,False,0.0,3.5895,2,2,2,100.0,14.354275741710298,16.66666666666666,3.2830188679245245,4.7169811320754755,历史2/2次成功; 当前距低点4.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
36,72.86856967628967,71.98116498069157,301538,骏鼎达,confirmed_rebound,2024-10-16,74.69,2024-10-11,72.26,3.3628563520619883,9.825629670633813,27.010101010101007,True,-0.9548,6.7256,2,2,2,100.0,9.669233674155395,10.10519247985676,4.637143647938012,3.3628563520619883,历史2/2次成功; 当前距低点3.36%; 最新日涨幅-0.95%; 状态confirmed_rebound; 底部已确认
37,72.5586564991022,70.36486661882526,688117,圣诺生物,bottom_area,2024-10-16,26.84,2024-10-14,26.21,2.4036627241510833,5.036245707745136,29.123850730124385,False,1.9757,1.8942,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,5.596337275848917,2.4036627241510833,历史2/3次成功; 当前距低点2.40%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
38,71.6933027368489,67.16949033173918,688126,沪硅产业,bottom_area,2024-10-16,19.73,2024-10-16,19.61,0.6119326874043907,4.9464558898521105,28.273591806876375,False,-4.8239,1.2346,1,1,1,100.0,15.777940102264429,15.777940102264429,7.38806731259561,0.6119326874043907,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
39,71.17134029241788,67.73679840163096,688105,诺唯赞,bottom_area,2024-10-16,21.3,2024-10-16,21.0,1.428571428571432,3.7142857142857197,27.785419532324617,False,-1.4345,1.2283,2,3,2,66.66666666666666,17.673519312404096,25.237580993520524,6.5714285714285685,1.428571428571432,历史2/3次成功; 当前距低点1.43%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
40,70.82828262191985,71.26076172757688,300615,欣天科技,confirmed_rebound,2024-10-16,11.6,2024-10-11,11.12,4.316546762589932,11.960431654676261,28.165374677002593,True,-1.1925,5.0479,2,2,2,100.0,17.486496485386603,24.306326304106545,3.6834532374100677,4.316546762589932,历史2/2次成功; 当前距低点4.32%; 最新日涨幅-1.19%; 状态confirmed_rebound; 底部已确认
