rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.78135525594149,81.06387947393972,000803,山高环能,bottom_area,2025-12-08,6.67,2025-12-05,6.5,2.615384615384614,3.8461538461538463,32.22106360792492,False,0.1502,1.9899,2,2,2,100.0,25.843851596863644,36.1111111111111,12.384615384615385,2.615384615384614,历史2/2次成功; 当前距低点2.62%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
12,76.38563977335836,72.74608074300465,003038,鑫铂股份,bottom_area,2025-12-08,16.13,2025-11-24,15.38,4.8764629388816525,5.7867360208062335,28.76331635016211,False,1.2555,2.0877,1,1,1,100.0,25.507614213197975,25.507614213197975,10.123537061118347,4.8764629388816525,历史1/1次成功; 当前距低点4.88%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
13,75.42457678192166,70.34447513536175,300598,诚迈科技,bottom_area,2025-12-08,46.99,2025-12-05,45.29,3.7535879885184436,4.393905939500998,29.234375,False,1.1408,3.1551,3,5,3,60.0,35.49814918916024,45.24950099800398,11.246412011481556,3.7535879885184436,历史3/5次成功; 当前距低点3.75%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
14,74.30988249269107,70.27706041066375,300768,迪普科技,bottom_area,2025-12-08,19.5,2025-12-05,18.66,4.5016077170418,5.359056806002144,27.05238467552775,False,1.3514,2.1768,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,10.4983922829582,4.5016077170418,历史2/3次成功; 当前距低点4.50%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
15,73.18629542143499,68.93139094652967,603197,保隆科技,bottom_area,2025-12-08,35.56,2025-11-21,34.1,4.281524926686219,5.014662756598243,27.431368376250266,False,0.3669,0.8821,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,10.71847507331378,4.281524926686219,历史4/6次成功; 当前距低点4.28%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
16,73.17982728097876,66.57746485152578,002459,晶澳科技,bottom_area,2025-12-08,11.42,2025-12-05,11.15,2.421524663677126,3.139013452914795,27.12418300653595,False,0.6167,1.1972,3,6,3,50.0,20.58355421886888,26.683937823834192,12.578475336322873,2.421524663677126,历史3/6次成功; 当前距低点2.42%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
17,70.3115450751097,63.56065291701902,000002,万科A,bottom_area,2025-12-08,4.91,2025-12-05,4.81,2.07900207900209,3.534303534303552,32.63305322128851,False,-0.8081,2.0112,2,4,2,50.0,22.638589554536463,28.255902513328245,12.920997920997909,2.07900207900209,历史2/4次成功; 当前距低点2.08%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
18,70.09079899720115,63.513966927963025,600383,金地集团,bottom_area,2025-12-08,3.24,2025-12-05,3.17,2.208201892744489,4.416403785488963,30.482456140350873,False,-1.5198,2.301,2,4,2,50.0,23.971329265701364,32.594936708860764,12.791798107255511,2.208201892744489,历史2/4次成功; 当前距低点2.21%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
19,69.39013778275714,65.49004089403797,688337,普源精电,bottom_area,2025-12-08,37.32,2025-12-04,35.75,4.391608391608393,5.398601398601397,28.499999999999996,False,1.8837,1.4261,3,6,3,50.0,38.886602295188766,54.46153846153845,10.608391608391607,4.391608391608393,历史3/6次成功; 当前距低点4.39%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
20,67.37458782170334,62.330052006465095,002176,江特电机,bottom_area,2025-12-08,9.65,2025-12-05,9.34,3.31905781584583,4.817987152034254,27.428127428127425,False,0.9414,4.001,2,5,2,40.0,30.416687239750484,39.01808785529715,11.68094218415417,3.31905781584583,历史2/5次成功; 当前距低点3.32%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
21,65.7265195940676,61.82306810082292,603127,昭衍新药,bottom_area,2025-12-08,27.97,2025-11-21,26.84,4.210134128166911,8.792846497764529,29.33122696155871,True,0.467,1.6243,1,2,1,50.0,41.08695652173912,41.08695652173912,10.789865871833088,4.210134128166911,历史1/2次成功; 当前距低点4.21%; 最新日涨幅0.47%; 状态bottom_area; 底部已确认
22,64.9618907737618,58.02071233483454,000695,滨海能源,bottom_area,2025-12-08,14.16,2025-12-08,13.96,1.4326647564469863,3.1518624641833775,27.480519480519476,False,-0.8403,9.3856,2,6,2,33.33333333333333,21.042229280647017,21.910112359550556,13.567335243553014,1.4326647564469863,历史2/6次成功; 当前距低点1.43%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
23,61.7987925483657,58.13685466732059,002017,东信和平,bottom_area,2025-12-08,21.25,2025-12-04,20.39,4.217753800882782,5.394801373222157,29.373051610668515,False,1.4804,2.62,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,10.782246199117218,4.217753800882782,历史1/3次成功; 当前距低点4.22%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
24,59.88429550139359,55.76759324419422,600104,上汽集团,bottom_area,2025-12-08,15.24,2025-11-21,14.7,3.673469387755109,7.959183673469387,28.74454677653902,True,-1.3592,0.6665,1,2,1,50.0,24.425287356321842,24.425287356321842,11.326530612244891,3.673469387755109,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
25,58.88629589254834,55.42927008771046,002468,申通快递,bottom_area,2025-12-08,14.23,2025-11-21,13.65,4.249084249084249,6.2271062271062245,31.988041853512705,False,0.0703,0.9238,1,2,1,50.0,16.382699868938413,16.382699868938413,10.75091575091575,4.249084249084249,历史1/2次成功; 当前距低点4.25%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
26,58.30710100111808,53.15624968924446,000661,长春高新,bottom_area,2025-12-08,99.2,2025-12-05,96.75,2.53229974160207,3.8242894056847576,31.755660576990905,False,-0.5314,1.3681,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,12.46770025839793,2.53229974160207,历史1/3次成功; 当前距低点2.53%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
27,56.934374564108694,53.57888967379756,002291,遥望科技,bottom_area,2025-12-08,6.89,2025-12-05,6.61,4.236006051437206,5.143721633888046,28.77155172413792,False,0.4373,5.2425,1,4,1,25.0,27.107438016528935,27.107438016528935,10.763993948562794,4.236006051437206,历史1/4次成功; 当前距低点4.24%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
28,53.350143195413175,50.67746091794999,688348,昱能科技,bottom_area,2025-12-08,52.39,2025-12-05,50.02,4.738104758096756,5.497800879648141,30.796900940785832,False,0.5566,1.0684,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,10.261895241903243,4.738104758096756,历史1/3次成功; 当前距低点4.74%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
29,44.98654553730483,42.920560878101846,002706,良信股份,bottom_area,2025-12-08,9.92,2025-11-24,9.45,4.973544973544981,6.560846560846572,27.083333333333343,False,-0.7007,1.8967,1,6,1,16.666666666666664,19.37406855439642,19.37406855439642,10.026455026455018,4.973544973544981,历史1/6次成功; 当前距低点4.97%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
