rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.1215013944946,88.50502753946257,002160,常铝股份,bottom_area,2025-11-24,5.05,2025-11-24,4.97,1.6096579476861181,3.8229376257545358,28.386167146974074,False,0.3976,6.0273,3,3,3,100.0,36.855094947241525,40.066225165562926,18.390342052313883,1.6096579476861181,历史3/3次成功; 当前距低点1.61%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
12,89.53430233777463,79.58107891454408,688249,晶合集成,bottom_area,2025-11-24,28.48,2025-11-24,27.51,3.5259905488913077,3.562340966921108,27.02917771883289,False,1.5692,1.812,2,2,2,100.0,29.0340718603025,34.69735720375107,16.474009451108692,3.5259905488913077,历史2/2次成功; 当前距低点3.53%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
13,87.06064614088022,76.06620330957962,601011,宝泰隆,bottom_area,2025-11-24,3.57,2025-11-24,3.48,2.5862068965517198,4.885057471264366,28.395061728395067,False,-0.8333,4.6533,4,5,4,80.0,31.090080826438378,34.951456310679596,17.413793103448285,2.5862068965517198,历史4/5次成功; 当前距低点2.59%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
14,86.77309840005384,74.11308338783516,605333,沪光股份,bottom_area,2025-11-24,28.65,2025-11-24,28.27,1.3441811107180723,1.9808984789529491,29.112337011033105,False,0.5263,0.4226,3,5,3,60.0,26.224818926195436,29.01840490797546,18.655818889281928,1.3441811107180723,历史3/5次成功; 当前距低点1.34%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
15,85.65587534323706,74.37613820305361,601126,四方股份,bottom_area,2025-11-24,25.03,2025-11-24,24.48,2.2467320261437935,3.3496732026143805,27.893961708394706,False,1.8308,3.0831,2,3,2,66.66666666666666,40.9248416988967,46.85534591194968,17.753267973856207,2.2467320261437935,历史2/3次成功; 当前距低点2.25%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
16,85.27715885968408,71.06429904973673,000407,胜利股份,bottom_area,2025-11-24,4.83,2025-11-24,4.83,0.0,5.590062111801234,27.91044776119403,False,-10.0559,15.2528,2,2,2,100.0,24.80805940718676,29.14979757085019,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
17,85.04633540372674,76.93652173913046,688588,凌志软件,bottom_area,2025-11-24,14.42,2025-11-24,13.8,4.4927536231884,5.579710144927533,30.999999999999993,False,2.9265,1.9546,1,1,1,100.0,43.33333333333334,43.33333333333334,15.507246376811601,4.4927536231884,历史1/1次成功; 当前距低点4.49%; 最新日涨幅2.93%; 状态bottom_area; 底部未确认
18,84.7574771743264,75.74304834645258,600506,统一股份,bottom_area,2025-11-24,26.35,2025-11-24,25.38,3.821907013396385,5.516154452324674,30.46575342465754,False,3.0908,16.7448,1,1,1,100.0,28.69352869352869,28.69352869352869,16.178092986603616,3.821907013396385,历史1/1次成功; 当前距低点3.82%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
19,84.49811807350316,72.63649546092084,688008,澜起科技,bottom_area,2025-11-24,113.9,2025-11-24,112.0,1.6964285714285765,3.526785714285717,29.506545820745217,False,0.0,1.724,2,4,2,50.0,44.270712923537644,62.20095693779905,18.303571428571423,1.6964285714285765,历史2/4次成功; 当前距低点1.70%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,84.1073687602459,72.34118019828392,002337,赛象科技,bottom_area,2025-11-24,5.89,2025-11-21,5.79,1.7271157167530162,5.1813471502590644,29.47624847746651,False,1.0292,1.9003,2,4,2,50.0,43.059161464950556,60.465116279069754,18.272884283246984,1.7271157167530162,历史2/4次成功; 当前距低点1.73%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
21,84.0872189577869,73.84926015768399,002636,金安国纪,bottom_area,2025-11-24,14.34,2025-11-24,13.94,2.8694404591104763,3.8020086083213855,28.292181069958854,False,1.4862,2.7318,2,3,2,66.66666666666666,45.72536418166238,69.0,17.130559540889525,2.8694404591104763,历史2/3次成功; 当前距低点2.87%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
22,83.76393059990895,72.06358306513994,601127,赛力斯,bottom_area,2025-11-24,124.5,2025-11-24,122.37,1.7406227016425555,2.5578164582822547,28.854651162790695,False,0.8914,1.6106,5,9,5,55.55555555555556,29.69523621503266,42.19143576826195,18.259377298357446,1.7406227016425555,历史5/9次成功; 当前距低点1.74%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
23,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-24,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,2.0661,5.0885,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
