rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.20555651619277,80.55998106232632,301382,蜂助手,bottom_area,2024-06-04,18.95,2024-06-04,18.68,1.4453961456102762,4.925053533190588,28.37423312883435,False,-4.002,3.093,3,3,3,100.0,24.8144315823534,47.676579925650564,8.554603854389725,1.4453961456102762,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
12,78.32882982786302,73.77780943688244,300683,海特生物,bottom_area,2024-06-04,23.02,2024-06-04,22.6,1.8584070796460093,3.4513274336283075,27.610506085842403,False,-0.6903,0.8634,1,1,1,100.0,16.532137518684582,16.532137518684582,8.14159292035399,1.8584070796460093,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
13,77.3187083702885,74.955965964874,002285,世联行,bottom_area,2024-06-04,1.84,2024-06-04,1.78,3.3707865168539355,5.056179775280904,30.73929961089494,False,0.0,2.5494,1,1,1,100.0,18.932038834951463,18.932038834951463,6.629213483146065,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,77.27586688158482,74.55965401607239,002670,国盛证券,bottom_area,2024-06-04,9.58,2024-06-03,9.29,3.1216361679225075,3.3369214208826747,30.671641791044784,False,1.2685,1.8305,1,1,1,100.0,13.747228381374727,13.747228381374727,6.8783638320774925,3.1216361679225075,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
15,76.04770871003919,72.68906874221906,688205,德科立,bottom_area,2024-06-04,31.23,2024-06-04,30.43,2.628984554715743,5.718041406506743,29.034514925373138,False,-2.922,3.7483,1,1,1,100.0,20.12448132780082,20.12448132780082,7.371015445284257,2.628984554715743,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
16,73.3456224631084,70.29068131370508,000679,大连友谊,confirmed_rebound,2024-06-04,2.6,2024-06-04,2.53,2.7667984189723436,11.067193675889339,27.507163323782247,False,-7.4733,3.8706,5,6,5,83.33333333333334,15.460475137788618,24.94061757719715,7.233201581027656,2.7667984189723436,历史5/6次成功; 当前距低点2.77%; 最新日涨幅-7.47%; 状态confirmed_rebound; 底部未确认
17,72.07524053391629,67.34222562005402,000518,四环生物,bottom_area,2024-06-04,2.12,2024-06-04,2.09,1.4354066985646052,2.3923444976076684,32.14285714285715,False,-1.8519,1.3037,2,3,2,66.66666666666666,15.635947452229296,17.834394904458602,8.564593301435396,1.4354066985646052,历史2/3次成功; 当前距低点1.44%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
18,70.0761573791638,65.94712381116504,300511,雪榕生物,bottom_area,2024-06-04,3.37,2024-06-04,3.31,1.8126888217522674,5.438066465256802,30.89770354906054,False,-3.7143,3.1161,3,5,3,60.0,20.752980240646266,29.220779220779214,8.187311178247732,1.8126888217522674,历史3/5次成功; 当前距低点1.81%; 最新日涨幅-3.71%; 状态bottom_area; 底部未确认
19,69.5527277169591,64.04287237312829,688236,春立医疗,bottom_area,2024-06-04,16.54,2024-06-04,16.43,0.6695069993913538,4.077906269020096,31.541666666666668,False,-3.7813,5.3433,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,9.330493000608648,0.6695069993913538,历史2/3次成功; 当前距低点0.67%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
20,68.25363243674492,67.82969683154775,000882,华联股份,bottom_area,2024-06-04,1.12,2024-06-04,1.07,4.672897196261686,8.411214953271013,29.13907284768212,False,-5.8824,4.6284,1,1,1,100.0,29.268292682926838,29.268292682926838,5.327102803738315,4.672897196261686,历史1/1次成功; 当前距低点4.67%; 最新日涨幅-5.88%; 状态bottom_area; 底部未确认
21,64.71270137976926,61.075614239654975,603011,合锻智能,bottom_area,2024-06-04,6.23,2024-06-04,6.11,1.9639934533551573,3.9279869067103,28.953488372093016,False,-1.8898,2.7612,1,2,1,50.0,41.201716738197426,41.201716738197426,8.036006546644844,1.9639934533551573,历史1/2次成功; 当前距低点1.96%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
22,64.04109155024362,58.2191741365851,002374,中锐股份,bottom_area,2024-06-04,1.91,2024-06-04,1.91,0.0,0.0,29.520295202952028,False,-9.9057,0.9226,2,3,2,66.66666666666666,11.303803601712032,12.068965517241388,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
23,61.94699221621038,59.704056056259034,000514,渝开发,bottom_area,2024-06-04,3.7,2024-06-04,3.59,3.064066852367697,5.013927576601676,28.62823061630219,False,0.0,5.3625,1,2,1,50.0,24.839400428265527,24.839400428265527,6.935933147632303,3.064066852367697,历史1/2次成功; 当前距低点3.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,58.8286499505318,55.881826923076936,002329,皇氏集团,bottom_area,2024-06-04,3.11,2024-06-04,3.04,2.3026315789473633,7.565789473684211,28.971962616822434,False,-5.1829,4.7022,1,2,1,50.0,27.644230769230756,27.644230769230756,7.697368421052637,2.3026315789473633,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
25,58.081086992699916,54.026204475379316,000521,长虹美菱,bottom_area,2024-06-04,9.26,2024-06-04,9.15,1.2021857923497203,4.043715846994527,27.61075949367089,False,-2.8332,3.9556,1,3,1,33.33333333333333,13.407821229050265,13.407821229050265,8.79781420765028,1.2021857923497203,历史1/3次成功; 当前距低点1.20%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
26,57.55331665411938,52.32119695829034,002607,中公教育,bottom_area,2024-06-04,1.91,2024-06-04,1.91,0.0,0.0,32.74647887323944,False,-9.9057,1.0093,3,7,3,42.857142857142854,14.514883800332075,18.337408312958438,10.0,0.0,历史3/7次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
27,56.00595419847329,50.914503816793896,002742,三圣股份,bottom_area,2024-06-04,1.4,2024-06-04,1.4,0.0,0.0,29.292929292929298,False,-4.7619,0.2222,1,2,1,50.0,24.809160305343507,24.809160305343507,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
