rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.34515179337808,83.79097739839031,300490,华自科技,bottom_area,2022-04-14,12.55,2022-04-13,12.34,1.7017828200972516,4.294975688816851,28.380731282646547,False,1.7018,1.7567,2,2,2,100.0,29.306678646301293,32.06349206349206,13.29821717990275,1.7017828200972516,历史2/2次成功; 当前距低点1.70%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
14,82.48630142696,74.22764052203128,002196,方正电机,bottom_area,2022-04-14,7.77,2022-04-14,7.63,1.8348623853210968,4.980340760157272,32.117437722419936,False,-1.0191,3.5247,1,1,1,100.0,18.661971830985923,18.661971830985923,13.165137614678901,1.8348623853210968,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
15,82.28470131259063,72.80742435996899,000537,绿发电力,bottom_area,2022-04-14,13.01,2022-04-14,12.89,0.9309542280837798,5.352986811481765,27.665544332210995,False,-3.1994,1.1961,1,1,1,100.0,310.7981220657277,310.7981220657277,14.069045771916219,0.9309542280837798,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
16,80.47331973811242,75.20833820613639,688008,澜起科技,bottom_area,2022-04-14,56.71,2022-04-14,54.6,3.864468864468863,5.3113553113553085,29.548387096774192,False,1.6308,1.0912,1,1,1,100.0,26.340468909276254,26.340468909276254,11.135531135531137,3.864468864468863,历史1/1次成功; 当前距低点3.86%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
17,78.15759832842754,68.54563138231634,000875,电投绿能,bottom_area,2022-04-14,6.6,2022-04-14,6.57,0.4566210045662003,7.305936073059353,28.74186550976139,False,-5.4441,3.8572,1,1,1,100.0,21.27272727272727,21.27272727272727,14.543378995433798,0.4566210045662003,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
18,76.55598962834918,70.00153846153846,000965,天保基建,bottom_area,2022-04-14,8.01,2022-04-14,7.8,2.6923076923076916,8.076923076923077,31.937172774869115,False,-5.0948,26.8424,1,1,1,100.0,16.666666666666664,16.666666666666664,12.307692307692308,2.6923076923076916,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
19,74.27853582482251,65.02862942341582,300724,捷佳伟创,bottom_area,2022-04-14,58.21,2022-04-14,58.0,0.3620689655172428,5.551724137931033,30.019305019305015,False,-2.6589,3.4923,2,3,2,66.66666666666666,29.87892472112087,30.55368319691865,14.637931034482756,0.3620689655172428,历史2/3次成功; 当前距低点0.36%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
20,68.72738966933427,62.489050873938076,603348,文灿股份,bottom_area,2022-04-14,29.57,2022-04-14,28.88,2.3891966759002816,3.8781163434903085,31.9028531006838,False,1.094,1.0384,1,2,1,50.0,31.539888682745836,31.539888682745836,12.610803324099717,2.3891966759002816,历史1/2次成功; 当前距低点2.39%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
21,67.5319775607088,61.06472252387816,002104,恒宝股份,bottom_area,2022-04-14,10.24,2022-04-14,10.03,2.0937188434696,3.1904287138584277,30.006978367062114,False,0.9862,9.0998,1,2,1,50.0,20.260223048327138,20.260223048327138,12.9062811565304,2.0937188434696,历史1/2次成功; 当前距低点2.09%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
22,64.57860285916719,58.24089637782883,601137,博威合金,bottom_area,2022-04-14,12.53,2022-04-14,12.29,1.952807160292923,5.6956875508543625,31.4938684503902,False,-0.9486,2.1678,1,2,1,50.0,25.82417582417582,25.82417582417582,13.047192839707078,1.952807160292923,历史1/2次成功; 当前距低点1.95%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
23,64.22505755745256,57.68233655445356,603129,春风动力,bottom_area,2022-04-14,93.47,2022-04-14,91.88,1.7305180670439742,3.8746190683500243,27.573703294970837,False,-1.2363,0.4383,1,2,1,50.0,20.09633197480549,20.09633197480549,13.269481932956026,1.7305180670439742,历史1/2次成功; 当前距低点1.73%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
24,63.827051780350104,58.750823649208996,688288,鸿泉技术,bottom_area,2022-04-14,20.96,2022-04-14,20.34,3.048180924287124,5.1622418879056085,28.731604765241762,False,-0.1905,2.2755,1,2,1,50.0,41.992882562277565,41.992882562277565,11.951819075712876,3.048180924287124,历史1/2次成功; 当前距低点3.05%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
25,60.29883695885893,53.1380969529516,300631,久吾高科,bottom_area,2022-04-14,28.21,2022-04-14,28.01,0.7140307033202402,4.284184219921454,29.196157735085947,False,-1.7758,2.1538,1,2,1,50.0,23.04347826086956,23.04347826086956,14.28596929667976,0.7140307033202402,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
26,56.47898014202477,52.17552829605917,688185,康希诺,bottom_area,2022-04-14,190.1,2022-04-14,184.13,3.2422744799869654,9.162005105088799,31.798651751981634,False,-3.9899,5.014,1,2,1,50.0,19.236097367900253,19.236097367900253,11.757725520013034,3.2422744799869654,历史1/2次成功; 当前距低点3.24%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
