rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.20026240829576,80.64518561391539,688183,生益电子,bottom_area,2022-09-20,9.65,2022-09-19,9.51,1.4721345951629923,2.73396424815983,28.28054298642534,False,1.153,0.2899,1,1,1,100.0,26.24544349939247,26.24544349939247,18.52786540483701,1.4721345951629923,历史1/1次成功; 当前距低点1.47%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
12,85.03320783025961,76.15529868749236,688280,精进电动,bottom_area,2022-09-20,9.23,2022-09-19,8.88,3.9414414414414374,5.292792792792779,29.411764705882348,False,3.3595,1.7414,1,1,1,100.0,32.37518910741301,32.37518910741301,16.058558558558563,3.9414414414414374,历史1/1次成功; 当前距低点3.94%; 最新日涨幅3.36%; 状态bottom_area; 底部未确认
13,83.412,69.51,002110,三钢闽光,bottom_area,2022-09-20,5.06,2022-09-19,5.06,0.0,2.7667984189723436,31.897711978465683,False,-0.1972,0.1789,1,1,1,100.0,22.90322580645161,22.90322580645161,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
14,82.36387732484816,74.18805126686689,002012,凯恩股份,bottom_area,2022-09-20,5.39,2022-09-19,5.17,4.255319148936165,4.255319148936165,31.523178807947016,False,2.4715,2.2903,1,1,1,100.0,25.646123260437374,25.646123260437374,15.744680851063835,4.255319148936165,历史1/1次成功; 当前距低点4.26%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
15,73.99329382243758,64.39026319131852,603229,奥翔药业,bottom_area,2022-09-20,25.52,2022-09-19,24.93,2.3666265543521856,4.011231448054553,28.669527896995717,False,2.2026,1.6767,1,2,1,50.0,41.48479427549196,41.48479427549196,17.633373445647816,2.3666265543521856,历史1/2次成功; 当前距低点2.37%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
16,72.32061939180568,62.645012851940706,688079,美迪凯,bottom_area,2022-09-20,9.66,2022-09-19,9.46,2.1141649048625717,3.0655391120507307,29.13857677902621,False,1.5773,0.3106,1,2,1,50.0,29.007036747458958,29.007036747458958,17.885835095137427,2.1141649048625717,历史1/2次成功; 当前距低点2.11%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
17,69.63405992999395,60.773464902220866,600215,派斯林,bottom_area,2022-09-20,6.9,2022-09-16,6.73,2.5260029717682007,4.606240713224363,29.1578947368421,False,0.7299,0.8126,1,2,1,50.0,23.993288590604024,23.993288590604024,17.4739970282318,2.5260029717682007,历史1/2次成功; 当前距低点2.53%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
18,67.475125,59.536875,000545,金浦钛业,bottom_area,2022-09-20,3.96,2022-09-19,3.84,3.1250000000000027,3.645833333333337,28.22429906542056,False,2.5907,1.4446,1,2,1,50.0,24.6875,24.6875,16.875,3.1250000000000027,历史1/2次成功; 当前距低点3.13%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
19,66.7900386870459,56.67369230769233,601686,友发集团,bottom_area,2022-09-20,6.14,2022-09-19,6.08,0.9868421052631514,2.796052631578946,28.722157092614296,False,0.491,0.4264,1,2,1,50.0,22.923076923076927,22.923076923076927,19.01315789473685,0.9868421052631514,历史1/2次成功; 当前距低点0.99%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
20,65.83366425814692,57.765502645502664,000421,南京公用,bottom_area,2022-09-20,5.47,2022-09-19,5.32,2.819548872180441,4.323308270676683,27.520435967302447,False,1.6729,3.1694,1,3,1,33.33333333333333,30.864197530864196,30.864197530864196,17.18045112781956,2.819548872180441,历史1/3次成功; 当前距低点2.82%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
21,65.17994748732507,57.02322699202561,002316,亚联发展,bottom_area,2022-09-20,3.09,2022-09-20,3.01,2.657807308970102,3.3222591362126277,27.990430622009573,False,0.0,3.843,1,3,1,33.33333333333333,24.890829694323134,24.890829694323134,17.3421926910299,2.657807308970102,历史1/3次成功; 当前距低点2.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,64.9939041492138,55.549377966651434,688202,美迪西,bottom_area,2022-09-20,235.56,2022-09-19,232.35,1.3815364751452583,4.140305573488274,29.26725318883376,False,-0.5446,1.63,1,3,1,33.33333333333333,23.795418261555337,23.795418261555337,18.618463524854743,1.3815364751452583,历史1/3次成功; 当前距低点1.38%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
23,64.37097785312102,54.90892943279819,688026,洁特生物,bottom_area,2022-09-20,31.0,2022-09-20,30.61,1.27409343351846,3.2015681149951014,29.599816007359703,False,-0.6092,0.463,1,4,1,25.0,20.423991726990696,20.423991726990696,18.72590656648154,1.27409343351846,历史1/4次成功; 当前距低点1.27%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
24,61.50990585102975,56.114300074623614,300484,蓝海华腾,bottom_area,2022-09-20,11.44,2022-09-19,10.9,4.954128440366964,5.596330275229352,28.52459016393442,False,3.6232,1.787,1,2,1,50.0,28.708133971291865,28.708133971291865,15.045871559633037,4.954128440366964,历史1/2次成功; 当前距低点4.95%; 最新日涨幅3.62%; 状态bottom_area; 底部未确认
25,60.856533784322146,51.02045850527281,688027,国盾量子,bottom_area,2022-09-20,91.5,2022-09-20,91.2,0.3289473684210495,1.9736842105263126,28.749999999999996,False,-0.3159,0.5826,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,19.67105263157895,0.3289473684210495,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
26,59.88571024430558,53.77428058234068,603033,三维股份,bottom_area,2022-09-20,17.07,2022-09-19,16.4,4.085365853658547,4.5121951219512315,30.508474576271194,False,2.9554,0.2231,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,15.914634146341456,4.085365853658547,历史1/3次成功; 当前距低点4.09%; 最新日涨幅2.96%; 状态bottom_area; 底部未确认
27,58.02797643062417,52.48008204320015,600367,红星发展,bottom_area,2022-09-20,19.6,2022-09-19,18.76,4.477611940298506,5.7569296375266426,27.483571704677228,False,3.5394,3.1484,1,4,1,25.0,24.161490683229793,24.161490683229793,15.522388059701495,4.477611940298506,历史1/4次成功; 当前距低点4.48%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
