rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.2239477025095,84.31723785166244,000957,中通客车,bottom_area,2024-01-19,8.03,2024-01-18,7.82,2.6854219948848983,5.1150895140665,28.125,False,-0.7417,0.9722,3,3,3,100.0,132.3344468028054,354.54545454545456,12.3145780051151,2.6854219948848983,历史3/3次成功; 当前距低点2.69%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
12,81.99127662011686,75.2782697822191,300353,东土科技,bottom_area,2024-01-19,8.13,2024-01-18,7.9,2.9113924050632964,4.936708860759478,27.985414767547862,False,-1.0949,1.1607,2,2,2,100.0,20.840024009480672,21.377672209026137,12.088607594936702,2.9113924050632964,历史2/2次成功; 当前距低点2.91%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
13,81.96920191902151,75.81648277692351,688010,福光股份,bottom_area,2024-01-19,21.86,2024-01-18,21.16,3.3081285444234374,6.568998109640835,29.46666666666667,False,-2.8444,0.8797,2,2,2,100.0,28.59685945273632,42.08955223880597,11.691871455576562,3.3081285444234374,历史2/2次成功; 当前距低点3.31%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
14,81.66584505752868,73.63101061216281,601995,中金公司,bottom_area,2024-01-19,32.61,2024-01-18,31.99,1.9381056580181337,4.126289465457968,29.381898454746135,False,-1.6883,0.3747,1,1,1,100.0,16.719846841097638,16.719846841097638,13.061894341981867,1.9381056580181337,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
15,81.45173345450864,74.60884399750825,688280,精进电动,bottom_area,2024-01-19,6.64,2024-01-18,6.46,2.786377708978324,5.572755417956661,28.22222222222222,False,-0.4498,0.9208,1,1,1,100.0,32.37518910741301,32.37518910741301,12.213622291021675,2.786377708978324,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
16,81.18412675050315,73.42022166376071,002765,蓝黛科技,bottom_area,2024-01-19,5.83,2024-01-18,5.71,2.101576182136604,5.078809106830123,28.17610062893082,False,-1.1864,1.1975,3,4,3,75.0,21.75707182275358,28.213879408418663,12.898423817863394,2.101576182136604,历史3/4次成功; 当前距低点2.10%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
17,80.6969815174688,70.26282900161867,001366,播恩集团,bottom_area,2024-01-19,14.35,2024-01-19,14.34,0.06973500697349921,3.2078103207810384,30.99133782483157,False,-2.8436,5.1413,1,1,1,100.0,15.547445255474459,15.547445255474459,14.930264993026501,0.06973500697349921,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
18,79.83416298785055,73.24547926356054,000021,深科技,bottom_area,2024-01-19,12.89,2024-01-18,12.53,2.8731045490822127,5.26735833998404,29.606741573033712,False,-0.3864,1.2427,1,1,1,100.0,26.108374384236456,26.108374384236456,12.126895450917786,2.8731045490822127,历史1/1次成功; 当前距低点2.87%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
19,78.34675649999568,69.09892980437284,002195,岩山科技,bottom_area,2024-01-19,2.66,2024-01-18,2.64,0.7575757575757582,4.166666666666662,32.30769230769231,False,-1.845,1.3407,1,1,1,100.0,17.72151898734177,17.72151898734177,14.242424242424242,0.7575757575757582,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
20,77.99517309834887,68.80687386276927,600360,华微电子,bottom_area,2024-01-19,6.53,2024-01-18,6.48,0.7716049382716021,4.3209876543209775,27.10911136107986,False,-2.6826,1.278,1,1,1,100.0,16.32329635499208,16.32329635499208,14.228395061728397,0.7716049382716021,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
21,77.92270400074075,71.42574021672513,605123,派克新材,bottom_area,2024-01-19,69.92,2024-01-19,68.0,2.8235294117647083,4.014705882352947,29.313929313929314,False,-0.6818,1.2519,1,1,1,100.0,15.71713589004656,15.71713589004656,12.176470588235292,2.8235294117647083,历史1/1次成功; 当前距低点2.82%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
22,75.89607012086896,70.21693400349649,605378,野马电池,bottom_area,2024-01-19,23.64,2024-01-18,22.88,3.3216783216783288,7.342657342657341,27.868852459016395,False,-0.0423,13.6068,1,1,1,100.0,15.324519230769235,15.324519230769235,11.678321678321671,3.3216783216783288,历史1/1次成功; 当前距低点3.32%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
23,73.78865270541841,68.71052898955581,688107,安路科技,bottom_area,2024-01-19,31.08,2024-01-18,29.98,3.6691127418278784,6.50433622414943,27.584541062801925,False,0.2257,0.6736,2,4,2,50.0,47.34465613399662,67.95615731785945,11.33088725817212,3.6691127418278784,历史2/4次成功; 当前距低点3.67%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
24,73.32696789367859,65.87693664633551,002761,浙江建投,bottom_area,2024-01-19,9.32,2024-01-18,9.16,1.746724890829696,4.257641921397386,28.881987577639755,False,-1.4799,0.9495,2,4,2,50.0,31.018652674339886,43.73730534867976,13.253275109170303,1.746724890829696,历史2/4次成功; 当前距低点1.75%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
25,72.12135737872985,65.80944518346081,002146,荣盛发展,bottom_area,2024-01-19,1.59,2024-01-18,1.55,2.5806451612903247,3.8709677419354875,30.180180180180184,False,0.0,1.1427,2,4,2,50.0,18.404925544100795,19.587628865979376,12.419354838709674,2.5806451612903247,历史2/4次成功; 当前距低点2.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,71.26793325838898,65.89334356447003,688311,盟升电子,bottom_area,2024-01-19,37.7,2024-01-18,36.5,3.28767123287672,7.452054794520545,30.871212121212118,True,-1.8996,1.8316,2,3,2,66.66666666666666,21.357888756786508,23.893805309734503,11.712328767123278,3.28767123287672,历史2/3次成功; 当前距低点3.29%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
27,69.94869421880723,61.628426830775105,603222,济民健康,bottom_area,2024-01-19,7.17,2024-01-18,7.12,0.7022471910112335,4.353932584269658,29.504950495049503,False,-1.3755,0.9088,4,8,4,50.0,35.21263670043394,68.46504559270518,14.297752808988767,0.7022471910112335,历史4/8次成功; 当前距低点0.70%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
28,69.55818367035947,61.41508978222981,002395,双象股份,bottom_area,2024-01-19,17.29,2024-01-19,17.15,0.8163265306122482,4.781341107871722,28.272689251359267,False,-5.364,8.3612,2,3,2,66.66666666666666,26.23466454494123,36.59976387249114,14.18367346938775,0.8163265306122482,历史2/3次成功; 当前距低点0.82%; 最新日涨幅-5.36%; 状态bottom_area; 底部未确认
29,69.5217293026654,60.9904492466451,603348,文灿股份,bottom_area,2024-01-19,29.74,2024-01-18,29.6,0.47297297297296287,4.189189189189184,27.272727272727277,False,-2.6514,0.972,2,4,2,50.0,28.97219153238415,31.539888682745836,14.527027027027037,0.47297297297296287,历史2/4次成功; 当前距低点0.47%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
30,69.23953997917461,61.1611689179312,300609,汇纳科技,bottom_area,2024-01-19,22.8,2024-01-18,22.61,0.8403361344537872,4.820875718708535,31.69184290030212,False,-2.2718,2.2043,2,4,2,50.0,34.393200561751826,49.87035436473638,14.159663865546213,0.8403361344537872,历史2/4次成功; 当前距低点0.84%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
31,68.91127067644794,62.744550745956374,300454,深信服,bottom_area,2024-01-19,63.19,2024-01-18,61.67,2.4647316361277705,4.394357061780434,32.21587162013629,False,-0.9251,0.8773,2,4,2,50.0,22.979241270579003,29.49391262831224,12.535268363872229,2.4647316361277705,历史2/4次成功; 当前距低点2.46%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
32,67.88520563856713,60.581261932535035,688068,热景生物,bottom_area,2024-01-19,35.79,2024-01-18,35.3,1.3881019830028385,5.127478753541084,28.686868686868692,False,-2.6122,0.9912,1,2,1,50.0,31.484593837534998,31.484593837534998,13.611898016997163,1.3881019830028385,历史1/2次成功; 当前距低点1.39%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
33,66.07585192929021,58.36371970456911,688079,美迪凯,bottom_area,2024-01-19,9.63,2024-01-18,9.55,0.8376963350785347,5.235602094240837,32.173295454545446,False,-3.2161,2.4038,2,4,2,50.0,29.53584595993638,30.064655172413808,14.162303664921467,0.8376963350785347,历史2/4次成功; 当前距低点0.84%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
34,64.8243680811174,59.68868278855521,688156,路德科技,bottom_area,2024-01-19,21.85,2024-01-18,21.2,3.0660377358490667,3.820754716981143,29.591497841248753,False,0.3675,0.6428,1,3,1,33.33333333333333,44.22535211267606,44.22535211267606,11.933962264150932,3.0660377358490667,历史1/3次成功; 当前距低点3.07%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
35,64.45082860066717,57.93617173524153,603229,奥翔药业,bottom_area,2024-01-19,11.45,2024-01-18,11.25,1.7777777777777715,3.911111111111107,28.707224334600756,False,-1.7167,0.5054,1,3,1,33.33333333333333,41.48479427549196,41.48479427549196,13.222222222222227,1.7777777777777715,历史1/3次成功; 当前距低点1.78%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
36,64.17701636057336,57.61860898089283,603306,华懋科技,bottom_area,2024-01-19,21.99,2024-01-18,21.62,1.7113783533764915,4.995374653098975,30.926517571884983,False,-2.1797,1.3614,1,2,1,50.0,19.519094766619503,19.519094766619503,13.288621646623508,1.7113783533764915,历史1/2次成功; 当前距低点1.71%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
37,63.2952768579859,55.92290513833995,603037,凯众股份,bottom_area,2024-01-19,17.75,2024-01-18,17.6,0.8522727272727191,3.9204545454545325,29.543634907926336,False,-2.1499,1.796,1,2,1,50.0,39.71014492753625,39.71014492753625,14.14772727272728,0.8522727272727191,历史1/2次成功; 当前距低点0.85%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
38,63.26970201559368,57.953597199515784,688326,经纬恒润,bottom_area,2024-01-19,86.34,2024-01-18,84.0,2.7857142857142896,6.476190476190473,29.11392405063291,False,-1.8864,0.9204,1,2,1,50.0,34.48938586529221,34.48938586529221,12.21428571428571,2.7857142857142896,历史1/2次成功; 当前距低点2.79%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
39,62.55057069353823,56.667435936416254,605080,浙江自然,bottom_area,2024-01-19,20.95,2024-01-18,20.5,2.195121951219509,6.243902439024396,27.56183745583039,False,-0.5223,7.5839,1,2,1,50.0,20.335021425788852,20.335021425788852,12.804878048780491,2.195121951219509,历史1/2次成功; 当前距低点2.20%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
40,62.28324878832505,56.79046809170065,688105,诺唯赞,bottom_area,2024-01-19,27.44,2024-01-18,26.76,2.541106128550074,5.231689088191325,30.88842975206611,False,-0.3631,0.5913,1,2,1,50.0,25.237580993520524,25.237580993520524,12.458893871449925,2.541106128550074,历史1/2次成功; 当前距低点2.54%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
41,61.88288329519648,56.78057305879434,601011,宝泰隆,bottom_area,2024-01-19,2.86,2024-01-18,2.78,2.8776978417266217,4.676258992805768,31.527093596059114,False,-1.0381,1.0436,1,2,1,50.0,29.31034482758621,29.31034482758621,12.122302158273378,2.8776978417266217,历史1/2次成功; 当前距低点2.88%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
42,61.293442999323986,53.75131086648204,300370,安控科技,bottom_area,2024-01-19,2.22,2024-01-18,2.21,0.45248868778281587,3.6199095022624466,28.246753246753247,False,-2.2026,0.7893,1,2,1,50.0,23.13432835820894,23.13432835820894,14.547511312217184,0.45248868778281587,历史1/2次成功; 当前距低点0.45%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
43,61.28541745381957,55.64518501232445,688047,龙芯中科,bottom_area,2024-01-19,91.5,2024-01-18,89.43,2.314659510231458,5.24432517052443,28.082026537997578,False,-2.6596,0.7877,1,2,1,50.0,16.304347826086957,16.304347826086957,12.68534048976854,2.314659510231458,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
44,60.918717453892896,55.8964568903911,603078,江化微,bottom_area,2024-01-19,13.94,2024-01-18,13.55,2.8782287822878136,5.018450184501843,28.609062170706007,False,-0.2861,1.2424,1,2,1,50.0,24.563540397888758,24.563540397888758,12.121771217712185,2.8782287822878136,历史1/2次成功; 当前距低点2.88%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
45,60.7270019845264,52.9508182260387,600399,抚顺特钢,bottom_area,2024-01-19,6.84,2024-01-18,6.83,0.14641288433381827,3.6603221083455346,32.70935960591133,False,-2.5641,1.8213,1,2,1,50.0,15.078707539353772,15.078707539353772,14.853587115666182,0.14641288433381827,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
46,60.463202543665176,55.8068707575478,601777,千里科技,bottom_area,2024-01-19,3.23,2024-01-18,3.13,3.1948881789137404,4.792332268370604,32.104121475054235,False,-0.3086,0.2481,1,2,1,50.0,27.96352583586626,27.96352583586626,11.805111821086259,3.1948881789137404,历史1/2次成功; 当前距低点3.19%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
47,60.25955280697547,55.99884457807096,300657,弘信电子,bottom_area,2024-01-19,16.58,2024-01-18,16.01,3.560274828232334,5.933791380387253,28.04494382022471,False,-0.2407,2.3012,1,2,1,50.0,33.47457627118643,33.47457627118643,11.439725171767664,3.560274828232334,历史1/2次成功; 当前距低点3.56%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
48,57.517322190547574,52.650280511745294,688027,国盾量子,bottom_area,2024-01-19,101.6,2024-01-18,98.88,2.750809061488672,6.189320388349519,31.189979123173277,False,-2.2889,0.5516,1,4,1,25.0,26.382393397524062,26.382393397524062,12.249190938511328,2.750809061488672,历史1/4次成功; 当前距低点2.75%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
49,56.78292016196359,50.06340125903124,002641,公元股份,bottom_area,2024-01-19,5.45,2024-01-19,5.41,0.739371534195934,5.175600739371538,31.257941550190598,False,-5.5459,8.9625,1,2,1,50.0,17.038539553752532,17.038539553752532,14.260628465804064,0.739371534195934,历史1/2次成功; 当前距低点0.74%; 最新日涨幅-5.55%; 状态bottom_area; 底部未确认
50,56.67719869765791,51.87507375643226,603160,汇顶科技,bottom_area,2024-01-19,59.9,2024-01-18,58.3,2.7444253859348224,4.768439108061752,27.125000000000004,False,-0.6469,0.6112,1,3,1,33.33333333333333,20.747474747474755,20.747474747474755,12.255574614065177,2.7444253859348224,历史1/3次成功; 当前距低点2.74%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
51,56.45634263156949,51.450314241232384,688356,键凯科技,bottom_area,2024-01-19,93.83,2024-01-18,91.53,2.512837321096905,5.4736152081284875,28.391488030042243,False,-0.1809,0.3875,1,3,1,33.33333333333333,15.625,15.625,12.487162678903095,2.512837321096905,历史1/3次成功; 当前距低点2.51%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
52,56.10964676880585,49.096963776117114,603123,翠微股份,bottom_area,2024-01-19,9.0,2024-01-18,8.97,0.3344481605351099,3.5674470457078984,30.303030303030294,False,-2.5974,1.5515,1,3,1,33.33333333333333,16.108452950558224,16.108452950558224,14.665551839464891,0.3344481605351099,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
53,55.68249962071703,51.442082589398574,300678,中科信息,bottom_area,2024-01-19,26.41,2024-01-18,25.58,3.244722439405793,6.293979671618464,30.564603691639537,False,-1.7119,2.3252,1,3,1,33.33333333333333,24.552238805970156,24.552238805970156,11.755277560594207,3.244722439405793,历史1/3次成功; 当前距低点3.24%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
