rank,code,name,rank_score,probability_score,current_drawdown_pct,current_low_to_latest_pct,latest_turn,latest_pct_chg,current_stage,current_is_bottom_confirmed,latest_close,current_low_price,current_top_price,history_success_rate_pct,history_sample_count,history_success_count,reason
106,002243,力合科创,72.92571814452583,62.57151581311212,27.97494780793319,1.5942028985507162,1.7527164856260171,0.0,bottom_area,False,7.01,6.9,9.58,50.0,2,1,历史1/2次成功; 当前距低点1.59%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
107,600880,博瑞传播,72.74371498257845,63.75571428571432,27.45454545454545,2.7568922305764265,1.7508024387763177,1.7369727047146233,bottom_area,False,4.1,3.99,5.5,50.0,2,1,历史1/2次成功; 当前距低点2.76%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
108,300423,昇辉科技,72.63875205871865,63.8961979476396,30.80625752105897,2.9565217391304333,2.9108350702150405,1.718213058419238,bottom_area,False,5.92,5.75,8.31,40.0,5,2,历史2/5次成功; 当前距低点2.96%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
109,600421,退市华嵘,72.5654129384445,60.47117744870375,27.77777777777777,0.0,3.4430981595092023,-3.703703703703709,bottom_area,True,0.26,0.26,0.36,50.0,6,3,历史3/6次成功; 当前距低点0.00%; 最新日涨幅-3.70%; 状态bottom_area; 底部已确认
110,002162,悦心健康,72.52211589937781,63.92895548702916,27.67676767676768,3.0726256983240186,1.256306433662983,0.2717391304347671,bottom_area,False,3.69,3.58,4.95,40.0,5,2,历史2/5次成功; 当前距低点3.07%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
111,603275,众辰科技,72.46475893744983,63.30033427448549,30.845323741007192,2.5747724317295053,2.717401708067397,0.9211873080859688,bottom_area,False,39.44,38.45,55.6,50.0,2,1,历史1/2次成功; 当前距低点2.57%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
112,600775,南京熊猫,71.95629493085016,62.787690130618536,27.44525547445256,2.5150905432595576,1.8542551089692891,1.59521435692922,bottom_area,False,10.19,9.94,13.7,50.0,2,1,历史1/2次成功; 当前距低点2.52%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
113,300436,广生堂,71.76262754901796,64.0246316165951,29.971614626815835,3.731521220791618,4.539576594356721,1.5878575598365474,bottom_area,False,87.01,83.88,119.78,37.5,8,3,历史3/8次成功; 当前距低点3.73%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
114,300384,三联虹普,71.75223128079966,63.27050643776826,28.307692307692307,3.090128755364802,1.332766982516388,2.387041773231036,bottom_area,False,12.01,11.65,16.25,50.0,2,1,历史1/2次成功; 当前距低点3.09%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
115,000818,航锦科技,71.47259968048039,61.84840830012236,27.65196662693683,2.059308072487644,4.21744438586292,-0.1611603545527806,bottom_area,False,12.39,12.14,16.78,50.0,2,1,历史1/2次成功; 当前距低点2.06%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
116,688251,井松智能,71.46327189681202,65.09145057472884,31.49439224007275,4.867256637168132,1.8379773096992813,0.5089058524172962,bottom_area,False,23.7,22.6,32.99,50.0,4,2,历史2/4次成功; 当前距低点4.87%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
117,600216,浙江医药,71.36371464780122,62.82643402141126,30.88322465915827,3.0017152658662063,2.431201862144728,2.2998296422487297,bottom_area,False,12.01,11.66,16.87,50.0,2,1,历史1/2次成功; 当前距低点3.00%; 最新日涨幅2.30%; 状态bottom_area; 底部未确认
118,000932,华菱钢铁,71.33639020384098,63.38078167115904,29.867674858223065,3.504043126684633,2.229768131209142,2.127659574468077,bottom_area,False,3.84,3.71,5.29,50.0,2,1,历史1/2次成功; 当前距低点3.50%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
119,002558,巨人网络,71.29489556121104,59.41241296767586,29.291101055806934,0.0,4.175343855933406,-0.8879492600422756,bottom_area,False,23.44,23.44,33.15,50.0,4,2,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
120,300617,安靠智电,71.06481482483758,62.84698249364641,28.47297297297297,3.2495749102588305,5.086461086476271,1.9589552238805876,bottom_area,True,54.65,52.93,74.0,50.0,2,1,历史1/2次成功; 当前距低点3.25%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
121,603079,圣达生物,70.74737817075645,63.77585012640446,31.17808219178082,4.299363057324833,1.0165603189645802,2.584181675802655,bottom_area,False,13.1,12.56,18.25,50.0,4,2,历史2/4次成功; 当前距低点4.30%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
122,601226,华电科工,70.69683840315099,62.353289367449335,28.35978835978836,3.101920236336793,1.0336822670819,1.8978102189781243,bottom_area,False,6.98,6.77,9.45,50.0,2,1,历史1/2次成功; 当前距低点3.10%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
