rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,77.54556311863905,75.7421779298335,301499,维科精密,bottom_area,2024-10-15,26.46,2024-10-14,25.5,3.7647058823529442,8.78431372549019,29.166666666666668,True,-3.6066,13.0989,3,3,3,100.0,18.148964202140924,21.950454687989964,6.235294117647056,3.7647058823529442,历史3/3次成功; 当前距低点3.76%; 最新日涨幅-3.61%; 状态bottom_area; 底部已确认
13,77.24717913336134,71.96094833174058,688236,春立医疗,bottom_area,2024-10-15,12.66,2024-10-14,12.5,1.2800000000000011,4.8799999999999955,27.912341407151096,False,-2.4653,4.0934,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,8.72,1.2800000000000011,历史2/3次成功; 当前距低点1.28%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
14,77.19031164307609,72.78121097802509,300413,芒果超媒,bottom_area,2024-10-15,23.44,2024-10-14,23.0,1.913043478260875,5.782608695652167,27.12294043092522,False,-1.9247,2.3807,1,1,1,100.0,11.843817787418656,11.843817787418656,8.086956521739125,1.913043478260875,历史1/1次成功; 当前距低点1.91%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
15,77.18922724872381,73.32976588628762,600376,首开股份,bottom_area,2024-10-15,2.66,2024-10-10,2.6,2.3076923076923097,7.307692307692306,27.97783933518005,True,-3.2727,2.3406,1,1,1,100.0,20.652173913043484,20.652173913043484,7.692307692307692,2.3076923076923097,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-3.27%; 状态bottom_area; 底部已确认
16,76.99179724844178,70.27785248911485,300662,科锐国际,bottom_area,2024-10-15,18.81,2024-10-15,18.77,0.2131060202450674,5.487480021310608,29.062736205593353,False,-5.6197,5.9678,1,1,1,100.0,27.600721587492483,27.600721587492483,9.786893979754934,0.2131060202450674,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
17,76.08875379345747,73.43930861240129,301607,富特科技,bottom_area,2024-10-15,44.35,2024-10-14,43.0,3.139534883720933,9.97674418604651,28.92561983471074,True,-4.1081,25.7467,1,1,1,100.0,31.437893264973205,31.437893264973205,6.860465116279067,3.139534883720933,历史1/1次成功; 当前距低点3.14%; 最新日涨幅-4.11%; 状态bottom_area; 底部已确认
18,75.48998799356721,69.34727574259827,300763,锦浪科技,bottom_area,2024-10-15,71.71,2024-10-11,71.32,0.546831183398767,7.922041503084698,27.068207383168026,False,-3.1208,3.6502,3,4,3,75.0,30.855112047029355,36.020348268440614,9.453168816601233,0.546831183398767,历史3/4次成功; 当前距低点0.55%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
19,75.37035984261918,71.98472797778848,301568,思泰克,bottom_area,2024-10-15,33.7,2024-10-14,32.85,2.587519025875195,9.467275494672753,27.25863596102745,True,-4.7215,20.0872,1,1,1,100.0,16.85092127303183,16.85092127303183,7.412480974124806,2.587519025875195,历史1/1次成功; 当前距低点2.59%; 最新日涨幅-4.72%; 状态bottom_area; 底部已确认
20,73.64777234002483,69.2355777916651,688202,美迪西,bottom_area,2024-10-15,33.0,2024-10-14,32.43,1.75763182238668,8.171446191797713,27.724537552930684,True,-4.5691,4.5067,4,6,4,66.66666666666666,14.119955269032591,23.795418261555337,8.24236817761332,1.75763182238668,历史4/6次成功; 当前距低点1.76%; 最新日涨幅-4.57%; 状态bottom_area; 底部已确认
21,72.55245999698752,69.48350583695068,688315,诺禾致源,bottom_area,2024-10-15,11.66,2024-10-14,11.35,2.731277533039652,8.01762114537445,27.70700636942675,True,-3.5567,0.9655,3,5,3,60.0,41.83235813054352,86.2826357231662,7.268722466960348,2.731277533039652,历史3/5次成功; 当前距低点2.73%; 最新日涨幅-3.56%; 状态bottom_area; 底部已确认
22,71.71308000217208,66.10127812897953,688337,普源精电,bottom_area,2024-10-15,30.59,2024-10-14,30.37,0.7243990780375332,7.606190319394135,27.17026378896883,True,-5.2941,3.0736,3,5,3,60.0,38.886602295188766,54.46153846153845,9.275600921962468,0.7243990780375332,历史3/5次成功; 当前距低点0.72%; 最新日涨幅-5.29%; 状态bottom_area; 底部已确认
23,70.76025018287234,69.41509478126106,688173,希荻微,confirmed_rebound,2024-10-15,10.94,2024-10-14,10.52,3.9923954372623567,10.266159695817493,29.63210702341137,True,-3.0142,2.9529,5,6,5,83.33333333333334,16.58291959616071,23.120837297811605,6.007604562737644,3.9923954372623567,历史5/6次成功; 当前距低点3.99%; 最新日涨幅-3.01%; 状态confirmed_rebound; 底部已确认
24,69.79068792952792,68.64222516801281,688255,凯尔达,bottom_area,2024-10-15,20.68,2024-10-11,19.86,4.128902316213496,9.214501510574028,27.834302325581394,True,-3.1382,2.1768,1,1,1,100.0,17.774851876234372,17.774851876234372,5.871097683786504,4.128902316213496,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-3.14%; 状态bottom_area; 底部已确认
