rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.98902871890068,86.18983092009933,605208,永茂泰,bottom_area,2025-03-26,12.93,2025-03-26,12.8,1.0156249999999922,5.468749999999995,27.06552706552706,False,-0.9954,11.418,4,4,4,100.0,22.9325587102114,46.887631366208595,8.984375000000009,1.0156249999999922,历史4/4次成功; 当前距低点1.02%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
12,81.25667133587395,77.69473505813703,603315,福鞍股份,bottom_area,2025-03-26,13.96,2025-03-26,13.6,2.6470588235294206,6.323529411764715,29.788332472896233,False,-1.1331,9.5543,2,2,2,100.0,30.59155470851666,41.68490153172865,7.35294117647058,2.6470588235294206,历史2/2次成功; 当前距低点2.65%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
13,80.24310928721924,76.16208656441088,002927,泰永长征,bottom_area,2025-03-26,14.93,2025-03-25,14.6,2.2602739726027403,5.136986301369864,30.740037950664135,False,1.4956,7.4783,1,1,1,100.0,11.803823773898586,11.803823773898586,7.739726027397261,2.2602739726027403,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
14,80.22319236321813,77.04808644907915,002164,宁波东力,bottom_area,2025-03-26,8.93,2025-03-26,8.68,2.880184331797235,6.336405529953925,29.659643435980556,False,-3.2503,18.0908,3,3,3,100.0,23.5210039009507,45.468509984639034,7.119815668202765,2.880184331797235,历史3/3次成功; 当前距低点2.88%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
15,80.14076879475773,77.66097356973782,300605,恒锋信息,bottom_area,2025-03-26,14.5,2025-03-25,14.03,3.349964362081259,3.991446899501073,29.990019960079838,False,1.8974,5.7663,2,2,2,100.0,16.553184490769308,18.429752066115707,6.650035637918742,3.349964362081259,历史2/2次成功; 当前距低点3.35%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
16,79.97815378338493,74.97951917192336,002123,梦网科技,bottom_area,2025-03-26,15.12,2025-03-25,14.88,1.612903225806441,4.50268817204301,27.308255984367356,False,0.8672,4.5588,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,8.387096774193559,1.612903225806441,历史2/3次成功; 当前距低点1.61%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
17,79.7640773242956,76.78136500858639,300713,英可瑞,bottom_area,2025-03-26,17.17,2025-03-26,16.67,2.9994001199760043,4.9790041991601575,28.45493562231759,False,1.5976,9.9582,4,5,4,80.0,17.5268671082348,23.73271889400922,7.000599880023996,2.9994001199760043,历史4/5次成功; 当前距低点3.00%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
18,74.92423467188631,71.48248537600462,000409,云鼎科技,bottom_area,2025-03-26,12.15,2025-03-26,11.85,2.5316455696202596,3.797468354430389,29.464285714285722,False,1.0815,11.4885,2,3,2,66.66666666666666,28.86005703264586,46.53130287648054,7.4683544303797404,2.5316455696202596,历史2/3次成功; 当前距低点2.53%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
19,72.90435239533224,71.65812414925819,002196,方正电机,bottom_area,2025-03-26,9.66,2025-03-26,9.28,4.094827586206906,7.435344827586221,28.560431100846813,False,3.2051,18.3353,3,4,3,75.0,14.243715300053324,18.661971830985923,5.905172413793095,4.094827586206906,历史3/4次成功; 当前距低点4.09%; 最新日涨幅3.21%; 状态bottom_area; 底部未确认
20,71.59910186908377,71.4024992428831,300509,新美星,bottom_area,2025-03-26,7.99,2025-03-25,7.62,4.855643044619424,6.167979002624668,29.769585253456217,False,3.0968,3.8315,1,1,1,100.0,18.028846153846153,18.028846153846153,5.144356955380576,4.855643044619424,历史1/1次成功; 当前距低点4.86%; 最新日涨幅3.10%; 状态bottom_area; 底部未确认
21,68.6581619775963,64.19259046685835,605303,园林股份,bottom_area,2025-03-26,9.66,2025-03-25,9.52,1.4705882352941237,4.201680672268911,30.30746705710103,False,0.7299,3.6296,2,5,2,40.0,17.771675501768577,23.681489141675293,8.529411764705877,1.4705882352941237,历史2/5次成功; 当前距低点1.47%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
22,68.27326447271648,67.85627063085091,000608,阳光股份,bottom_area,2025-03-26,1.79,2025-03-26,1.71,4.678362573099419,6.432748538011701,27.234042553191497,False,-1.6484,7.6091,4,5,4,80.0,12.596437083427912,17.05426356589147,5.3216374269005815,4.678362573099419,历史4/5次成功; 当前距低点4.68%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
23,62.174668781719326,59.68106393227192,002599,盛通股份,bottom_area,2025-03-26,10.1,2025-03-25,9.82,2.851323828920564,4.582484725050909,27.313101406365654,False,2.5381,5.9961,1,2,1,50.0,22.107969151670947,22.107969151670947,7.148676171079436,2.851323828920564,历史1/2次成功; 当前距低点2.85%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
24,57.97032063227921,54.7409957057528,000779,甘咨询,bottom_area,2025-03-26,9.73,2025-03-26,9.54,1.9916142557652128,3.563941299790374,27.397260273972613,False,-3.5679,10.506,1,2,1,50.0,17.69825918762089,17.69825918762089,8.008385744234788,1.9916142557652128,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
