rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.65284075892441,82.79498452086443,000065,北方国际,confirmed_rebound,2024-08-12,9.34,2024-07-25,9.19,1.632208922742115,8.7051142546246,30.641509433962266,True,-1.3728,0.4338,3,3,3,100.0,29.926993896325044,41.48061104582843,6.367791077257885,1.632208922742115,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-1.37%; 状态confirmed_rebound; 底部已确认
12,78.7710745784818,78.102078992766,002563,森马服饰,bottom_area,2024-08-12,4.95,2024-07-30,4.78,3.5564853556485336,7.531380753138063,29.080118694362017,True,0.8147,0.4457,1,1,1,100.0,28.929384965831446,28.929384965831446,4.443514644351467,3.5564853556485336,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
13,77.81768814391776,77.8046573569215,001218,丽臣实业,bottom_area,2024-08-12,14.33,2024-07-25,13.78,3.991291727140789,6.603773584905662,30.404040404040412,False,0.4205,1.0632,2,2,2,100.0,25.18711018711019,29.999999999999993,4.008708272859211,3.991291727140789,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
14,76.8530697781417,76.09901036757773,002552,宝鼎科技,confirmed_rebound,2024-08-12,10.98,2024-07-25,10.61,3.487276154571169,10.084825636192276,30.197368421052634,True,-1.0811,0.5945,1,1,1,100.0,52.23596574690771,52.23596574690771,4.512723845428831,3.487276154571169,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.08%; 状态confirmed_rebound; 底部已确认
15,76.42331490984417,72.06867142248107,002196,方正电机,bottom_area,2024-08-12,4.25,2024-08-12,4.21,0.9501187648456066,6.175771971496432,28.15699658703072,False,-3.8462,5.191,3,3,3,100.0,12.929796808220722,18.661971830985923,7.049881235154394,0.9501187648456066,历史3/3次成功; 当前距低点0.95%; 最新日涨幅-3.85%; 状态bottom_area; 底部未确认
16,73.98377434783565,73.36796454704731,600997,开滦股份,bottom_area,2024-08-12,6.1,2024-07-30,5.89,3.5653650254668925,5.942275042444831,30.70588235294118,False,0.4942,0.3289,1,1,1,100.0,12.77955271565495,12.77955271565495,4.4346349745331075,3.5653650254668925,历史1/1次成功; 当前距低点3.57%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
17,73.82484580621653,74.8266060835804,600210,紫江企业,confirmed_rebound,2024-08-12,4.9,2024-07-25,4.68,4.700854700854714,9.61538461538462,27.329192546583858,True,0.2045,0.5899,2,2,2,100.0,18.895455922199744,19.867549668874158,3.2991452991452856,4.700854700854714,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.20%; 状态confirmed_rebound; 底部已确认
18,73.79602349565265,73.90907753394549,300349,金卡智能,confirmed_rebound,2024-08-12,10.46,2024-07-25,10.05,4.079601990049753,9.55223880597014,32.59557344064386,True,-1.5992,1.0804,1,1,1,100.0,45.48693586698337,45.48693586698337,3.9203980099502473,4.079601990049753,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-1.60%; 状态confirmed_rebound; 底部已确认
19,72.21243986552469,68.0494167247184,002355,兴民智通,bottom_area,2024-08-12,4.42,2024-08-12,4.38,0.9132420091324209,6.164383561643846,28.8961038961039,False,-6.9474,7.1064,4,5,4,80.0,17.535529599679155,21.138211382113823,7.086757990867579,0.9132420091324209,历史4/5次成功; 当前距低点0.91%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
20,72.18178586557384,71.07058454371766,002706,良信股份,bottom_area,2024-08-12,6.14,2024-07-30,5.95,3.193277310924361,7.394957983193269,32.7683615819209,True,-1.2862,0.753,3,4,3,75.0,13.31320867002797,14.727153188691638,4.806722689075639,3.193277310924361,历史3/4次成功; 当前距低点3.19%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
21,71.7350221642764,66.42131681877444,301348,蓝箭电子,confirmed_rebound,2024-08-12,22.98,2024-08-12,22.98,0.0,15.317667536988683,32.90510948905109,False,-20.0139,8.8332,1,1,1,100.0,26.727509778357234,26.727509778357234,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.01%; 状态confirmed_rebound; 底部未确认
22,71.03358110964295,72.03547614169455,601163,三角轮胎,bottom_area,2024-08-12,14.84,2024-07-25,14.17,4.728299223712067,7.339449541284409,27.18396711202467,True,-1.1326,0.3179,2,2,2,100.0,16.48386221375298,20.655412115193645,3.2717007762879327,4.728299223712067,历史2/2次成功; 当前距低点4.73%; 最新日涨幅-1.13%; 状态bottom_area; 底部已确认
23,69.93052575110568,69.26870708801873,000726,鲁泰A,bottom_area,2024-08-12,5.61,2024-07-30,5.42,3.5055350553505606,4.797047970479701,28.211920529801326,False,-0.1779,0.62,1,1,1,100.0,12.480252764612954,12.480252764612954,4.494464944649439,3.5055350553505606,历史1/1次成功; 当前距低点3.51%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
24,69.0886175798703,70.06374109470767,002293,罗莱生活,bottom_area,2024-08-12,7.53,2024-07-30,7.19,4.728789986091792,5.146036161335177,29.78515625,False,0.4,0.1132,1,1,1,100.0,9.27624872579001,9.27624872579001,3.271210013908208,4.728789986091792,历史1/1次成功; 当前距低点4.73%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
25,68.71973029361493,69.1877420776804,603010,万盛股份,bottom_area,2024-08-12,8.87,2024-07-18,8.5,4.352941176470579,7.5294117647058885,27.78249787595582,True,-1.2249,0.203,1,1,1,100.0,13.238967527060783,13.238967527060783,3.6470588235294215,4.352941176470579,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
26,66.44750206792256,66.80533626649905,002372,伟星新材,bottom_area,2024-08-12,13.89,2024-07-30,13.32,4.279279279279281,6.906906906906906,29.3368700265252,False,-0.0719,0.3159,1,1,1,100.0,8.720930232558127,8.720930232558127,3.7207207207207187,4.279279279279281,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
27,66.36059005652622,61.444990793079825,002651,利君股份,bottom_area,2024-08-12,5.29,2024-08-12,5.29,0.0,4.914933837429108,27.134986225895315,False,-10.034,9.9093,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,8.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
28,65.96126508108458,66.97010171384896,600027,华电国际,confirmed_rebound,2024-08-12,5.47,2024-08-06,5.22,4.789272030651341,9.770114942528748,27.298050139275766,True,-0.5455,0.5789,1,1,1,100.0,16.87979539641944,16.87979539641944,3.210727969348659,4.789272030651341,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-0.55%; 状态confirmed_rebound; 底部已确认
29,65.95542547581154,66.63441025236682,000090,天健集团,confirmed_rebound,2024-08-12,3.69,2024-07-25,3.53,4.532577903682724,9.915014164305951,28.973843058350102,True,-2.381,0.8157,1,1,1,100.0,11.928429423459237,11.928429423459237,3.4674220963172764,4.532577903682724,历史1/1次成功; 当前距低点4.53%; 最新日涨幅-2.38%; 状态confirmed_rebound; 底部已确认
30,61.34564643203703,60.171381031613954,600058,五矿发展,confirmed_rebound,2024-08-12,6.19,2024-07-25,6.01,2.9950083194675643,8.153078202995012,31.85941043083901,True,-1.1182,0.2431,1,2,1,50.0,99.54954954954954,99.54954954954954,5.004991680532436,2.9950083194675643,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-1.12%; 状态confirmed_rebound; 底部已确认
