rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.9582207323258,89.0182953022956,605162,新中港,bottom_area,2025-02-05,6.79,2025-02-05,6.71,1.1922503725782425,1.7883755588673638,28.081457663451232,False,0.2954,1.8006,4,4,4,100.0,17.831323396634367,26.46502835538753,6.807749627421758,1.1922503725782425,历史4/4次成功; 当前距低点1.19%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
12,81.33421280043602,80.56948548061995,002571,德力股份,bottom_area,2025-02-05,4.13,2025-01-22,3.99,3.5087719298245528,6.265664160401002,28.749999999999993,False,1.2255,3.4509,3,3,3,100.0,17.47035204634371,28.291814946619215,4.491228070175447,3.5087719298245528,历史3/3次成功; 当前距低点3.51%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
13,80.30510036867655,78.25208917607642,000421,南京公用,bottom_area,2025-02-05,6.19,2025-02-05,6.03,2.6533996683250436,2.6533996683250436,30.046403712296975,False,1.1438,3.2511,5,6,5,83.33333333333334,13.970468207119307,30.864197530864196,5.346600331674957,2.6533996683250436,历史5/6次成功; 当前距低点2.65%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
14,78.59809738225631,76.5629724641092,001258,立新能源,bottom_area,2025-02-05,6.23,2025-01-13,6.07,2.6359143327841865,7.413509060955508,29.98846597462514,True,0.1608,1.4091,1,1,1,100.0,9.370199692780343,9.370199692780343,5.3640856672158135,2.6359143327841865,历史1/1次成功; 当前距低点2.64%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
15,78.36883732663432,72.6584380869557,300563,神宇股份,confirmed_rebound,2025-02-05,44.33,2025-02-05,44.3,0.0677200902934563,10.338600451467281,30.781250000000004,False,-14.75,19.2117,3,3,3,100.0,15.499139208735405,20.477137176938378,7.932279909706544,0.0677200902934563,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-14.75%; 状态confirmed_rebound; 底部未确认
16,77.69646549693414,73.99924120546092,300394,天孚通信,confirmed_rebound,2025-02-05,83.79,2025-02-05,82.58,1.4652458222329958,12.981351416807943,31.183333333333334,False,-16.875,8.6553,2,2,2,100.0,16.66667569974272,21.300481119696745,6.534754177767005,1.4652458222329958,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-16.88%; 状态confirmed_rebound; 底部未确认
17,74.76370192136577,72.78974279472905,600693,东百集团,bottom_area,2025-02-05,5.9,2025-02-05,5.75,2.6086956521739193,6.260869565217398,31.872037914691937,False,-4.065,9.906,1,1,1,100.0,30.632090761750412,30.632090761750412,5.391304347826082,2.6086956521739193,历史1/1次成功; 当前距低点2.61%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
18,71.55578408067674,70.49677647749697,688253,英诺特,bottom_area,2025-02-05,29.45,2025-01-24,28.53,3.2246757798808208,6.62460567823344,28.09979838709677,False,-0.1695,3.926,1,1,1,100.0,15.639985245296947,15.639985245296947,4.775324220119179,3.2246757798808208,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
19,68.82925530972393,64.69372181141276,300570,太辰光,confirmed_rebound,2025-02-05,95.75,2025-02-05,95.01,0.7788653825913008,16.93505946742447,27.661032434901777,False,-19.3752,18.1867,1,1,1,100.0,14.728682170542637,14.728682170542637,7.221134617408699,0.7788653825913008,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-19.38%; 状态confirmed_rebound; 底部未确认
20,68.16297784679082,69.26612473730344,001219,青岛食品,confirmed_rebound,2025-02-05,13.01,2025-01-13,12.41,4.834810636583398,11.361804995970992,29.287749287749286,True,-1.8113,1.6053,5,6,5,83.33333333333334,15.893331480539011,27.212020033388985,3.1651893634166024,4.834810636583398,历史5/6次成功; 当前距低点4.83%; 最新日涨幅-1.81%; 状态confirmed_rebound; 底部已确认
21,63.29934141416728,63.849603783195086,300476,胜宏科技,confirmed_rebound,2025-02-05,45.3,2025-02-05,43.37,4.450080700945354,14.134194143417114,29.226501305483033,False,-14.8976,10.9046,1,1,1,100.0,15.353697749196144,15.353697749196144,3.5499192990546464,4.450080700945354,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-14.90%; 状态confirmed_rebound; 底部未确认
22,58.46557828927669,58.08479588322014,300515,三德科技,bottom_area,2025-02-05,15.01,2025-02-05,14.48,3.6602209944751336,4.972375690607727,27.016129032258064,False,2.248,9.817,1,2,1,50.0,23.441396508728182,23.441396508728182,4.339779005524867,3.6602209944751336,历史1/2次成功; 当前距低点3.66%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
