rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.20754299965101,77.4827729483894,300552,万集科技,bottom_area,2022-08-25,22.15,2022-08-25,21.81,1.5589179275561664,5.41036221916552,32.497678737233066,False,-1.9912,2.8656,2,2,2,100.0,16.113472167835834,23.929299796057098,6.441082072443834,1.5589179275561664,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
12,75.64475759089878,74.24716391716393,000761,本钢板材,confirmed_rebound,2022-08-25,3.4,2022-07-15,3.3,3.030303030303033,8.484848484848492,31.818181818181817,True,0.295,0.1259,1,1,1,100.0,11.969111969111971,11.969111969111971,4.969696969696967,3.030303030303033,历史1/1次成功; 当前距低点3.03%; 最新日涨幅0.29%; 状态confirmed_rebound; 底部已确认
13,75.27809994777999,72.08874046641824,688160,步科股份,confirmed_rebound,2022-08-25,41.3,2022-08-25,40.59,1.7491993101749044,11.234294161123417,30.7928388746803,False,-7.4199,10.9061,1,1,1,100.0,26.542553191489354,26.542553191489354,6.250800689825095,1.7491993101749044,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-7.42%; 状态confirmed_rebound; 底部未确认
14,73.52930569694543,73.13653541416565,002043,兔宝宝,confirmed_rebound,2022-08-25,8.64,2022-08-04,8.33,3.7214885954381813,8.403361344537807,30.2928870292887,True,1.6471,1.4881,1,1,1,100.0,14.470588235294123,14.470588235294123,4.278511404561819,3.7214885954381813,历史1/1次成功; 当前距低点3.72%; 最新日涨幅1.65%; 状态confirmed_rebound; 底部已确认
15,73.42839733903023,71.10885562479983,002607,中公教育,bottom_area,2022-08-25,4.39,2022-08-25,4.29,2.3310023310023227,3.030303030303028,28.02013422818792,False,-0.2273,1.8266,3,4,3,75.0,12.142693223038266,18.337408312958438,5.668997668997678,2.3310023310023227,历史3/4次成功; 当前距低点2.33%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
16,72.97136501782532,71.13374331550804,603297,永新光学,bottom_area,2022-08-25,96.0,2022-08-25,93.5,2.6737967914438503,4.27807486631016,27.659574468085108,False,-0.8879,2.0247,1,1,1,100.0,12.31182795698925,12.31182795698925,5.326203208556151,2.6737967914438503,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
17,72.80958728671294,74.12084449659397,000715,中兴商业,bottom_area,2022-08-25,5.11,2022-08-03,4.87,4.928131416837787,7.802874743326487,27.421758569299552,True,0.5906,1.6758,1,1,1,100.0,24.33862433862435,24.33862433862435,3.0718685831622135,4.928131416837787,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.59%; 状态bottom_area; 底部已确认
18,72.09096917159425,69.59471949458849,688259,创耀科技,confirmed_rebound,2022-08-25,78.71,2022-08-25,77.04,2.1677050882658198,10.462097611630305,27.709486722342113,False,-6.8631,9.94,1,1,1,100.0,18.26390911739005,18.26390911739005,5.83229491173418,2.1677050882658198,历史1/1次成功; 当前距低点2.17%; 最新日涨幅-6.86%; 状态confirmed_rebound; 底部未确认
19,71.68467464371479,67.01926372568228,000561,烽火电子,bottom_area,2022-08-25,8.01,2022-08-25,7.97,0.5018820577164371,6.775407779171895,29.593639575971736,False,-4.9822,4.2202,1,1,1,100.0,13.621262458471767,13.621262458471767,7.498117942283564,0.5018820577164371,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
20,67.23581231081191,66.99158980620196,002077,大港股份,confirmed_rebound,2022-08-25,15.8,2022-08-25,15.22,3.8107752956636007,9.592641261498022,32.355555555555554,False,-4.3004,18.578,1,1,1,100.0,24.40944881889765,24.40944881889765,4.189224704336399,3.8107752956636007,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-4.30%; 状态confirmed_rebound; 底部未确认
21,66.32164742201165,64.16698217296057,688020,方邦股份,bottom_area,2022-08-25,48.84,2022-08-25,47.75,2.2827225130890123,6.638743455497385,29.23829282750445,False,-2.3786,2.3454,2,3,2,66.66666666666666,8.951198043746524,9.28211586901762,5.717277486910987,2.2827225130890123,历史2/3次成功; 当前距低点2.28%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
22,62.86650185012565,60.353750195099124,000625,长安汽车,bottom_area,2022-08-25,15.18,2022-08-25,14.9,1.879194630872479,3.3557046979865772,28.639846743295017,False,0.0659,2.8182,1,2,1,50.0,13.808139534883724,13.808139534883724,6.120805369127521,1.879194630872479,历史1/2次成功; 当前距低点1.88%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
