rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.22594795704772,86.46155685233465,002805,丰元股份,bottom_area,2024-06-11,10.82,2024-06-11,10.51,2.9495718363463417,3.1398667935299724,31.35205747877205,False,0.4643,1.4259,5,5,5,100.0,25.626777630130704,50.09389671361502,5.050428163653659,2.9495718363463417,历史5/5次成功; 当前距低点2.95%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
19,78.58069013768797,77.79619073531504,001322,箭牌家居,bottom_area,2024-06-11,8.33,2024-06-06,8.05,3.4782608695652093,6.211180124223602,28.634751773049633,False,0.6039,1.5524,2,2,2,100.0,18.85282536518115,26.897069872276486,4.521739130434791,3.4782608695652093,历史2/2次成功; 当前距低点3.48%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
20,77.59503029009832,77.39741985642235,688329,艾隆科技,bottom_area,2024-06-11,15.04,2024-06-06,14.48,3.867403314917118,6.767955801104975,29.674599320058277,False,0.3336,1.2716,2,2,2,100.0,21.479029109856874,21.72890326374596,4.132596685082882,3.867403314917118,历史2/2次成功; 当前距低点3.87%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
21,77.3194811402971,74.12523769100171,600201,生物股份,bottom_area,2024-06-11,7.89,2024-06-11,7.75,1.8064516129032218,2.580645161290325,29.223744292237434,False,-1.0038,1.6588,1,1,1,100.0,17.76315789473684,17.76315789473684,6.1935483870967785,1.8064516129032218,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
22,77.00757141938134,75.09791702086883,300364,中文在线,bottom_area,2024-06-11,19.82,2024-06-11,19.3,2.6943005181347126,3.523316062176164,28.41246290801187,False,-0.1511,3.9161,6,7,6,85.71428571428571,14.828306770746416,20.7773851590106,5.305699481865288,2.6943005181347126,历史6/7次成功; 当前距低点2.69%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
23,76.726912315271,76.09714285714288,002687,乔治白,bottom_area,2024-06-11,4.35,2024-06-06,4.2,3.5714285714285587,5.714285714285719,28.2051282051282,False,-2.027,1.7713,1,1,1,100.0,64.00000000000001,64.00000000000001,4.428571428571441,3.5714285714285587,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
24,76.35454708938404,73.03320308200331,600376,首开股份,bottom_area,2024-06-11,2.41,2024-06-06,2.37,1.6877637130801704,7.172995780590714,29.25373134328358,False,-3.2129,0.6163,1,1,1,100.0,20.652173913043484,20.652173913043484,6.31223628691983,1.6877637130801704,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
25,76.25155043310312,72.90022710914879,000833,粤桂股份,bottom_area,2024-06-11,4.89,2024-06-11,4.81,1.6632016632016646,2.494802494802497,32.06214689265538,False,-1.4113,1.6108,1,1,1,100.0,9.421112372304199,9.421112372304199,6.336798336798336,1.6632016632016646,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
26,76.02257569676698,72.69395763656632,688265,南模生物,bottom_area,2024-06-11,21.28,2024-06-06,20.93,1.6722408026755922,6.688963210702334,28.125000000000007,False,-1.1612,0.6405,1,1,1,100.0,8.422939068100368,8.422939068100368,6.327759197324408,1.6722408026755922,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
27,75.66343220576535,76.50930330149345,300572,安车检测,bottom_area,2024-06-11,11.65,2024-06-11,11.14,4.578096947935366,5.026929982046667,27.75616083009079,False,-1.3548,4.4357,5,5,5,100.0,14.55572227304341,31.306715063520883,3.4219030520646343,4.578096947935366,历史5/5次成功; 当前距低点4.58%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
28,75.27034328137647,73.82811955062019,300459,汤姆猫,bottom_area,2024-06-11,3.44,2024-06-11,3.34,2.994011976047907,3.5928143712574885,27.391304347826086,False,0.5848,2.3778,3,4,3,75.0,12.416488473168846,15.133531157270022,5.005988023952093,2.994011976047907,历史3/4次成功; 当前距低点2.99%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
29,75.24784601014244,75.21367092301348,688357,建龙微纳,bottom_area,2024-06-11,26.41,2024-06-06,25.4,3.976377952755912,5.511811023622056,32.012847965738764,False,0.5712,0.4124,4,5,4,80.0,21.074261587618047,31.65083135391925,4.023622047244088,3.976377952755912,历史4/5次成功; 当前距低点3.98%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
30,74.98094301424233,75.37124058769513,603217,元利科技,bottom_area,2024-06-11,15.14,2024-06-06,14.52,4.2699724517906406,6.404958677685949,29.37743190661478,False,1.5426,0.6502,2,2,2,100.0,15.520310633213857,19.81481481481482,3.7300275482093594,4.2699724517906406,历史2/2次成功; 当前距低点4.27%; 最新日涨幅1.54%; 状态bottom_area; 底部未确认
31,74.7691419771792,75.44695418590821,000701,厦门信达,confirmed_rebound,2024-06-11,3.74,2024-06-06,3.58,4.469273743016763,10.614525139664801,29.388560157790927,False,-0.7958,2.5101,4,4,4,100.0,17.72525978487319,30.161579892280066,3.530726256983237,4.469273743016763,历史4/4次成功; 当前距低点4.47%; 最新日涨幅-0.80%; 状态confirmed_rebound; 底部未确认
32,74.51658987372879,74.687303710782,603017,中衡设计,confirmed_rebound,2024-06-11,9.1,2024-06-06,8.74,4.1189931350114355,8.352402745995429,30.52464228934817,False,0.0,2.6841,1,1,1,100.0,36.87423687423689,36.87423687423689,3.881006864988565,4.1189931350114355,历史1/1次成功; 当前距低点4.12%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部未确认
33,74.12374092350561,72.94723544398185,300621,维业股份,bottom_area,2024-06-11,7.49,2024-06-06,7.26,3.168044077134992,6.473829201101937,32.02247191011236,False,-2.6008,1.324,1,1,1,100.0,28.120300751879686,28.120300751879686,4.831955922865008,3.168044077134992,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
34,72.78127676136668,73.76789379290022,002615,哈尔斯,bottom_area,2024-06-11,6.46,2024-06-06,6.17,4.700162074554296,6.807131280388978,27.41176470588235,False,2.0537,2.9205,1,1,1,100.0,28.84012539184954,28.84012539184954,3.2998379254457046,4.700162074554296,历史1/1次成功; 当前距低点4.70%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
35,72.65696266076495,71.29528691075771,000886,海南高速,bottom_area,2024-06-11,4.44,2024-06-06,4.31,3.0162412993039625,5.80046403712297,30.818619582664535,False,-0.8929,1.1643,1,1,1,100.0,17.378048780487816,17.378048780487816,4.983758700696038,3.0162412993039625,历史1/1次成功; 当前距低点3.02%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
36,72.61764321018545,73.85427289588395,002562,兄弟科技,confirmed_rebound,2024-06-11,3.01,2024-06-06,2.87,4.878048780487793,8.710801393728222,28.428927680798,False,0.6689,1.0424,2,2,2,100.0,25.033462986000675,33.466135458167344,3.1219512195122068,4.878048780487793,历史2/2次成功; 当前距低点4.88%; 最新日涨幅0.67%; 状态confirmed_rebound; 底部未确认
37,72.16087465598864,72.92179776308168,300464,星徽股份,bottom_area,2024-06-11,3.45,2024-06-06,3.3,4.5454545454545565,7.878787878787887,30.672268907563026,True,-1.4286,2.6624,2,2,2,100.0,19.007710358699292,23.68421052631579,3.4545454545454435,4.5454545454545565,历史2/2次成功; 当前距低点4.55%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
38,72.14889590113563,72.58655010026963,300697,电工合金,bottom_area,2024-06-11,10.88,2024-06-11,10.43,4.314477468839895,5.081495685522542,30.46666666666667,False,-4.4776,4.2187,3,3,3,100.0,17.115907146368755,31.64400494437578,3.685522531160105,4.314477468839895,历史3/3次成功; 当前距低点4.31%; 最新日涨幅-4.48%; 状态bottom_area; 底部未确认
39,72.14172589522968,72.61392228970337,002842,翔鹭钨业,confirmed_rebound,2024-06-11,5.29,2024-06-06,5.07,4.3392504930966425,10.059171597633132,29.87551867219917,True,-2.9358,2.9381,2,2,2,100.0,25.039857064321065,29.70588235294118,3.6607495069033575,4.3392504930966425,历史2/2次成功; 当前距低点4.34%; 最新日涨幅-2.94%; 状态confirmed_rebound; 底部已确认
40,71.70304290631599,71.7625351634463,603366,日出东方,bottom_area,2024-06-11,3.86,2024-06-06,3.71,4.043126684636116,5.39083557951483,29.198473282442748,False,-0.2584,0.7561,2,2,2,100.0,15.811096797938903,17.583732057416277,3.9568733153638846,4.043126684636116,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
41,71.68148858434651,73.06720383572181,001366,播恩集团,bottom_area,2024-06-11,11.98,2024-06-06,11.41,4.995617879053464,7.624890446976329,30.384380719951192,False,0.251,4.8594,2,2,2,100.0,12.028024730987703,15.547445255474459,3.004382120946536,4.995617879053464,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
42,71.38265518223713,70.69225806451614,600173,卧龙新能,bottom_area,2024-06-11,3.85,2024-06-06,3.72,3.4946236559139754,5.913978494623649,29.545454545454547,False,-1.5345,0.6683,1,1,1,100.0,20.000000000000004,20.000000000000004,4.505376344086025,3.4946236559139754,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
43,71.06571180217641,70.09058428996407,688059,华锐精密,bottom_area,2024-06-11,53.19,2024-06-11,51.5,3.281553398058248,3.9611650485436876,29.053588648574184,False,-0.8574,0.9856,3,4,3,75.0,18.320032459875705,38.29213483146067,4.718446601941753,3.281553398058248,历史3/4次成功; 当前距低点3.28%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
44,70.76652684650027,71.11484445197934,688015,交控科技,bottom_area,2024-06-11,18.13,2024-06-07,17.39,4.255319148936161,4.830362277170787,32.14982442450253,False,0.0,1.0641,1,1,1,100.0,9.123505976095615,9.123505976095615,3.744680851063839,4.255319148936161,历史1/1次成功; 当前距低点4.26%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
45,70.73518377062197,70.94948642649487,002319,乐通股份,bottom_area,2024-06-11,9.27,2024-06-07,8.9,4.157303370786508,5.617977528089887,29.14012738853503,False,-0.3226,1.2364,2,2,2,100.0,12.83945221445222,15.224358974358976,3.842696629213492,4.157303370786508,历史2/2次成功; 当前距低点4.16%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
46,70.33446813441483,65.12450753186559,002229,鸿博股份,bottom_area,2024-06-11,12.03,2024-06-11,12.03,0.0,0.0,27.002427184466026,False,-10.0224,1.7663,1,1,1,100.0,9.540363074546153,9.540363074546153,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
47,70.3309745133573,71.66952137957254,002786,银宝山新,confirmed_rebound,2024-06-11,8.01,2024-06-06,7.63,4.980340760157272,8.256880733944953,29.547553093259467,False,0.6281,2.0663,5,6,5,83.33333333333334,17.319166555902065,22.074688796680498,3.0196592398427278,4.980340760157272,历史5/6次成功; 当前距低点4.98%; 最新日涨幅0.63%; 状态confirmed_rebound; 底部未确认
48,69.44710088572151,70.24995754335991,002490,山东墨龙,bottom_area,2024-06-11,1.82,2024-06-11,1.74,4.5977011494252915,6.321839080459776,32.818532818532816,False,-0.5464,2.5166,2,2,2,100.0,14.47696862392244,14.885496183206094,3.4022988505747085,4.5977011494252915,历史2/2次成功; 当前距低点4.60%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
49,67.8437613111394,68.9359225945989,603159,上海亚虹,confirmed_rebound,2024-06-11,10.2,2024-06-06,9.73,4.830421377183955,9.660842754367929,27.92592592592592,False,-1.4493,0.9502,2,2,2,100.0,20.48001792784045,26.909090909090917,3.1695786228160454,4.830421377183955,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-1.45%; 状态confirmed_rebound; 底部未确认
50,66.28268201445222,67.11953259975319,002544,普天科技,bottom_area,2024-06-11,19.57,2024-06-06,18.7,4.652406417112305,6.0427807486630964,28.761904761904766,False,-0.5084,1.1473,1,1,1,100.0,14.983974358974352,14.983974358974352,3.3475935828876953,4.652406417112305,历史1/1次成功; 当前距低点4.65%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
51,65.62574386865005,66.07863704697053,300363,博腾股份,bottom_area,2024-06-11,13.89,2024-06-11,13.31,4.357625845229151,4.357625845229151,28.247978436657682,False,2.3581,1.4304,2,4,2,50.0,41.63453749512357,46.29503738953092,3.6423741547708492,4.357625845229151,历史2/4次成功; 当前距低点4.36%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
52,64.80204970704219,65.87098816263513,000590,古汉医药,confirmed_rebound,2024-06-11,5.62,2024-06-06,5.36,4.850746268656712,9.141791044776108,31.016731016731008,True,-1.4035,1.4943,1,1,1,100.0,11.724137931034493,11.724137931034493,3.1492537313432885,4.850746268656712,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-1.40%; 状态confirmed_rebound; 底部已确认
53,52.58598557210349,52.42511945214075,000779,甘咨询,bottom_area,2024-06-11,7.3,2024-06-06,7.03,3.840682788051203,7.254623044096725,27.30093071354705,False,-0.8152,1.1051,1,2,1,50.0,17.69825918762089,17.69825918762089,4.159317211948797,3.840682788051203,历史1/2次成功; 当前距低点3.84%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
