rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.09474743193566,81.53975383938842,605298,必得科技,bottom_area,2025-10-16,39.49,2025-10-13,38.66,2.146921883083304,7.682359027418537,28.007448789571704,True,-2.2767,1.2537,3,3,3,100.0,19.272772757087996,28.626692456479695,7.853078116916697,2.146921883083304,历史3/3次成功; 当前距低点2.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
12,75.03277557470383,74.92625890094904,603083,剑桥科技,bottom_area,2025-10-16,104.81,2025-10-15,99.89,4.925417959755733,7.718490339373305,29.901754385964914,True,0.9439,9.1276,1,1,1,100.0,28.63554757630162,28.63554757630162,5.074582040244267,4.925417959755733,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.94%; 状态bottom_area; 底部已确认
13,74.33025665792256,72.42848180481569,603228,景旺电子,bottom_area,2025-10-16,56.67,2025-10-15,54.68,3.6393562545720592,5.267008046817854,32.83380420095811,False,-0.9785,1.8137,2,2,2,100.0,14.442011103440802,14.566719829877735,6.360643745427941,3.6393562545720592,历史2/2次成功; 当前距低点3.64%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
14,73.8569864035952,73.22028824494352,000926,福星股份,bottom_area,2025-10-16,2.53,2025-10-13,2.42,4.5454545454545405,9.090909090909099,30.65902578796562,True,-1.5564,1.916,2,2,2,100.0,20.612497895590682,28.668941979522177,5.4545454545454595,4.5454545454545405,历史2/2次成功; 当前距低点4.55%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
15,73.56218468315448,69.63775485329266,002123,梦网科技,bottom_area,2025-10-16,12.51,2025-10-13,12.25,2.122448979591835,5.1428571428571495,29.39481268011528,False,-1.5736,1.8004,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,7.877551020408166,2.122448979591835,历史2/3次成功; 当前距低点2.12%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
16,72.82459653200446,70.37629669372181,601869,长飞光纤,bottom_area,2025-10-16,85.66,2025-10-15,83.0,3.2048192771084296,5.879518072289152,30.833333333333336,False,-0.4069,1.9172,1,1,1,100.0,14.748842180263628,14.748842180263628,6.795180722891571,3.2048192771084296,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
17,72.81467906976745,66.19516279069768,301209,联合化学,confirmed_rebound,2025-10-16,91.62,2025-10-16,91.62,0.0,17.878192534381135,30.4855842185129,False,-19.9965,15.3953,1,1,1,100.0,25.51162790697674,25.51162790697674,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
18,71.9826713583586,71.42895850175583,000679,大连友谊,confirmed_rebound,2025-10-16,7.74,2025-10-13,7.4,4.594594594594593,10.675675675675663,29.924242424242426,True,-2.1492,2.0545,7,8,7,87.5,15.549108480814496,24.94061757719715,5.405405405405408,4.594594594594593,历史7/8次成功; 当前距低点4.59%; 最新日涨幅-2.15%; 状态confirmed_rebound; 底部已确认
19,70.46319128064889,69.65847246516682,300732,设研院,bottom_area,2025-10-16,8.31,2025-10-13,7.96,4.396984924623122,7.663316582914577,28.673835125448026,True,-1.5403,2.1194,3,4,3,75.0,20.47633383498678,33.58348968105066,5.603015075376878,4.396984924623122,历史3/4次成功; 当前距低点4.40%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
20,70.05724540969616,69.71887374970859,300049,福瑞医科,bottom_area,2025-10-16,68.2,2025-10-13,65.11,4.745814774996165,8.692981108892637,28.19805910895457,True,-0.4234,2.5089,1,1,1,100.0,20.910384068278802,20.910384068278802,5.254185225003835,4.745814774996165,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
21,68.63858188642031,64.00653034807291,300459,汤姆猫,bottom_area,2025-10-16,4.56,2025-10-13,4.5,1.3333333333333246,5.555555555555555,27.884615384615387,False,-1.9355,2.3343,3,6,3,50.0,15.895324452004822,19.047619047619044,8.666666666666675,1.3333333333333246,历史3/6次成功; 当前距低点1.33%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
22,68.31450842314095,65.66312665292809,000428,华天酒店,bottom_area,2025-10-16,3.17,2025-10-13,3.08,2.9220779220779174,5.194805194805199,28.70370370370371,False,-1.2461,1.9907,3,5,3,60.0,22.610023200353346,28.045977011494273,7.077922077922083,2.9220779220779174,历史3/5次成功; 当前距低点2.92%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
23,67.73207705192631,67.73207705192631,301320,豪江智能,bottom_area,2025-10-16,17.64,2025-10-13,16.8,4.999999999999999,7.8571428571428585,29.411764705882355,True,-1.727,2.6535,1,1,1,100.0,13.34450027917365,13.34450027917365,5.000000000000002,4.999999999999999,历史1/1次成功; 当前距低点5.00%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
24,62.5345903861034,58.97390196554235,301529,福赛科技,bottom_area,2025-10-16,66.25,2025-10-16,65.0,1.9230769230769231,3.5230769230769328,32.57261410788382,False,-1.6479,5.1573,1,2,1,50.0,29.400630914826507,29.400630914826507,8.076923076923077,1.9230769230769231,历史1/2次成功; 当前距低点1.92%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
25,62.26813056127649,57.633556485355655,000700,模塑科技,bottom_area,2025-10-16,9.65,2025-10-15,9.56,0.9414225941422579,3.451882845188285,27.24505327245053,False,-1.8311,1.8568,1,2,1,50.0,52.926829268292686,52.926829268292686,9.058577405857744,0.9414225941422579,历史1/2次成功; 当前距低点0.94%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
26,62.229913392745104,60.62580645161293,002491,通鼎互联,bottom_area,2025-10-16,5.14,2025-10-13,4.96,3.6290322580645102,7.459677419354841,28.01161103047895,True,-1.7208,2.3207,1,2,1,50.0,52.39520958083833,52.39520958083833,6.37096774193549,3.6290322580645102,历史1/2次成功; 当前距低点3.63%; 最新日涨幅-1.72%; 状态bottom_area; 底部已确认
27,61.70148057645826,61.677302880307614,688335,复洁科技,confirmed_rebound,2025-10-16,25.51,2025-10-16,24.3,4.979423868312761,12.55144032921811,31.45275035260931,False,2.2855,8.2565,2,3,2,66.66666666666666,16.36410017953784,21.15059221658205,5.02057613168724,4.979423868312761,历史2/3次成功; 当前距低点4.98%; 最新日涨幅2.29%; 状态confirmed_rebound; 底部未确认
28,59.53356330193162,58.249638554216865,601900,南方传媒,bottom_area,2025-10-16,12.93,2025-09-23,12.45,3.855421686746992,9.156626506024102,30.756395995550616,True,-0.1544,0.5343,1,2,1,50.0,39.999999999999986,39.999999999999986,6.1445783132530085,3.855421686746992,历史1/2次成功; 当前距低点3.86%; 最新日涨幅-0.15%; 状态bottom_area; 底部已确认
29,57.10752830701669,57.00098441092152,002022,科华生物,bottom_area,2025-10-16,6.42,2025-10-13,6.12,4.901960784313722,6.04575163398693,27.573964497041416,False,-0.7728,0.9821,2,4,2,50.0,21.975564511595735,25.04038772213247,5.098039215686279,4.901960784313722,历史2/4次成功; 当前距低点4.90%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
30,56.59835228331959,52.19332842788996,002453,华软科技,bottom_area,2025-10-16,6.73,2025-10-16,6.68,0.7485029940119867,3.7425149700598808,31.557377049180328,False,-3.1655,7.9544,1,2,1,50.0,28.60169491525425,28.60169491525425,9.251497005988014,0.7485029940119867,历史1/2次成功; 当前距低点0.75%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
31,48.87405579746854,48.19903249229392,688186,广大特材,confirmed_rebound,2025-10-16,24.42,2025-10-15,23.42,4.269854824935952,11.315115286080268,27.581941867656155,True,-4.0094,7.2689,1,2,1,50.0,11.474739210472489,11.474739210472489,5.730145175064048,4.269854824935952,历史1/2次成功; 当前距低点4.27%; 最新日涨幅-4.01%; 状态confirmed_rebound; 底部已确认
