rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
69,75.5628369943724,68.95770599834432,000568,泸州老窖,bottom_area,2024-07-04,139.51,2024-07-01,139.23,0.20110608345902548,5.257487610428803,29.48594580906559,False,-2.1738,0.5508,1,1,1,100.0,10.141010046402663,10.141010046402663,9.798893916540976,0.20110608345902548,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
70,75.54189665900876,69.25547444274585,603324,盛剑科技,bottom_area,2024-07-04,20.48,2024-07-04,20.39,0.44139283962726755,5.296714075527211,31.987991994663105,False,-5.6656,1.4915,1,1,1,100.0,24.90241998438719,24.90241998438719,9.558607160372732,0.44139283962726755,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-5.67%; 状态bottom_area; 底部未确认
71,75.10139006055132,68.52428258070671,300450,先导智能,bottom_area,2024-07-04,15.68,2024-07-04,15.65,0.1916932907348202,3.96166134185303,31.83797909407666,False,-3.1501,1.2415,1,1,1,100.0,17.91044776119403,17.91044776119403,9.80830670926518,0.1916932907348202,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
72,74.88875108225109,69.12807792207794,002572,索菲亚,bottom_area,2024-07-04,15.12,2024-07-04,15.0,0.7999999999999948,2.7999999999999994,30.36211699164345,False,-1.3699,1.4863,1,1,1,100.0,18.398268398268392,18.398268398268392,9.200000000000005,0.7999999999999948,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
73,74.77099411316166,68.93068515293146,002557,洽洽食品,bottom_area,2024-07-04,27.5,2024-07-04,27.3,0.73260073260073,3.9926739926739923,28.998699609882966,False,-2.8612,1.0711,1,1,1,100.0,16.510832383124292,16.510832383124292,9.26739926739927,0.73260073260073,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
74,74.72546998318593,68.95095379426643,600976,健民集团,bottom_area,2024-07-04,47.81,2024-07-04,47.44,0.7799325463743773,3.9207419898819555,28.982035928143713,False,-2.149,1.0861,1,1,1,100.0,17.200000000000006,17.200000000000006,9.220067453625623,0.7799325463743773,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
75,74.66527425476549,68.7975418785981,688286,敏芯股份,bottom_area,2024-07-04,41.4,2024-07-04,41.11,0.7054244709316447,5.813670639747022,29.84641638225256,False,-4.3659,2.1703,4,5,4,80.0,19.01026705549599,25.016501650165008,9.294575529068355,0.7054244709316447,历史4/5次成功; 当前距低点0.71%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
76,74.5990144160925,68.76341637756408,603187,海容冷链,bottom_area,2024-07-04,11.1,2024-07-04,11.02,0.7259528130671513,3.1760435571687813,28.48799480856587,False,-1.7699,0.9699,1,1,1,100.0,15.530047265361235,15.530047265361235,9.27404718693285,0.7259528130671513,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
77,74.48662684411717,68.3631363762541,002335,科华数据,bottom_area,2024-07-04,20.14,2024-07-04,20.04,0.49900199600799117,4.491017964071867,27.074235807860266,False,-2.9865,1.3337,1,1,1,100.0,10.596026490066222,10.596026490066222,9.50099800399201,0.49900199600799117,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
78,73.94862717873457,68.09855036855038,002438,江苏神通,bottom_area,2024-07-04,10.43,2024-07-04,10.36,0.6756756756756785,3.3783783783783923,27.70411723656665,False,-0.572,1.173,1,1,1,100.0,11.33919843597263,11.33919843597263,9.324324324324323,0.6756756756756785,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
