rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,80.66575061559409,76.85976931462997,688188,柏楚电子,bottom_area,2024-07-29,140.19,2024-07-25,136.82,2.4630901914924754,4.64844321005702,32.58438038925844,False,-0.5745,0.3925,2,2,2,100.0,23.84739221092917,34.07281509974057,7.536909808507525,2.4630901914924754,历史2/2次成功; 当前距低点2.46%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
13,80.50890610639433,74.74662113186508,000726,鲁泰A,bottom_area,2024-07-29,5.5,2024-07-25,5.44,1.102941176470581,2.5735294117647,27.94701986754966,False,-1.0791,0.6156,1,1,1,100.0,12.480252764612954,12.480252764612954,8.897058823529418,1.102941176470581,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
14,79.87247188203787,79.22381899203945,603209,兴通股份,bottom_area,2024-07-29,12.58,2024-07-25,12.03,4.571903574397346,5.569409808811305,28.093245666467432,False,1.1254,1.0299,3,3,3,100.0,23.267522267018258,26.115859449192786,5.4280964256026545,4.571903574397346,历史3/3次成功; 当前距低点4.57%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
15,79.73421771349152,74.8249425598054,002335,科华数据,bottom_area,2024-07-29,18.93,2024-07-10,18.62,1.664876476906545,8.37808807733619,32.24163027656477,True,-2.5232,1.5185,1,1,1,100.0,10.596026490066222,10.596026490066222,8.335123523093456,1.664876476906545,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-2.52%; 状态bottom_area; 底部已确认
16,78.62533702361591,78.14725967033856,000811,冰轮环境,bottom_area,2024-07-29,8.5,2024-07-24,8.12,4.679802955665035,7.142857142857144,31.64983164983166,True,-1.9608,1.1173,3,3,3,100.0,32.0817763938432,47.451868629671566,5.320197044334965,4.679802955665035,历史3/3次成功; 当前距低点4.68%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
17,78.43715618289316,75.91400290707982,300349,金卡智能,bottom_area,2024-07-29,10.38,2024-07-25,10.05,3.2835820895522394,4.4776119402985,32.59557344064386,False,-0.2882,0.7942,1,1,1,100.0,45.48693586698337,45.48693586698337,6.7164179104477615,3.2835820895522394,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
18,78.18086975941227,74.53208895797756,300573,兴齐眼药,bottom_area,2024-07-29,116.84,2024-07-26,114.0,2.491228070175442,9.026315789473689,29.481628108375602,True,-0.8234,4.8563,3,4,3,75.0,23.31768256977187,42.86062675283501,7.508771929824559,2.491228070175442,历史3/4次成功; 当前距低点2.49%; 最新日涨幅-0.82%; 状态bottom_area; 底部已确认
19,77.74776032599652,76.49476908576813,002552,宝鼎科技,bottom_area,2024-07-29,11.05,2024-07-25,10.61,4.1470311027332825,7.16305372290292,30.197368421052634,True,-1.865,0.9438,1,1,1,100.0,52.23596574690771,52.23596574690771,5.8529688972667175,4.1470311027332825,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-1.86%; 状态bottom_area; 底部已确认
20,77.74773221128366,74.31333124536252,002768,国恩股份,bottom_area,2024-07-29,17.57,2024-07-25,17.12,2.628504672897192,3.9719626168224282,27.549724925941593,False,-0.8465,0.5366,2,2,2,100.0,12.184526341764123,13.681691264459511,7.371495327102809,2.628504672897192,历史2/2次成功; 当前距低点2.63%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
21,77.43197521318382,71.33280899988044,603317,天味食品,bottom_area,2024-07-29,10.14,2024-07-24,10.07,0.6951340615690197,4.071499503475671,31.262798634812288,False,-2.5,0.3659,2,2,2,100.0,12.299541184181786,14.347826086956525,9.30486593843098,0.6951340615690197,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
22,76.97494982787948,74.78285764719726,001218,丽臣实业,bottom_area,2024-07-29,14.26,2024-07-25,13.78,3.4833091436865056,4.2089985486211905,30.404040404040412,False,-0.1401,0.5476,2,2,2,100.0,25.18711018711019,29.999999999999993,6.516690856313495,3.4833091436865056,历史2/2次成功; 当前距低点3.48%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
23,76.43118737027041,74.27058843400833,000597,东北制药,bottom_area,2024-07-29,3.85,2024-07-09,3.72,3.4946236559139754,7.258064516129033,29.00763358778626,True,-0.7732,0.4079,2,2,2,100.0,13.378120266087073,16.59751037344398,6.5053763440860255,3.4946236559139754,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-0.77%; 状态bottom_area; 底部已确认
24,76.29545354037185,72.06600597650483,002706,良信股份,bottom_area,2024-07-29,6.1,2024-07-25,5.98,2.006688963210689,4.347826086956518,32.42937853107344,False,-0.813,0.8897,3,4,3,75.0,13.31320867002797,14.727153188691638,7.993311036789312,2.006688963210689,历史3/4次成功; 当前距低点2.01%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
25,76.2934883025318,74.93110458284373,000629,钒钛股份,bottom_area,2024-07-29,2.31,2024-07-25,2.22,4.054054054054047,4.954954954954949,32.72727272727272,False,0.0,0.4091,1,1,1,100.0,27.173913043478265,27.173913043478265,5.945945945945954,4.054054054054047,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,75.86618286329985,73.58797965746598,000090,天健集团,bottom_area,2024-07-29,3.65,2024-07-25,3.53,3.399433427762043,3.682719546742219,28.973843058350102,False,0.0,0.5257,1,1,1,100.0,11.928429423459237,11.928429423459237,6.600566572237958,3.399433427762043,历史1/1次成功; 当前距低点3.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,75.56825492201796,69.14061025048998,600997,开滦股份,bottom_area,2024-07-29,5.97,2024-07-29,5.95,0.3361344537815054,2.6890756302521033,30.0,False,-1.6474,0.3998,1,1,1,100.0,12.77955271565495,12.77955271565495,9.663865546218494,0.3361344537815054,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
28,75.2062933030847,73.27250351947787,600210,紫江企业,bottom_area,2024-07-29,4.85,2024-07-25,4.68,3.6324786324786316,4.487179487179486,27.329192546583858,False,-0.4107,0.5477,2,2,2,100.0,18.895455922199744,19.867549668874158,6.36752136752137,3.6324786324786316,历史2/2次成功; 当前距低点3.63%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
29,75.13219474675425,73.3103665521191,002320,海峡股份,bottom_area,2024-07-29,5.03,2024-07-09,4.85,3.7113402061855796,5.567010309278361,27.28635682158921,False,0.6,0.3564,1,1,1,100.0,14.259259259259249,14.259259259259249,6.288659793814421,3.7113402061855796,历史1/1次成功; 当前距低点3.71%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
30,74.35263399528627,71.12473633831962,000039,中集集团,bottom_area,2024-07-29,7.69,2024-07-25,7.49,2.670226969292392,4.405874499332444,30.583873957367924,False,-1.1568,0.7902,1,1,1,100.0,12.219644238205724,12.219644238205724,7.329773030707609,2.670226969292392,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
31,73.96844177422669,72.55364568340039,002171,楚江新材,bottom_area,2024-07-29,6.0,2024-07-25,5.77,3.9861351819757447,5.719237435008667,28.94088669950739,False,0.0,0.4941,1,1,1,100.0,13.559322033898319,13.559322033898319,6.013864818024256,3.9861351819757447,历史1/1次成功; 当前距低点3.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
32,73.53938396478816,72.32366497116155,600230,沧州大化,bottom_area,2024-07-29,9.34,2024-07-24,8.97,4.1248606465997675,5.128205128205118,29.647058823529406,False,1.0823,0.5691,1,1,1,100.0,14.02337228714524,14.02337228714524,5.8751393534002325,4.1248606465997675,历史1/1次成功; 当前距低点4.12%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
33,73.50151652839044,72.87455928755622,600970,中材国际,bottom_area,2024-07-29,9.88,2024-07-25,9.45,4.550264550264567,5.079365079365084,30.206794682422455,False,3.4555,1.0648,1,1,1,100.0,22.19979818365287,22.19979818365287,5.449735449735433,4.550264550264567,历史1/1次成功; 当前距低点4.55%; 最新日涨幅3.46%; 状态bottom_area; 底部未确认
34,73.18365777645049,72.10462726283411,002698,博实股份,bottom_area,2024-07-29,11.36,2024-07-25,10.9,4.220183486238524,7.339449541284393,31.360201511335013,True,-1.8998,0.8897,2,2,2,100.0,10.627126943322317,11.142857142857146,5.779816513761476,4.220183486238524,历史2/2次成功; 当前距低点4.22%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
35,72.99556630682741,71.36269116988926,300435,中泰股份,bottom_area,2024-07-29,10.62,2024-07-25,10.23,3.81231671554251,5.571847507331381,27.549575070821525,False,-0.7477,0.4574,1,1,1,100.0,27.498781082398814,27.498781082398814,6.18768328445749,3.81231671554251,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
