rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.91162649966861,83.44083427591333,600178,东安动力,bottom_area,2024-01-08,12.96,2024-01-05,12.74,1.7268445839874462,7.927786499215069,27.572484366117113,False,0.856,7.0648,2,2,2,100.0,27.731397459165148,36.84210526315788,13.273155416012553,1.7268445839874462,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
13,81.37521561646653,70.80360670754507,603186,华正新材,bottom_area,2024-01-08,31.11,2024-01-08,31.1,0.03215434083600647,3.086816720257237,29.15717539863325,False,-2.69,1.2195,1,1,1,100.0,17.994186046511643,17.994186046511643,14.967845659163991,0.03215434083600647,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
14,79.8641474269667,70.24281860599693,002409,雅克科技,bottom_area,2024-01-08,47.86,2024-01-08,47.57,0.6096279167542551,4.120243851166704,32.14947938953074,False,-2.3465,2.5117,1,1,1,100.0,22.057904603207675,22.057904603207675,14.390372083245746,0.6096279167542551,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
15,77.8350399251632,69.0413519410878,002660,茂硕电源,bottom_area,2024-01-08,10.45,2024-01-08,10.34,1.0638297872340372,3.481624758220497,29.080932784636488,False,-1.7857,11.199,2,3,2,66.66666666666666,20.21622144792876,24.71428571428572,13.936170212765964,1.0638297872340372,历史2/3次成功; 当前距低点1.06%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
16,76.96020486705022,66.92191727569585,301393,昊帆生物,bottom_area,2024-01-08,56.8,2024-01-08,56.8,0.0,3.8732394366197234,30.375091934297625,False,-3.2203,3.9017,1,1,1,100.0,19.203856320945413,19.203856320945413,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
17,76.07181225971806,66.14940196497223,301509,金凯生科,bottom_area,2024-01-08,60.17,2024-01-08,60.17,0.0,2.4264583679574554,28.547678422990135,False,-3.217,5.2121,1,1,1,100.0,15.05054819877544,15.05054819877544,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
18,73.41500244889195,69.9093866177687,002451,摩恩电气,bottom_area,2024-01-08,6.89,2023-12-27,6.57,4.870624048706231,9.893455098934542,30.476190476190467,True,-1.8519,2.2625,1,1,1,100.0,23.464566929133863,23.464566929133863,10.129375951293767,4.870624048706231,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.85%; 状态bottom_area; 底部已确认
19,72.42781782709483,66.74007010243932,600152,维科技术,bottom_area,2024-01-08,6.97,2023-12-27,6.76,3.1065088757396446,9.319526627218934,28.31389183457052,True,-1.831,1.1658,2,3,2,66.66666666666666,23.6894821099949,24.87644151565074,11.893491124260356,3.1065088757396446,历史2/3次成功; 当前距低点3.11%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
20,72.42236636949522,63.07561077972412,603286,日盈电子,bottom_area,2024-01-08,23.67,2024-01-08,23.65,0.0845665961945164,3.3826638477801296,29.73856209150327,False,-1.2104,4.0775,2,3,2,66.66666666666666,15.97718253968253,16.874999999999986,14.915433403805483,0.0845665961945164,历史2/3次成功; 当前距低点0.08%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
21,71.74444400560625,62.65283703902763,002095,生意宝,bottom_area,2024-01-08,17.59,2024-01-08,17.55,0.22792022792022304,4.273504273504273,27.299088649544323,False,-4.6612,2.9035,2,3,2,66.66666666666666,25.67649726891973,33.84030418250951,14.772079772079778,0.22792022792022304,历史2/3次成功; 当前距低点0.23%; 最新日涨幅-4.66%; 状态bottom_area; 底部未确认
22,69.0682648656311,60.35506623336014,300454,深信服,bottom_area,2024-01-08,64.87,2024-01-08,64.7,0.2627511591962932,2.9675425038639904,28.885469333919545,False,-2.5976,1.1136,2,4,2,50.0,22.979241270579003,29.49391262831224,14.737248840803707,0.2627511591962932,历史2/4次成功; 当前距低点0.26%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
23,64.94375726720091,56.626262101937996,000058,深赛格,bottom_area,2024-01-08,6.9,2023-12-27,6.89,0.14513788098694738,5.370101596516692,27.320675105485236,False,-1.7094,0.5785,1,2,1,50.0,34.82352941176472,34.82352941176472,14.85486211901305,0.14513788098694738,历史1/2次成功; 当前距低点0.15%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
24,62.92875302627204,54.97537612146309,002284,亚太股份,bottom_area,2024-01-08,8.07,2024-01-08,8.05,0.24844720496893877,2.111801242236024,29.137323943661965,False,-1.8248,1.1542,1,2,1,50.0,27.214170692431566,27.214170692431566,14.751552795031062,0.24844720496893877,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
25,62.548189339970364,54.65513594164455,600960,渤海汽车,bottom_area,2024-01-08,3.85,2023-12-28,3.84,0.2604166666666727,7.291666666666674,30.935251798561147,True,-1.0283,1.3583,1,2,1,50.0,16.445623342175058,16.445623342175058,14.739583333333329,0.2604166666666727,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-1.03%; 状态bottom_area; 底部已确认
26,62.06838869193075,54.17148464367756,600986,浙文互联,bottom_area,2024-01-08,5.09,2024-01-08,5.08,0.1968503937007832,1.968503937007867,28.951048951048953,False,-1.7375,1.7497,1,2,1,50.0,22.25969645868466,22.25969645868466,14.803149606299215,0.1968503937007832,历史1/2次成功; 当前距低点0.20%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
27,61.41139817629179,53.401215805471125,601777,千里科技,bottom_area,2024-01-08,3.3,2024-01-08,3.3,0.0,2.4242424242424265,28.41648590021693,False,-2.3669,0.3163,1,2,1,50.0,27.96352583586626,27.96352583586626,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
