rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.70788975761951,76.8342836953166,000338,潍柴动力,bottom_area,2022-10-13,9.35,2022-10-12,9.1,2.7472527472527473,4.725274725274723,31.475903614457827,False,-1.8888,0.9341,3,3,3,100.0,10.526989027165893,13.774104683195592,5.252747252747253,2.7472527472527473,历史3/3次成功; 当前距低点2.75%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
12,75.21625762753474,75.84424572317262,000957,中通客车,bottom_area,2022-10-13,13.43,2022-09-30,12.86,4.432348367029552,7.931570762052888,29.534246575342472,True,-2.3983,8.2702,1,1,1,100.0,354.54545454545456,354.54545454545456,3.5676516329704486,4.432348367029552,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
13,73.80853161083111,73.64080877234605,002677,浙江美大,bottom_area,2022-10-13,11.24,2022-10-11,10.82,3.88170055452865,4.8059149722735635,27.81854569713142,False,0.0,0.3937,1,1,1,100.0,18.124118476727787,18.124118476727787,4.11829944547135,3.88170055452865,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,73.79037308637307,74.30153846153844,000762,西藏矿业,bottom_area,2022-10-13,40.7,2022-10-12,39.0,4.358974358974367,6.641025641025649,29.66636609558161,False,-1.6195,2.9212,1,1,1,100.0,71.15671641791043,71.15671641791043,3.641025641025634,4.358974358974367,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
15,73.43779337832491,73.796048545153,603228,景旺电子,bottom_area,2022-10-13,19.61,2022-10-11,18.81,4.2530568846358365,7.496012759170655,31.0483870967742,True,0.6157,0.6567,1,1,1,100.0,14.317302377003868,14.317302377003868,3.746943115364164,4.2530568846358365,历史1/1次成功; 当前距低点4.25%; 最新日涨幅0.62%; 状态bottom_area; 底部已确认
16,72.65961553776297,72.67407804085566,002561,徐家汇,bottom_area,2022-10-13,8.04,2022-10-12,7.73,4.0103492884864,6.080206985769713,29.147571035747017,False,-1.107,4.3491,1,1,1,100.0,36.976744186046524,36.976744186046524,3.9896507115136,4.0103492884864,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
17,72.31638625105289,72.81734093067425,600126,杭钢股份,bottom_area,2022-10-13,4.07,2022-10-11,3.9,4.358974358974368,5.1282051282051215,31.698774080560423,False,0.0,0.2152,1,1,1,100.0,19.54732510288064,19.54732510288064,3.6410256410256316,4.358974358974368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,71.60620965287085,72.97994988601943,000679,大连友谊,bottom_area,2022-10-13,4.42,2022-10-12,4.21,4.988123515439429,6.175771971496432,32.09677419354839,False,1.1442,1.4848,2,2,2,100.0,11.467051081835052,12.979351032448374,3.0118764845605717,4.988123515439429,历史2/2次成功; 当前距低点4.99%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
19,71.47982272055438,71.54814061299231,605178,时空科技,bottom_area,2022-10-13,19.27,2022-10-12,18.52,4.049676025917927,5.075593952483808,32.11143695014663,False,0.1559,0.6169,1,1,1,100.0,8.93226855959774,8.93226855959774,3.950323974082073,4.049676025917927,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
20,70.58513693274102,71.526620789569,603165,荣晟环保,bottom_area,2022-10-13,10.94,2022-10-11,10.45,4.6889952153110075,6.0287081339713,28.668941979522188,False,0.7366,0.7575,1,1,1,100.0,16.653386454183263,16.653386454183263,3.311004784688993,4.6889952153110075,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
21,69.56500686520778,70.5595606727861,002225,濮耐股份,bottom_area,2022-10-13,4.2,2022-10-12,4.01,4.738154613466344,5.236907730673316,29.52548330404219,False,0.2387,1.1114,1,1,1,100.0,12.056737588652476,12.056737588652476,3.261845386533656,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
22,68.84083181688439,69.94590884142724,688057,金达莱,bottom_area,2022-10-13,14.33,2022-10-12,13.67,4.828090709583029,5.267008046817854,28.802083333333332,False,1.2006,0.4677,1,1,1,100.0,9.859976662777116,9.859976662777116,3.171909290416971,4.828090709583029,历史1/1次成功; 当前距低点4.83%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
23,68.43985831034438,69.01466538643963,000683,博源化工,bottom_area,2022-10-13,7.3,2022-10-12,6.99,4.4349070100143,6.43776824034335,28.891149542217697,False,-0.2732,1.0271,1,1,1,100.0,22.50673854447439,22.50673854447439,3.5650929899857,4.4349070100143,历史1/1次成功; 当前距低点4.43%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
24,68.36589037339185,68.53674685279825,002394,联发股份,bottom_area,2022-10-13,7.06,2022-10-12,6.78,4.129793510324474,7.522123893805306,27.79552715654952,False,-1.2587,3.372,1,1,1,100.0,16.197183098591555,16.197183098591555,3.870206489675527,4.129793510324474,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
25,68.16549641687821,68.12875281985177,002374,中锐股份,bottom_area,2022-10-13,4.45,2022-10-12,4.28,3.9719626168224282,6.308411214953261,31.629392971246002,False,-1.1111,2.1696,1,1,1,100.0,12.068965517241388,12.068965517241388,4.028037383177572,3.9719626168224282,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
26,67.88642722105301,67.80184380433172,603290,斯达半导,confirmed_rebound,2022-10-13,316.15,2022-10-12,304.18,3.9351699651522027,8.744822144782683,29.522706209453197,True,-1.9994,1.995,1,1,1,100.0,10.881888843434034,10.881888843434034,4.064830034847797,3.9351699651522027,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-2.00%; 状态confirmed_rebound; 底部已确认
27,67.79482261012018,68.81219789032139,002221,东华能源,bottom_area,2022-10-13,7.9,2022-10-11,7.54,4.774535809018572,6.233421750663127,27.360308285163782,False,-1.1264,0.3854,1,1,1,100.0,25.581395348837223,25.581395348837223,3.225464190981428,4.774535809018572,历史1/1次成功; 当前距低点4.77%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
28,67.78365226871982,68.99099467554181,002745,木林森,bottom_area,2022-10-13,8.32,2022-10-11,7.93,4.918032786885253,6.1790668348045426,30.316344463971888,False,-0.3593,1.555,2,2,2,100.0,11.634996933549413,15.06734006734006,3.081967213114747,4.918032786885253,历史2/2次成功; 当前距低点4.92%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
29,67.2358767666572,67.39651339163552,002475,立讯精密,bottom_area,2022-10-13,28.53,2022-10-11,27.4,4.124087591240885,6.131386861313868,28.272251308900533,False,-0.3145,0.8669,1,1,1,100.0,9.996952148735144,9.996952148735144,3.875912408759115,4.124087591240885,历史1/1次成功; 当前距低点4.12%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
30,65.6642961744138,66.44601398601398,002555,三七互娱,bottom_area,2022-10-13,14.96,2022-10-12,14.3,4.615384615384617,6.5034965034965015,32.19535324798482,False,-0.8615,2.0405,1,1,1,100.0,10.909090909090905,10.909090909090905,3.3846153846153832,4.615384615384617,历史1/1次成功; 当前距低点4.62%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
31,64.5135901335247,65.4681806671151,002810,山东赫达,confirmed_rebound,2022-10-13,26.61,2022-10-12,25.4,4.763779527559059,8.818897637795283,27.38707833047456,True,-0.0751,1.6934,1,1,1,100.0,8.492462311557796,8.492462311557796,3.2362204724409414,4.763779527559059,历史1/1次成功; 当前距低点4.76%; 最新日涨幅-0.08%; 状态confirmed_rebound; 底部已确认
32,62.521717686954936,63.59763466042156,002031,巨轮智能,confirmed_rebound,2022-10-13,2.79,2022-10-11,2.66,4.887218045112777,8.646616541353383,27.717391304347828,True,-3.125,7.0701,1,1,1,100.0,10.163934426229511,10.163934426229511,3.1127819548872226,4.887218045112777,历史1/1次成功; 当前距低点4.89%; 最新日涨幅-3.12%; 状态confirmed_rebound; 底部已确认
