rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95125425438822,86.2379409581538,002265,建设工业,bottom_area,2023-09-20,12.31,2023-08-25,12.16,1.2335526315789502,7.1546052631578885,28.344136711844424,True,-1.4412,0.5326,4,4,4,100.0,16.669037409429027,32.75229357798165,6.7664473684210495,1.2335526315789502,历史4/4次成功; 当前距低点1.23%; 最新日涨幅-1.44%; 状态bottom_area; 底部已确认
12,76.00684443850932,70.90957634203818,688191,智洋创新,bottom_area,2023-09-20,17.94,2023-09-20,17.87,0.39171796306659357,5.595970900951315,28.519999999999996,False,-5.3797,6.3157,2,2,2,100.0,16.51985643994637,22.671568627450974,7.608282036933406,0.39171796306659357,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-5.38%; 状态bottom_area; 底部未确认
13,75.683697320244,77.09807332256817,002069,獐子岛,bottom_area,2023-09-20,4.23,2023-09-14,4.03,4.962779156327548,5.707196029776663,28.79858657243816,False,1.1962,1.5273,3,3,3,100.0,16.6301602096504,30.967741935483854,3.0372208436724524,4.962779156327548,历史3/3次成功; 当前距低点4.96%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
14,75.6346832315676,73.91102931596092,300503,昊志机电,bottom_area,2023-09-20,15.78,2023-09-19,15.35,2.8013029315960893,7.817589576547239,29.55484167049105,True,-1.0658,14.3302,1,1,1,100.0,19.61290322580645,19.61290322580645,5.198697068403911,2.8013029315960893,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
15,74.19355438978157,72.90627198524642,601777,千里科技,confirmed_rebound,2023-09-20,3.67,2023-08-25,3.56,3.089887640449435,8.146067415730338,27.93522267206478,True,-1.0782,0.3694,1,1,1,100.0,27.96352583586626,27.96352583586626,4.910112359550565,3.089887640449435,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-1.08%; 状态confirmed_rebound; 底部已确认
16,74.17966914590326,70.01145384727955,002767,先锋电子,bottom_area,2023-09-20,14.23,2023-09-18,14.09,0.993612491128464,4.3293115684882855,29.72568578553616,False,-2.9332,6.1695,2,2,2,100.0,8.854249070174514,9.063444108761324,7.006387508871537,0.993612491128464,历史2/2次成功; 当前距低点0.99%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
17,73.22212777915406,68.02934136917538,603258,电魂网络,bottom_area,2023-09-20,28.35,2023-09-20,28.3,0.17667844522968448,4.41696113074205,30.432645034414946,False,-3.3742,3.2314,1,1,1,100.0,15.065420560747667,15.065420560747667,7.823321554770316,0.17667844522968448,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
18,71.36268864158153,72.51170492876079,600338,西藏珠峰,confirmed_rebound,2023-09-20,14.54,2023-08-25,13.87,4.830569574621485,11.175198269646726,28.320413436692515,True,-1.3569,0.6353,2,2,2,100.0,30.512922359665453,31.213191990577155,3.1694304253785153,4.830569574621485,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-1.36%; 状态confirmed_rebound; 底部已确认
19,67.74580354670535,67.85574703557312,300512,中亚股份,confirmed_rebound,2023-09-20,7.9,2023-08-25,7.59,4.08432147562583,9.090909090909085,28.260869565217394,True,-0.7538,0.283,1,1,1,100.0,12.999999999999995,12.999999999999995,3.91567852437417,4.08432147562583,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-0.75%; 状态confirmed_rebound; 底部已确认
20,65.9644169156671,67.23793984108968,300749,顶固集创,confirmed_rebound,2023-09-20,9.25,2023-09-11,8.81,4.994324631101016,9.421112372304199,28.663967611336027,True,-0.6445,3.6564,1,1,1,100.0,20.833333333333336,20.833333333333336,3.0056753688989843,4.994324631101016,历史1/1次成功; 当前距低点4.99%; 最新日涨幅-0.64%; 状态confirmed_rebound; 底部已确认
21,55.4598179965318,54.440821680841864,002861,瀛通通讯,bottom_area,2023-09-20,11.54,2023-09-18,11.2,3.0357142857142847,5.000000000000004,28.662420382165603,False,-0.9442,5.0052,1,2,1,50.0,18.668012108980825,18.668012108980825,4.964285714285715,3.0357142857142847,历史1/2次成功; 当前距低点3.04%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
22,51.42100114577111,48.41681835443493,605365,立达信,bottom_area,2023-09-20,17.38,2023-09-20,17.23,0.8705745792222784,5.1654091700522375,29.356293562935633,False,-6.1048,32.3854,1,2,1,50.0,9.794238683127569,9.794238683127569,7.1294254207777215,0.8705745792222784,历史1/2次成功; 当前距低点0.87%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
