rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.33024490654903,81.72442213217825,603326,我乐家居,bottom_area,2023-11-03,10.03,2023-11-02,9.88,1.518218623481767,2.1255060728744843,30.909090909090907,False,1.5182,2.06,2,2,2,100.0,15.946024697401477,20.141843971631218,8.481781376518233,1.518218623481767,历史2/2次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
15,78.35852126800768,72.12168722974116,000014,沙河股份,bottom_area,2023-11-03,10.87,2023-11-02,10.8,0.6481481481481343,2.2222222222222077,31.861198738170344,False,-0.2752,2.0943,2,2,2,100.0,15.964865631822029,20.605355064027936,9.351851851851867,0.6481481481481343,历史2/2次成功; 当前距低点0.65%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
16,76.0291366259422,74.33016150580943,600408,安泰集团,bottom_area,2023-11-03,2.45,2023-10-23,2.36,3.8135593220339112,8.050847457627116,30.99415204678363,True,-1.2097,2.0803,2,2,2,100.0,17.60793957014374,21.457489878542503,6.18644067796609,3.8135593220339112,历史2/2次成功; 当前距低点3.81%; 最新日涨幅-1.21%; 状态bottom_area; 底部已确认
17,75.98914645615494,74.86338132347115,603076,乐惠国际,bottom_area,2023-11-03,27.93,2023-11-02,26.8,4.216417910447758,5.485074626865667,28.666489220122436,False,3.9836,2.1033,2,2,2,100.0,12.133409458559333,13.440860215053762,5.783582089552242,4.216417910447758,历史2/2次成功; 当前距低点4.22%; 最新日涨幅3.98%; 状态bottom_area; 底部未确认
18,73.8099911039831,72.34980362273325,300394,天孚通信,bottom_area,2023-11-03,71.3,2023-11-01,68.59,3.9510132672401133,5.394372357486518,27.632411901244986,False,3.3034,5.8403,1,1,1,100.0,12.032870279788687,12.032870279788687,6.048986732759888,3.9510132672401133,历史1/1次成功; 当前距低点3.95%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
19,72.53041463425821,71.21670836347563,002314,南山控股,bottom_area,2023-11-03,3.09,2023-10-19,2.97,4.040404040404029,6.397306397306394,28.087167070217912,False,-1.278,1.7619,2,2,2,100.0,12.843169761273208,13.750000000000004,5.959595959595972,4.040404040404029,历史2/2次成功; 当前距低点4.04%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
20,70.74484093343428,70.3317641117578,600057,厦门象屿,bottom_area,2023-11-03,6.47,2023-10-26,6.18,4.692556634304208,5.501618122977344,27.12264150943397,False,0.3101,0.5399,1,1,1,100.0,10.273081924577374,10.273081924577374,5.307443365695792,4.692556634304208,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
21,70.7099184782609,69.83695652173915,000965,天保基建,bottom_area,2023-11-03,3.36,2023-10-23,3.22,4.347826086956511,8.385093167701864,29.8474945533769,True,-0.885,1.0957,1,1,1,100.0,16.666666666666664,16.666666666666664,5.65217391304349,4.347826086956511,历史1/1次成功; 当前距低点4.35%; 最新日涨幅-0.89%; 状态bottom_area; 底部已确认
22,70.25602875149285,70.11664389327805,601156,东航物流,bottom_area,2023-11-03,11.57,2023-10-23,11.03,4.8957388939256665,5.530371713508624,32.33128834355829,False,0.434,0.4692,1,1,1,100.0,11.607142857142852,11.607142857142852,5.104261106074334,4.8957388939256665,历史1/1次成功; 当前距低点4.90%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
23,68.25211684124676,67.18695775488878,300511,雪榕生物,bottom_area,2023-11-03,5.74,2023-10-30,5.51,4.174228675136124,4.355716878402908,27.212681638044923,False,1.5929,1.8539,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,5.825771324863877,4.174228675136124,历史2/3次成功; 当前距低点4.17%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
24,68.11354325616273,66.06885903083702,002366,融发核电,bottom_area,2023-11-03,5.17,2023-10-23,5.0,3.399999999999999,8.000000000000007,28.469241773962807,True,1.9724,1.2464,2,4,2,50.0,20.64977973568282,25.0,6.600000000000001,3.399999999999999,历史2/4次成功; 当前距低点3.40%; 最新日涨幅1.97%; 状态bottom_area; 底部已确认
25,65.32182857922018,65.01069427412989,000428,华天酒店,bottom_area,2023-11-03,3.97,2023-10-23,3.79,4.749340369393145,6.596306068601583,32.32142857142857,False,0.7614,0.8272,2,3,2,66.66666666666666,21.25012714881498,28.045977011494273,5.250659630606856,4.749340369393145,历史2/3次成功; 当前距低点4.75%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
26,64.56398181111571,64.51564156095476,002080,中材科技,bottom_area,2023-11-03,17.35,2023-10-26,16.53,4.960677555958863,5.626134301270415,27.244718309859145,False,1.9988,0.6595,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,5.0393224440411375,4.960677555958863,历史2/3次成功; 当前距低点4.96%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
27,60.32012490157196,59.41356234871016,600328,中盐化工,bottom_area,2023-11-03,7.93,2023-10-26,7.61,4.204993429697758,6.17608409986859,28.207547169811313,False,0.2528,0.4886,1,2,1,50.0,37.26315789473683,37.26315789473683,5.795006570302242,4.204993429697758,历史1/2次成功; 当前距低点4.20%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
28,55.01408947570825,54.38892936802975,603211,晋拓股份,bottom_area,2023-11-03,15.66,2023-10-31,15.0,4.400000000000001,5.933333333333337,29.67651195499296,False,2.6885,18.8061,1,2,1,50.0,12.639405204460974,12.639405204460974,5.6,4.400000000000001,历史1/2次成功; 当前距低点4.40%; 最新日涨幅2.69%; 状态bottom_area; 底部未确认
