rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.33363192252676,88.23625708732037,688114,华大智造,bottom_area,2025-07-04,63.47,2025-06-23,62.1,2.206119162640898,7.004830917874398,28.20809248554913,True,0.4272,1.3859,4,4,4,100.0,16.861337516890426,27.745919717688572,5.793880837359103,2.206119162640898,历史4/4次成功; 当前距低点2.21%; 最新日涨幅0.43%; 状态bottom_area; 底部已确认
14,77.24995672227077,73.92737793851718,688556,高测股份,bottom_area,2025-07-04,7.12,2025-06-27,7.0,1.7142857142857157,5.999999999999999,31.10236220472441,False,-1.7931,2.2322,1,1,1,100.0,15.569620253164562,15.569620253164562,6.285714285714285,1.7142857142857157,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
15,75.90284487012256,76.27539822908209,300346,南大光电,confirmed_rebound,2025-07-04,31.12,2025-06-13,29.85,4.254606365159128,8.576214405360117,27.513355998057303,True,-1.1436,2.4861,3,3,3,100.0,27.020971729273548,46.69811320754715,3.7453936348408727,4.254606365159128,历史3/3次成功; 当前距低点4.25%; 最新日涨幅-1.14%; 状态confirmed_rebound; 底部已确认
16,74.40247475915456,70.22700260431061,301348,蓝箭电子,bottom_area,2025-07-04,20.25,2025-07-04,20.05,0.9975062344139616,3.690773067331663,29.001416430594894,False,-1.4599,9.3052,1,1,1,100.0,26.727509778357234,26.727509778357234,7.002493765586039,0.9975062344139616,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
17,74.0633812452325,72.9610395227495,002155,湖南黄金,bottom_area,2025-07-04,17.95,2025-06-30,17.39,3.220241518113851,5.405405405405392,29.28019520130134,False,-1.4278,2.0995,1,1,1,100.0,28.834355828220854,28.834355828220854,4.779758481886149,3.220241518113851,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
18,73.3349471472902,72.43744307251036,600770,综艺股份,bottom_area,2025-07-04,5.23,2025-06-23,5.06,3.3596837944664197,6.916996047430842,32.980132450331126,False,-0.947,1.6141,1,1,1,100.0,27.72861356932153,27.72861356932153,4.640316205533581,3.3596837944664197,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
19,73.26520327270185,68.34102850369396,301287,康力源,bottom_area,2025-07-04,39.26,2025-07-04,39.11,0.3835336231142894,2.7358731782152907,32.93895747599451,False,-1.85,12.5484,1,1,1,100.0,9.0617481956696,9.0617481956696,7.616466376885711,0.3835336231142894,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
20,72.325061445644,72.76125293611373,002172,澳洋健康,bottom_area,2025-07-04,3.87,2025-06-23,3.71,4.312668463611864,7.547169811320761,27.11198428290766,True,-1.023,5.0631,5,6,5,83.33333333333334,18.06883709578199,29.824561403508774,3.687331536388136,4.312668463611864,历史5/6次成功; 当前距低点4.31%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
21,71.72638950726774,71.74581965477073,603681,永冠新材,bottom_area,2025-07-04,14.77,2025-06-20,14.2,4.014084507042256,7.4647887323943705,29.000000000000004,True,-1.7299,2.2798,1,1,1,100.0,22.83834586466165,22.83834586466165,3.9859154929577443,4.014084507042256,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
22,71.56879951418023,67.51842912787079,002896,中大力德,bottom_area,2025-07-04,55.09,2025-07-04,54.56,0.9714076246334332,2.5476539589442826,28.83787661406026,False,-0.7387,2.6523,1,1,1,100.0,11.84536834427426,11.84536834427426,7.028592375366567,0.9714076246334332,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
23,70.64106166143576,69.71201949775514,300871,回盛生物,bottom_area,2025-07-04,20.59,2025-06-23,19.93,3.3115905669844468,5.870546914199708,29.301170627882232,False,-1.9057,4.1001,1,1,1,100.0,12.486268766019775,12.486268766019775,4.688409433015553,3.3115905669844468,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
24,70.41542001689743,70.44747802737632,605377,华旺科技,bottom_area,2025-07-04,8.79,2025-06-23,8.45,4.023668639053253,4.852071005917162,30.04966887417219,False,-0.453,0.6407,1,1,1,100.0,25.16904583020285,25.16904583020285,3.976331360946747,4.023668639053253,历史1/1次成功; 当前距低点4.02%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
25,70.41213284922027,71.31485140992882,002371,北方华创,bottom_area,2025-07-04,335.15,2025-07-03,320.22,4.6624195865342415,6.648554119043146,28.602006688963204,False,2.1269,1.0105,1,1,1,100.0,15.189075630252091,15.189075630252091,3.3375804134657585,4.6624195865342415,历史1/1次成功; 当前距低点4.66%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
26,69.33669337687981,69.8288793103448,603577,汇金通,confirmed_rebound,2025-07-04,9.08,2025-06-23,8.7,4.367816091954032,8.275862068965525,32.34836702954899,True,-1.7316,2.7952,1,1,1,100.0,27.083333333333325,27.083333333333325,3.6321839080459677,4.367816091954032,历史1/1次成功; 当前距低点4.37%; 最新日涨幅-1.73%; 状态confirmed_rebound; 底部已确认
27,66.84408787606456,68.09386672595603,688448,磁谷科技,confirmed_rebound,2025-07-04,28.55,2025-06-23,27.2,4.963235294117652,10.11029411764706,30.946940847930946,True,-1.5857,2.1076,1,1,1,100.0,25.053995680345576,25.053995680345576,3.036764705882348,4.963235294117652,历史1/1次成功; 当前距低点4.96%; 最新日涨幅-1.59%; 状态confirmed_rebound; 底部已确认
