rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
52,75.50274182632248,72.29212115164641,001317,三羊马,bottom_area,2023-04-25,34.0,2023-04-25,33.1,2.7190332326283944,7.552870090634441,27.72925764192139,False,-4.5212,6.1332,2,2,2,100.0,12.64256409698468,13.38459533428906,7.2809667673716065,2.7190332326283944,历史2/2次成功; 当前距低点2.72%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
53,75.40847119555812,71.83924298401077,300530,领湃科技,bottom_area,2023-04-25,22.12,2023-04-25,21.59,2.4548402037980597,6.947660954145437,32.6365054602184,False,-4.9828,0.6324,3,4,3,75.0,27.802573379948058,34.07510431154381,7.545159796201941,2.4548402037980597,历史3/4次成功; 当前距低点2.45%; 最新日涨幅-4.98%; 状态bottom_area; 底部未确认
54,75.08803251476,71.51718832891247,000158,常山北明,bottom_area,2023-04-25,7.13,2023-04-25,6.96,2.442528735632183,4.454022988505741,27.80082987551868,False,-2.1948,4.5256,1,1,1,100.0,11.538461538461533,11.538461538461533,7.557471264367818,2.442528735632183,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
55,75.00118884837991,71.53727852004108,600234,科新发展,bottom_area,2023-04-25,5.7,2023-04-25,5.56,2.517985611510802,5.035971223021588,28.626444159178437,False,-2.2298,1.1596,1,1,1,100.0,12.571428571428566,12.571428571428566,7.4820143884891985,2.517985611510802,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
56,74.6811955226636,68.68091354507906,601877,正泰电器,bottom_area,2023-04-25,24.93,2023-04-25,24.78,0.6053268765133114,3.672316384180791,27.50146284376828,False,-2.4266,0.7075,1,1,1,100.0,13.607843137254896,13.607843137254896,9.39467312348669,0.6053268765133114,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
57,74.4208629165755,70.75667781541982,000691,亚太实业,bottom_area,2023-04-25,3.92,2023-04-25,3.83,2.349869451697124,7.5718015665796345,27.73584905660377,False,-3.6855,3.179,1,1,1,100.0,16.528925619834727,16.528925619834727,7.650130548302876,2.349869451697124,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
58,72.56800197395765,68.54430947108285,300771,智莱科技,confirmed_rebound,2023-04-25,10.17,2023-04-25,9.97,2.00601805416248,10.330992978936804,32.176870748299315,False,-18.3788,12.7196,1,1,1,100.0,10.634573304157549,10.634573304157549,7.993981945837521,2.00601805416248,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-18.38%; 状态confirmed_rebound; 底部未确认
59,72.56536502370494,68.2968141399576,002172,澳洋健康,bottom_area,2023-04-25,3.36,2023-04-25,3.3,1.81818181818182,4.242424242424246,27.947598253275114,False,-2.0408,1.4017,2,3,2,66.66666666666666,25.46022590723384,29.824561403508774,8.18181818181818,1.81818181818182,历史2/3次成功; 当前距低点1.82%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
60,72.23710471983152,68.69756270774283,002585,双星新材,bottom_area,2023-04-25,10.83,2023-04-25,10.58,2.3629489603024574,5.765595463137991,31.029986962190353,False,-2.87,2.1213,2,3,2,66.66666666666666,34.2925788740095,56.338028169014066,7.637051039697543,2.3629489603024574,历史2/3次成功; 当前距低点2.36%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
61,71.74571125034402,70.35745972073042,603363,傲农生物,bottom_area,2023-04-25,9.68,2023-04-25,9.31,3.9742212674543413,7.841031149301811,29.576399394856278,False,-1.3252,3.2926,1,1,1,100.0,24.078947368421055,24.078947368421055,6.0257787325456595,3.9742212674543413,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
62,71.43258172848245,66.06670289378158,300496,中科创达,bottom_area,2023-04-25,84.98,2023-04-25,84.22,0.9023984801709869,5.2600332462598045,32.70475429484619,False,-3.4428,2.5221,1,1,1,100.0,13.409523809523808,13.409523809523808,9.097601519829015,0.9023984801709869,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-3.44%; 状态bottom_area; 底部未确认
63,71.27710494829115,66.97688452161901,002786,银宝山新,bottom_area,2023-04-25,5.28,2023-04-25,5.19,1.7341040462427717,4.431599229287082,30.522088353413647,False,-2.583,2.0463,2,3,2,66.66666666666666,17.33319935691319,18.75000000000001,8.26589595375723,1.7341040462427717,历史2/3次成功; 当前距低点1.73%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
64,70.580368728335,65.61377079974335,001896,豫能控股,bottom_area,2023-04-25,4.32,2023-04-24,4.27,1.1709601873536468,5.85480093676815,27.993254637436767,False,-2.0408,0.5697,2,4,2,50.0,22.546021650051973,34.93975903614456,8.829039812646354,1.1709601873536468,历史2/4次成功; 当前距低点1.17%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
65,69.09472390293351,64.85425348289787,002355,兴民智通,bottom_area,2023-04-25,3.64,2023-04-25,3.58,1.6759776536312863,5.865921787709496,30.888030888030883,False,-3.7037,1.3243,2,3,2,66.66666666666666,15.423741217798595,15.624999999999991,8.324022346368714,1.6759776536312863,历史2/3次成功; 当前距低点1.68%; 最新日涨幅-3.70%; 状态bottom_area; 底部未确认
66,67.94519054053598,64.70584891762606,002455,百川股份,bottom_area,2023-04-25,7.99,2023-04-25,7.8,2.435897435897441,6.923076923076923,27.102803738317753,False,-3.9663,2.1095,2,3,2,66.66666666666666,23.941012929062143,35.42600896860987,7.564102564102559,2.435897435897441,历史2/3次成功; 当前距低点2.44%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
67,67.16354605617545,63.1546017699115,002753,永东股份,bottom_area,2023-04-25,6.9,2023-04-25,6.78,1.7699115044247802,5.604719764011798,29.521829521829513,False,-2.4045,1.2748,1,2,1,50.0,69.36936936936937,69.36936936936937,8.23008849557522,1.7699115044247802,历史1/2次成功; 当前距低点1.77%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
68,67.1106174217001,62.031292939282025,688107,安路科技,confirmed_rebound,2023-04-25,54.48,2023-04-25,54.01,0.8702092205147175,10.720236993149415,27.317992194859375,False,-10.7617,3.9668,2,3,2,66.66666666666666,40.4231359967146,67.95615731785945,9.129790779485283,0.8702092205147175,历史2/3次成功; 当前距低点0.87%; 最新日涨幅-10.76%; 状态confirmed_rebound; 底部未确认
69,66.66099214437779,61.14897212210364,002316,亚联发展,bottom_area,2023-04-25,4.26,2023-04-25,4.24,0.4716981132075371,8.726415094339625,28.739495798319325,False,-9.5541,18.7142,3,5,3,60.0,18.35722483987543,24.890829694323134,9.528301886792462,0.4716981132075371,历史3/5次成功; 当前距低点0.47%; 最新日涨幅-9.55%; 状态bottom_area; 底部未确认
70,66.08348243547302,63.42276703749587,688168,安博通,bottom_area,2023-04-25,40.88,2023-04-25,39.75,2.8427672955974908,5.710691823899379,32.13249103636674,False,-2.6435,3.5397,2,3,2,66.66666666666666,11.815106477373549,12.015306122448962,7.157232704402509,2.8427672955974908,历史2/3次成功; 当前距低点2.84%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
71,65.92098477882222,62.38589977220956,688272,富吉瑞,bottom_area,2023-04-25,17.93,2023-04-25,17.56,2.1070615034168623,4.2141230068337245,28.79156528791566,False,-0.3335,3.3337,1,2,1,50.0,58.95303326810176,58.95303326810176,7.892938496583138,2.1070615034168623,历史1/2次成功; 当前距低点2.11%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
72,64.52405070304282,60.585963101448655,603158,腾龙股份,bottom_area,2023-04-25,6.6,2023-04-25,6.49,1.6949152542372794,5.392912172573184,27.647714604236345,False,-2.7982,1.4875,1,2,1,50.0,35.270805812417436,35.270805812417436,8.305084745762722,1.6949152542372794,历史1/2次成功; 当前距低点1.69%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
73,63.85870687516795,60.377275276559864,300758,七彩化学,bottom_area,2023-04-25,9.92,2023-04-25,9.72,2.0576131687242727,4.938271604938257,29.819494584837543,False,-2.6497,1.8828,1,2,1,50.0,38.59480269489894,38.59480269489894,7.942386831275727,2.0576131687242727,历史1/2次成功; 当前距低点2.06%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
74,63.22637571184267,62.771283903541985,300564,筑博设计,confirmed_rebound,2023-04-25,12.0,2023-04-25,11.47,4.620749782040099,14.908456843940707,31.726190476190474,False,-15.493,9.8995,1,1,1,100.0,11.648351648351648,11.648351648351648,5.3792502179599015,4.620749782040099,历史1/1次成功; 当前距低点4.62%; 最新日涨幅-15.49%; 状态confirmed_rebound; 底部未确认
75,62.38634555940855,57.373362392452755,300432,富临精工,confirmed_rebound,2023-04-25,9.98,2023-04-25,9.92,0.6048387096774244,19.052419354838715,30.87108013937282,False,-19.5161,4.6434,2,3,2,66.66666666666666,12.127569805648486,13.323239969719907,9.395161290322577,0.6048387096774244,历史2/3次成功; 当前距低点0.60%; 最新日涨幅-19.52%; 状态confirmed_rebound; 底部未确认
76,62.2838941103672,57.80964672184891,688173,希荻微,bottom_area,2023-04-25,19.51,2023-04-25,19.3,1.0880829015544085,6.735751295336791,29.818181818181817,False,-5.3372,1.3887,1,2,1,50.0,23.120837297811605,23.120837297811605,8.911917098445592,1.0880829015544085,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
77,60.94076324380474,57.233997625760516,002622,皓宸医疗,bottom_area,2023-04-25,2.98,2023-04-25,2.93,1.7064846416382191,4.4368600682593815,29.736211031175053,False,-1.9737,1.2328,1,2,1,50.0,17.391304347826082,17.391304347826082,8.293515358361782,1.7064846416382191,历史1/2次成功; 当前距低点1.71%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
