rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.27282373516917,80.57332264131463,688608,恒玄科技,bottom_area,2026-03-12,182.02,246.36,2026-03-09,179.54,1.381307786565678,6.104489250306344,27.122909563240793,26.116252638415325,False,-2.1398,1.3843,2,2,2,100.0,30.55217416496976,36.80636853195971,18.618692213434322,1.381307786565678,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
12,81.08535611520637,67.77583470384229,000759,中百集团,bottom_area,2026-03-12,6.07,8.42,2026-03-12,6.06,0.16501650165017617,2.1452145214521585,28.028503562945374,27.909738717339668,False,-1.7799,2.4969,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,19.834983498349825,0.16501650165017617,历史2/3次成功; 当前距低点0.17%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
13,79.34858948793033,67.91978030242596,600693,东百集团,bottom_area,2026-03-12,12.48,17.5,2026-03-04,12.3,1.4634146341463392,7.317073170731696,29.714285714285708,28.68571428571428,True,-1.7323,2.1045,2,4,2,50.0,29.335299291825866,30.632090761750412,18.53658536585366,1.4634146341463392,历史2/4次成功; 当前距低点1.46%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
14,78.83618935429269,66.30637446595529,603130,云中马,bottom_area,2026-03-12,41.88,61.5,2026-03-09,41.67,0.503959683225344,5.591552675785933,32.24390243902439,31.90243902439024,False,-1.8054,0.7322,2,3,2,66.66666666666666,38.48782729592695,52.76771857216763,19.496040316774657,0.503959683225344,历史2/3次成功; 当前距低点0.50%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
15,78.39257925495266,70.26442925100382,601519,大智慧,bottom_area,2026-03-12,11.48,15.88,2026-03-09,11.04,3.985507246376824,5.072463768115947,30.478589420654924,27.70780856423174,False,0.7018,1.0746,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,16.014492753623177,3.985507246376824,历史2/3次成功; 当前距低点3.99%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
16,78.302139564903,70.76958308232118,605116,奥锐特,bottom_area,2026-03-12,25.63,35.58,2026-03-04,24.54,4.441727791361043,6.927465362673184,31.02866779089376,27.965148960089937,False,-0.6589,0.5547,1,1,1,100.0,32.02538949798039,32.02538949798039,15.558272208638957,4.441727791361043,历史1/1次成功; 当前距低点4.44%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
17,78.29163427829657,67.07094410801152,300436,广生堂,bottom_area,2026-03-12,102.25,142.0,2026-03-12,100.73,1.5089844137794062,3.236374466395305,29.063380281690137,27.992957746478876,False,-2.0031,3.1915,3,7,3,42.857142857142854,50.95154803769113,95.87945879458793,18.491015586220595,1.5089844137794062,历史3/7次成功; 当前距低点1.51%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
18,77.78813310348441,69.59801795797785,300663,科蓝软件,bottom_area,2026-03-12,15.5,20.71,2026-03-04,14.92,3.887399463806971,7.908847184986604,27.95750845002415,25.156929019797204,True,-0.3215,1.4385,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,16.112600536193032,3.887399463806971,历史2/3次成功; 当前距低点3.89%; 最新日涨幅-0.32%; 状态bottom_area; 底部已确认
19,73.77474259477165,63.582865830346556,603236,移远通信,bottom_area,2026-03-12,79.23,107.04,2026-03-09,77.8,1.838046272493582,6.413881748071991,27.31689088191331,25.980941704035875,False,-2.0522,1.89,2,5,2,40.0,41.47102866468776,43.55271994627266,18.16195372750642,1.838046272493582,历史2/5次成功; 当前距低点1.84%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
20,72.70927723888818,65.54910045092822,301413,安培龙,bottom_area,2026-03-12,127.25,178.99,2026-03-09,122.0,4.30327868852459,9.18032786885245,31.839767584781274,28.90664282920834,True,-2.3333,4.1395,2,3,2,66.66666666666666,31.956501043535567,40.258064516129025,15.696721311475411,4.30327868852459,历史2/3次成功; 当前距低点4.30%; 最新日涨幅-2.33%; 状态bottom_area; 底部已确认
21,69.19183204013872,62.87431694082171,688045,必易微,bottom_area,2026-03-12,45.98,60.6,2026-03-09,43.9,4.7380410022779005,10.000000000000002,27.557755775577565,24.125412541254132,True,-1.5628,1.8381,3,5,3,60.0,20.683066806533947,21.048975338659265,15.2619589977221,4.7380410022779005,历史3/5次成功; 当前距低点4.74%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
22,68.22278366225395,61.94814187393599,601689,拓普集团,bottom_area,2026-03-12,64.41,85.5,2026-03-09,61.52,4.6976592977893254,7.038361508452522,28.046783625730992,24.66666666666667,True,-0.6785,0.9468,2,4,2,50.0,36.87529609083685,47.99107142857144,15.302340702210676,4.6976592977893254,历史2/4次成功; 当前距低点4.70%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
23,66.87503828949204,58.3106600889304,600415,小商品城,bottom_area,2026-03-12,14.08,19.01,2026-03-04,13.74,2.4745269286753993,4.512372634643371,27.722251446607054,25.933719095213053,False,-0.7052,0.6629,1,2,1,50.0,32.59452411994785,32.59452411994785,17.5254730713246,2.4745269286753993,历史1/2次成功; 当前距低点2.47%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
24,66.70009625974956,60.504546748565524,688302,海创药业,bottom_area,2026-03-12,41.7,54.67,2026-03-04,39.85,4.642409033877042,10.238393977415303,27.108103164441193,23.724163160782876,True,-3.0683,0.8861,2,4,2,50.0,38.6518244398128,40.24920312952768,15.357590966122958,4.642409033877042,历史2/4次成功; 当前距低点4.64%; 最新日涨幅-3.07%; 状态bottom_area; 底部已确认
25,60.94121954577136,51.856571974328794,300612,宣亚国际,bottom_area,2026-03-12,15.96,22.05,2026-03-04,15.78,1.1406844106463974,6.844106463878327,28.43537414965987,27.619047619047617,False,-1.9656,3.9305,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,18.859315589353603,1.1406844106463974,历史1/7次成功; 当前距低点1.14%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
26,60.291382544970034,53.89684197201867,603121,华培动力,bottom_area,2026-03-12,19.47,26.45,2026-03-12,18.75,3.839999999999994,5.600000000000003,29.111531190926275,26.389413988657846,False,-0.6633,5.5109,1,4,1,25.0,46.435709526982016,46.435709526982016,16.160000000000007,3.839999999999994,历史1/4次成功; 当前距低点3.84%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
27,60.211709612087674,53.79495049036428,603099,长白山,bottom_area,2026-03-12,38.43,52.2,2026-03-06,37.02,3.808752025931919,6.591031874662338,29.080459770114942,26.379310344827587,False,-0.672,1.3278,1,2,1,50.0,24.671532846715323,24.671532846715323,16.191247974068084,3.808752025931919,历史1/2次成功; 当前距低点3.81%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
28,59.72629597831541,53.252782820508294,688083,中望软件,bottom_area,2026-03-12,58.9,83.59,2026-03-09,56.8,3.697183098591552,7.429577464788744,32.04928819236751,29.537025960043074,True,-1.817,0.7272,2,7,2,28.57142857142857,24.290723500060842,27.053669222343906,16.30281690140845,3.697183098591552,历史2/7次成功; 当前距低点3.70%; 最新日涨幅-1.82%; 状态bottom_area; 底部已确认
29,59.65674624337025,51.67038436889714,000995,皇台酒业,bottom_area,2026-03-12,15.01,21.2,2026-03-04,14.7,2.108843537414969,6.5306122448979655,30.660377358490564,29.198113207547166,False,-3.2861,8.952,2,8,2,25.0,23.45993351722187,24.697644812221508,17.89115646258503,2.108843537414969,历史2/8次成功; 当前距低点2.11%; 最新日涨幅-3.29%; 状态bottom_area; 底部未确认
30,56.8888072053558,50.43028124687743,301459,丰茂股份,bottom_area,2026-03-12,39.76,54.99,2026-03-04,38.46,3.3801352054082088,5.564222568902758,30.06001091107474,27.695944717221323,False,-0.3758,2.4997,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,16.619864794591795,3.3801352054082088,历史1/3次成功; 当前距低点3.38%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
31,54.29009751500656,49.24557853910794,300433,蓝思科技,bottom_area,2026-03-12,32.02,42.6,2026-03-09,30.6,4.640522875816998,8.790849673202606,28.169014084507044,24.835680751173705,True,-1.4466,0.908,1,3,1,33.33333333333333,20.659340659340668,20.659340659340668,15.359477124183002,4.640522875816998,历史1/3次成功; 当前距低点4.64%; 最新日涨幅-1.45%; 状态bottom_area; 底部已确认
32,53.20663799164489,47.83227385786405,300378,鼎捷数智,bottom_area,2026-03-12,44.18,60.5,2026-03-04,42.42,4.148986327204144,10.089580386610091,29.88429752066115,26.975206611570247,True,-1.4939,3.1523,1,6,1,16.666666666666664,26.480086114101198,26.480086114101198,15.851013672795858,4.148986327204144,历史1/6次成功; 当前距低点4.15%; 最新日涨幅-1.49%; 状态bottom_area; 底部已确认
