rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.24864606133612,85.16584449314382,688005,容百科技,bottom_area,2024-10-16,25.72,2024-10-16,25.37,1.3795821836815052,3.468663776113516,27.09770114942528,False,-1.9817,2.6499,4,4,4,100.0,21.88866597815933,38.76758854924795,8.620417816318495,1.3795821836815052,历史4/4次成功; 当前距低点1.38%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
19,75.61421120608267,69.91094953360441,688310,迈得医疗,bottom_area,2024-10-16,11.4,2024-10-16,11.3,0.8849557522123862,3.4513274336283075,28.25396825396825,False,-1.2132,0.7627,1,1,1,100.0,23.648648648648653,23.648648648648653,9.115044247787614,0.8849557522123862,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
20,75.59267594867256,70.2750703574535,688121,卓然股份,bottom_area,2024-10-16,11.22,2024-10-16,11.09,1.1722272317403135,3.2461677186654594,27.98701298701299,False,-1.4925,1.831,3,5,3,60.0,25.955636805491512,55.206611570247944,8.827772768259686,1.1722272317403135,历史3/5次成功; 当前距低点1.17%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
21,75.4461296220523,71.42828839957612,688238,和元生物,bottom_area,2024-10-16,4.8,2024-10-16,4.7,2.1276595744680775,3.8297872340425467,27.018633540372672,False,-0.2079,1.8602,3,4,3,75.0,11.367485104103912,11.958224543080954,7.872340425531924,2.1276595744680775,历史3/4次成功; 当前距低点2.13%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
22,75.31314182973769,72.77572097024051,300662,科锐国际,bottom_area,2024-10-16,18.7,2024-10-16,18.12,3.200883002207496,4.74613686534216,31.519274376417233,False,-0.5848,4.0836,1,1,1,100.0,27.600721587492483,27.600721587492483,6.7991169977925034,3.200883002207496,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
23,74.53590900037644,74.13517830682603,000981,山子高科,bottom_area,2024-10-16,1.11,2024-10-16,1.06,4.7169811320754755,6.603773584905645,27.89115646258503,False,0.0,3.5895,2,2,2,100.0,14.354275741710298,16.66666666666666,5.283018867924525,4.7169811320754755,历史2/2次成功; 当前距低点4.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,74.24364685355997,68.98745946569731,688148,芳源股份,bottom_area,2024-10-16,4.41,2024-10-16,4.36,1.146788990825684,3.6697247706421847,27.333333333333325,False,-1.5625,1.796,2,3,2,66.66666666666666,20.943396226415096,26.66666666666668,8.853211009174316,1.146788990825684,历史2/3次成功; 当前距低点1.15%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
25,74.07313598849206,69.0330373649561,300693,盛弘股份,bottom_area,2024-10-16,24.12,2024-10-16,23.81,1.3019739605207992,3.149937001259975,27.62917933130699,False,-1.6313,3.2891,3,5,3,60.0,20.868483843782425,36.12334801762114,8.6980260394792,1.3019739605207992,历史3/5次成功; 当前距低点1.30%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
26,73.93292114446689,70.36486661882526,688117,圣诺生物,bottom_area,2024-10-16,26.84,2024-10-14,26.21,2.4036627241510833,5.036245707745136,29.123850730124385,False,1.9757,1.8942,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,7.596337275848917,2.4036627241510833,历史2/3次成功; 当前距低点2.40%; 最新日涨幅1.98%; 状态bottom_area; 底部未确认
27,73.02852190096996,67.16949033173918,688126,沪硅产业,bottom_area,2024-10-16,19.73,2024-10-16,19.61,0.6119326874043907,4.9464558898521105,28.273591806876375,False,-4.8239,1.2346,1,1,1,100.0,15.777940102264429,15.777940102264429,9.388067312595611,0.6119326874043907,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
28,72.50699547216836,67.73679840163096,688105,诺唯赞,bottom_area,2024-10-16,21.3,2024-10-16,21.0,1.428571428571432,3.7142857142857197,27.785419532324617,False,-1.4345,1.2283,2,3,2,66.66666666666666,17.673519312404096,25.237580993520524,8.57142857142857,1.428571428571432,历史2/3次成功; 当前距低点1.43%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
29,72.19452343297272,71.26076172757688,300615,欣天科技,confirmed_rebound,2024-10-16,11.6,2024-10-11,11.12,4.316546762589932,11.960431654676261,28.165374677002593,True,-1.1925,5.0479,2,2,2,100.0,17.486496485386603,24.306326304106545,5.683453237410068,4.316546762589932,历史2/2次成功; 当前距低点4.32%; 最新日涨幅-1.19%; 状态confirmed_rebound; 底部已确认
30,71.63913979646345,68.6682202228931,688320,禾川科技,bottom_area,2024-10-16,26.28,2024-10-14,25.57,2.7766914352757173,9.307782557684781,30.440696409140365,True,-1.573,2.0468,3,5,3,60.0,27.79073492108457,38.29133374308544,7.223308564724283,2.7766914352757173,历史3/5次成功; 当前距低点2.78%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
31,67.08873061972383,61.77586233891804,300347,泰格医药,bottom_area,2024-10-16,60.01,2024-10-16,59.61,0.6710283509478251,2.9357490353967455,27.99855054958329,False,-2.232,1.7804,2,3,2,66.66666666666666,16.178173722647415,20.78172934893761,9.328971649052175,0.6710283509478251,历史2/3次成功; 当前距低点0.67%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
32,62.673382494679906,60.00239698830781,300601,康泰生物,bottom_area,2024-10-16,17.41,2024-10-16,16.95,2.7138643067846657,4.12979351032448,27.718550106609808,False,-0.2864,1.8145,2,4,2,50.0,11.290363482671175,11.580726965342352,7.286135693215334,2.7138643067846657,历史2/4次成功; 当前距低点2.71%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
33,59.80157697649709,55.2104192740926,688062,迈威生物,bottom_area,2024-10-16,23.69,2024-10-16,23.5,0.8085106382978777,4.553191489361703,28.78787878787879,False,-1.4559,1.4458,1,2,1,50.0,35.34313725490197,35.34313725490197,9.191489361702123,0.8085106382978777,历史1/2次成功; 当前距低点0.81%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
34,57.13411897956196,53.291709490906044,688116,天奈科技,bottom_area,2024-10-16,24.84,2024-10-16,24.51,1.3463892288861619,3.0599755201958385,27.161961367013365,False,-1.0359,1.8252,1,3,1,33.33333333333333,11.226578491576134,11.226578491576134,8.653610771113838,1.3463892288861619,历史1/3次成功; 当前距低点1.35%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
35,56.55429993324596,52.43662662529789,300751,迈为股份,bottom_area,2024-10-16,90.95,2024-10-16,90.02,1.0331037547211808,5.965341035325489,29.17387883556255,False,-4.2732,2.3776,1,3,1,33.33333333333333,13.004138993165853,13.004138993165853,8.96689624527882,1.0331037547211808,历史1/3次成功; 当前距低点1.03%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
36,56.32527628918106,51.9739673913044,300568,星源材质,bottom_area,2024-10-16,9.03,2024-10-16,8.96,0.7812499999999832,3.124999999999993,27.449392712550598,False,-2.2727,3.5921,1,2,1,50.0,17.608695652173925,17.608695652173925,9.218750000000018,0.7812499999999832,历史1/2次成功; 当前距低点0.78%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
37,55.516896394622385,53.81225331855203,301538,骏鼎达,bottom_area,2024-10-16,74.69,2024-10-11,72.26,3.3628563520619883,9.825629670633813,27.010101010101007,True,-0.9548,6.7256,1,2,1,50.0,10.10519247985676,10.10519247985676,6.637143647938013,3.3628563520619883,历史1/2次成功; 当前距低点3.36%; 最新日涨幅-0.95%; 状态bottom_area; 底部已确认
38,54.79388638994216,50.162400552539964,688036,传音控股,bottom_area,2024-10-16,90.35,2024-10-16,90.02,0.3665852032881563,5.076649633414805,30.49185391089491,False,-7.3713,1.4003,1,2,1,50.0,13.001154924929873,13.001154924929873,9.633414796711843,0.3665852032881563,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-7.37%; 状态bottom_area; 底部未确认
