rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.85497702363341,88.60207731262729,002357,富临运业,bottom_area,2024-09-03,5.2,2024-08-29,5.12,1.5625000000000013,4.492187499999991,28.08988764044944,False,0.3861,2.1814,4,4,4,100.0,20.132136089393963,31.941031941031934,6.437499999999999,1.5625000000000013,历史4/4次成功; 当前距低点1.56%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
21,78.5300627211951,73.24942011517345,002110,三钢闽光,bottom_area,2024-09-03,2.63,2024-09-03,2.62,0.3816793893129689,1.5267175572519098,30.319148936170205,False,-0.7547,0.2717,2,2,2,100.0,18.761554423693642,22.90322580645161,7.6183206106870305,0.3816793893129689,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
22,77.98247578222427,79.33880725901746,300653,正海生物,bottom_area,2024-09-03,19.28,2024-08-28,18.38,4.896626768226345,7.83460282916214,27.466456195737965,True,0.4167,0.7218,3,3,3,100.0,18.672668228889858,29.647513278609367,3.1033732317736553,4.896626768226345,历史3/3次成功; 当前距低点4.90%; 最新日涨幅0.42%; 状态bottom_area; 底部已确认
23,77.68417918474479,76.86833732236629,301509,金凯生科,bottom_area,2024-09-03,26.08,2024-08-28,25.21,3.4510115033716677,6.227687425624754,29.6792189679219,False,1.5972,1.8852,2,2,2,100.0,13.530341666955287,15.05054819877544,4.548988496628333,3.4510115033716677,历史2/2次成功; 当前距低点3.45%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
24,77.67748785459995,75.41833998614285,002140,东华科技,bottom_area,2024-09-03,6.65,2024-08-23,6.49,2.465331278890603,5.855161787365176,27.888888888888886,False,0.9105,0.7089,1,1,1,100.0,10.318791946308728,10.318791946308728,5.534668721109397,2.465331278890603,历史1/1次成功; 当前距低点2.47%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
25,77.57413804681265,76.1221069017999,301571,国科天成,bottom_area,2024-09-03,38.92,2024-09-03,37.78,3.017469560614083,5.346744309158273,32.919034090909086,False,-0.4858,32.4934,1,1,1,100.0,43.34374999999999,43.34374999999999,4.982530439385917,3.017469560614083,历史1/1次成功; 当前距低点3.02%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
26,77.49391442503635,76.85031946314118,001205,盛航股份,bottom_area,2024-09-03,14.52,2024-08-28,14.02,3.566333808844508,4.350927246790309,27.806385169927918,False,0.8333,0.4292,2,2,2,100.0,14.847099716702502,14.929577464788741,4.433666191155492,3.566333808844508,历史2/2次成功; 当前距低点3.57%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
27,77.21427708589289,77.07171668508809,002682,龙洲股份,bottom_area,2024-09-03,3.46,2024-08-28,3.33,3.9039039039039007,6.606606606606599,30.76923076923076,False,0.5814,1.6039,2,2,2,100.0,20.175363365532185,26.929674099485425,4.096096096096099,3.9039039039039007,历史2/2次成功; 当前距低点3.90%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
28,77.14657149004195,76.37655334861608,300751,迈为股份,bottom_area,2024-09-03,80.62,2024-08-28,77.91,3.4783724810679093,6.738544474393532,27.89449329014345,False,1.256,0.982,2,2,2,100.0,11.22173443790815,13.004138993165853,4.521627518932091,3.4783724810679093,历史2/2次成功; 当前距低点3.48%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
29,76.94087365431189,75.08240886068907,301518,长华化学,bottom_area,2024-09-03,13.93,2024-08-28,13.56,2.728613569321528,6.12094395280236,28.21598729486501,False,0.0,1.1873,1,1,1,100.0,11.740041928721173,11.740041928721173,5.271386430678472,2.728613569321528,历史1/1次成功; 当前距低点2.73%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
30,76.86380145934852,76.09315870200855,301538,骏鼎达,bottom_area,2024-09-03,68.17,2024-09-03,65.88,3.476017000607174,3.825136612021874,31.26760563380282,False,2.4805,6.8754,2,2,2,100.0,9.669233674155395,10.10519247985676,4.523982999392826,3.476017000607174,历史2/2次成功; 当前距低点3.48%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
31,76.22629696341615,76.05275957704526,688065,凯赛生物,confirmed_rebound,2024-09-03,35.06,2024-08-27,33.75,3.8814814814814884,8.711111111111105,30.36930059830823,True,0.6604,0.1813,2,2,2,100.0,15.443749219478864,18.007614213197968,4.118518518518512,3.8814814814814884,历史2/2次成功; 当前距低点3.88%; 最新日涨幅0.66%; 状态confirmed_rebound; 底部已确认
32,75.93296718516753,76.95080250111857,002715,登云股份,bottom_area,2024-09-03,10.04,2024-08-23,9.59,4.692387904066729,7.4035453597497485,31.45103645461044,True,0.9045,1.0133,1,1,1,100.0,36.66369313113291,36.66369313113291,3.307612095933271,4.692387904066729,历史1/1次成功; 当前距低点4.69%; 最新日涨幅0.90%; 状态bottom_area; 底部已确认
33,75.23024730372556,70.86002546865437,000600,建投能源,bottom_area,2024-09-03,4.54,2024-08-26,4.5,0.8888888888888897,5.1111111111111205,31.08728943338438,False,-1.0893,1.7281,2,2,2,100.0,12.132753415704464,13.438735177865627,7.11111111111111,0.8888888888888897,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
34,75.06818087499657,75.65388839807848,603267,鸿远电子,bottom_area,2024-09-03,32.24,2024-08-28,30.88,4.404145077720218,7.933937823834195,27.23845428840716,True,0.4361,1.2719,2,2,2,100.0,9.491070834841842,9.963574030426395,3.595854922279783,4.404145077720218,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.44%; 状态bottom_area; 底部已确认
35,75.02370158617778,73.79170101274755,600166,福田汽车,bottom_area,2024-09-03,2.3,2024-08-28,2.23,3.1390134529147913,6.7264573991031344,27.5974025974026,False,0.4367,0.6129,1,1,1,100.0,9.831460674157306,9.831460674157306,4.860986547085209,3.1390134529147913,历史1/1次成功; 当前距低点3.14%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
36,74.52807377488283,69.99286366160459,600011,华能国际,bottom_area,2024-09-03,6.84,2024-09-03,6.79,0.7363770250368162,2.7982326951399172,31.414141414141415,False,-1.4409,0.5535,1,1,1,100.0,22.267759562841515,22.267759562841515,7.263622974963184,0.7363770250368162,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
37,74.33515165048217,74.25814320567629,603079,圣达生物,bottom_area,2024-09-03,10.8,2024-08-26,10.39,3.9461020211742066,6.929740134744936,28.83561643835616,False,0.3717,1.08,1,1,1,100.0,22.232558139534888,22.232558139534888,4.053897978825793,3.9461020211742066,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
38,73.22342403858089,71.5320263707022,688287,退市观典,confirmed_rebound,2024-09-03,4.06,2024-08-30,3.95,2.784810126582264,9.87341772151898,31.77892918825561,True,-0.2457,1.7754,3,4,3,75.0,21.00211537263308,36.70473083197391,5.215189873417736,2.784810126582264,历史3/4次成功; 当前距低点2.78%; 最新日涨幅-0.25%; 状态confirmed_rebound; 底部已确认
39,73.20423189944616,73.74665908545497,600183,生益科技,bottom_area,2024-09-03,17.62,2024-08-29,16.88,4.383886255924183,7.2274881516587826,29.519832985386223,True,1.5562,0.8977,3,4,3,75.0,19.822149187968265,25.158227848101262,3.6161137440758178,4.383886255924183,历史3/4次成功; 当前距低点4.38%; 最新日涨幅1.56%; 状态bottom_area; 底部已确认
40,72.95186059016793,72.68122809064846,300478,杭州高新,confirmed_rebound,2024-09-03,7.09,2024-08-28,6.83,3.8067349926793526,8.052708638360173,28.10526315789474,True,0.7102,2.4101,1,1,1,100.0,13.067655236329937,13.067655236329937,4.193265007320647,3.8067349926793526,历史1/1次成功; 当前距低点3.81%; 最新日涨幅0.71%; 状态confirmed_rebound; 底部已确认
41,72.87365681359667,72.56102126346586,301596,瑞迪智驱,confirmed_rebound,2024-09-03,61.83,2024-08-28,59.58,3.7764350453172204,8.073178919100373,29.905882352941177,True,1.0294,5.6918,1,1,1,100.0,12.04996326230713,12.04996326230713,4.22356495468278,3.7764350453172204,历史1/1次成功; 当前距低点3.78%; 最新日涨幅1.03%; 状态confirmed_rebound; 底部已确认
42,72.08792709374046,72.61448327637233,002230,科大讯飞,bottom_area,2024-09-03,34.09,2024-08-28,32.66,4.37844458052666,6.399265156154328,28.093350946719518,False,2.0964,0.9346,1,1,1,100.0,18.69535978480161,18.69535978480161,3.621555419473341,4.37844458052666,历史1/1次成功; 当前距低点4.38%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
43,70.62631089805855,71.78009721824091,000539,粤电力A,bottom_area,2024-09-03,4.33,2024-08-26,4.13,4.842615012106542,6.7796610169491585,31.395348837209298,False,0.0,0.5541,1,1,1,100.0,19.89924433249369,19.89924433249369,3.1573849878934586,4.842615012106542,历史1/1次成功; 当前距低点4.84%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
44,61.034284305779806,60.47881772964061,603282,亚光股份,bottom_area,2024-09-03,12.63,2024-08-26,12.2,3.524590163934439,6.311475409836078,27.164179104477615,False,1.609,1.4715,1,2,1,50.0,34.64991023339317,34.64991023339317,4.475409836065562,3.524590163934439,历史1/2次成功; 当前距低点3.52%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
45,56.61359080712718,56.26036119758287,000625,长安汽车,bottom_area,2024-09-03,11.85,2024-08-29,11.43,3.6745406824146976,6.999125109361335,29.138251704897705,False,1.2821,1.0685,1,2,1,50.0,13.808139534883724,13.808139534883724,4.325459317585302,3.6745406824146976,历史1/2次成功; 当前距低点3.67%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
