rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.14706618520476,78.77137739600137,000567,海德股份,bottom_area,2026-04-09,5.1,7.02,2026-03-23,5.03,1.3916500994035665,7.355864811133203,28.347578347578338,27.350427350427353,True,-3.0418,0.5542,1,1,1,100.0,38.67924528301886,38.67924528301886,18.608349900596437,1.3916500994035665,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
14,78.53444072762997,70.48109358024698,601628,中国人寿,bottom_area,2026-04-09,36.95,50.7,2026-04-07,35.51,4.055195719515643,6.899464939453684,29.960552268244584,27.120315581854044,False,-1.9894,0.0684,1,1,1,100.0,25.736235595390532,25.736235595390532,15.944804280484359,4.055195719515643,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
15,77.37609860813983,64.68209895041025,600421,退市华嵘,bottom_area,2026-04-09,5.87,8.04,2026-04-09,5.86,0.17064846416381887,4.948805460750854,27.114427860696505,26.990049751243774,False,-4.8622,1.5599,3,5,3,60.0,33.662244347869596,44.900662251655625,19.82935153583618,0.17064846416381887,历史3/5次成功; 当前距低点0.17%; 最新日涨幅-4.86%; 状态bottom_area; 底部未确认
16,76.92349804622027,64.64910563915491,000966,长源电力,bottom_area,2026-04-09,4.34,5.95,2026-04-03,4.32,0.46296296296295303,4.86111111111111,27.394957983193276,27.058823529411768,False,-2.6906,2.1214,2,3,2,66.66666666666666,29.075239398084808,37.20930232558138,19.53703703703705,0.46296296296295303,历史2/3次成功; 当前距低点0.46%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
17,71.76677743069618,64.48213511916578,002457,青龙管业,bottom_area,2026-04-09,10.87,15.04,2026-04-03,10.44,4.11877394636015,5.459770114942532,30.585106382978722,27.726063829787233,False,-1.2716,1.9124,2,3,2,66.66666666666666,33.152005646237896,42.51290877796902,15.881226053639852,4.11877394636015,历史2/3次成功; 当前距低点4.12%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
18,71.2035042689297,61.69256687560696,000818,航锦科技,bottom_area,2026-04-09,15.36,21.96,2026-04-09,15.04,2.1276595744680873,6.715425531914905,31.51183970856103,30.054644808743173,False,-1.6645,16.3691,1,2,1,50.0,46.52489626556016,46.52489626556016,17.872340425531913,2.1276595744680873,历史1/2次成功; 当前距低点2.13%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
19,69.04356113776895,59.04886331516257,000625,长安汽车,bottom_area,2026-04-09,10.02,13.84,2026-03-30,9.88,1.4170040485829836,3.1376518218623346,28.612716763005775,27.601156069364162,False,-1.2808,0.5401,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.58299595141702,1.4170040485829836,历史1/3次成功; 当前距低点1.42%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
20,68.75227938086731,60.2609620071347,002117,东港股份,bottom_area,2026-04-09,9.68,12.99,2026-04-03,9.42,2.760084925690019,5.0955414012738895,27.48267898383372,25.481139337952275,False,-2.0243,1.2533,1,2,1,50.0,46.5804066543438,46.5804066543438,17.239915074309984,2.760084925690019,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
21,68.486124454915,58.72217749015969,001258,立新能源,bottom_area,2026-04-09,8.48,12.33,2026-04-07,8.35,1.5568862275449196,4.071856287425148,32.27899432278994,31.22465531224655,False,-1.6241,2.4539,1,2,1,50.0,23.55848434925864,23.55848434925864,18.44311377245508,1.5568862275449196,历史1/2次成功; 当前距低点1.56%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
22,68.37737226165918,60.56281543175528,603232,格尔软件,bottom_area,2026-04-09,19.53,26.53,2026-04-03,18.9,3.3333333333333472,6.1904761904762,28.75989445910291,26.385224274406333,False,-2.6906,3.0835,3,7,3,42.857142857142854,37.37304763616524,48.01488833746897,16.666666666666654,3.3333333333333472,历史3/7次成功; 当前距低点3.33%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
23,67.72323506628689,60.42532837105677,000767,晋控电力,bottom_area,2026-04-09,3.61,5.12,2026-04-07,3.48,3.735632183908043,6.896551724137938,32.03125,29.492187500000007,False,-2.168,3.5422,2,4,2,50.0,26.089084679393054,29.955947136563882,16.26436781609196,3.735632183908043,历史2/4次成功; 当前距低点3.74%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
24,67.29626292557055,61.37299717990273,002590,万安科技,bottom_area,2026-04-09,12.33,16.25,2026-04-07,11.75,4.9361702127659575,6.553191489361698,27.692307692307693,24.123076923076923,False,-1.281,1.1335,2,3,2,66.66666666666666,26.45590644270131,30.204778156996575,15.063829787234043,4.9361702127659575,历史2/3次成功; 当前距低点4.94%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
25,66.89879973321884,60.368325047501095,002045,国光电器,bottom_area,2026-04-09,11.74,16.38,2026-03-23,11.25,4.355555555555558,6.4888888888888925,31.318681318681314,28.327228327228323,False,-1.0952,1.9727,4,8,4,50.0,33.38167588262236,40.89958158995815,15.644444444444444,4.355555555555558,历史4/8次成功; 当前距低点4.36%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
26,66.39941823064736,59.46637201471388,600121,郑州煤电,bottom_area,2026-04-09,4.22,5.69,2026-04-07,4.06,3.9408866995073932,6.896551724137938,28.646748681898078,25.834797891036914,False,-1.6317,3.8434,3,6,3,50.0,23.44942843865986,29.452054794520542,16.05911330049261,3.9408866995073932,历史3/6次成功; 当前距低点3.94%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
27,65.76748513549907,54.8062376129159,600696,退市岩石,bottom_area,2026-04-09,1.32,1.82,2026-04-09,1.32,0.0,2.2727272727272747,27.47252747252747,27.47252747252747,False,-5.036,1.404,2,5,2,40.0,34.06579361782736,46.45858343337334,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
28,65.48925215217898,57.952125945406465,600325,华发股份,bottom_area,2026-04-09,3.46,4.6,2026-04-07,3.35,3.2835820895522354,5.07462686567164,27.173913043478255,24.78260869565217,False,-1.7045,1.2254,2,5,2,40.0,28.917704890244938,32.553606237816766,16.716417910447767,3.2835820895522354,历史2/5次成功; 当前距低点3.28%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
29,65.25578658204822,56.57095051679395,600185,珠免集团,bottom_area,2026-04-09,5.68,8.28,2026-04-03,5.56,2.158273381294966,4.676258992805768,32.850241545893724,31.40096618357488,False,-2.2375,1.02,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,17.841726618705035,2.158273381294966,历史1/3次成功; 当前距低点2.16%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
30,65.16017333028395,56.591164234794554,000037,深南电A,bottom_area,2026-04-09,9.51,13.02,2026-04-07,9.3,2.2580645161290223,6.666666666666658,28.571428571428566,26.95852534562212,False,-3.8423,10.1679,3,10,3,30.0,40.91156629875658,45.16765285996055,17.74193548387098,2.2580645161290223,历史3/10次成功; 当前距低点2.26%; 最新日涨幅-3.84%; 状态bottom_area; 底部未确认
31,65.00577482942191,58.74965901486371,002481,双塔食品,bottom_area,2026-04-09,4.47,6.06,2026-03-23,4.28,4.439252336448586,9.345794392523352,29.37293729372936,26.237623762376238,True,-1.9737,0.681,2,5,2,40.0,38.17824915035744,54.6583850931677,15.560747663551416,4.439252336448586,历史2/5次成功; 当前距低点4.44%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
