rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.91287280231523,84.8051278649128,600048,保利发展,bottom_area,2025-12-25,6.28,2025-12-17,6.19,1.4539579967689797,2.9079159935379595,27.60233918128655,False,0.3195,0.5508,2,2,2,100.0,31.721247836269217,31.987577639751546,13.54604200323102,1.4539579967689797,历史2/2次成功; 当前距低点1.45%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
12,64.37545076135271,59.02770870284618,002728,特一药业,bottom_area,2025-12-25,11.22,2025-12-19,10.91,2.8414298808432674,4.12465627864344,27.508305647840537,False,1.0811,6.8851,1,4,1,25.0,39.3073593073593,39.3073593073593,12.158570119156732,2.8414298808432674,历史1/4次成功; 当前距低点2.84%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
13,62.246517884824236,59.408764920673896,600222,太龙药业,bottom_area,2025-12-25,6.94,2025-12-16,6.61,4.992435703479577,8.623298033282895,29.978813559322028,True,1.1662,3.4629,1,2,1,50.0,37.696335078534034,37.696335078534034,10.007564296520421,4.992435703479577,历史1/2次成功; 当前距低点4.99%; 最新日涨幅1.17%; 状态bottom_area; 底部已确认
14,60.18361892699285,56.80520415364452,002468,申通快递,bottom_area,2025-12-25,14.25,2025-11-21,13.65,4.395604395604393,9.010989010989015,31.988041853512705,True,0.0,0.589,1,2,1,50.0,16.382699868938413,16.382699868938413,10.604395604395606,4.395604395604393,历史1/2次成功; 当前距低点4.40%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
15,59.96033465983559,54.57311688311689,000890,法尔胜,bottom_area,2025-12-25,5.45,2025-12-24,5.32,2.4436090225563887,6.203007518796993,31.9693094629156,False,-1.6245,9.9797,1,4,1,25.0,32.954545454545446,32.954545454545446,12.556390977443609,2.4436090225563887,历史1/4次成功; 当前距低点2.44%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
16,59.59387764396446,55.73733642759073,300056,中创环保,bottom_area,2025-12-25,8.78,2025-12-17,8.45,3.9053254437869835,8.284023668639067,29.34782608695653,True,-0.2273,3.7664,1,2,1,50.0,27.10472279260781,27.10472279260781,11.094674556213016,3.9053254437869835,历史1/2次成功; 当前距低点3.91%; 最新日涨幅-0.23%; 状态bottom_area; 底部已确认
17,59.14741096285165,55.02084740730386,002589,瑞康医药,bottom_area,2025-12-25,3.44,2025-12-17,3.32,3.6144578313253044,7.831325301204826,29.211087420042652,True,-1.4327,5.8304,2,7,2,28.57142857142857,32.78239542171958,37.073170731707336,11.385542168674695,3.6144578313253044,历史2/7次成功; 当前距低点3.61%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
18,58.76533168064466,55.66652771549505,000665,湖北广电,bottom_area,2025-12-25,5.47,2025-12-17,5.23,4.588910133843199,5.927342256214141,27.46185852981969,False,0.1832,1.3095,2,7,2,28.57142857142857,34.919124227805554,43.606557377049185,10.4110898661568,4.588910133843199,历史2/7次成功; 当前距低点4.59%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
19,58.09928050393282,55.03607188405799,301487,盟固利,bottom_area,2025-12-25,21.65,2025-12-17,20.7,4.589371980676325,5.169082125603866,28.000000000000004,False,0.4174,3.5581,1,2,1,50.0,18.439999999999998,18.439999999999998,10.410628019323676,4.589371980676325,历史1/2次成功; 当前距低点4.59%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
20,57.841935232831425,54.896430976430956,601162,天风证券,bottom_area,2025-12-25,4.24,2025-12-17,4.05,4.691358024691368,5.925925925925932,27.678571428571423,False,0.2364,1.4044,1,2,1,50.0,18.939393939393938,18.939393939393938,10.308641975308632,4.691358024691368,历史1/2次成功; 当前距低点4.69%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
21,57.74680510444694,54.43470916408063,002632,道明光学,bottom_area,2025-12-25,12.54,2025-12-19,12.02,4.326123128119797,7.071547420965056,27.28372655777375,True,-0.9479,6.4683,1,2,1,50.0,25.259515570934255,25.259515570934255,10.673876871880204,4.326123128119797,历史1/2次成功; 当前距低点4.33%; 最新日涨幅-0.95%; 状态bottom_area; 底部已确认
22,56.23128676687515,49.59746911008539,001330,博纳影业,bottom_area,2025-12-25,7.94,2025-12-24,7.88,0.7614213197969607,7.868020304568529,28.16773017319964,False,-4.222,13.1333,1,4,1,25.0,35.637149028077765,35.637149028077765,14.238578680203041,0.7614213197969607,历史1/4次成功; 当前距低点0.76%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
