rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.70999110853828,86.01050013569127,000665,湖北广电,bottom_area,2025-04-03,4.98,2025-03-31,4.9,1.632653061224491,8.367346938775494,27.83505154639175,True,-0.994,4.0794,6,6,6,100.0,20.33843610367265,43.606557377049185,8.367346938775508,1.632653061224491,历史6/6次成功; 当前距低点1.63%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
12,80.58872518526967,77.43943316856846,002725,跃岭股份,bottom_area,2025-04-03,11.68,2025-03-31,11.35,2.907488986784142,6.1674008810572785,29.10680824484698,False,-0.3413,3.222,3,3,3,100.0,15.744666980840336,18.562874251497018,7.092511013215859,2.907488986784142,历史3/3次成功; 当前距低点2.91%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
13,80.57993600457425,75.20794027093596,603280,南方路机,bottom_area,2025-04-03,23.52,2025-03-31,23.2,1.3793103448275874,5.6896551724137945,28.240024744819053,False,-1.6311,10.9529,1,1,1,100.0,18.348214285714302,18.348214285714302,8.620689655172413,1.3793103448275874,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
14,80.30387543930378,77.36080147032406,002279,久其软件,bottom_area,2025-04-03,6.44,2025-03-31,6.25,3.0400000000000063,6.079999999999998,28.977272727272734,False,-1.0753,1.8278,3,3,3,100.0,16.94624446410791,25.915492957746476,6.959999999999994,3.0400000000000063,历史3/3次成功; 当前距低点3.04%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
15,79.91466214724622,75.15161373552554,688023,安恒信息,bottom_area,2025-04-03,51.61,2025-03-31,50.71,1.7747978702425529,6.487872214553341,29.451864218141345,False,-2.1982,1.7272,3,4,3,75.0,27.05996171870196,39.261744966442954,8.225202129757447,1.7747978702425529,历史3/4次成功; 当前距低点1.77%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
16,79.83852359122992,73.8003159246663,000536,华映科技,bottom_area,2025-04-03,4.62,2025-03-31,4.58,0.873362445414848,6.1135371179039355,27.3015873015873,False,-1.2821,1.7218,3,3,3,100.0,11.083775807592168,11.280487804878053,9.126637554585153,0.873362445414848,历史3/3次成功; 当前距低点0.87%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
17,79.53257746222174,73.52721343312851,301366,一博科技,bottom_area,2025-04-03,51.57,2025-04-03,51.12,0.8802816901408507,4.166666666666672,32.29139072847683,False,-2.9727,4.4148,2,2,2,100.0,26.366966057256242,36.479591836734706,9.11971830985915,0.8802816901408507,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
18,79.04439494315464,74.73507413611267,600579,中化装备,bottom_area,2025-04-03,7.44,2025-04-03,7.29,2.0576131687242847,4.25240054869684,29.497098646034814,False,-2.4902,3.6954,1,1,1,100.0,24.120603015075385,24.120603015075385,7.942386831275716,2.0576131687242847,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
19,78.97005786406189,74.18034694819833,300697,电工合金,bottom_area,2025-04-03,15.41,2025-04-03,15.15,1.7161716171617147,4.1584158415841515,28.571428571428577,False,-2.0343,6.4321,3,4,3,75.0,21.11945287810241,31.64400494437578,8.283828382838285,1.7161716171617147,历史3/4次成功; 当前距低点1.72%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
20,78.86948074390297,74.09712362882604,601798,蓝科高新,bottom_area,2025-04-03,6.49,2025-03-31,6.38,1.724137931034488,5.799373040752353,29.96706915477497,False,0.0,3.1554,4,6,4,66.66666666666666,16.35210454256991,21.74721189591078,8.275862068965512,1.724137931034488,历史4/6次成功; 当前距低点1.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
21,78.77587112909069,74.46272942470867,601789,宁波建工,bottom_area,2025-04-03,5.49,2025-03-31,5.38,2.044609665427515,7.063197026022302,27.882037533512065,True,-0.7233,3.6598,1,1,1,100.0,13.303437967115093,13.303437967115093,7.955390334572485,2.044609665427515,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
