rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.30109118833401,83.41160311386729,001206,依依股份,bottom_area,2026-03-13,22.34,31.9,2026-03-04,22.0,1.5454545454545447,6.045454545454538,31.034482758620683,29.968652037617556,False,0.4045,3.0247,1,1,1,100.0,42.01741654571844,42.01741654571844,18.454545454545457,1.5454545454545447,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
12,83.66337399457487,76.00921633415491,605116,奥锐特,bottom_area,2026-03-13,25.7,35.58,2026-03-04,24.54,4.726976365118175,7.008964955175234,31.02866779089376,27.768409218662164,True,0.2731,0.6985,1,1,1,100.0,32.02538949798039,32.02538949798039,15.273023634881827,4.726976365118175,历史1/1次成功; 当前距低点4.73%; 最新日涨幅0.27%; 状态bottom_area; 底部已确认
13,83.33265054048803,70.62979841559897,301226,祥明智能,bottom_area,2026-03-13,34.94,50.0,2026-03-13,34.62,0.9243212016175629,4.621606008087815,30.760000000000005,30.12,False,-2.1563,4.6711,1,1,1,100.0,27.995971802618342,27.995971802618342,19.07567879838244,0.9243212016175629,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
14,82.84501325901496,71.24747272926469,601519,大智慧,bottom_area,2026-03-13,11.23,15.88,2026-03-09,11.04,1.721014492753635,5.072463768115947,30.478589420654924,29.282115869017634,False,-2.1777,1.1477,2,3,2,66.66666666666666,40.13289841976505,40.138408304498256,18.278985507246365,1.721014492753635,历史2/3次成功; 当前距低点1.72%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
15,81.07130911121489,67.7682339437663,000759,中百集团,bottom_area,2026-03-13,5.95,8.42,2026-03-13,5.94,0.16835016835016475,2.693602693602681,29.45368171021377,29.334916864608076,False,-1.9769,2.8381,2,3,2,66.66666666666666,42.233363768483954,49.78038067349927,19.831649831649838,0.16835016835016475,历史2/3次成功; 当前距低点0.17%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
16,80.10042631221225,68.05492246395883,002842,翔鹭钨业,bottom_area,2026-03-13,34.43,47.7,2026-03-13,34.07,1.056648077487524,8.306427942471377,28.574423480083862,27.819706498951785,False,-7.9412,19.4448,2,3,2,66.66666666666666,25.039857064321065,29.70588235294118,18.943351922512477,1.056648077487524,历史2/3次成功; 当前距低点1.06%; 最新日涨幅-7.94%; 状态bottom_area; 底部未确认
17,79.55472459260038,69.49237913945281,301413,安培龙,bottom_area,2026-03-13,125.14,178.99,2026-03-09,122.0,2.573770491803279,9.18032786885245,31.839767584781274,30.08547963573384,True,-1.6582,3.1024,2,3,2,66.66666666666666,31.956501043535567,40.258064516129025,17.426229508196723,2.573770491803279,历史2/3次成功; 当前距低点2.57%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
18,76.35356755194401,66.72902613921556,601689,拓普集团,bottom_area,2026-03-13,63.12,85.5,2026-03-09,61.52,2.6007802340702115,7.038361508452522,28.046783625730992,26.17543859649123,True,-2.0028,0.8504,2,4,2,50.0,36.87529609083685,47.99107142857144,17.39921976592979,2.6007802340702115,历史2/4次成功; 当前距低点2.60%; 最新日涨幅-2.00%; 状态bottom_area; 底部已确认
19,75.06462456089835,64.31551364525659,603236,移远通信,bottom_area,2026-03-13,78.98,107.04,2026-03-09,77.8,1.5167095115681322,6.413881748071991,27.31689088191331,26.21449925261585,False,-0.3155,1.5901,2,5,2,40.0,41.47102866468776,43.55271994627266,18.48329048843187,1.5167095115681322,历史2/5次成功; 当前距低点1.52%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
20,74.45628450551251,65.20019546455002,688318,财富趋势,bottom_area,2026-03-13,114.86,163.63,2026-03-09,111.83,2.709469730841457,7.287847625860687,31.656786652814272,29.805047974087877,True,-2.5371,0.6738,4,8,4,50.0,29.988099198218027,36.949152542372886,17.290530269158545,2.709469730841457,历史4/8次成功; 当前距低点2.71%; 最新日涨幅-2.54%; 状态bottom_area; 底部已确认
21,74.05699066677991,66.91423904974019,300725,药石科技,bottom_area,2026-03-13,37.51,51.15,2026-03-04,35.92,4.426503340757228,5.929844097995533,29.775171065493637,26.666666666666668,False,-0.5831,2.2813,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,15.573496659242773,4.426503340757228,历史2/3次成功; 当前距低点4.43%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
22,73.26620415371339,66.7426996287488,688045,必易微,bottom_area,2026-03-13,46.04,60.6,2026-03-09,43.9,4.8747152619589995,10.000000000000002,27.557755775577565,24.02640264026403,True,0.1305,2.3434,3,5,3,60.0,20.683066806533947,21.048975338659265,15.125284738041,4.8747152619589995,历史3/5次成功; 当前距低点4.87%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
