rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.82652942686074,85.15762852404646,603273,天元智能,confirmed_rebound,2024-06-20,18.74,2024-06-06,18.09,3.5931453841901524,9.729132117191828,29.418650019508384,True,-2.9518,4.2734,4,4,4,100.0,57.78033351396116,201.34228187919464,4.406854615809848,3.5931453841901524,历史4/4次成功; 当前距低点3.59%; 最新日涨幅-2.95%; 状态confirmed_rebound; 底部已确认
18,78.1806666666667,76.15000000000002,002491,通鼎互联,confirmed_rebound,2024-06-20,3.51,2024-06-06,3.42,2.6315789473684172,8.479532163742691,29.48453608247422,True,-3.5714,0.6049,1,1,1,100.0,52.39520958083833,52.39520958083833,5.368421052631583,2.6315789473684172,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-3.57%; 状态confirmed_rebound; 底部已确认
19,77.99650939498572,73.12614338771384,002615,哈尔斯,bottom_area,2024-06-20,6.21,2024-06-06,6.17,0.6482982171799033,7.77957860615884,27.41176470588235,True,-2.9688,2.6081,1,1,1,100.0,28.84012539184954,28.84012539184954,7.351701782820097,0.6482982171799033,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.97%; 状态bottom_area; 底部已确认
20,77.88891675764447,72.74764800198825,600185,珠免集团,bottom_area,2024-06-20,4.46,2024-06-20,4.44,0.4504504504504408,5.1801801801801695,28.95999999999999,False,-4.4968,0.9781,2,2,2,100.0,27.12190875814659,38.80903490759753,7.5495495495495595,0.4504504504504408,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-4.50%; 状态bottom_area; 底部未确认
21,77.85221309551132,76.55312968271375,300749,顶固集创,confirmed_rebound,2024-06-20,5.28,2024-06-06,5.12,3.1250000000000027,9.765625,28.391608391608393,True,-2.9412,1.835,3,3,3,100.0,14.667363885557775,20.833333333333336,4.874999999999997,3.1250000000000027,历史3/3次成功; 当前距低点3.13%; 最新日涨幅-2.94%; 状态confirmed_rebound; 底部已确认
22,77.62768394249791,73.55392793385371,300459,汤姆猫,bottom_area,2024-06-20,3.38,2024-06-11,3.34,1.1976047904191627,7.4850299401197615,27.391304347826086,True,-3.1519,2.1253,3,4,3,75.0,12.416488473168846,15.133531157270022,6.802395209580838,1.1976047904191627,历史3/4次成功; 当前距低点1.20%; 最新日涨幅-3.15%; 状态bottom_area; 底部已确认
23,77.61213471702006,72.07118930814221,300722,新余国科,confirmed_rebound,2024-06-20,20.01,2024-06-20,19.98,0.15015015015015584,8.058058058058055,32.22523744911804,False,-9.5389,6.6184,6,7,6,85.71428571428571,27.638034987244176,45.90377113133938,7.849849849849844,0.15015015015015584,历史6/7次成功; 当前距低点0.15%; 最新日涨幅-9.54%; 状态confirmed_rebound; 底部未确认
24,77.50424112559934,72.57108527131784,000718,苏宁环球,bottom_area,2024-06-20,1.73,2024-06-20,1.72,0.5813953488372098,4.069767441860469,29.795918367346946,False,-3.352,1.097,2,2,2,100.0,27.77777777777778,36.111111111111114,7.41860465116279,0.5813953488372098,历史2/2次成功; 当前距低点0.58%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
25,77.43995054275548,75.48494477870274,603119,浙江荣泰,bottom_area,2024-06-20,18.07,2024-06-19,17.6,2.6704545454545388,4.715909090909081,32.30769230769231,False,0.8934,1.7978,1,1,1,100.0,13.191296464188579,13.191296464188579,5.329545454545462,2.6704545454545388,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
26,77.27564984377226,72.31466565730919,603366,日出东方,bottom_area,2024-06-20,3.65,2024-06-20,3.63,0.5509641873278243,3.030303030303039,30.725190839694662,False,-2.4064,0.6497,2,2,2,100.0,15.811096797938903,17.583732057416277,7.449035812672176,0.5509641873278243,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
27,76.9480937022118,71.5215388497985,002410,广联达,bottom_area,2024-06-20,10.08,2024-06-20,10.06,0.19880715705764984,4.47316103379721,28.347578347578338,False,-4.0913,1.7444,4,5,4,80.0,27.445264343494348,45.94594594594595,7.801192842942351,0.19880715705764984,历史4/5次成功; 当前距低点0.20%; 最新日涨幅-4.09%; 状态bottom_area; 底部未确认
28,76.91714455025938,77.19749863089037,300584,海辰药业,confirmed_rebound,2024-06-20,15.42,2024-06-06,14.8,4.189189189189184,10.540540540540531,27.734375,True,-2.2194,2.4676,3,3,3,100.0,31.17661280775102,54.23197492163009,3.8108108108108163,4.189189189189184,历史3/3次成功; 当前距低点4.19%; 最新日涨幅-2.22%; 状态confirmed_rebound; 底部已确认
29,76.14995504027576,73.36963213819672,300621,维业股份,confirmed_rebound,2024-06-20,7.41,2024-06-06,7.26,2.066115702479344,8.815426997245188,32.02247191011236,True,-5.364,2.0516,1,1,1,100.0,28.120300751879686,28.120300751879686,5.933884297520656,2.066115702479344,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-5.36%; 状态confirmed_rebound; 底部已确认
30,75.87960336104221,75.52174966821472,688023,安恒信息,confirmed_rebound,2024-06-20,43.39,2024-06-11,41.82,3.754184600669537,9.49306551889048,28.853351480095274,True,-1.2292,3.4674,2,2,2,100.0,33.50156213839389,39.261744966442954,4.245815399330463,3.754184600669537,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-1.23%; 状态confirmed_rebound; 底部已确认
31,75.55315555935759,69.9566255179237,001322,箭牌家居,bottom_area,2024-06-20,7.63,2024-06-20,7.63,0.0,3.6697247706422047,32.35815602836879,False,-3.5398,1.9992,2,2,2,100.0,18.85282536518115,26.897069872276486,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
32,74.96076958721704,69.72862635876909,605298,必得科技,bottom_area,2024-06-20,8.38,2024-06-20,8.36,0.23923444976078173,4.066985645933013,28.851063829787236,False,-2.5581,0.427,1,1,1,100.0,14.753123140987512,14.753123140987512,7.760765550239218,0.23923444976078173,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
33,74.71384754900139,73.63084675370033,002589,瑞康医药,confirmed_rebound,2024-06-20,2.23,2024-06-06,2.16,3.240740740740733,12.037037037037027,29.18032786885245,True,-2.193,0.8763,5,6,5,83.33333333333334,19.819367254063703,37.073170731707336,4.7592592592592675,3.240740740740733,历史5/6次成功; 当前距低点3.24%; 最新日涨幅-2.19%; 状态confirmed_rebound; 底部已确认
34,74.60259393577962,69.6993800102337,000886,海南高速,bottom_area,2024-06-20,4.31,2024-06-20,4.29,0.46620046620045624,3.729603729603733,31.13964686998395,False,-2.9279,1.6471,1,1,1,100.0,17.378048780487816,17.378048780487816,7.533799533799544,0.46620046620045624,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
35,74.14846081816154,71.24771441793501,002544,普天科技,confirmed_rebound,2024-06-20,19.06,2024-06-06,18.7,1.9251336898395692,8.28877005347594,28.761904761904766,True,-3.1996,0.8358,1,1,1,100.0,14.983974358974352,14.983974358974352,6.074866310160431,1.9251336898395692,历史1/1次成功; 当前距低点1.93%; 最新日涨幅-3.20%; 状态confirmed_rebound; 底部已确认
36,74.06388567516804,69.74571612057258,000034,神州数码,bottom_area,2024-06-20,23.0,2024-06-20,22.8,0.8771929824561372,4.210526315789477,27.31909467644246,False,-3.4019,5.4543,2,2,2,100.0,16.213527529960025,16.910866910866908,7.122807017543862,0.8771929824561372,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
37,73.70187297427212,69.28495696758836,600231,凌钢股份,bottom_area,2024-06-20,1.28,2024-06-20,1.27,0.7874015748031503,6.2992125984252025,27.84090909090909,False,-3.7594,0.496,1,1,1,100.0,29.302325581395344,29.302325581395344,7.212598425196851,0.7874015748031503,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
38,73.69012393599576,68.8692747065381,000897,津滨发展,bottom_area,2024-06-20,2.08,2024-06-20,2.07,0.48309178743962466,2.898550724637684,27.368421052631586,False,-2.3474,1.9165,1,1,1,100.0,13.122171945701359,13.122171945701359,7.516908212560375,0.48309178743962466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
39,73.30734339622641,67.87716981132075,000402,金融街,bottom_area,2024-06-20,2.43,2024-06-20,2.43,0.0,3.292181069958832,30.571428571428566,False,-3.5714,0.9389,1,1,1,100.0,24.339622641509433,24.339622641509433,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
40,72.97800869492447,68.44874094315406,002244,滨江集团,bottom_area,2024-06-20,7.52,2024-06-20,7.47,0.6693440428380164,3.212851405622493,29.19431279620854,False,-2.5907,1.5353,1,1,1,100.0,13.14432989690721,13.14432989690721,7.3306559571619845,0.6693440428380164,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
41,72.80525481892579,71.14047100759166,300668,杰恩股份,confirmed_rebound,2024-06-20,14.7,2024-06-06,14.3,2.7972027972027873,11.678321678321678,27.48478701825557,True,-3.3531,0.6062,1,1,1,100.0,25.097276264591432,25.097276264591432,5.202797202797213,2.7972027972027873,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-3.35%; 状态confirmed_rebound; 底部已确认
42,72.5587682402376,67.71201358371879,601778,晶科科技,bottom_area,2024-06-20,2.47,2024-06-20,2.46,0.40650406504065983,5.691056910569111,28.901734104046245,False,-4.6332,1.4703,3,4,3,75.0,20.34324113984674,42.344827586206904,7.593495934959341,0.40650406504065983,历史3/4次成功; 当前距低点0.41%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
43,72.25970940933419,67.39695548878487,002792,通宇通讯,bottom_area,2024-06-20,10.6,2024-06-20,10.56,0.3787878787878707,4.734848484848484,27.47252747252747,False,-4.3321,3.3908,1,1,1,100.0,14.14296694850115,14.14296694850115,7.62121212121213,0.3787878787878707,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-4.33%; 状态bottom_area; 底部未确认
44,71.21252093703418,67.13583868439159,603307,扬州金泉,bottom_area,2024-06-20,32.37,2024-06-20,32.07,0.9354536950420865,3.679451200498908,27.427019687712146,False,-2.0278,2.3118,1,1,1,100.0,9.347704887567367,9.347704887567367,7.064546304957914,0.9354536950420865,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
45,71.18649012461117,70.9930724658806,002524,光正眼科,confirmed_rebound,2024-06-20,3.23,2024-06-06,3.11,3.858520900321547,12.218649517684899,31.34657836644592,True,-2.7108,1.1122,2,2,2,100.0,10.432796336632958,10.940499040307108,4.141479099678453,3.858520900321547,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-2.71%; 状态confirmed_rebound; 底部已确认
46,70.78687855368419,70.24824906130571,300642,透景生命,confirmed_rebound,2024-06-20,11.79,2024-06-06,11.38,3.602811950790846,8.963093145869943,27.28434504792332,True,-1.5038,0.8334,1,1,1,100.0,19.960539296284104,19.960539296284104,4.397188049209154,3.602811950790846,历史1/1次成功; 当前距低点3.60%; 最新日涨幅-1.50%; 状态confirmed_rebound; 底部已确认
47,69.95670799112978,70.5557541009715,688265,南模生物,bottom_area,2024-06-20,21.86,2024-06-06,20.93,4.443382704252268,6.688963210702334,28.125000000000007,False,2.1018,0.6079,1,1,1,100.0,8.422939068100368,8.422939068100368,3.5566172957477327,4.443382704252268,历史1/1次成功; 当前距低点4.44%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
48,69.38536518126308,70.67939591239548,002278,神开股份,confirmed_rebound,2024-06-20,4.02,2024-06-06,3.83,4.960835509138368,11.22715404699738,30.990990990990987,True,-1.9512,2.6781,2,2,2,100.0,22.258606845327712,33.74485596707818,3.0391644908616318,4.960835509138368,历史2/2次成功; 当前距低点4.96%; 最新日涨幅-1.95%; 状态confirmed_rebound; 底部已确认
49,69.38235983368554,70.26792824443734,002162,悦心健康,confirmed_rebound,2024-06-20,2.92,2024-06-06,2.79,4.659498207885301,9.318996415770602,28.64450127877238,True,-3.3113,1.0129,1,1,1,100.0,43.23432343234324,43.23432343234324,3.340501792114699,4.659498207885301,历史1/1次成功; 当前距低点4.66%; 最新日涨幅-3.31%; 状态confirmed_rebound; 底部已确认
50,68.88805920301841,67.79934637159033,000590,古汉医药,confirmed_rebound,2024-06-20,5.53,2024-06-06,5.36,3.1716417910447747,9.328358208955223,31.016731016731008,True,-3.3217,1.275,1,1,1,100.0,11.724137931034493,11.724137931034493,4.828358208955225,3.1716417910447747,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-3.32%; 状态confirmed_rebound; 底部已确认
51,67.52110267570187,65.10484055211808,688092,爱科科技,bottom_area,2024-06-20,22.31,2024-06-17,21.85,2.1052631578947243,4.622425629290609,32.35294117647058,False,0.3599,1.4471,1,2,1,50.0,42.12279866730127,42.12279866730127,5.894736842105276,2.1052631578947243,历史1/2次成功; 当前距低点2.11%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
52,67.23144261044338,62.659027118045465,002218,拓日新能,bottom_area,2024-06-20,2.96,2024-06-20,2.95,0.3389830508474504,4.406779661016945,28.743961352656992,False,-3.5831,1.9267,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,7.6610169491525495,0.3389830508474504,历史2/3次成功; 当前距低点0.34%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
53,67.09433831974741,62.29077765714379,000002,万科A,bottom_area,2024-06-20,7.21,2024-06-20,7.2,0.13888888888888593,3.611111111111108,27.419354838709676,False,-3.4806,1.874,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,7.861111111111114,0.13888888888888593,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
54,66.50324868761402,67.59834182518196,002786,银宝山新,confirmed_rebound,2024-06-20,8.0,2024-06-06,7.63,4.849279161205768,11.533420707732633,29.547553093259467,True,-3.8462,2.0355,5,6,5,83.33333333333334,17.319166555902065,22.074688796680498,3.150720838794232,4.849279161205768,历史5/6次成功; 当前距低点4.85%; 最新日涨幅-3.85%; 状态confirmed_rebound; 底部已确认
55,66.25644559526388,67.37664407872434,002196,方正电机,confirmed_rebound,2024-06-20,4.09,2024-06-06,3.9,4.8717948717948705,11.538461538461533,29.602888086642604,True,-3.5377,1.4103,2,2,2,100.0,13.625464443100318,18.661971830985923,3.1282051282051295,4.8717948717948705,历史2/2次成功; 当前距低点4.87%; 最新日涨幅-3.54%; 状态confirmed_rebound; 底部已确认
56,65.22731315692579,66.39556354182596,002012,凯恩股份,confirmed_rebound,2024-06-20,3.41,2024-06-06,3.25,4.923076923076927,9.53846153846154,28.88402625820569,True,-3.125,1.2469,1,1,1,100.0,25.646123260437374,25.646123260437374,3.076923076923073,4.923076923076927,历史1/1次成功; 当前距低点4.92%; 最新日涨幅-3.12%; 状态confirmed_rebound; 底部已确认
57,59.89557445840916,56.6872816143029,000779,甘咨询,bottom_area,2024-06-20,7.11,2024-06-06,7.03,1.1379800853485074,7.254623044096725,27.30093071354705,False,-3.5278,1.5245,1,2,1,50.0,17.69825918762089,17.69825918762089,6.862019914651493,1.1379800853485074,历史1/2次成功; 当前距低点1.14%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
