rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,76.60663726845283,72.14834756511164,300432,富临精工,bottom_area,2025-11-26,15.39,2025-11-24,15.11,1.8530774321641372,4.367968232958306,27.320827320827323,False,-0.8376,2.4569,3,4,3,75.0,11.872925324977777,13.323239969719907,8.146922567835862,1.8530774321641372,历史3/4次成功; 当前距低点1.85%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
28,76.52899204335034,74.71644749021004,688766,普冉股份,bottom_area,2025-11-26,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,6.258333333333338,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
29,76.37804654755341,72.77431828626253,301291,明阳电气,bottom_area,2025-11-26,41.6,2025-11-24,40.6,2.463054187192118,4.926108374384236,27.0440251572327,False,-1.5385,2.9232,1,1,1,100.0,18.54882705946537,18.54882705946537,7.536945812807883,2.463054187192118,历史1/1次成功; 当前距低点2.46%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
30,75.04617693391131,74.42338708383735,688008,澜起科技,bottom_area,2025-11-26,117.11,2025-11-24,112.0,4.562499999999999,6.46428571428571,29.506545820745217,False,0.7051,1.9365,3,4,3,75.0,34.8434789453621,62.20095693779905,5.437500000000002,4.562499999999999,历史3/4次成功; 当前距低点4.56%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
31,74.87351651715514,74.56552846480054,300072,海新能科,bottom_area,2025-11-26,4.6,2025-11-24,4.39,4.783599088838268,7.5170842824601385,31.29890453834116,True,-1.2876,2.3256,1,1,1,100.0,47.4308300395257,47.4308300395257,5.216400911161732,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
32,74.4947778564862,72.33323380780553,002337,赛象科技,bottom_area,2025-11-26,5.99,2025-11-21,5.79,3.4542314335060476,5.1813471502590644,29.47624847746651,False,-0.3328,1.9672,3,4,3,75.0,32.49398643117915,60.465116279069754,6.545768566493954,3.4542314335060476,历史3/4次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
33,73.90450560396104,73.73303343318618,000797,中国武夷,confirmed_rebound,2025-11-26,3.44,2025-11-25,3.28,4.878048780487809,12.500000000000005,32.64887063655031,True,-6.7751,13.7786,4,4,4,100.0,14.542928240313852,21.169916434540383,5.121951219512192,4.878048780487809,历史4/4次成功; 当前距低点4.88%; 最新日涨幅-6.78%; 状态confirmed_rebound; 底部已确认
34,73.80019949547479,71.27380963518173,688665,四方光电,bottom_area,2025-11-26,47.17,2025-11-21,45.72,3.171478565179359,5.380577427821525,27.715415019762844,False,-0.9034,0.565,1,1,1,100.0,19.16548797736917,19.16548797736917,6.828521434820642,3.171478565179359,历史1/1次成功; 当前距低点3.17%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
35,73.74404717124379,67.94047106444918,301177,迪阿股份,bottom_area,2025-11-26,30.25,2025-11-21,30.04,0.6990679094540642,4.926764314247671,27.211049188272362,False,-0.5915,0.1718,1,1,1,100.0,10.776053215077603,10.776053215077603,9.300932090545937,0.6990679094540642,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
36,72.98063720384724,71.85040609670801,600333,长春燃气,bottom_area,2025-11-26,6.23,2025-11-24,5.98,4.1806020066889635,6.521739130434777,27.51515151515151,False,-0.638,4.1321,2,2,2,100.0,17.96870253741318,19.69026548672568,5.819397993311037,4.1806020066889635,历史2/2次成功; 当前距低点4.18%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
