rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.40239097199108,85.08854053640383,000661,长春高新,bottom_area,2025-12-01,100.09,2025-11-24,98.68,1.4288609647344919,2.452371301175504,30.394300627777387,False,0.8362,1.046,3,3,3,100.0,16.270664172034742,25.03526756324649,6.571139035265508,1.4288609647344919,历史3/3次成功; 当前距低点1.43%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
12,76.52693088492764,75.32574685769112,301291,明阳电气,bottom_area,2025-12-01,41.89,2025-11-24,40.6,3.1773399014778305,4.926108374384236,27.0440251572327,False,0.0239,2.6728,1,1,1,100.0,18.54882705946537,18.54882705946537,4.82266009852217,3.1773399014778305,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
13,76.2610354460123,76.15788706623859,603197,保隆科技,bottom_area,2025-12-01,35.44,2025-11-21,34.1,3.9296187683284347,4.222873900293248,27.431368376250266,False,0.1413,0.8276,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,4.070381231671565,3.9296187683284347,历史5/6次成功; 当前距低点3.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
14,75.97317563323591,74.57894193971036,600550,保变电气,bottom_area,2025-12-01,9.5,2025-11-28,9.22,3.036876355748366,4.121475054229924,29.076923076923073,False,-0.1052,2.8036,1,1,1,100.0,35.285053929121716,35.285053929121716,4.963123644251635,3.036876355748366,历史1/1次成功; 当前距低点3.04%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
15,75.4770560862366,72.8837264385839,300730,科创信息,confirmed_rebound,2025-12-01,13.58,2025-11-24,13.29,2.182091798344627,8.803611738148998,31.84615384615385,True,-1.1645,4.4323,3,4,3,75.0,20.881159886073412,24.329896907216508,5.817908201655373,2.182091798344627,历史3/4次成功; 当前距低点2.18%; 最新日涨幅-1.16%; 状态confirmed_rebound; 底部已确认
16,75.08855928588785,74.71644749021004,688766,普冉股份,bottom_area,2025-12-01,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,4.258333333333337,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,73.450287517327,74.56552846480054,300072,海新能科,bottom_area,2025-12-01,4.6,2025-11-24,4.39,4.783599088838268,7.972665148063794,31.29890453834116,True,-1.4989,2.4492,1,1,1,100.0,47.4308300395257,47.4308300395257,3.216400911161732,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.50%; 状态bottom_area; 底部已确认
18,73.31284072360356,73.66384084298078,002309,中利集团,bottom_area,2025-12-01,3.19,2025-11-21,3.06,4.248366013071892,6.862745098039215,29.49308755760368,False,-0.9317,2.5471,7,8,7,87.5,22.299007273035993,55.97014925373133,3.751633986928108,4.248366013071892,历史7/8次成功; 当前距低点4.25%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
19,73.23365425668504,72.91332375483327,603173,福斯达,bottom_area,2025-12-01,38.24,2025-11-24,36.85,3.772048846675714,5.427408412483039,32.86573146292585,False,-0.5203,2.5087,1,1,1,100.0,35.34190927555856,35.34190927555856,4.227951153324287,3.772048846675714,历史1/1次成功; 当前距低点3.77%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
20,72.58332982059662,70.67812670887817,688337,普源精电,bottom_area,2025-12-01,36.86,2025-11-21,35.92,2.6169265033407507,5.066815144766148,28.159999999999997,False,-0.1084,0.8835,4,6,4,66.66666666666666,31.387378870045207,54.46153846153845,5.383073496659249,2.6169265033407507,历史4/6次成功; 当前距低点2.62%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
21,72.38062598267855,73.71901671077812,300687,赛意信息,confirmed_rebound,2025-12-01,23.31,2025-11-24,22.21,4.952723998199,9.14002701485816,27.251883393383558,True,0.7347,1.993,2,2,2,100.0,16.028104444472227,23.299319727891156,3.0472760018010003,4.952723998199,历史2/2次成功; 当前距低点4.95%; 最新日涨幅0.73%; 状态confirmed_rebound; 底部已确认
22,72.23796977492061,73.19081416303064,003038,鑫铂股份,bottom_area,2025-12-01,16.1,2025-11-24,15.38,4.681404421326402,5.7867360208062335,28.76331635016211,False,1.0038,2.1034,1,1,1,100.0,25.507614213197975,25.507614213197975,3.3185955786735986,4.681404421326402,历史1/1次成功; 当前距低点4.68%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
23,70.35872309564529,66.29028078816846,600383,金地集团,bottom_area,2025-12-01,3.35,2025-12-01,3.32,0.9036144578313329,4.216867469879522,27.192982456140346,False,-3.1792,3.9431,3,4,3,75.0,18.793127699053183,32.594936708860764,7.096385542168668,0.9036144578313329,历史3/4次成功; 当前距低点0.90%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
24,69.73567087994901,68.94682673937781,603938,三孚股份,confirmed_rebound,2025-12-01,17.9,2025-11-21,17.31,3.4084344309647596,8.08781051415368,27.45180217937972,False,-1.323,2.2181,1,1,1,100.0,19.774501300954046,19.774501300954046,4.59156556903524,3.4084344309647596,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-1.32%; 状态confirmed_rebound; 底部未确认
25,69.52995585912969,68.661490732932,301150,中一科技,confirmed_rebound,2025-12-01,44.78,2025-11-27,43.33,3.3464112624048066,9.623817216708982,32.0846394984326,True,-1.4741,7.6786,1,1,1,100.0,8.286604361370706,8.286604361370706,4.653588737595193,3.3464112624048066,历史1/1次成功; 当前距低点3.35%; 最新日涨幅-1.47%; 状态confirmed_rebound; 底部已确认
26,64.83959416771573,66.09250981582542,002017,东信和平,bottom_area,2025-12-01,21.86,2025-11-24,20.82,4.995196926032657,5.523535062439954,27.88361621059924,False,2.2451,2.7045,2,3,2,66.66666666666666,30.080065271576377,50.390015600624025,3.0048030739673437,4.995196926032657,历史2/3次成功; 当前距低点5.00%; 最新日涨幅2.25%; 状态bottom_area; 底部未确认
27,61.58916794595334,57.667760249019985,000002,万科A,bottom_area,2025-12-01,5.2,2025-12-01,5.17,0.5802707930367553,3.2882011605415844,27.591036414565824,False,-3.3457,3.3059,2,4,2,50.0,22.638589554536463,28.255902513328245,7.419729206963245,0.5802707930367553,历史2/4次成功; 当前距低点0.58%; 最新日涨幅-3.35%; 状态bottom_area; 底部未确认
28,48.88445094032615,49.74597338441376,002468,申通快递,bottom_area,2025-12-01,14.32,2025-11-21,13.65,4.908424908424908,6.2271062271062245,31.988041853512705,False,-0.3479,0.6464,1,2,1,50.0,16.382699868938413,16.382699868938413,3.0915750915750926,4.908424908424908,历史1/2次成功; 当前距低点4.91%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
