rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.43189971105274,77.25566781368657,002313,日海智能,bottom_area,2024-12-23,8.86,2024-12-23,8.83,0.3397508493771162,9.39977349943375,28.21138211382114,False,-8.4711,7.808,4,4,4,100.0,16.66827822723863,20.08238928939237,9.660249150622885,0.3397508493771162,历史4/4次成功; 当前距低点0.34%; 最新日涨幅-8.47%; 状态bottom_area; 底部未确认
18,75.16605498821956,68.78717508421613,605337,李子园,bottom_area,2024-12-23,11.56,2024-12-23,11.52,0.34722222222223026,6.423611111111113,30.89382123575286,False,-5.9398,4.0593,3,4,3,75.0,25.39699866066034,37.98882681564246,9.65277777777777,0.34722222222223026,历史3/4次成功; 当前距低点0.35%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
19,74.85879310344829,68.05344827586208,002348,高乐股份,bottom_area,2024-12-23,3.52,2024-12-23,3.52,0.0,5.397727272727272,30.43478260869565,False,-9.9744,8.033,1,1,1,100.0,25.287356321839088,25.287356321839088,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
20,73.41277491176314,66.73888628342102,002339,积成电子,bottom_area,2024-12-23,7.65,2024-12-23,7.65,0.0,8.75816993464052,28.169014084507044,False,-10.0,18.1279,4,6,4,66.66666666666666,40.44204095029229,82.94930875576038,10.0,0.0,历史4/6次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
21,72.87132066954979,67.11235506592017,603058,永吉股份,bottom_area,2024-12-23,8.88,2024-12-23,8.82,0.680272108843543,7.482993197278913,27.227722772277218,False,-6.1311,3.0833,1,1,1,100.0,16.308470290771165,16.308470290771165,9.319727891156457,0.680272108843543,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-6.13%; 状态bottom_area; 底部未确认
22,72.49768292682927,65.9069844789357,002670,国盛证券,bottom_area,2024-12-23,13.57,2024-12-23,13.57,0.0,4.495210022107586,29.101358411703238,False,-3.9632,5.1663,1,1,1,100.0,13.747228381374727,13.747228381374727,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
23,72.46087599736279,67.75077155948291,000716,黑芝麻,bottom_area,2024-12-23,6.89,2024-12-23,6.79,1.4727540500736325,8.5419734904271,31.552419354838708,False,-5.6164,10.7912,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,8.527245949926368,1.4727540500736325,历史2/3次成功; 当前距低点1.47%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
24,72.03000632648144,70.56544057862322,603078,江化微,confirmed_rebound,2024-12-23,17.49,2024-12-18,16.83,3.9215686274509816,10.398098633392753,27.799227799227804,True,-4.4262,4.2389,2,2,2,100.0,19.12159703877122,24.563540397888758,6.078431372549018,3.9215686274509816,历史2/2次成功; 当前距低点3.92%; 最新日涨幅-4.43%; 状态confirmed_rebound; 底部已确认
25,70.30380396685638,63.912549060778524,002712,思美传媒,confirmed_rebound,2024-12-23,5.81,2024-12-23,5.81,0.0,10.843373493975918,28.36004932182491,False,-9.9225,8.8957,3,4,3,75.0,17.40617774612109,22.379603399433442,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.92%; 状态confirmed_rebound; 底部未确认
26,70.05298754452197,64.06006068045484,000721,西安饮食,confirmed_rebound,2024-12-23,9.77,2024-12-23,9.74,0.3080082135523548,10.677618069815185,31.40845070422535,False,-9.3692,13.6941,5,7,5,71.42857142857143,17.45486624537592,20.485175202156327,9.691991786447646,0.3080082135523548,历史5/7次成功; 当前距低点0.31%; 最新日涨幅-9.37%; 状态confirmed_rebound; 底部未确认
27,66.20093036692217,60.444327726320225,600382,广东明珠,bottom_area,2024-12-23,4.41,2024-12-23,4.4,0.2272727272727224,5.909090909090904,29.599999999999994,False,-5.3648,1.7511,2,3,2,66.66666666666666,13.794854181910498,17.365269461077848,9.772727272727279,0.2272727272727224,历史2/3次成功; 当前距低点0.23%; 最新日涨幅-5.36%; 状态bottom_area; 底部未确认
28,66.09093122330273,60.74610778122474,300497,富祥股份,bottom_area,2024-12-23,8.74,2024-12-23,8.69,0.5753739930955203,4.142692750287702,32.89575289575289,False,-3.3186,2.1284,2,3,2,66.66666666666666,19.68437536997772,24.094025465230157,9.424626006904479,0.5753739930955203,历史2/3次成功; 当前距低点0.58%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
29,64.21975690512954,58.38159718648139,002291,遥望科技,bottom_area,2024-12-23,7.82,2024-12-23,7.82,0.0,5.62659846547314,27.12022367194781,False,-10.0115,18.2658,2,3,2,66.66666666666666,12.17704580545548,12.413793103448278,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
30,63.57117618299285,57.79197834817531,002114,罗平锌电,confirmed_rebound,2024-12-23,6.14,2024-12-23,6.14,0.0,10.912052117263842,32.601536772777166,False,-9.9707,8.742,2,3,2,66.66666666666666,19.222105814562603,24.096385542168683,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
31,61.89032880758117,56.26393527961924,002799,环球印务,confirmed_rebound,2024-12-23,7.73,2024-12-23,7.73,0.0,10.99611901681759,29.08256880733945,False,-10.0116,6.2905,2,3,2,66.66666666666666,11.006820499745029,11.202830188679236,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态confirmed_rebound; 底部未确认
32,59.196227084644214,54.09692662416925,002162,悦心健康,confirmed_rebound,2024-12-23,3.66,2024-12-23,3.65,0.27397260273973234,11.232876712328759,27.435387673956267,False,-9.1811,5.207,1,2,1,50.0,43.23432343234324,43.23432343234324,9.72602739726027,0.27397260273973234,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-9.18%; 状态confirmed_rebound; 底部未确认
33,58.275549926074156,53.94170036478489,300749,顶固集创,confirmed_rebound,2024-12-23,6.41,2024-12-23,6.35,0.9448818897637875,12.440944881889765,28.891377379619264,False,-9.9719,7.2714,2,4,2,50.0,17.290489642184564,20.833333333333336,9.055118110236213,0.9448818897637875,历史2/4次成功; 当前距低点0.94%; 最新日涨幅-9.97%; 状态confirmed_rebound; 底部未确认
34,53.33628456070661,48.83804369414099,000592,平潭发展,confirmed_rebound,2024-12-23,2.66,2024-12-23,2.65,0.3773584905660465,11.698113207547173,28.378378378378383,False,-9.215,10.0752,1,2,1,50.0,16.228070175438603,16.228070175438603,9.622641509433954,0.3773584905660465,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-9.21%; 状态confirmed_rebound; 底部未确认
35,52.367586206896554,47.606896551724134,002638,勤上股份,confirmed_rebound,2024-12-23,2.51,2024-12-23,2.51,0.0,10.756972111553786,27.034883720930235,False,-10.0358,5.2685,1,2,1,50.0,17.241379310344833,17.241379310344833,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态confirmed_rebound; 底部未确认
36,51.96969880414184,50.975555489286876,688299,长阳科技,confirmed_rebound,2024-12-23,14.87,2024-12-20,14.3,3.986013986013975,10.839160839160831,29.13776015857284,True,-2.1711,3.7765,1,2,1,50.0,12.707889125799577,12.707889125799577,6.013986013986025,3.986013986013975,历史1/2次成功; 当前距低点3.99%; 最新日涨幅-2.17%; 状态confirmed_rebound; 底部已确认
