rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.08544542175302,84.74078428416891,002690,美亚光电,bottom_area,2023-05-15,24.12,2023-05-15,23.65,1.9873150105708348,2.0718816067653365,28.765060240963862,False,1.1745,0.6025,3,3,3,100.0,21.246572625109707,27.355278093076052,6.012684989429165,1.9873150105708348,历史3/3次成功; 当前距低点1.99%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
12,82.8552309551074,81.04213251003442,688010,福光股份,bottom_area,2023-05-15,23.1,2023-05-15,22.46,2.849510240427429,3.7399821905609967,32.47143716175586,False,0.304,0.9043,2,2,2,100.0,28.59685945273632,42.08955223880597,5.150489759572571,2.849510240427429,历史2/2次成功; 当前距低点2.85%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
13,82.78566137060557,78.8141036899992,600160,巨化股份,bottom_area,2023-05-15,14.05,2023-05-15,13.85,1.4440433212996466,1.9494584837545095,27.29658792650919,False,1.1519,0.5458,1,1,1,100.0,16.05657237936772,16.05657237936772,6.555956678700353,1.4440433212996466,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
14,82.4860950406197,80.61401380428421,688181,八亿时空,bottom_area,2023-05-15,34.07,2023-05-15,33.14,2.8062764031382006,2.95715147857573,29.157759726378796,False,1.6408,0.6164,2,2,2,100.0,25.76518281418983,28.477257745550418,5.193723596861799,2.8062764031382006,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
15,82.25651947548356,80.67811946274988,688350,富淼科技,bottom_area,2023-05-15,16.52,2023-05-05,16.04,2.992518703241898,4.301745635910232,32.774518021793796,False,1.4119,1.2855,2,2,2,100.0,28.392807022265636,38.54748603351957,5.007481296758103,2.992518703241898,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
16,81.68171540246831,78.09972369848528,688289,圣湘生物,confirmed_rebound,2023-05-15,18.28,2023-04-26,17.98,1.668520578420471,12.45828698553948,27.058823529411757,False,0.883,0.5748,1,1,1,100.0,25.182530200451346,25.182530200451346,6.331479421579529,1.668520578420471,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.88%; 状态confirmed_rebound; 底部未确认
17,81.5560228536888,78.24411980262748,301367,瑞迈特,bottom_area,2023-05-15,209.81,2023-05-15,206.01,1.844570651910107,1.936799184505611,31.07728337236534,False,0.4164,2.6072,1,1,1,100.0,17.901832736465128,17.901832736465128,6.155429348089893,1.844570651910107,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
18,81.33509907287734,78.5457148054941,600199,金种子酒,bottom_area,2023-05-15,22.91,2023-05-15,22.42,2.1855486173059697,2.497769848349682,28.78017789072426,False,0.1749,1.4706,1,1,1,100.0,23.70304114490161,23.70304114490161,5.81445138269403,2.1855486173059697,历史1/1次成功; 当前距低点2.19%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
19,81.04791668211608,77.98700626480048,001201,东瑞股份,bottom_area,2023-05-15,24.5,2023-05-15,24.02,1.9983347210657803,2.0815986677768525,29.311359623307826,False,0.0,0.891,1,1,1,100.0,18.4043517679057,18.4043517679057,6.00166527893422,1.9983347210657803,历史1/1次成功; 当前距低点2.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,80.93416237717064,78.91543446167965,300661,圣邦股份,bottom_area,2023-05-15,122.31,2023-05-15,119.11,2.686592225673749,2.778943833431284,30.475134251692737,False,0.9075,0.4982,1,1,1,100.0,31.832606108687024,31.832606108687024,5.313407774326251,2.686592225673749,历史1/1次成功; 当前距低点2.69%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
21,80.86978912957667,78.79236277188444,002758,浙农股份,bottom_area,2023-05-15,12.41,2023-04-25,12.09,2.646815550041359,5.789909015715462,28.249258160237396,False,0.8943,1.2154,2,2,2,100.0,14.016678634294234,19.064430714916153,5.353184449958641,2.646815550041359,历史2/2次成功; 当前距低点2.65%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
22,80.61351855638455,74.64214681146717,002800,天顺股份,bottom_area,2023-05-15,14.48,2023-05-15,14.48,0.0,7.941988950276245,32.14620431115276,False,-4.9869,6.1157,4,4,4,100.0,10.7104667283181,11.768447837150124,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-4.99%; 状态bottom_area; 底部未确认
23,80.35188177814476,78.90528488852186,002079,苏州固锝,bottom_area,2023-05-15,12.48,2023-05-10,12.11,3.0553261767134683,4.624277456647404,28.512396694214885,False,1.0526,1.4795,2,2,2,100.0,19.631336405529957,22.488479262672804,4.944673823286531,3.0553261767134683,历史2/2次成功; 当前距低点3.06%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
24,80.16289774177658,77.7864183937824,688328,深科达,bottom_area,2023-05-15,19.77,2023-05-15,19.3,2.4352331606217557,2.4352331606217557,30.04711852120333,False,1.1253,1.1315,1,1,1,100.0,22.681451612903224,22.681451612903224,5.564766839378245,2.4352331606217557,历史1/1次成功; 当前距低点2.44%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
25,79.01445332416115,79.30974495316919,002455,百川股份,bottom_area,2023-05-15,7.95,2023-05-05,7.63,4.193971166448234,4.587155963302759,28.691588785046722,False,2.9793,1.2167,3,3,3,100.0,19.096769960597644,35.42600896860987,3.806028833551766,4.193971166448234,历史3/3次成功; 当前距低点4.19%; 最新日涨幅2.98%; 状态bottom_area; 底部未确认
26,78.93164303634515,76.25688741721854,000603,盛达资源,bottom_area,2023-05-15,13.89,2023-05-15,13.59,2.2075055187638024,2.649006622516552,29.91232594120681,False,0.7983,1.6474,1,1,1,100.0,11.666666666666679,11.666666666666679,5.792494481236197,2.2075055187638024,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
27,78.48664171527497,75.72715986874884,600248,陕建股份,bottom_area,2023-05-15,5.73,2023-05-15,5.61,2.1390374331550817,4.099821746880562,27.42561448900388,False,-1.2069,5.6623,2,2,2,100.0,13.785834496464656,16.28498727735369,5.860962566844918,2.1390374331550817,历史2/2次成功; 当前距低点2.14%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
28,78.27733428190615,77.56506365842797,002802,洪汇新材,bottom_area,2023-05-15,10.28,2023-05-12,9.93,3.524672708962736,3.625377643504526,31.1373092926491,False,2.4925,1.0752,2,2,2,100.0,18.17912599388721,20.65637065637066,4.475327291037265,3.524672708962736,历史2/2次成功; 当前距低点3.52%; 最新日涨幅2.49%; 状态bottom_area; 底部未确认
29,78.21451001191403,77.59299872423415,002403,爱仕达,bottom_area,2023-05-15,8.09,2023-04-25,7.81,3.5851472471190817,7.298335467349568,28.545288197621225,True,0.1238,0.6848,2,2,2,100.0,9.877066922933613,11.190233977619528,4.414852752880918,3.5851472471190817,历史2/2次成功; 当前距低点3.59%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
30,78.07087005674096,75.95715463205343,300598,诚迈科技,bottom_area,2023-05-15,42.26,2023-05-15,41.2,2.5728155339805707,2.669902912621345,30.027173913043477,False,1.3916,1.8219,1,1,1,100.0,14.533193814672712,14.533193814672712,5.42718446601943,2.5728155339805707,历史1/1次成功; 当前距低点2.57%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
31,78.06326922560388,77.40675349396452,688048,长光华芯,bottom_area,2023-05-15,87.25,2023-05-12,84.25,3.5608308605341246,3.857566765578635,29.20168067226891,False,2.2142,1.9541,2,2,2,100.0,17.771225032162963,19.48504983388705,4.439169139465875,3.5608308605341246,历史2/2次成功; 当前距低点3.56%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
32,77.52406726717234,77.33404926854595,688286,敏芯股份,bottom_area,2023-05-15,47.21,2023-05-10,45.45,3.872387238723868,7.172717271727167,29.183546276098475,True,2.0536,1.7161,2,2,2,100.0,12.005871896969783,16.00279524807827,4.127612761276132,3.872387238723868,历史2/2次成功; 当前距低点3.87%; 最新日涨幅2.05%; 状态bottom_area; 底部已确认
33,77.41027749789177,75.6573423526714,600114,东睦股份,bottom_area,2023-05-15,7.32,2023-05-10,7.12,2.8089887640449462,3.089887640449435,27.04918032786885,False,2.2346,1.123,1,1,1,100.0,15.816326530612232,15.816326530612232,5.191011235955053,2.8089887640449462,历史1/1次成功; 当前距低点2.81%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
34,77.00833628532918,71.3040150790085,000796,凯撒旅业,bottom_area,2023-05-15,3.46,2023-05-15,3.46,0.0,5.202312138728328,27.766179540709814,False,-4.9451,1.3268,3,3,3,100.0,9.430188596819884,9.829619921363053,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
35,76.82672420824157,76.4308235395475,000518,四环生物,confirmed_rebound,2023-05-15,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,0.0,0.4019,2,2,2,100.0,15.635947452229296,17.834394904458602,4.268656716417924,3.731343283582076,历史2/2次成功; 当前距低点3.73%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
36,76.23643164370057,75.14585905649389,002383,合众思壮,bottom_area,2023-05-15,6.67,2023-05-15,6.46,3.250773993808049,3.250773993808049,29.166666666666664,False,0.9077,1.2981,1,1,1,100.0,18.48184818481848,18.48184818481848,4.749226006191951,3.250773993808049,历史1/1次成功; 当前距低点3.25%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
37,76.19269187842855,75.00964194373402,000629,钒钛股份,confirmed_rebound,2023-05-15,4.21,2023-04-25,4.08,3.1862745098039187,9.803921568627459,31.08108108108108,False,1.6908,0.6247,1,1,1,100.0,27.173913043478265,27.173913043478265,4.813725490196082,3.1862745098039187,历史1/1次成功; 当前距低点3.19%; 最新日涨幅1.69%; 状态confirmed_rebound; 底部未确认
38,76.09842390121612,75.69952818384019,300758,七彩化学,bottom_area,2023-05-15,10.02,2023-04-26,9.66,3.726708074534155,7.349896480331253,30.252707581227433,True,-0.0997,1.5551,2,2,2,100.0,23.905497816011056,38.59480269489894,4.273291925465845,3.726708074534155,历史2/2次成功; 当前距低点3.73%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
39,75.98190144484623,74.79571391144879,688321,微芯生物,bottom_area,2023-05-15,22.7,2023-05-15,22.0,3.1818181818181785,3.5454545454545507,31.888544891640862,False,0.7545,0.7307,1,1,1,100.0,15.754082612872244,15.754082612872244,4.818181818181822,3.1818181818181785,历史1/1次成功; 当前距低点3.18%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
40,75.94030274467588,77.36100133068973,002553,南方精工,bottom_area,2023-05-15,10.15,2023-04-26,9.67,4.963805584281287,7.445708376421931,28.844738778513612,True,1.3986,1.6035,2,2,2,100.0,25.52945195081221,32.14285714285715,3.0361944157187133,4.963805584281287,历史2/2次成功; 当前距低点4.96%; 最新日涨幅1.40%; 状态bottom_area; 底部已确认
41,75.89756458283645,74.23930834882701,002748,世龙实业,bottom_area,2023-05-15,10.1,2023-04-26,9.82,2.851323828920564,3.9714867617108,29.857142857142854,False,0.7984,0.3677,1,1,1,100.0,8.711433756805816,8.711433756805816,5.148676171079436,2.851323828920564,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
42,75.48340551431204,76.80414977207482,002370,亚太药业,confirmed_rebound,2023-05-15,4.28,2023-04-25,4.08,4.901960784313729,9.558823529411757,32.56198347107438,True,0.0,0.8148,3,3,3,100.0,15.325915915645853,15.633423180592995,3.0980392156862706,4.901960784313729,历史3/3次成功; 当前距低点4.90%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
43,75.02983184481438,73.15833944052196,002385,大北农,bottom_area,2023-05-15,6.88,2023-05-15,6.7,2.6865671641791002,2.9850746268656745,32.25480283114257,False,-0.2899,1.6223,1,1,1,100.0,23.353293413173663,23.353293413173663,5.3134328358209,2.6865671641791002,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
44,74.76633659999615,72.18037309484384,688298,东方生物,bottom_area,2023-05-15,54.15,2023-05-15,53.0,2.1698113207547145,2.4150943396226436,31.771369721936153,False,1.3286,0.6565,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,5.8301886792452855,2.1698113207547145,历史4/6次成功; 当前距低点2.17%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
45,74.3868226037504,71.7545364772907,688157,松井股份,bottom_area,2023-05-15,72.51,2023-05-15,71.0,2.126760563380289,5.718309859154933,32.968277945619334,False,-0.5077,1.3222,1,1,1,100.0,8.943820224719094,8.943820224719094,5.873239436619711,2.126760563380289,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
46,74.07534558899984,71.35122302261298,300727,润禾材料,bottom_area,2023-05-15,26.36,2023-05-15,25.83,2.0518776616337635,2.1293070073557905,30.527165142549762,False,1.3846,1.4484,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,5.948122338366237,2.0518776616337635,历史2/3次成功; 当前距低点2.05%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
47,73.56085289854302,72.48148424996056,688229,博睿数据,bottom_area,2023-05-15,53.99,2023-05-15,52.3,3.231357552581272,3.824091778202677,32.948717948717956,False,-0.6806,1.411,2,2,2,100.0,9.725696074440098,11.21206614573869,4.768642447418729,3.231357552581272,历史2/2次成功; 当前距低点3.23%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
48,73.07460193985412,74.21852041971766,300762,上海瀚讯,bottom_area,2023-05-15,11.99,2023-05-10,11.44,4.807692307692315,4.807692307692315,27.50316856780735,False,3.5406,1.3076,1,1,1,100.0,32.580961727183514,32.580961727183514,3.1923076923076854,4.807692307692315,历史1/1次成功; 当前距低点4.81%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
49,71.04255352034546,71.35601496497502,301326,捷邦科技,bottom_area,2023-05-15,32.78,2023-05-10,31.45,4.228934817170117,5.850556438791733,29.452669358456706,False,1.4233,2.8307,1,1,1,100.0,10.096700796359514,10.096700796359514,3.771065182829883,4.228934817170117,历史1/1次成功; 当前距低点4.23%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
50,67.90255672444381,68.87862966548728,688116,天奈科技,confirmed_rebound,2023-05-15,53.01,2023-05-10,50.61,4.742145820983993,8.496344595929653,29.374825565168848,True,-0.1131,1.5178,2,2,2,100.0,9.896355577047169,11.226578491576134,3.257854179016008,4.742145820983993,历史2/2次成功; 当前距低点4.74%; 最新日涨幅-0.11%; 状态confirmed_rebound; 底部已确认
51,65.20743017429248,66.25106250296828,002777,久远银海,confirmed_rebound,2023-05-15,29.76,2023-05-15,28.39,4.825642831983096,10.426206410707998,29.901234567901234,False,-4.031,6.2614,2,2,2,100.0,16.201764300482424,18.88352860096485,3.1743571680169045,4.825642831983096,历史2/2次成功; 当前距低点4.83%; 最新日涨幅-4.03%; 状态confirmed_rebound; 底部未确认
52,61.88240968300574,61.87028815716271,000721,西安饮食,confirmed_rebound,2023-05-15,12.25,2023-05-10,11.78,3.989813242784386,8.23429541595926,31.43189755529686,True,-2.1565,9.0312,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,4.010186757215614,3.989813242784386,历史2/3次成功; 当前距低点3.99%; 最新日涨幅-2.16%; 状态confirmed_rebound; 底部已确认
53,60.73869704907972,58.74029053325365,603068,博通集成,bottom_area,2023-05-15,28.5,2023-05-10,27.87,2.2604951560818045,4.377466810190164,30.167877724880977,False,0.9564,1.1321,1,2,1,50.0,9.807631661936297,9.807631661936297,5.739504843918196,2.2604951560818045,历史1/2次成功; 当前距低点2.26%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
54,57.65764834330684,55.4021646619578,601636,旗滨集团,bottom_area,2023-05-15,9.0,2023-05-15,8.83,1.925254813137032,2.6047565118912845,27.14521452145214,False,-0.111,1.1734,1,2,1,50.0,10.224438902743147,10.224438902743147,6.074745186862969,1.925254813137032,历史1/2次成功; 当前距低点1.93%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
55,56.17903248591416,54.70946439131534,300386,飞天诚信,bottom_area,2023-05-15,10.96,2023-05-15,10.68,2.621722846441958,4.775280898876402,27.837837837837842,False,-2.3173,2.7467,1,2,1,50.0,15.037593984962406,15.037593984962406,5.378277153558042,2.621722846441958,历史1/2次成功; 当前距低点2.62%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
56,48.61425190905417,48.83784687063054,300459,汤姆猫,confirmed_rebound,2023-05-15,6.64,2023-05-15,6.37,4.238618524332803,8.00627943485086,32.734952481520594,False,-2.3529,12.078,1,2,1,50.0,13.5048231511254,13.5048231511254,3.7613814756671977,4.238618524332803,历史1/2次成功; 当前距低点4.24%; 最新日涨幅-2.35%; 状态confirmed_rebound; 底部未确认
