rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
108,72.05139860550463,71.61235463688966,603353,和顺石油,bottom_area,2024-01-24,21.4,2024-01-24,20.64,3.6821705426356495,5.135658914728676,28.2336578581363,False,-0.4188,1.0905,4,5,4,80.0,20.579050936015864,27.079174983366617,4.3178294573643505,3.6821705426356495,历史4/5次成功; 当前距低点3.68%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
109,72.04114787797411,72.94173933188152,002298,中电鑫龙,bottom_area,2024-01-24,4.73,2024-01-24,4.52,4.646017699115063,4.867256637168156,29.59501557632399,False,1.7204,2.6061,1,1,1,100.0,23.734729493891784,23.734729493891784,3.3539823008849368,4.646017699115063,历史1/1次成功; 当前距低点4.65%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
110,72.00154122608896,72.31726260856885,001299,美能能源,bottom_area,2024-01-24,13.56,2024-01-24,13.01,4.227517294388937,5.3036126056879285,27.88248337028825,False,0.8178,4.4055,1,1,1,100.0,15.247322794492616,15.247322794492616,3.772482705611063,4.227517294388937,历史1/1次成功; 当前距低点4.23%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
111,71.94409351481667,72.32349545820398,002330,得利斯,bottom_area,2024-01-24,4.88,2024-01-23,4.68,4.273504273504278,4.700854700854714,29.198184568835106,False,1.6667,1.4089,1,1,1,100.0,15.844544095665164,15.844544095665164,3.7264957264957226,4.273504273504278,历史1/1次成功; 当前距低点4.27%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
112,71.91821562210359,71.45979430017793,688183,生益电子,bottom_area,2024-01-24,8.48,2024-01-24,8.18,3.6674816625916957,5.5012224938875445,28.62129144851659,False,-0.4695,1.1223,1,1,1,100.0,26.24544349939247,26.24544349939247,4.332518337408304,3.6674816625916957,历史1/1次成功; 当前距低点3.67%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
113,71.71675739918966,72.17216474877038,688061,灿瑞科技,bottom_area,2024-01-24,29.16,2024-01-24,27.95,4.329159212880146,5.366726296958856,30.662366658397428,False,0.8299,1.6404,1,1,1,100.0,15.713159968479115,15.713159968479115,3.6708407871198543,4.329159212880146,历史1/1次成功; 当前距低点4.33%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
114,71.61636691963066,70.6152394739244,603158,腾龙股份,bottom_area,2024-01-24,7.9,2024-01-22,7.65,3.2679738562091507,7.581699346405229,29.622815087396496,True,0.3812,2.8722,2,3,2,66.66666666666666,24.029855910831213,35.270805812417436,4.73202614379085,3.2679738562091507,历史2/3次成功; 当前距低点3.27%; 最新日涨幅0.38%; 状态bottom_area; 底部已确认
115,71.47600291785322,71.73433880034965,002635,安洁科技,bottom_area,2024-01-24,12.44,2024-01-23,11.94,4.1876046901172534,5.025125628140701,29.557522123893804,False,1.4682,3.1394,1,1,1,100.0,11.624072547403118,11.624072547403118,3.812395309882747,4.1876046901172534,历史1/1次成功; 当前距低点4.19%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
116,71.47495059329388,72.0210255049866,605123,派克新材,bottom_area,2024-01-24,68.16,2024-01-24,65.29,4.3957727063868735,5.314749578802265,32.13097713097713,False,0.2795,0.9547,1,1,1,100.0,15.71713589004656,15.71713589004656,3.604227293613127,4.3957727063868735,历史1/1次成功; 当前距低点4.40%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
117,71.47263895227316,71.58492903703714,603192,汇得科技,bottom_area,2024-01-24,17.34,2024-01-24,16.66,4.081632653061223,6.7226890756302575,29.31692829868477,False,-0.1152,2.3327,2,2,2,100.0,15.328233795788837,16.917728852838945,3.918367346938777,4.081632653061223,历史2/2次成功; 当前距低点4.08%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
118,71.4400868925506,71.37055882744836,603075,热威股份,bottom_area,2024-01-24,20.53,2024-01-24,19.75,3.9493670886076004,5.518987341772151,29.590017825311943,False,-0.243,8.0756,1,1,1,100.0,29.221052631578953,29.221052631578953,4.0506329113924,3.9493670886076004,历史1/1次成功; 当前距低点3.95%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
119,71.4131598235205,72.01487412643192,002338,奥普光电,bottom_area,2024-01-24,25.66,2024-01-24,24.57,4.436304436304436,6.1457061457061375,27.564858490566042,False,0.0,1.7373,1,1,1,100.0,16.18090452261308,16.18090452261308,3.563695563695564,4.436304436304436,历史1/1次成功; 当前距低点4.44%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
