rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,77.0603192907417,70.61451916910781,300353,东土科技,bottom_area,2023-10-24,9.52,2023-10-24,9.26,2.8077753779697603,7.235421166306695,27.372549019607845,False,-4.7047,5.6868,1,1,1,100.0,21.377672209026137,21.377672209026137,12.19222462203024,2.8077753779697603,历史1/1次成功; 当前距低点2.81%; 最新日涨幅-4.70%; 状态bottom_area; 底部未确认
28,74.8357555929861,67.55085903083702,002366,融发核电,bottom_area,2023-10-24,5.1,2023-10-23,5.0,1.9999999999999927,3.5999999999999943,28.469241773962807,False,1.5936,0.9426,2,4,2,50.0,20.64977973568282,25.0,13.000000000000005,1.9999999999999927,历史2/4次成功; 当前距低点2.00%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
29,71.07127710445126,65.19324859618662,000721,西安饮食,bottom_area,2023-10-24,10.42,2023-10-23,10.13,2.86278381046396,5.5281342546890295,30.521262002743477,False,2.0568,3.353,2,4,2,50.0,18.550514430346464,20.485175202156327,12.13721618953604,2.86278381046396,历史2/4次成功; 当前距低点2.86%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
30,70.54730436693156,63.94089514909991,600328,中盐化工,bottom_area,2023-10-24,7.83,2023-10-23,7.66,2.219321148825064,3.7859007832898173,27.73584905660377,False,1.6883,0.6637,1,2,1,50.0,37.26315789473683,37.26315789473683,12.780678851174935,2.219321148825064,历史1/2次成功; 当前距低点2.22%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
31,67.97877606133385,63.19961460446246,688103,国力电子,bottom_area,2023-10-24,45.96,2023-10-24,44.37,3.5835023664638346,5.04845616407483,31.738461538461543,False,2.6351,1.3635,1,2,1,50.0,57.609964966913196,57.609964966913196,11.416497633536165,3.5835023664638346,历史1/2次成功; 当前距低点3.58%; 最新日涨幅2.64%; 状态bottom_area; 底部未确认
32,67.50842432280778,63.005795153605206,300620,光库科技,bottom_area,2023-10-24,38.6,2023-10-24,37.19,3.7913417585372513,5.539123420274274,28.273866923818712,False,2.1705,3.7392,3,6,3,50.0,18.172335285323314,22.444343480236245,11.208658241462748,3.7913417585372513,历史3/6次成功; 当前距低点3.79%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
33,67.21764596256656,60.84770461679807,300713,英可瑞,bottom_area,2023-10-24,18.03,2023-10-24,17.65,2.1529745042493063,3.286118980169982,27.066115702479344,False,1.6347,4.8554,1,2,1,50.0,19.819819819819813,19.819819819819813,12.847025495750694,2.1529745042493063,历史1/2次成功; 当前距低点2.15%; 最新日涨幅1.63%; 状态bottom_area; 底部未确认
34,66.82292255566765,61.299167490698046,601111,中国国航,bottom_area,2023-10-24,7.18,2023-10-23,6.98,2.8653295128939726,4.011461318051566,27.291666666666657,False,1.844,0.6676,1,2,1,50.0,30.97913322632423,30.97913322632423,12.134670487106026,2.8653295128939726,历史1/2次成功; 当前距低点2.87%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
35,66.64304591885117,60.5194132817537,603326,我乐家居,bottom_area,2023-10-24,10.13,2023-10-23,9.9,2.3232323232323275,3.232323232323235,30.76923076923077,False,1.7068,2.8347,1,2,1,50.0,20.141843971631218,20.141843971631218,12.676767676767673,2.3232323232323275,历史1/2次成功; 当前距低点2.32%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
36,64.64733969595856,60.127327166504394,688101,三达膜,bottom_area,2023-10-24,12.93,2023-10-23,12.48,3.605769230769225,4.246794871794866,27.77777777777778,False,2.864,0.3536,1,2,1,50.0,33.755274261603375,33.755274261603375,11.394230769230775,3.605769230769225,历史1/2次成功; 当前距低点3.61%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
37,63.64438180579796,58.79037910309756,600202,哈空调,bottom_area,2023-10-24,5.42,2023-10-23,5.25,3.2380952380952364,4.3809523809523885,30.0,False,2.6515,3.2074,1,3,1,33.33333333333333,41.50485436893204,41.50485436893204,11.761904761904763,3.2380952380952364,历史1/3次成功; 当前距低点3.24%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
38,62.97017391639376,58.33227955808687,600408,安泰集团,bottom_area,2023-10-24,2.44,2023-10-23,2.36,3.3898305084745797,3.8135593220339112,30.99415204678363,False,2.0921,1.8375,1,2,1,50.0,21.457489878542503,21.457489878542503,11.61016949152542,3.3898305084745797,历史1/2次成功; 当前距低点3.39%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
39,62.15062108562796,57.05247080945017,000428,华天酒店,bottom_area,2023-10-24,3.9,2023-10-23,3.79,2.9023746701846935,3.43007915567282,32.32142857142857,False,2.3622,1.3007,1,3,1,33.33333333333333,28.045977011494273,28.045977011494273,12.097625329815306,2.9023746701846935,历史1/3次成功; 当前距低点2.90%; 最新日涨幅2.36%; 状态bottom_area; 底部未确认
40,61.60344757370025,55.8940764859105,002707,众信旅游,bottom_area,2023-10-24,6.29,2023-10-23,6.15,2.276422764227637,3.414634146341463,28.90173410404624,False,1.2882,1.4142,1,4,1,25.0,15.533980582524274,15.533980582524274,12.723577235772362,2.276422764227637,历史1/4次成功; 当前距低点2.28%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
41,61.17045233364473,57.00350463978282,002312,川发龙蟒,bottom_area,2023-10-24,6.71,2023-10-23,6.47,3.7094281298299876,4.17310664605874,27.13963963963965,False,2.5994,0.8887,1,2,1,50.0,18.231186966640802,18.231186966640802,11.290571870170012,3.7094281298299876,历史1/2次成功; 当前距低点3.71%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
42,60.9716802794663,57.5610039113429,002798,帝欧水华,bottom_area,2023-10-24,6.16,2023-10-23,5.9,4.406779661016945,5.0847457627118615,27.96092796092795,False,3.3557,1.4784,1,2,1,50.0,29.776674937965264,29.776674937965264,10.593220338983054,4.406779661016945,历史1/2次成功; 当前距低点4.41%; 最新日涨幅3.36%; 状态bottom_area; 底部未确认
43,60.17278427460331,56.66405513133941,688320,禾川科技,bottom_area,2023-10-24,33.93,2023-10-23,32.54,4.271665642286418,7.09895513214506,29.199303742384686,True,2.5385,2.3876,1,3,1,33.33333333333333,33.54902936784469,33.54902936784469,10.728334357713582,4.271665642286418,历史1/3次成功; 当前距低点4.27%; 最新日涨幅2.54%; 状态bottom_area; 底部已确认
44,60.05326880140391,56.4289118313829,000014,沙河股份,bottom_area,2023-10-24,11.28,2023-10-23,10.83,4.155124653739605,4.524469067405358,31.671924290220822,False,3.2967,2.7445,1,2,1,50.0,20.605355064027936,20.605355064027936,10.844875346260393,4.155124653739605,历史1/2次成功; 当前距低点4.16%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
45,59.06047991700401,55.26045375218147,002069,獐子岛,bottom_area,2023-10-24,3.97,2023-10-23,3.82,3.926701570680638,4.712041884816758,32.50883392226149,False,3.1169,0.9142,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,11.073298429319362,3.926701570680638,历史1/3次成功; 当前距低点3.93%; 最新日涨幅3.12%; 状态bottom_area; 底部未确认
46,57.13712980550642,53.57437934406509,688256,寒武纪,bottom_area,2023-10-24,108.66,2023-10-24,104.44,4.04059747223286,8.196093450785142,28.952380952380953,False,0.2029,6.3722,1,3,1,33.33333333333333,23.298969072164944,23.298969072164944,10.95940252776714,4.04059747223286,历史1/3次成功; 当前距低点4.04%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
47,56.054563499320906,52.41101687186504,002068,黑猫股份,bottom_area,2023-10-24,9.35,2023-10-23,9.0,3.888888888888885,5.666666666666664,27.594529364440866,False,3.0871,1.7143,1,3,1,33.33333333333333,15.184678522571824,15.184678522571824,11.111111111111114,3.888888888888885,历史1/3次成功; 当前距低点3.89%; 最新日涨幅3.09%; 状态bottom_area; 底部未确认
