rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.83733329412424,82.03126496400988,002160,常铝股份,bottom_area,2025-11-26,5.1,2025-11-24,4.97,2.6156941649899377,5.231388329979893,28.386167146974074,False,-1.7341,5.2115,3,3,3,100.0,36.855094947241525,40.066225165562926,17.384305835010064,2.6156941649899377,历史3/3次成功; 当前距低点2.62%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
25,69.0088147915773,61.995856555504815,002664,信质集团,bottom_area,2025-11-26,22.79,2025-11-24,21.89,4.111466423024206,5.984467793513014,30.727848101265824,False,0.6181,1.5097,1,2,1,50.0,52.526315789473685,52.526315789473685,15.888533576975794,4.111466423024206,历史1/2次成功; 当前距低点4.11%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
26,68.69939473747154,59.15354746029165,601566,九牧王,bottom_area,2025-11-26,13.1,2025-11-26,12.87,1.7871017871017907,8.624708624708635,30.092341118957094,False,-8.3916,11.7656,1,2,1,50.0,38.914728682170555,38.914728682170555,18.21289821289821,1.7871017871017907,历史1/2次成功; 当前距低点1.79%; 最新日涨幅-8.39%; 状态bottom_area; 底部未确认
27,68.69497736258474,60.73560313279178,300730,科创信息,bottom_area,2025-11-26,13.72,2025-11-24,13.29,3.2355154251316893,8.803611738148998,31.84615384615385,True,-3.7193,5.2483,2,4,2,50.0,22.648270441355024,24.329896907216508,16.76448457486831,3.2355154251316893,历史2/4次成功; 当前距低点3.24%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
28,67.59648971961458,58.159780273308215,002136,安纳达,bottom_area,2025-11-26,12.24,2025-11-24,12.03,1.745635910224446,6.733167082294268,30.381944444444454,False,-2.1583,5.3058,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,18.254364089775553,1.745635910224446,历史1/3次成功; 当前距低点1.75%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
29,67.46489547483165,56.5250908198331,000803,山高环能,bottom_area,2025-11-26,6.81,2025-11-26,6.79,0.2945508100147212,3.0927835051546384,29.1970802919708,False,-2.2956,2.9939,1,2,1,50.0,36.1111111111111,36.1111111111111,19.70544918998528,0.2945508100147212,历史1/2次成功; 当前距低点0.29%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
30,65.8017551138016,57.55027857829009,002017,东信和平,bottom_area,2025-11-26,21.37,2025-11-24,20.82,2.641690682036507,4.514889529298757,27.88361621059924,False,-0.8353,1.7991,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,17.358309317963496,2.641690682036507,历史1/3次成功; 当前距低点2.64%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
31,65.21018875153557,56.513333521174005,603197,保隆科技,bottom_area,2025-11-26,34.83,2025-11-21,34.1,2.140762463343099,3.988269794721406,27.431368376250266,False,-0.5993,0.7664,2,6,2,33.33333333333333,21.617949485284576,23.07435811937312,17.859237536656902,2.140762463343099,历史2/6次成功; 当前距低点2.14%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
32,64.98864234535458,55.54485289147848,603366,日出东方,bottom_area,2025-11-26,9.54,2025-11-24,9.41,1.3815090329436663,4.463336875664186,29.776119402985074,False,-2.0534,4.9552,1,4,1,25.0,25.15964240102172,25.15964240102172,18.618490967056335,1.3815090329436663,历史1/4次成功; 当前距低点1.38%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
33,63.54709665693401,56.89182639894431,002309,中利集团,bottom_area,2025-11-26,3.18,2025-11-21,3.06,3.921568627450984,6.862745098039215,29.49308755760368,False,-2.1538,3.7058,3,8,3,37.5,36.45431650286319,55.97014925373133,16.07843137254902,3.921568627450984,历史3/8次成功; 当前距低点3.92%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
34,63.460696124932895,54.88296171171172,601279,英利汽车,bottom_area,2025-11-26,4.53,2025-11-25,4.44,2.0270270270270236,5.63063063063063,30.18867924528302,False,-1.3072,3.6743,1,3,1,33.33333333333333,28.125000000000007,28.125000000000007,17.97297297297298,2.0270270270270236,历史1/3次成功; 当前距低点2.03%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
35,63.356407046146664,53.666654348577126,000661,长春高新,bottom_area,2025-11-26,99.56,2025-11-24,98.68,0.8917713822456378,2.452371301175504,30.394300627777387,False,0.1005,1.2244,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,19.108228617754364,0.8917713822456378,历史1/3次成功; 当前距低点0.89%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
36,62.89419640859106,55.328081291920874,000753,漳州发展,bottom_area,2025-11-26,8.0,2025-11-24,7.77,2.9601029601029656,5.534105534105531,31.360424028268557,False,-1.599,4.1117,1,4,1,25.0,43.344709897610926,43.344709897610926,17.039897039897035,2.9601029601029656,历史1/4次成功; 当前距低点2.96%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
37,62.694400950426115,55.76677208723566,600319,亚星化学,bottom_area,2025-11-26,8.71,2025-11-25,8.41,3.5671819262782485,4.518430439952425,29.0295358649789,False,0.6936,3.92,1,3,1,33.33333333333333,29.282868525896426,29.282868525896426,16.43281807372175,3.5671819262782485,历史1/3次成功; 当前距低点3.57%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
38,58.437300273701915,49.12844389844388,001216,华瓷股份,bottom_area,2025-11-26,16.73,2025-11-26,16.65,0.48048048048049163,5.885885885885889,32.454361054766736,False,-7.9758,12.1784,1,3,1,33.33333333333333,28.282828282828277,28.282828282828277,19.51951951951951,0.48048048048049163,历史1/3次成功; 当前距低点0.48%; 最新日涨幅-7.98%; 状态bottom_area; 底部未确认
39,58.33821236079556,52.32025973851181,300769,德方纳米,bottom_area,2025-11-26,46.6,2025-11-24,44.8,4.017857142857153,7.1428571428571495,27.107061503416862,True,-0.7243,9.202,2,8,2,25.0,30.946096904441454,41.300000000000004,15.982142857142847,4.017857142857153,历史2/8次成功; 当前距低点4.02%; 最新日涨幅-0.72%; 状态bottom_area; 底部已确认
40,57.38489226232469,51.725883496289335,603026,石大胜华,bottom_area,2025-11-26,81.35,2025-11-24,78.0,4.294871794871788,8.987179487179493,29.450072358900147,True,-1.5967,8.3839,1,4,1,25.0,31.14618918600542,31.14618918600542,15.705128205128213,4.294871794871788,历史1/4次成功; 当前距低点4.29%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
41,57.340884607036465,52.33268396729469,603059,倍加洁,bottom_area,2025-11-26,29.53,2025-11-24,28.13,4.976892996800577,8.602915037326705,27.275077559462257,True,-0.906,3.0509,1,2,1,50.0,21.935483870967733,21.935483870967733,15.023107003199424,4.976892996800577,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-0.91%; 状态bottom_area; 底部已确认
42,56.938893338554074,50.95093669786358,603767,中马传动,bottom_area,2025-11-26,22.94,2025-11-21,22.08,3.894927536231898,5.9329710144927645,27.725040916530286,False,-0.6066,1.7467,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,16.105072463768103,3.894927536231898,历史1/3次成功; 当前距低点3.89%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
43,56.01065162156891,51.10770498560544,002250,联化科技,bottom_area,2025-11-26,12.05,2025-11-24,11.48,4.96515679442509,6.794425087108008,29.17951881554596,False,-0.4955,4.0307,1,2,1,50.0,24.399260628465807,24.399260628465807,15.03484320557491,4.96515679442509,历史1/2次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
44,55.82740957917031,49.768620942671205,002338,奥普光电,bottom_area,2025-11-26,50.6,2025-11-21,48.8,3.688524590163943,5.389344262295088,30.632551528073915,False,-0.5112,1.2927,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,16.311475409836056,3.688524590163943,历史1/3次成功; 当前距低点3.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
45,51.19625192560791,46.6406532373123,000797,中国武夷,bottom_area,2025-11-26,3.44,2025-11-25,3.28,4.878048780487809,12.500000000000005,32.64887063655031,True,-6.7751,13.7786,1,4,1,25.0,21.169916434540383,21.169916434540383,15.121951219512193,4.878048780487809,历史1/4次成功; 当前距低点4.88%; 最新日涨幅-6.78%; 状态bottom_area; 底部已确认
