rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.68582550938464,84.49894104327637,002403,爱仕达,bottom_area,2023-07-19,8.88,2023-07-19,8.75,1.4857142857142946,1.6000000000000065,29.887820512820518,False,0.0,2.7507,3,3,3,100.0,13.797686100564366,21.63892445582587,6.514285714285705,1.4857142857142946,历史3/3次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,75.80097936975527,74.46218442066979,605178,时空科技,bottom_area,2023-07-19,22.47,2023-06-26,21.8,3.0733944954128356,7.4311926605504635,29.4041450777202,True,-0.0445,1.6211,2,2,2,100.0,9.244751990382023,9.557235421166304,4.926605504587164,3.0733944954128356,历史2/2次成功; 当前距低点3.07%; 最新日涨幅-0.04%; 状态bottom_area; 底部已确认
13,74.79580740194947,73.87969913270396,601360,三六零,bottom_area,2023-07-19,12.0,2023-07-12,11.61,3.359173126614992,6.287683031869082,28.15594059405941,False,0.4184,1.3556,1,1,1,100.0,13.003300330033007,13.003300330033007,4.640826873385008,3.359173126614992,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
14,73.83592096504236,73.3052245862884,002153,石基信息,confirmed_rebound,2023-07-19,13.15,2023-07-13,12.69,3.6249014972419293,8.58944050433412,28.30508474576271,True,0.4584,0.72,1,1,1,100.0,14.193548387096769,14.193548387096769,4.375098502758071,3.6249014972419293,历史1/1次成功; 当前距低点3.62%; 最新日涨幅0.46%; 状态confirmed_rebound; 底部已确认
15,72.87608025910004,73.80345349675561,600935,华塑股份,bottom_area,2023-07-19,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,0.2625,0.1825,1,1,1,100.0,28.50877192982458,28.50877192982458,3.3424657534246593,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
16,71.19344435588268,72.16206264643891,000792,盐湖股份,bottom_area,2023-07-19,19.37,2023-05-30,18.5,4.702702702702708,7.5675675675675595,29.49695121951219,True,-0.0516,0.3905,2,2,2,100.0,16.850671013984325,24.904214559386965,3.297297297297292,4.702702702702708,历史2/2次成功; 当前距低点4.70%; 最新日涨幅-0.05%; 状态bottom_area; 底部已确认
17,70.59336278119393,70.68171492485,300601,康泰生物,confirmed_rebound,2023-07-19,25.6,2023-06-26,24.6,4.0650406504065035,9.227642276422761,28.44677137870855,True,-2.0658,0.7856,2,2,2,100.0,11.290363482671175,11.580726965342352,3.934959349593497,4.0650406504065035,历史2/2次成功; 当前距低点4.07%; 最新日涨幅-2.07%; 状态confirmed_rebound; 底部已确认
18,70.57662814352456,69.67176967874289,600990,四创电子,bottom_area,2023-07-19,23.9,2023-07-10,23.13,3.3290099437959344,6.917423259835717,27.921470863197268,False,-1.2805,0.5117,1,1,1,100.0,12.483399734395755,12.483399734395755,4.670990056204065,3.3290099437959344,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
19,69.06143553214103,69.98161584078136,300661,圣邦股份,confirmed_rebound,2023-07-19,85.3,2023-07-03,81.48,4.688267059401071,10.92292587137947,27.145922746781114,True,-1.3417,0.5385,1,1,1,100.0,31.832606108687024,31.832606108687024,3.3117329405989286,4.688267059401071,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-1.34%; 状态confirmed_rebound; 底部已确认
20,67.89402763995655,68.87853144947437,600995,南网储能,confirmed_rebound,2023-07-19,11.25,2023-06-07,10.74,4.748603351955305,8.379888268156428,32.7909887359199,True,-0.3543,0.6249,1,1,1,100.0,26.64165103189493,26.64165103189493,3.251396648044695,4.748603351955305,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.35%; 状态confirmed_rebound; 底部已确认
21,64.67881335976938,65.5947149233813,300357,我武生物,confirmed_rebound,2023-07-19,34.09,2023-06-26,32.55,4.7311827956989445,11.705069124423972,31.78960603520537,True,-0.4672,0.348,1,1,1,100.0,8.773181169757484,8.773181169757484,3.2688172043010555,4.7311827956989445,历史1/1次成功; 当前距低点4.73%; 最新日涨幅-0.47%; 状态confirmed_rebound; 底部已确认
