rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.556603542339,81.4396832493777,600973,宝胜股份,bottom_area,2024-07-12,3.39,2024-07-09,3.33,1.8018018018018036,4.504504504504501,28.077753779697623,False,-1.4535,0.7415,2,2,2,100.0,40.36446966390223,46.551724137931025,13.198198198198197,1.8018018018018036,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.45%; 状态bottom_area; 底部未确认
13,80.89878230771292,74.80040531396308,000620,盈新发展,bottom_area,2024-07-12,1.57,2024-07-10,1.52,3.2894736842105288,8.552631578947361,30.59360730593607,True,0.641,1.1569,4,6,4,66.66666666666666,30.12762713600226,58.4192439862543,11.71052631578947,3.2894736842105288,历史4/6次成功; 当前距低点3.29%; 最新日涨幅0.64%; 状态bottom_area; 底部已确认
14,80.05335821122387,76.27174133543122,688102,斯瑞新材,bottom_area,2024-07-12,8.35,2024-07-05,7.96,4.899497487437182,9.798994974874375,31.90761334473909,True,-2.3392,1.3102,3,3,3,100.0,24.691374230042936,37.1943371943372,10.100502512562818,4.899497487437182,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-2.34%; 状态bottom_area; 底部已确认
15,79.62561498849257,72.79714493349145,600389,江山股份,bottom_area,2024-07-12,13.39,2024-07-09,13.04,2.6840490797546126,5.061349693251535,28.74316939890711,False,-0.7413,0.8043,1,1,1,100.0,21.380520620064356,21.380520620064356,12.315950920245387,2.6840490797546126,历史1/1次成功; 当前距低点2.68%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
16,79.5647859053385,72.42488591259398,002557,洽洽食品,bottom_area,2024-07-12,27.18,2024-07-09,26.53,2.4500565397662966,4.033169996230683,31.001300390117038,False,-0.8029,0.6374,1,1,1,100.0,16.510832383124292,16.510832383124292,12.549943460233703,2.4500565397662966,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
17,79.30176253895705,69.79000098120981,600295,鄂尔多斯,bottom_area,2024-07-12,9.41,2024-07-12,9.35,0.6417112299465294,3.957219251336909,30.586488492947296,False,-2.8896,0.4948,1,1,1,100.0,20.016680567139286,20.016680567139286,14.35828877005347,0.6417112299465294,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
18,77.4491623981637,72.37969545996233,603325,博隆技术,bottom_area,2024-07-12,62.65,2024-07-09,60.32,3.8627320954907134,6.26657824933686,30.41070604522382,False,-1.4162,1.0382,1,1,1,100.0,33.584541062801925,33.584541062801925,11.137267904509287,3.8627320954907134,历史1/1次成功; 当前距低点3.86%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
19,77.30993537584605,73.43700748129673,002687,乔治白,bottom_area,2024-07-12,4.2,2024-07-09,4.01,4.738154613466344,6.733167082294276,31.45299145299145,False,-0.9434,0.9991,1,1,1,100.0,64.00000000000001,64.00000000000001,10.261845386533656,4.738154613466344,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
20,76.80295873677596,71.49482765656927,603215,比依股份,bottom_area,2024-07-12,11.92,2024-07-09,11.5,3.652173913043478,6.956521739130441,32.70918665886483,False,-1.7312,1.3126,3,4,3,75.0,30.412818162948412,36.01562499999999,11.347826086956522,3.652173913043478,历史3/4次成功; 当前距低点3.65%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
21,76.43802181981495,72.20281204013376,600976,健民集团,bottom_area,2024-07-12,46.84,2024-07-10,44.85,4.437012263099224,5.462653288740236,32.859281437125745,False,0.8613,1.3703,1,1,1,100.0,17.200000000000006,17.200000000000006,10.562987736900775,4.437012263099224,历史1/1次成功; 当前距低点4.44%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
22,75.0024726867369,70.32063168810221,002367,康力电梯,bottom_area,2024-07-12,5.67,2024-07-09,5.45,4.036697247706417,5.321100917431193,29.036458333333325,False,-0.3515,0.5572,1,1,1,100.0,24.646781789638936,24.646781789638936,10.963302752293583,4.036697247706417,历史1/1次成功; 当前距低点4.04%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
23,74.73631175297014,70.33333087693441,000629,钒钛股份,bottom_area,2024-07-12,2.46,2024-07-10,2.36,4.237288135593224,6.779661016949159,28.484848484848484,False,-1.6,0.5412,1,1,1,100.0,27.173913043478265,27.173913043478265,10.762711864406775,4.237288135593224,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
24,74.70871425296336,68.50191124511838,002044,美年健康,bottom_area,2024-07-12,3.62,2024-07-09,3.52,2.8409090909090935,4.261363636363634,28.016359918200408,False,1.1173,0.9983,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,12.159090909090905,2.8409090909090935,历史2/3次成功; 当前距低点2.84%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
25,73.70096549893158,68.9289605385691,603187,海容冷链,bottom_area,2024-07-12,11.18,2024-07-09,10.76,3.9033457249070627,5.297397769516731,30.175210902011685,False,-0.9743,0.6892,1,1,1,100.0,15.530047265361235,15.530047265361235,11.096654275092938,3.9033457249070627,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
26,70.92063552438039,62.63928946235704,603229,奥翔药业,bottom_area,2024-07-12,7.25,2024-07-12,7.19,0.8344923504867816,1.947148817802499,30.598455598455594,False,-0.5487,0.7998,2,4,2,50.0,42.26845172831669,43.052109181141425,14.165507649513218,0.8344923504867816,历史2/4次成功; 当前距低点0.83%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
27,69.34384333596277,64.39549394316563,000928,中钢国际,bottom_area,2024-07-12,5.29,2024-07-09,5.11,3.5225048923679,5.479452054794508,28.33099579242636,False,-1.306,0.9038,3,5,3,60.0,23.154866117013082,33.7972166998012,11.4774951076321,3.5225048923679,历史3/5次成功; 当前距低点3.52%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
28,69.16881139446825,65.72463017374783,002346,柘中股份,bottom_area,2024-07-12,7.49,2024-07-09,7.15,4.755244755244753,5.7342657342657235,27.558257345491377,False,0.1337,0.3136,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,10.244755244755247,4.755244755244753,历史2/3次成功; 当前距低点4.76%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
29,68.97308097638536,61.81732161941649,001336,楚环科技,bottom_area,2024-07-12,17.58,2024-07-11,17.3,1.6184971098265757,5.086705202312133,27.493713327745173,False,-2.6039,10.3909,1,2,1,50.0,40.95427435387674,40.95427435387674,13.381502890173424,1.6184971098265757,历史1/2次成功; 当前距低点1.62%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
30,65.9702865300436,62.348729298486504,603113,金能科技,bottom_area,2024-07-12,5.38,2024-07-09,5.15,4.466019417475719,6.407766990291264,28.867403314917123,False,-0.5545,0.6639,3,5,3,60.0,23.71641704479105,31.03448275862069,10.53398058252428,4.466019417475719,历史3/5次成功; 当前距低点4.47%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
31,63.45312663123129,58.473232196589805,002803,吉宏股份,bottom_area,2024-07-12,10.28,2024-07-10,9.97,3.1093279839518426,6.018054162487458,32.40677966101694,False,-1.8147,1.9299,1,2,1,50.0,41.25000000000001,41.25000000000001,11.890672016048157,3.1093279839518426,历史1/2次成功; 当前距低点3.11%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
32,62.598224340175946,58.462727272727264,600058,五矿发展,bottom_area,2024-07-12,6.51,2024-07-09,6.27,3.827751196172252,5.263157894736844,28.91156462585035,False,-0.7622,0.3511,1,2,1,50.0,99.54954954954954,99.54954954954954,11.172248803827747,3.827751196172252,历史1/2次成功; 当前距低点3.83%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
33,60.79634188721861,54.15281655281654,002531,天顺风能,bottom_area,2024-07-12,7.87,2024-07-10,7.77,1.287001287001294,7.335907335907339,30.810329474621557,False,-1.8703,1.1048,1,3,1,33.33333333333333,15.128205128205142,15.128205128205142,13.712998712998706,1.287001287001294,历史1/3次成功; 当前距低点1.29%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
34,60.32030426100585,55.94042650549367,688083,中望软件,bottom_area,2024-07-12,56.67,2024-07-12,54.78,3.4501642935377888,4.472435195326754,31.422133199799696,False,-1.0477,1.2189,2,5,2,40.0,20.144091907310933,21.52777777777778,11.549835706462211,3.4501642935377888,历史2/5次成功; 当前距低点3.45%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
