rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.55220940402413,79.32970409796407,688010,福光股份,bottom_area,2022-09-22,20.72,2022-09-21,20.05,3.341645885286774,5.985037406483787,28.341672623302355,False,0.7292,0.2753,1,1,1,100.0,42.08955223880597,42.08955223880597,16.658354114713227,3.341645885286774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
12,82.55694277893885,73.21655874190563,002516,旷达科技,bottom_area,2022-09-22,4.86,2022-09-19,4.7,3.404255319148939,5.744680851063821,28.679817905918053,False,-1.4199,0.7706,1,1,1,100.0,32.46376811594203,32.46376811594203,16.595744680851062,3.404255319148939,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
13,80.15903558786725,71.92734997914309,002283,天润工业,bottom_area,2022-09-22,5.4,2022-09-19,5.19,4.046242774566473,5.394990366088619,27.816411682892905,False,-0.7353,0.4413,1,1,1,100.0,33.402061855670105,33.402061855670105,15.95375722543353,4.046242774566473,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
14,78.4891539172921,70.44905706957482,002012,凯恩股份,bottom_area,2022-09-22,5.38,2022-09-19,5.17,4.061895551257252,5.222437137330763,31.523178807947016,False,-0.5545,1.8462,1,1,1,100.0,25.646123260437374,25.646123260437374,15.938104448742749,4.061895551257252,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
15,68.38961233516734,57.37074936999613,603229,奥翔药业,bottom_area,2022-09-22,24.95,2022-09-21,24.86,0.3620273531777951,3.2984714400643615,28.869814020028624,False,-1.8103,0.9596,1,2,1,50.0,41.48479427549196,41.48479427549196,19.637972646822206,0.3620273531777951,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
16,66.57550767766026,59.66331369817266,300648,星云股份,bottom_area,2022-09-22,37.91,2022-09-22,36.46,3.976961053208984,7.103675260559507,27.52931822699265,False,0.6638,3.2487,2,5,2,40.0,24.14400483596314,26.78362573099414,16.02303894679102,3.976961053208984,历史2/5次成功; 当前距低点3.98%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
17,65.39176028234778,55.51083215818997,688026,洁特生物,bottom_area,2022-09-22,30.0,2022-09-22,29.7,1.0101010101010124,3.299663299663301,31.69273229070837,False,-0.5635,0.5036,1,4,1,25.0,20.423991726990696,20.423991726990696,18.98989898989899,1.0101010101010124,历史1/4次成功; 当前距低点1.01%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
18,65.35040646785137,57.18905215053539,688079,美迪凯,bottom_area,2022-09-22,9.6,2022-09-21,9.35,2.6737967914438503,5.775401069518726,29.962546816479403,False,-0.8264,0.4921,1,2,1,50.0,29.007036747458958,29.007036747458958,17.32620320855615,2.6737967914438503,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
19,64.38408102847134,56.630213273665156,688027,国盾量子,bottom_area,2022-09-22,90.68,2022-09-21,88.08,2.9518619436875664,4.961398728428707,31.1875,False,0.0221,0.7476,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,17.048138056312435,2.9518619436875664,历史1/3次成功; 当前距低点2.95%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
20,64.10097561073563,56.083808780238066,601686,友发集团,bottom_area,2022-09-22,6.17,2022-09-21,6.01,2.662229617304495,3.9933444259567423,29.54279015240328,False,-0.8039,0.4566,1,2,1,50.0,22.923076923076927,22.923076923076927,17.337770382695506,2.662229617304495,历史1/2次成功; 当前距低点2.66%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
21,62.636333760011695,55.310595007829036,688021,奥福科技,bottom_area,2022-09-22,21.82,2022-09-22,21.15,3.1678486997636015,5.390070921985819,28.498985801217042,False,-0.9982,0.7445,1,2,1,50.0,24.96392496392497,24.96392496392497,16.8321513002364,3.1678486997636015,历史1/2次成功; 当前距低点3.17%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
22,61.26906467498074,53.31321201551178,688202,美迪西,bottom_area,2022-09-22,227.49,2022-09-22,222.24,2.3623110151187907,3.392728581713459,32.344972449694055,False,-0.5943,1.1518,1,3,1,33.33333333333333,23.795418261555337,23.795418261555337,17.637688984881212,2.3623110151187907,历史1/3次成功; 当前距低点2.36%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
23,59.55361843960038,53.60769457003646,300484,蓝海华腾,bottom_area,2022-09-22,11.36,2022-09-19,10.9,4.220183486238524,6.23853211009174,28.52459016393442,False,-1.1314,1.3885,1,2,1,50.0,28.708133971291865,28.708133971291865,15.779816513761476,4.220183486238524,历史1/2次成功; 当前距低点4.22%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
24,59.46228938047518,50.10867082624313,603033,三维股份,bottom_area,2022-09-22,16.5,2022-09-19,16.4,0.6097560975609843,4.5121951219512315,30.508474576271194,False,-2.9412,0.3386,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,19.390243902439018,0.6097560975609843,历史1/3次成功; 当前距低点0.61%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
25,59.33189961133379,53.2056491518494,600215,派斯林,bottom_area,2022-09-22,7.0,2022-09-16,6.73,4.011887072808315,4.903417533432379,29.1578947368421,False,-0.1427,0.8304,1,2,1,50.0,23.993288590604024,23.993288590604024,15.988112927191686,4.011887072808315,历史1/2次成功; 当前距低点4.01%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
