rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,103.40785379446434,88.37661764705885,300348,长亮科技,bottom_area,2026-05-22,11.03,14.95,2026-05-22,10.88,1.3786764705882222,3.1249999999999987,27.22408026755852,26.220735785953174,False,0.0907,1.7915,2,2,2,100.0,61.67178134052256,87.71331058020478,18.62132352941178,1.3786764705882222,历史2/2次成功; 当前距低点1.38%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
12,87.30829922298604,73.19923174603174,601136,首创证券,bottom_area,2026-05-22,15.17,21.55,2026-05-22,15.12,0.3306878306878354,3.3730158730158832,29.837587006960565,29.60556844547564,False,-2.2552,0.4507,1,1,1,100.0,34.53333333333333,34.53333333333333,19.669312169312168,0.3306878306878354,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
13,86.76477288639377,77.36456259285352,600338,西藏珠峰,bottom_area,2026-05-22,20.46,28.28,2026-05-20,19.73,3.6999493157627996,6.893056259503291,30.233380480905236,27.65205091937765,False,2.6593,5.2866,3,4,3,75.0,40.08304856340157,59.223300970873794,16.300050684237203,3.6999493157627996,历史3/4次成功; 当前距低点3.70%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
14,84.85718778335726,73.29315643476153,002749,国光股份,bottom_area,2026-05-22,9.9,13.5,2026-05-22,9.71,1.9567456230689957,3.2955715756951443,28.07407407407407,26.666666666666668,False,1.8519,0.3703,2,3,2,66.66666666666666,31.547687035979433,38.823529411764696,18.043254376931007,1.9567456230689957,历史2/3次成功; 当前距低点1.96%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
15,84.78664516915129,71.14822284796449,002773,康弘药业,bottom_area,2026-05-22,21.18,30.6,2026-05-22,21.1,0.37914691943127155,2.511848341232216,31.045751633986928,30.784313725490197,False,-1.3507,1.0235,1,1,1,100.0,24.10041841004185,24.10041841004185,19.62085308056873,0.37914691943127155,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
16,84.77392917369308,70.64494097807757,002252,上海莱士,bottom_area,2026-05-22,5.23,7.26,2026-05-22,5.23,0.0,2.103250478011461,27.961432506887046,27.961432506887046,False,-1.8762,0.4942,1,1,1,100.0,29.005059021922442,29.005059021922442,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
17,83.35751187770356,70.27360384607884,601186,中国铁建,bottom_area,2026-05-22,6.37,8.93,2026-05-22,6.33,0.6319115323854665,1.7377567140600365,29.11534154535274,28.667413213885773,False,-0.7788,0.471,1,1,1,100.0,22.496570644718787,22.496570644718787,19.368088467614538,0.6319115323854665,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
18,83.273448164765,70.16127562167385,300979,华利集团,bottom_area,2026-05-22,35.23,51.35,2026-05-22,35.02,0.5996573386636028,5.282695602512833,31.80136319376825,31.392405063291147,False,-2.8406,0.2564,1,1,1,100.0,21.49728147218737,21.49728147218737,19.4003426613364,0.5996573386636028,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
19,81.65951586345285,71.36174505766344,002083,孚日股份,bottom_area,2026-05-22,10.27,14.53,2026-05-22,10.01,2.5974025974025956,2.8971028971029065,31.108052305574674,29.318651066758434,False,0.7851,2.1172,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,17.402597402597404,2.5974025974025956,历史2/3次成功; 当前距低点2.60%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
20,80.47598202210608,68.73769817919705,000155,川能动力,bottom_area,2026-05-22,14.3,19.34,2026-05-22,14.11,1.346562721474141,3.118355776045367,27.04239917269907,26.059979317476728,False,-0.5563,2.5939,2,4,2,50.0,41.493877334183324,45.280898876404486,18.65343727852586,1.346562721474141,历史2/4次成功; 当前距低点1.35%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
21,80.39144236848348,71.38303960662506,688272,富吉瑞,bottom_area,2026-05-22,37.56,49.77,2026-05-22,36.3,3.471074380165304,5.840220385674944,27.064496684749862,24.5328511151296,False,1.3765,2.6799,2,3,2,66.66666666666666,39.8409813265338,58.95303326810176,16.5289256198347,3.471074380165304,历史2/3次成功; 当前距低点3.47%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
22,77.85646531279812,66.96109990459314,300072,海新能科,bottom_area,2026-05-22,4.13,5.92,2026-05-21,4.06,1.72413793103449,6.896551724137938,31.418918918918926,30.236486486486484,False,1.4742,1.1803,1,2,1,50.0,47.4308300395257,47.4308300395257,18.275862068965512,1.72413793103449,历史1/2次成功; 当前距低点1.72%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
23,76.83204428248948,66.09815574302402,002676,顺威股份,bottom_area,2026-05-22,5.85,8.23,2026-05-22,5.75,1.7391304347826024,2.6086956521739193,30.13365735115432,28.918590522478745,False,0.8621,1.6773,2,5,2,40.0,31.308457711442777,39.33333333333333,18.2608695652174,1.7391304347826024,历史2/5次成功; 当前距低点1.74%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
24,76.78130432261786,66.98437727581606,300651,金陵体育,bottom_area,2026-05-22,25.38,35.7,2026-05-21,24.76,2.504038772213237,8.44103392568659,30.644257703081234,28.90756302521009,False,1.3174,8.3804,3,6,3,50.0,23.782718690657177,25.720461095100855,17.495961227786765,2.504038772213237,历史3/6次成功; 当前距低点2.50%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
25,75.61105943920863,65.21828057736136,605117,德业股份,bottom_area,2026-05-22,120.7,174.56,2026-05-22,118.47,1.8823330801046712,5.22495146450578,32.13221814848763,30.854720439963334,False,1.2754,1.4077,3,10,3,30.0,54.69731694041234,60.22338317420285,18.11766691989533,1.8823330801046712,历史3/10次成功; 当前距低点1.88%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
26,73.71215442064232,65.17025656303326,002309,中利集团,bottom_area,2026-05-22,3.83,5.34,2026-05-22,3.71,3.234501347708898,3.5040431266846332,30.524344569288388,28.277153558052433,False,1.5915,7.332,4,9,4,44.44444444444444,35.0204759392389,55.97014925373133,16.765498652291104,3.234501347708898,历史4/9次成功; 当前距低点3.23%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
27,72.72577939886287,61.95431612082615,002092,中泰化学,bottom_area,2026-05-22,5.05,7.1,2026-05-22,4.99,1.2024048096192306,2.004008016032057,29.718309859154925,28.87323943661972,False,0.1984,1.9593,1,3,1,33.33333333333333,33.56164383561644,33.56164383561644,18.79759519038077,1.2024048096192306,历史1/3次成功; 当前距低点1.20%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
28,72.31090716770875,62.86647306266564,002580,圣阳股份,bottom_area,2026-05-22,26.08,36.5,2026-05-19,25.49,2.3146331894860728,9.846998823067876,30.164383561643838,28.547945205479458,True,-3.0844,16.0446,2,4,2,50.0,22.81632653061224,24.0,17.685366810513926,2.3146331894860728,历史2/4次成功; 当前距低点2.31%; 最新日涨幅-3.08%; 状态bottom_area; 底部已确认
29,71.83017469739198,60.986433121019104,002320,海峡股份,bottom_area,2026-05-22,7.93,11.0,2026-05-22,7.85,1.019108280254778,2.292993630573245,28.636363636363637,27.90909090909091,False,0.0,0.8177,1,3,1,33.33333333333333,26.111111111111097,26.111111111111097,18.980891719745223,1.019108280254778,历史1/3次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
30,71.69060426723941,62.800778671601,603113,金能科技,bottom_area,2026-05-22,5.27,7.5,2026-05-22,5.13,2.7290448343079863,2.9239766081871417,31.6,29.733333333333338,False,1.7375,1.0355,2,5,2,40.0,25.71505856894199,31.03448275862069,17.270955165692015,2.7290448343079863,历史2/5次成功; 当前距低点2.73%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
31,71.16963827441974,63.91448097460027,000723,美锦能源,bottom_area,2026-05-22,4.07,5.67,2026-05-22,3.91,4.092071611253201,5.1150895140665,31.040564373897706,28.218694885361543,False,2.7778,1.3124,2,4,2,50.0,26.74410886159975,30.434782608695667,15.9079283887468,4.092071611253201,历史2/4次成功; 当前距低点4.09%; 最新日涨幅2.78%; 状态bottom_area; 底部未确认
32,71.00240235041372,62.71878874286544,603313,梦百合,bottom_area,2026-05-22,5.83,8.27,2026-05-22,5.65,3.185840707964597,6.017699115044245,31.680773881499384,29.50423216444981,False,1.7452,2.0479,2,5,2,40.0,30.87368579045548,36.22250970245794,16.814159292035406,3.185840707964597,历史2/5次成功; 当前距低点3.19%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
33,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-22,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,69.28236672344468,59.92203385246282,002828,贝肯能源,bottom_area,2026-05-22,10.55,15.17,2026-05-22,10.34,2.030947775628635,2.5145067698259167,31.839156229400135,30.454845088991426,False,1.0536,4.4598,1,3,1,33.33333333333333,32.79172821270311,32.79172821270311,17.969052224371364,2.030947775628635,历史1/3次成功; 当前距低点2.03%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
35,68.65316936150124,60.19353711790394,603036,如通股份,bottom_area,2026-05-22,14.8,19.88,2026-05-22,14.4,2.77777777777778,3.9583333333333353,27.56539235412474,25.553319919517097,False,1.9284,2.1685,1,3,1,33.33333333333333,43.40611353711793,43.40611353711793,17.22222222222222,2.77777777777778,历史1/3次成功; 当前距低点2.78%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
36,68.48691521854381,59.78043181564924,605116,奥锐特,bottom_area,2026-05-22,21.45,28.8,2026-05-20,20.92,2.5334608030592616,7.552581261950278,27.361111111111107,25.520833333333336,True,-0.2326,1.2577,1,2,1,50.0,32.02538949798039,32.02538949798039,17.46653919694074,2.5334608030592616,历史1/2次成功; 当前距低点2.53%; 最新日涨幅-0.23%; 状态bottom_area; 底部已确认
37,67.33441623579773,57.51254028568137,688543,国科军工,bottom_area,2026-05-22,47.43,66.3,2026-05-22,46.8,1.3461538461538518,2.56410256410257,29.411764705882355,28.46153846153846,False,-0.1894,2.6103,1,3,1,33.33333333333333,33.916331836445266,33.916331836445266,18.65384615384615,1.3461538461538518,历史1/3次成功; 当前距低点1.35%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
38,67.27360676693388,60.17039662137348,002379,宏桥控股,bottom_area,2026-05-22,20.94,29.92,2026-05-20,20.16,3.869047619047625,7.4900793650793736,32.62032085561498,30.013368983957218,True,1.3553,2.0517,1,2,1,50.0,28.020565552699235,28.020565552699235,16.130952380952376,3.869047619047625,历史1/2次成功; 当前距低点3.87%; 最新日涨幅1.36%; 状态bottom_area; 底部已确认
39,66.91359913709795,58.289670036988305,000978,桂林旅游,bottom_area,2026-05-22,6.34,8.66,2026-05-18,6.19,2.423263327948295,6.623586429725351,28.52193995381062,26.789838337182452,False,-1.092,1.9528,1,2,1,50.0,31.85328185328186,31.85328185328186,17.57673667205171,2.423263327948295,历史1/2次成功; 当前距低点2.42%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
40,62.91324324589407,55.347726653033405,000925,众合科技,bottom_area,2026-05-22,8.34,11.84,2026-05-22,8.1,2.962962962962966,3.3333333333333286,31.58783783783784,29.56081081081081,False,1.956,6.6112,1,4,1,25.0,21.01226993865031,21.01226993865031,17.037037037037035,2.962962962962966,历史1/4次成功; 当前距低点2.96%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
41,61.650587211197305,53.65229347297662,002192,融捷股份,bottom_area,2026-05-22,85.54,115.0,2026-05-22,83.56,2.369554810914318,4.116802297750117,27.339130434782604,25.61739130434782,False,-0.2914,6.941,1,3,1,33.33333333333333,25.707231766279197,25.707231766279197,17.630445189085684,2.369554810914318,历史1/3次成功; 当前距低点2.37%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
42,59.952613608900656,50.725303050338944,688356,键凯科技,bottom_area,2026-05-22,81.47,111.43,2026-05-22,80.8,0.8292079207920813,1.9554455445544534,27.488109126806076,26.886834784169437,False,0.3325,1.3591,1,6,1,16.666666666666664,27.899088403646378,27.899088403646378,19.17079207920792,0.8292079207920813,历史1/6次成功; 当前距低点0.83%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
