rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.78627545096371,84.28771665989404,603368,柳药集团,bottom_area,2024-07-16,16.9,2024-07-16,16.7,1.1976047904191574,3.413173652694613,30.705394190871377,False,-2.3686,2.1494,3,3,3,100.0,31.603524634675978,42.85714285714285,13.802395209580842,1.1976047904191574,历史3/3次成功; 当前距低点1.20%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
25,80.31795159211346,70.44958981833041,600389,江山股份,bottom_area,2024-07-16,13.0,2024-07-16,12.94,0.46367851622875195,2.6275115919629046,29.289617486338805,False,-0.9901,0.8559,1,1,1,100.0,21.380520620064356,21.380520620064356,14.536321483771248,0.46367851622875195,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
26,79.41278772899442,73.63238329238331,603012,创力集团,bottom_area,2024-07-16,4.21,2024-07-09,4.07,3.4398034398034314,6.633906633906624,27.19141323792486,False,-0.237,0.6365,1,1,1,100.0,35.13513513513512,35.13513513513512,11.560196560196568,3.4398034398034314,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
27,79.28488645826154,69.78055145524031,600295,鄂尔多斯,bottom_area,2024-07-16,9.35,2024-07-15,9.29,0.645855758880522,2.691065662002153,31.03192279138828,False,-1.0582,0.2462,1,1,1,100.0,20.016680567139286,20.016680567139286,14.354144241119476,0.645855758880522,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
28,79.1573193073637,70.02255829360679,002367,康力电梯,bottom_area,2024-07-16,5.5,2024-07-09,5.45,0.9174311926605472,5.321100917431193,29.036458333333325,False,-1.2567,0.6794,1,1,1,100.0,24.646781789638936,24.646781789638936,14.082568807339452,0.9174311926605472,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
29,78.68643918891925,69.14246938837213,603187,海容冷链,bottom_area,2024-07-16,10.78,2024-07-16,10.72,0.5597014925373014,2.0522388059701386,30.43478260869565,False,-1.2821,0.9196,1,1,1,100.0,15.530047265361235,15.530047265361235,14.440298507462698,0.5597014925373014,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
30,78.13111080437939,73.21034736591182,002838,道恩股份,bottom_area,2024-07-16,8.83,2024-07-09,8.49,4.004711425206123,9.422850412249693,32.511923688394276,True,-0.7865,0.4539,4,5,4,80.0,23.930588254740684,38.59649122807017,10.995288574793877,4.004711425206123,历史4/5次成功; 当前距低点4.00%; 最新日涨幅-0.79%; 状态bottom_area; 底部已确认
31,77.65775506800917,69.25483507848618,601515,衢州东峰,bottom_area,2024-07-16,3.0,2024-07-16,2.96,1.3513513513513526,4.3918918918918886,29.52380952380953,False,-1.6393,0.8957,2,3,2,66.66666666666666,24.888438133874246,34.48275862068966,13.648648648648647,1.3513513513513526,历史2/3次成功; 当前距低点1.35%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
32,77.06906095420362,68.98950599751561,603113,金能科技,bottom_area,2024-07-16,5.23,2024-07-09,5.15,1.5533980582524285,6.407766990291264,28.867403314917123,False,-0.947,0.5617,3,5,3,60.0,23.71641704479105,31.03448275862069,13.446601941747572,1.5533980582524285,历史3/5次成功; 当前距低点1.55%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
33,76.88027771262307,70.3602297552987,000928,中钢国际,bottom_area,2024-07-16,5.25,2024-07-09,5.11,2.739726027397254,5.479452054794508,28.33099579242636,False,0.0,0.5927,3,5,3,60.0,23.154866117013082,33.7972166998012,12.260273972602745,2.739726027397254,历史3/5次成功; 当前距低点2.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,75.6364355661744,70.53070092369792,600970,中材国际,bottom_area,2024-07-16,10.25,2024-07-12,9.88,3.744939271255052,6.983805668016188,27.03101920236336,False,-2.381,0.608,1,1,1,100.0,22.19979818365287,22.19979818365287,11.255060728744947,3.744939271255052,历史1/1次成功; 当前距低点3.74%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
35,74.97209531815264,68.99664842816497,603155,新亚强,bottom_area,2024-07-16,11.87,2024-07-16,11.52,3.0381944444444415,3.9062500000000098,30.976632714200125,False,1.0213,2.7042,2,3,2,66.66666666666666,21.70465104748192,25.624375624375624,11.961805555555557,3.0381944444444415,历史2/3次成功; 当前距低点3.04%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
36,74.84121107683079,68.28421243505461,002172,澳洋健康,bottom_area,2024-07-16,2.39,2024-07-09,2.33,2.5751072961373414,8.154506437768237,30.03003003003003,True,-0.8299,0.9136,3,5,3,60.0,23.255145538966428,29.824561403508774,12.424892703862659,2.5751072961373414,历史3/5次成功; 当前距低点2.58%; 最新日涨幅-0.83%; 状态bottom_area; 底部已确认
37,74.16588109909532,68.06502071136002,002125,湘潭电化,bottom_area,2024-07-16,9.26,2024-07-09,9.0,2.8888888888888866,7.555555555555553,28.684627575277332,True,-0.7503,0.9416,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,12.111111111111112,2.8888888888888866,历史2/3次成功; 当前距低点2.89%; 最新日涨幅-0.75%; 状态bottom_area; 底部已确认
