rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
15,83.39673684585637,75.81521531441487,002313,日海智能,bottom_area,2025-04-07,8.47,2025-04-07,8.47,0.0,5.0767414403778,29.94210090984284,False,-9.9894,1.7998,5,5,5,100.0,17.01728663663909,20.08238928939237,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
16,83.325,75.75,000737,北方铜业,bottom_area,2025-04-07,9.01,2025-04-07,9.01,0.0,0.0,30.692307692307697,False,-9.99,1.0459,2,2,2,100.0,51.86062890208619,88.19095477386935,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
17,83.17233367289339,75.61121242990308,603196,璞源材料,bottom_area,2025-04-07,12.94,2025-04-07,12.94,0.0,5.718701700154561,29.978354978354982,False,-10.0139,1.324,5,5,5,100.0,15.920496934962754,22.85714285714286,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
18,83.04971728969026,78.86835758581839,688355,明志科技,confirmed_rebound,2025-04-07,14.75,2025-04-07,14.42,2.288488210818308,19.694868238557568,29.486552567237162,False,-18.0556,1.7219,4,4,4,100.0,19.602745733785582,35.08474576271185,7.711511789181692,2.288488210818308,历史4/4次成功; 当前距低点2.29%; 最新日涨幅-18.06%; 状态confirmed_rebound; 底部未确认
19,82.8753968433461,75.34126985758735,001209,洪兴股份,bottom_area,2025-04-07,14.68,2025-04-07,14.68,0.0,5.926430517711179,31.465919701213824,False,-9.9939,2.1029,4,4,4,100.0,14.469192782727669,21.88679245283018,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
20,82.77884899631691,75.54905238489368,300365,恒华科技,confirmed_rebound,2025-04-07,4.88,2025-04-07,4.87,0.20533880903490323,18.480492813141673,30.32904148783977,False,-19.8686,4.5053,4,4,4,100.0,16.06034876071641,20.0892857142857,9.794661190965098,0.20533880903490323,历史4/4次成功; 当前距低点0.21%; 最新日涨幅-19.87%; 状态confirmed_rebound; 底部未确认
21,82.7465869883376,75.22416998939781,002681,奋达科技,bottom_area,2025-04-07,6.51,2025-04-07,6.51,0.0,3.6866359447004644,28.85245901639345,False,-9.9585,2.6128,3,3,3,100.0,30.506290265579576,46.084337349397586,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
22,82.65981239764577,76.88016852287636,300345,华民股份,confirmed_rebound,2025-04-07,4.23,2025-04-07,4.18,1.1961722488038447,19.37799043062202,29.272419627749585,False,-18.4971,3.0111,2,2,2,100.0,28.857211022307048,29.397590361445776,8.803827751196156,1.1961722488038447,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-18.50%; 状态confirmed_rebound; 底部未确认
23,82.65614390653701,78.66298033465503,688078,龙软科技,confirmed_rebound,2025-04-07,26.87,2025-04-07,26.24,2.400914634146351,17.073170731707318,32.71794871794872,False,-18.0793,2.4344,5,5,5,100.0,19.876697314562893,29.719161038037694,7.59908536585365,2.400914634146351,历史5/5次成功; 当前距低点2.40%; 最新日涨幅-18.08%; 状态confirmed_rebound; 底部未确认
24,82.40474542460541,74.91340493145945,300549,优德精密,confirmed_rebound,2025-04-07,16.22,2025-04-07,16.22,0.0,15.906288532675722,28.134692069118305,False,-19.9803,9.1019,4,4,4,100.0,22.383897480964784,38.963531669865645,10.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-19.98%; 状态confirmed_rebound; 底部未确认
