rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.5872663896434,84.7643378631959,002603,以岭药业,bottom_area,2024-07-08,14.9,2024-07-05,14.65,1.7064846416382253,4.914675767918081,27.0418326693227,False,-2.7415,0.6998,4,4,4,100.0,23.737219602855067,39.661898569570866,6.293515358361774,1.7064846416382253,历史4/4次成功; 当前距低点1.71%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
42,80.07843185204246,75.91117036183415,603308,应流股份,bottom_area,2024-07-08,11.6,2024-07-08,11.46,1.221640488656185,4.6247818499127336,30.96385542168675,False,-3.2527,0.8781,2,2,2,100.0,13.744681053603557,14.186046511627906,6.778359511343815,1.221640488656185,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
43,79.99020963200678,75.04286411168056,605567,春雪食品,bottom_area,2024-07-08,7.39,2024-07-05,7.34,0.6811989100817415,3.4059945504087197,28.599221789883266,False,-2.5066,1.2085,2,2,2,100.0,32.07525605734906,36.46616541353383,7.318801089918258,0.6811989100817415,历史2/2次成功; 当前距低点0.68%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
44,79.82358198129761,74.61953638576277,002129,TCL中环,bottom_area,2024-07-08,8.11,2024-07-08,8.07,0.49566294919453713,4.70879801734819,32.29865771812081,False,-4.8122,1.4918,3,3,3,100.0,21.073375859818903,31.12759643916912,7.5043370508054625,0.49566294919453713,历史3/3次成功; 当前距低点0.50%; 最新日涨幅-4.81%; 状态bottom_area; 底部未确认
45,79.66278634101396,74.24115289590794,000799,酒鬼酒,bottom_area,2024-07-08,38.78,2024-07-08,38.65,0.3363518758085448,3.8809831824062098,27.006610009442877,False,-4.1996,1.7821,3,3,3,100.0,17.086210606190452,26.337693222354336,7.663648124191455,0.3363518758085448,历史3/3次成功; 当前距低点0.34%; 最新日涨幅-4.20%; 状态bottom_area; 底部未确认
46,79.63712988458107,75.88597066292292,603325,博隆技术,bottom_area,2024-07-08,61.92,2024-07-08,61.01,1.4915587608588818,6.146533355187686,29.614674665436098,False,-4.1338,1.6051,1,1,1,100.0,33.584541062801925,33.584541062801925,6.508441239141119,1.4915587608588818,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
47,79.36130679968522,74.48943629926983,600155,华创云信,bottom_area,2024-07-08,5.7,2024-07-08,5.66,0.7067137809187285,4.41696113074205,27.806122448979586,False,-3.8786,0.9575,2,2,2,100.0,39.627654407336166,46.19883040935671,7.2932862190812715,0.7067137809187285,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-3.88%; 状态bottom_area; 底部未确认
48,79.33957326469475,75.25182007541306,002172,澳洋健康,bottom_area,2024-07-08,2.43,2024-07-05,2.4,1.2500000000000104,5.4166666666666625,27.927927927927932,False,-3.5714,0.9679,4,5,4,80.0,20.54741976028543,29.824561403508774,6.749999999999989,1.2500000000000104,历史4/5次成功; 当前距低点1.25%; 最新日涨幅-3.57%; 状态bottom_area; 底部未确认
49,79.18478902468362,74.27030700778549,002326,永太科技,bottom_area,2024-07-08,7.52,2024-07-08,7.47,0.6693440428380164,4.01606425702811,29.19431279620854,False,-3.8363,0.8475,3,3,3,100.0,21.32479260997945,29.837587006960554,7.3306559571619845,0.6693440428380164,历史3/3次成功; 当前距低点0.67%; 最新日涨幅-3.84%; 状态bottom_area; 底部未确认
50,79.18361844042919,74.61631789774515,300446,航天智造,bottom_area,2024-07-08,11.07,2024-07-08,10.97,0.9115770282588845,4.7402005469462125,29.63438101347017,False,-3.0648,2.5649,3,3,3,100.0,26.154373775136584,51.92697768762679,7.088422971741116,0.9115770282588845,历史3/3次成功; 当前距低点0.91%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
51,79.06852783675708,73.47911465400271,002803,吉宏股份,bottom_area,2024-07-08,10.58,2024-07-08,10.56,0.18939393939393534,4.5454545454545325,28.406779661016945,False,-4.4264,1.7011,2,2,2,100.0,27.854477611940297,41.25000000000001,7.810606060606065,0.18939393939393534,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-4.43%; 状态bottom_area; 底部未确认
52,78.96645075031957,73.91685019750149,002219,新里程,bottom_area,2024-07-08,1.78,2024-07-08,1.77,0.56497175141243,4.51977401129944,32.183908045977006,False,-4.3011,0.8812,2,2,2,100.0,34.81175156302061,45.685279187817265,7.43502824858757,0.56497175141243,历史2/2次成功; 当前距低点0.56%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
53,78.80696016571859,73.29192427935156,002612,朗姿股份,bottom_area,2024-07-08,13.13,2024-07-08,13.1,0.22900763358779494,3.4351145038168025,31.269674711437563,False,-2.9564,1.2414,2,2,2,100.0,17.118611203934037,20.77294685990338,7.770992366412205,0.22900763358779494,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
54,78.68610815287491,73.13046074726846,000404,长虹华意,bottom_area,2024-07-08,5.16,2024-07-08,5.15,0.19417475728154926,3.300970873786406,30.872483221476504,False,-3.5514,1.4626,2,2,2,100.0,26.03859781650749,40.139211136890964,7.80582524271845,0.19417475728154926,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
55,78.58539999013603,73.89677690382442,002176,江特电机,bottom_area,2024-07-08,7.54,2024-07-08,7.48,0.8021390374331497,5.614973262032084,29.633113828786456,False,-4.798,1.9268,3,3,3,100.0,20.944375855763404,39.01808785529715,7.197860962566851,0.8021390374331497,历史3/3次成功; 当前距低点0.80%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
56,78.39447801766542,73.01726523325097,600188,兖矿能源,bottom_area,2024-07-08,16.36,2024-07-08,16.31,0.30656039239730665,1.77805027590437,31.297388374052233,False,-2.503,0.5093,2,2,2,100.0,16.592596386649618,17.201774993474277,7.693439607602694,0.30656039239730665,历史2/2次成功; 当前距低点0.31%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
57,78.28489645838295,73.06751366448886,601908,京运通,bottom_area,2024-07-08,2.42,2024-07-08,2.41,0.41493775933609073,3.73443983402489,31.14285714285714,False,-3.9683,0.7503,2,2,2,100.0,28.406299762231964,40.33898305084744,7.585062240663909,0.41493775933609073,历史2/2次成功; 当前距低点0.41%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
58,78.23143158270283,73.22435815364885,002044,美年健康,bottom_area,2024-07-08,3.58,2024-07-08,3.56,0.5617977528089892,5.61797752808988,27.198364008179954,False,-4.2781,0.894,3,3,3,100.0,14.383102312114746,18.108108108108105,7.438202247191011,0.5617977528089892,历史3/3次成功; 当前距低点0.56%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
59,78.15464442415342,73.34225626740944,002015,协鑫能科,bottom_area,2024-07-08,7.23,2024-07-08,7.18,0.6963788300835754,4.735376044568243,32.51879699248121,False,-3.9841,0.8293,1,1,1,100.0,65.95380667236954,65.95380667236954,7.303621169916425,0.6963788300835754,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
60,77.88383287742334,72.31007238662978,001308,康冠科技,bottom_area,2024-07-08,21.38,2024-06-24,21.35,0.1405152224824243,6.557377049180321,28.66688940862011,False,-2.1062,1.3762,1,1,1,100.0,27.421758569299566,27.421758569299566,7.859484777517575,0.1405152224824243,历史1/1次成功; 当前距低点0.14%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
61,77.81429872189601,72.84547081769928,002555,三七互娱,bottom_area,2024-07-08,12.35,2024-07-08,12.28,0.5700325732899046,3.9087947882736196,29.70807097882083,False,-3.8162,1.9836,3,3,3,100.0,12.447016584947619,16.78160919540231,7.429967426710096,0.5700325732899046,历史3/3次成功; 当前距低点0.57%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
62,77.74458333550254,73.0197744035107,002254,泰和新材,bottom_area,2024-07-08,8.16,2024-07-08,8.1,0.7407407407407469,3.9506172839506206,30.47210300429185,False,-3.2028,0.8867,2,2,2,100.0,32.14335103440648,38.58695652173914,7.259259259259252,0.7407407407407469,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
63,77.72670615357173,72.33242370758252,002860,星帅尔,bottom_area,2024-07-08,7.67,2024-07-08,7.65,0.26143790849672643,4.183006535947705,28.704566635601118,False,-3.7641,1.0085,2,2,2,100.0,22.572592144919646,30.917874396135282,7.738562091503273,0.26143790849672643,历史2/2次成功; 当前距低点0.26%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
64,77.61086741159882,72.62372205399139,605099,共创草坪,bottom_area,2024-07-08,18.36,2024-07-08,18.26,0.5476451259583672,4.709748083242055,27.45331744139849,False,-3.47,0.1201,1,1,1,100.0,44.31372549019606,44.31372549019606,7.452354874041633,0.5476451259583672,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
65,77.55941448325964,72.56718321255613,300601,康泰生物,bottom_area,2024-07-08,14.85,2024-07-08,14.77,0.5416384563304,5.280974949221402,31.841255191509006,False,-4.9296,1.1747,3,3,3,100.0,10.602789747255038,11.580726965342352,7.4583615436696,0.5416384563304,历史3/3次成功; 当前距低点0.54%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
66,77.42402999091186,72.85352925959195,600129,太极集团,bottom_area,2024-07-08,27.71,2024-07-05,27.48,0.8369723435225634,4.439592430858802,28.86357753041678,False,-2.3608,1.0471,2,2,2,100.0,22.21411937001825,29.540598290598297,7.163027656477437,0.8369723435225634,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
67,77.30157719961606,72.28426093514328,603063,禾望电气,bottom_area,2024-07-08,13.75,2024-07-08,13.68,0.5116959064327506,4.239766081871346,27.54237288135593,False,-3.5764,0.9354,2,2,2,100.0,25.38133119252664,28.846153846153843,7.488304093567249,0.5116959064327506,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
68,77.27056261778111,71.93488801123358,002121,科陆电子,bottom_area,2024-07-08,3.57,2024-07-08,3.56,0.2808988764044884,3.651685393258424,28.370221327967805,False,-2.7248,0.47,2,2,2,100.0,10.458803491590388,11.826697892271683,7.719101123595512,0.2808988764044884,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
69,76.75193614717062,71.54227540212305,601699,潞安环能,bottom_area,2024-07-08,17.38,2024-07-08,17.32,0.3464203233256277,2.2517321016166316,27.652464494569763,False,-1.7524,0.3546,1,1,1,100.0,25.817815802717657,25.817815802717657,7.653579676674373,0.3464203233256277,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
70,76.7297564183363,71.80365643217606,688061,灿瑞科技,bottom_area,2024-07-08,23.73,2024-07-08,23.6,0.5508474576271144,5.889830508474563,29.845422116527942,False,-2.8256,2.3707,2,2,2,100.0,13.062304492289648,15.713159968479115,7.449152542372886,0.5508474576271144,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
71,76.67516196665633,72.32528785238406,605580,恒盛能源,bottom_area,2024-07-08,8.38,2024-07-05,8.3,0.9638554216867478,4.096385542168672,27.192982456140346,False,-2.331,1.328,2,2,2,100.0,20.929452762526086,27.66233766233766,7.036144578313253,0.9638554216867478,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
72,76.5850569577014,73.1640528430318,300386,飞天诚信,confirmed_rebound,2024-07-08,8.76,2024-07-08,8.62,1.6241299303944383,8.236658932714628,31.587301587301592,False,-5.7051,14.444,5,6,5,83.33333333333334,16.901805112891335,27.530364372469624,6.375870069605562,1.6241299303944383,历史5/6次成功; 当前距低点1.62%; 最新日涨幅-5.71%; 状态confirmed_rebound; 底部未确认
