rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.71398409716076,79.32970409796407,688010,福光股份,bottom_area,2022-09-22,20.72,2022-09-21,20.05,3.341645885286774,5.985037406483787,28.341672623302355,False,0.7292,0.2753,1,1,1,100.0,42.08955223880597,42.08955223880597,11.658354114713227,3.341645885286774,历史1/1次成功; 当前距低点3.34%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
16,77.3879693236909,72.80557610907896,300484,蓝海华腾,bottom_area,2022-09-22,11.36,2022-09-19,10.9,4.220183486238524,6.23853211009174,28.52459016393442,False,-1.1314,1.3885,2,2,2,100.0,23.589217514531214,28.708133971291865,10.779816513761475,4.220183486238524,历史2/2次成功; 当前距低点4.22%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
17,76.70252682498065,71.92734997914309,002283,天润工业,bottom_area,2022-09-22,5.4,2022-09-19,5.19,4.046242774566473,5.394990366088619,27.816411682892905,False,-0.7353,0.4413,1,1,1,100.0,33.402061855670105,33.402061855670105,10.953757225433527,4.046242774566473,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
18,75.58963207033047,70.0297952853598,002319,乐通股份,bottom_area,2022-09-22,12.18,2022-09-21,11.78,3.395585738539901,8.658743633276753,30.70588235294118,False,-0.9756,5.9016,1,1,1,100.0,15.224358974358976,15.224358974358976,11.604414261460098,3.395585738539901,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
19,75.1041945766815,70.44905706957482,002012,凯恩股份,bottom_area,2022-09-22,5.38,2022-09-19,5.17,4.061895551257252,5.222437137330763,31.523178807947016,False,-0.5545,1.8462,1,1,1,100.0,25.646123260437374,25.646123260437374,10.938104448742747,4.061895551257252,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
20,73.45781252264271,69.05246094579428,600126,杭钢股份,bottom_area,2022-09-22,4.24,2022-09-21,4.07,4.176904176904174,5.159705159705159,28.72154115586689,False,-0.2353,0.1922,1,1,1,100.0,19.54732510288064,19.54732510288064,10.823095823095825,4.176904176904174,历史1/1次成功; 当前距低点4.18%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
21,71.7173654053935,67.16582234043497,300648,星云股份,bottom_area,2022-09-22,37.91,2022-09-22,36.46,3.976961053208984,7.103675260559507,27.52931822699265,False,0.6638,3.2487,3,5,3,60.0,21.14673947178195,26.78362573099414,11.023038946791015,3.976961053208984,历史3/5次成功; 当前距低点3.98%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
22,65.53142229641362,57.37074936999613,603229,奥翔药业,bottom_area,2022-09-22,24.95,2022-09-21,24.86,0.3620273531777951,3.2984714400643615,28.869814020028624,False,-1.8103,0.9596,1,2,1,50.0,41.48479427549196,41.48479427549196,14.637972646822202,0.3620273531777951,历史1/2次成功; 当前距低点0.36%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
23,63.35561123454047,56.885326136021675,688356,键凯科技,bottom_area,2022-09-22,169.0,2022-09-21,166.15,1.7153174842010197,7.6136021667168245,27.05680920186144,False,-0.5882,1.148,1,2,1,50.0,15.625,15.625,13.284682515798979,1.7153174842010197,历史1/2次成功; 当前距低点1.72%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
24,62.643974090517375,55.51083215818997,688026,洁特生物,bottom_area,2022-09-22,30.0,2022-09-22,29.7,1.0101010101010124,3.299663299663301,31.69273229070837,False,-0.5635,0.5036,1,4,1,25.0,20.423991726990696,20.423991726990696,13.989898989898986,1.0101010101010124,历史1/4次成功; 当前距低点1.01%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
25,62.56541877197894,57.18905215053539,688079,美迪凯,bottom_area,2022-09-22,9.6,2022-09-21,9.35,2.6737967914438503,5.775401069518726,29.962546816479403,False,-0.8264,0.4921,1,2,1,50.0,29.007036747458958,29.007036747458958,12.32620320855615,2.6737967914438503,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
26,61.63375615796825,56.630213273665156,688027,国盾量子,bottom_area,2022-09-22,90.68,2022-09-21,88.08,2.9518619436875664,4.961398728428707,31.1875,False,0.0221,0.7476,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,12.048138056312432,2.9518619436875664,历史1/3次成功; 当前距低点2.95%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
27,61.3695032382135,56.083808780238066,601686,友发集团,bottom_area,2022-09-22,6.17,2022-09-21,6.01,2.662229617304495,3.9933444259567423,29.54279015240328,False,-0.8039,0.4566,1,2,1,50.0,22.923076923076927,22.923076923076927,12.337770382695505,2.662229617304495,历史1/2次成功; 当前距低点2.66%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
28,59.955721742560776,55.310595007829036,688021,奥福科技,bottom_area,2022-09-22,21.82,2022-09-22,21.15,3.1678486997636015,5.390070921985819,28.498985801217042,False,-0.9982,0.7445,1,2,1,50.0,24.96392496392497,24.96392496392497,11.832151300236399,3.1678486997636015,历史1/2次成功; 当前距低点3.17%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
29,58.66492202292409,53.31321201551178,688202,美迪西,bottom_area,2022-09-22,227.49,2022-09-22,222.24,2.3623110151187907,3.392728581713459,32.344972449694055,False,-0.5943,1.1518,1,3,1,33.33333333333333,23.795418261555337,23.795418261555337,12.63768898488121,2.3623110151187907,历史1/3次成功; 当前距低点2.36%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
30,58.52376692208277,54.029319121672806,300543,朗科智能,bottom_area,2022-09-22,9.01,2022-09-19,8.73,3.2073310423825814,4.9255441008018295,30.159999999999997,False,-1.0977,0.7773,1,2,1,50.0,18.559322033898297,18.559322033898297,11.792668957617417,3.2073310423825814,历史1/2次成功; 当前距低点3.21%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
31,57.966285881429464,53.59712745449112,605319,无锡振华,bottom_area,2022-09-22,13.5,2022-09-19,13.07,3.289977046671765,6.350420811017599,30.330490405117278,False,-1.4599,1.0434,1,2,1,50.0,17.248790972595383,17.248790972595383,11.710022953328233,3.289977046671765,历史1/2次成功; 当前距低点3.29%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
32,56.97204028486794,50.10867082624313,603033,三维股份,bottom_area,2022-09-22,16.5,2022-09-19,16.4,0.6097560975609843,4.5121951219512315,30.508474576271194,False,-2.9412,0.3386,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,14.390243902439014,0.6097560975609843,历史1/3次成功; 当前距低点0.61%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
33,53.938660386340665,50.86226183776309,688298,东方生物,bottom_area,2022-09-22,78.78,2022-09-21,75.5,4.344370860927154,7.311258278145689,32.408236347359,True,1.7698,2.9173,1,5,1,20.0,15.470039788586028,15.470039788586028,10.655629139072845,4.344370860927154,历史1/5次成功; 当前距低点4.34%; 最新日涨幅1.77%; 状态bottom_area; 底部已确认
