rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.11532991023844,84.65816933806161,688350,富淼科技,bottom_area,2023-05-10,16.24,2023-05-05,16.04,1.246882793017452,4.301745635910232,32.774518021793796,False,0.3708,1.8449,2,2,2,100.0,28.392807022265636,38.54748603351957,13.753117206982548,1.246882793017452,历史2/2次成功; 当前距低点1.25%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
12,86.02588591302847,76.4708976166069,688328,深科达,bottom_area,2023-05-10,19.74,2023-05-10,19.51,1.178882624295217,1.6914402870322822,29.285973178687925,False,-0.5542,1.539,1,1,1,100.0,22.681451612903224,22.681451612903224,13.821117375704784,1.178882624295217,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
13,86.01259140821793,78.80243650363374,300762,上海瀚讯,bottom_area,2023-05-10,11.76,2023-05-10,11.44,2.7972027972028,2.9720279720279708,27.50316856780735,False,0.8576,1.541,1,1,1,100.0,32.580961727183514,32.580961727183514,12.2027972027972,2.7972027972028,历史1/1次成功; 当前距低点2.80%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
14,85.99907747799652,77.57869066727817,600114,东睦股份,bottom_area,2023-05-10,7.26,2023-05-10,7.12,1.9662921348314562,2.5280898876404456,27.04918032786885,False,1.3966,1.3917,1,1,1,100.0,15.816326530612232,15.816326530612232,13.033707865168543,1.9662921348314562,历史1/1次成功; 当前距低点1.97%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
15,85.94581807496641,78.71070919181035,300661,圣邦股份,bottom_area,2023-05-10,122.9,2023-04-25,119.58,2.7763840107041373,6.790433182806494,30.20079383609619,False,0.0,0.5839,1,1,1,100.0,31.832606108687024,31.832606108687024,12.223615989295862,2.7763840107041373,历史1/1次成功; 当前距低点2.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
16,85.32721675649609,78.02728900255754,000629,钒钛股份,bottom_area,2023-05-10,4.19,2023-04-25,4.08,2.6960784313725568,9.803921568627459,31.08108108108108,False,0.4796,0.5656,1,1,1,100.0,27.173913043478265,27.173913043478265,12.303921568627443,2.6960784313725568,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
17,84.99883759226282,75.95524542156562,002385,大北农,bottom_area,2023-05-10,6.95,2023-04-25,6.85,1.4598540145985481,4.963503649635047,30.73811931243681,False,-0.2869,0.8802,1,1,1,100.0,23.353293413173663,23.353293413173663,13.540145985401452,1.4598540145985481,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
18,84.95929431180575,75.71068208885426,001309,德明利,bottom_area,2023-05-10,63.32,2023-05-10,62.5,1.3120000000000005,4.783999999999992,27.325581395348834,False,-1.2785,7.2705,1,1,1,100.0,20.226032735775533,20.226032735775533,13.688,1.3120000000000005,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
19,84.26334713386377,75.40855472318655,300353,东土科技,bottom_area,2023-05-10,10.56,2023-05-10,10.4,1.5384615384615397,3.8461538461538494,32.90322580645161,False,-1.676,3.0227,1,1,1,100.0,21.377672209026137,21.377672209026137,13.461538461538462,1.5384615384615397,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
20,83.8331089795157,76.23147811725845,002079,苏州固锝,bottom_area,2023-05-10,12.4,2023-05-10,12.11,2.394715111478125,2.559867877786957,28.512396694214885,False,-0.0806,2.1862,2,2,2,100.0,19.631336405529957,22.488479262672804,12.605284888521876,2.394715111478125,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
21,82.47835357659457,72.90501568474505,300454,深信服,bottom_area,2023-05-10,115.05,2023-05-10,114.05,0.8768084173608066,2.586584831214382,31.910447761194032,False,-0.8446,0.8803,2,2,2,100.0,22.979241270579003,29.49391262831224,14.123191582639194,0.8768084173608066,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
22,82.16796123087845,73.81339695251964,601138,工业富联,bottom_area,2023-05-10,14.6,2023-05-08,14.35,1.7421602787456445,6.132404181184675,27.780573729240064,False,-0.6803,0.5185,1,1,1,100.0,15.298507462686556,15.298507462686556,13.257839721254355,1.7421602787456445,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
23,82.13838507222003,72.60921728846357,600203,福日电子,bottom_area,2023-05-10,5.73,2023-05-09,5.68,0.8802816901408576,3.3450704225352186,28.19216182048041,False,-0.1742,1.2989,2,2,2,100.0,21.43150291389641,24.045801526717554,14.119718309859142,0.8802816901408576,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
24,80.35160467747431,76.15111999311128,688227,品高股份,bottom_area,2023-05-10,24.71,2023-05-04,23.62,4.614733276883996,12.066045723962734,29.132913291329128,True,0.081,2.7177,1,1,1,100.0,31.412429378531087,31.412429378531087,10.385266723116004,4.614733276883996,历史1/1次成功; 当前距低点4.61%; 最新日涨幅0.08%; 状态bottom_area; 底部已确认
25,80.14732323257952,73.38238464785533,688047,龙芯中科,bottom_area,2023-05-10,137.6,2023-05-08,133.9,2.763256161314405,9.775952203136672,27.1094175285792,True,-2.2033,6.7146,1,1,1,100.0,16.304347826086957,16.304347826086957,12.236743838685594,2.763256161314405,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-2.20%; 状态bottom_area; 底部已确认
26,80.03906163562385,74.36186642393261,301367,瑞迈特,bottom_area,2023-05-10,217.76,2023-05-10,210.3,3.5473133618639943,6.405135520684735,29.642020742723307,False,1.5198,4.0651,1,1,1,100.0,17.901832736465128,17.901832736465128,11.452686638136006,3.5473133618639943,历史1/1次成功; 当前距低点3.55%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
27,79.04951543662224,73.29194951664877,603363,傲农生物,bottom_area,2023-05-10,9.63,2023-04-25,9.31,3.437164339419981,9.559613319011802,29.576399394856278,True,-0.2073,1.0836,1,1,1,100.0,24.078947368421055,24.078947368421055,11.562835660580017,3.437164339419981,历史1/1次成功; 当前距低点3.44%; 最新日涨幅-0.21%; 状态bottom_area; 底部已确认
28,78.67017074840297,71.18025035979468,300727,润禾材料,bottom_area,2023-05-10,27.37,2023-05-10,26.8,2.1268656716417924,2.4999999999999933,27.918235610543302,False,0.4404,1.6107,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,12.873134328358207,2.1268656716417924,历史2/3次成功; 当前距低点2.13%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
29,78.12638853852194,71.73345198323513,002383,合众思壮,bottom_area,2023-05-10,6.71,2023-04-28,6.52,2.914110429447859,5.828220858895718,28.50877192982456,False,-0.2972,0.9032,1,1,1,100.0,18.48184818481848,18.48184818481848,12.08588957055214,2.914110429447859,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-0.30%; 状态bottom_area; 底部未确认
30,78.08235610782599,68.99572782621394,001201,东瑞股份,bottom_area,2023-05-10,24.67,2023-05-05,24.46,0.8585445625511072,2.207686017988549,28.01648028251912,False,-0.6444,0.8748,1,1,1,100.0,18.4043517679057,18.4043517679057,14.14145543744889,0.8585445625511072,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
31,77.3262302547174,68.64093331845304,000721,西安饮食,bottom_area,2023-05-10,11.91,2023-05-10,11.78,1.1035653650254738,3.22580645161291,31.43189755529686,False,-1.9753,6.6825,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,13.896434634974526,1.1035653650254738,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
32,77.22366898429256,71.28925804925055,601369,陕鼓动力,bottom_area,2023-05-10,9.34,2023-05-10,9.05,3.204419889502753,3.6464088397790064,32.31114435302916,False,1.8539,0.6316,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,11.795580110497248,3.204419889502753,历史2/3次成功; 当前距低点3.20%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
33,76.88298018406881,72.9725668484671,603005,晶方科技,bottom_area,2023-05-10,22.3,2023-05-05,21.3,4.694835680751173,7.699530516431927,28.1618887015177,True,-1.7621,3.5076,2,2,2,100.0,21.111786024622447,24.55991516436903,10.305164319248828,4.694835680751173,历史2/2次成功; 当前距低点4.69%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
34,74.88059436216147,67.95684084818289,002724,海洋王,bottom_area,2023-05-10,8.49,2023-04-25,8.3,2.289156626506018,8.192771084337345,28.999144568006834,True,-0.1176,0.9098,2,3,2,66.66666666666666,20.212103709408286,25.204081632653047,12.710843373493983,2.289156626506018,历史2/3次成功; 当前距低点2.29%; 最新日涨幅-0.12%; 状态bottom_area; 底部已确认
35,71.82401440438446,67.2547954751563,002309,中利集团,bottom_area,2023-05-10,3.93,2023-05-10,3.78,3.9682539682539777,4.497354497354507,31.021897810218984,False,1.2887,1.466,2,3,2,66.66666666666666,23.740579871552146,30.136986301369873,11.031746031746021,3.9682539682539777,历史2/3次成功; 当前距低点3.97%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
36,71.0241040912046,63.95918699860057,300552,万集科技,bottom_area,2023-05-10,17.4,2023-05-04,17.08,1.8735362997658096,7.728337236533961,31.129032258064527,True,0.6362,1.7557,1,2,1,50.0,23.929299796057098,23.929299796057098,13.12646370023419,1.8735362997658096,历史1/2次成功; 当前距低点1.87%; 最新日涨幅0.64%; 状态bottom_area; 底部已确认
37,70.27668014218312,63.352850824286286,002317,众生药业,bottom_area,2023-05-10,16.9,2023-05-10,16.58,1.9300361881785304,2.2919179734620183,27.280701754385973,False,0.6552,4.2854,1,3,1,33.33333333333333,58.31999999999999,58.31999999999999,13.06996381182147,1.9300361881785304,历史1/3次成功; 当前距低点1.93%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
38,68.33778943632235,61.2841436785188,688286,敏芯股份,bottom_area,2023-05-10,46.2,2023-05-10,45.45,1.65016501650165,2.5302530253025273,29.183546276098475,False,0.5879,1.0653,1,2,1,50.0,16.00279524807827,16.00279524807827,13.349834983498349,1.65016501650165,历史1/2次成功; 当前距低点1.65%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
39,64.35930073369114,60.80956497826983,300758,七彩化学,bottom_area,2023-05-10,10.09,2023-04-26,9.66,4.451345755693579,7.142857142857137,30.252707581227433,True,1.3052,0.9709,1,2,1,50.0,38.59480269489894,38.59480269489894,10.548654244306421,4.451345755693579,历史1/2次成功; 当前距低点4.45%; 最新日涨幅1.31%; 状态bottom_area; 底部已确认
40,64.17407462886428,61.14537831957683,002370,亚太药业,bottom_area,2023-05-10,4.28,2023-04-25,4.08,4.901960784313729,9.558823529411757,32.56198347107438,True,-0.2331,0.7361,2,3,2,66.66666666666666,15.619259360997129,15.633423180592995,10.098039215686269,4.901960784313729,历史2/3次成功; 当前距低点4.90%; 最新日涨幅-0.23%; 状态bottom_area; 底部已确认
41,63.60816957953422,58.970517081762154,000059,华锦股份,bottom_area,2023-05-10,6.93,2023-04-25,6.7,3.4328358208955154,5.970149253731335,29.916317991631804,False,1.7621,0.8925,1,2,1,50.0,25.41603630862328,25.41603630862328,11.567164179104484,3.4328358208955154,历史1/2次成功; 当前距低点3.43%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
42,63.235497211138146,58.169700752477716,002455,百川股份,bottom_area,2023-05-10,7.86,2023-05-05,7.63,3.0144167758846714,4.587155963302759,28.691588785046722,False,1.6818,1.206,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,11.985583224115329,3.0144167758846714,历史1/3次成功; 当前距低点3.01%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
43,60.94035143000202,55.58983026682055,002758,浙农股份,bottom_area,2023-05-10,12.4,2023-04-25,12.09,2.5641025641025683,5.789909015715462,28.249258160237396,False,-0.161,1.0572,1,2,1,50.0,19.064430714916153,19.064430714916153,12.43589743589743,2.5641025641025683,历史1/2次成功; 当前距低点2.56%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
44,59.94219677233718,53.81520930897934,688298,东方生物,bottom_area,2023-05-10,54.72,2023-05-10,53.8,1.7100371747211927,2.9368029739777053,30.741503604531424,False,1.1086,0.8436,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,13.289962825278806,1.7100371747211927,历史1/6次成功; 当前距低点1.71%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
45,58.41272064537208,55.65809733228053,002112,三变科技,bottom_area,2023-05-10,9.84,2023-04-25,9.38,4.904051172707879,9.275053304904041,29.046898638426622,True,1.9689,5.1038,1,2,1,50.0,16.44803229061553,16.44803229061553,10.09594882729212,4.904051172707879,历史1/2次成功; 当前距低点4.90%; 最新日涨幅1.97%; 状态bottom_area; 底部已确认
46,58.363247867339794,54.409734765662165,000518,四环生物,bottom_area,2023-05-10,2.78,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,-1.4184,0.6919,1,2,1,50.0,17.834394904458602,17.834394904458602,11.268656716417924,3.731343283582076,历史1/2次成功; 当前距低点3.73%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
47,57.34095962121541,54.35241472132741,002068,黑猫股份,bottom_area,2023-05-10,9.73,2023-05-10,9.3,4.6236559139784905,6.7741935483870845,28.953399541634827,False,1.3542,4.5735,1,2,1,50.0,15.184678522571824,15.184678522571824,10.37634408602151,4.6236559139784905,历史1/2次成功; 当前距低点4.62%; 最新日涨幅1.35%; 状态bottom_area; 底部未确认
48,55.81713613396834,51.026527268835075,605305,中际联合,bottom_area,2023-05-10,32.95,2023-05-10,32.09,2.679962605172949,4.3627298223745665,31.43162393162392,False,-0.4832,3.3077,1,3,1,33.33333333333333,15.395207931699245,15.395207931699245,12.32003739482705,2.679962605172949,历史1/3次成功; 当前距低点2.68%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
