rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.6967647969988,87.00007672634271,000957,中通客车,bottom_area,2024-01-22,8.14,2024-01-18,7.82,4.092071611253201,8.95140664961636,28.125,True,1.3699,3.4106,3,3,3,100.0,132.3344468028054,354.54545454545456,10.907928388746798,4.092071611253201,历史3/3次成功; 当前距低点4.09%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
25,83.19582912055708,76.00338579485089,688155,先惠技术,bottom_area,2024-01-22,46.21,2024-01-22,45.02,2.643269657929804,11.594846734784536,27.79470729751403,False,-6.0963,0.441,2,2,2,100.0,31.66688502650995,38.11460912628228,12.356730342070195,2.643269657929804,历史2/2次成功; 当前距低点2.64%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
26,83.14704039511058,75.62551535936866,000723,美锦能源,bottom_area,2024-01-22,5.53,2024-01-22,5.4,2.407407407407405,8.888888888888879,28.28685258964143,False,-5.7922,0.8469,2,2,2,100.0,26.74410886159975,30.434782608695667,12.592592592592593,2.407407407407405,历史2/2次成功; 当前距低点2.41%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
27,83.09701634785314,73.69223309011743,688286,敏芯股份,bottom_area,2024-01-22,49.0,2024-01-22,48.49,1.051763250154667,10.12579913384202,27.92806183115339,False,-7.6343,1.9235,3,4,3,75.0,20.56587795951654,25.016501650165008,13.948236749845332,1.051763250154667,历史3/4次成功; 当前距低点1.05%; 最新日涨幅-7.63%; 状态bottom_area; 底部未确认
28,82.94872242537814,73.87014382503271,000065,北方国际,bottom_area,2024-01-22,9.52,2024-01-22,9.4,1.2765957446808427,7.446808510638291,27.131782945736433,False,-4.8951,1.0167,1,1,1,100.0,20.11173184357542,20.11173184357542,13.723404255319158,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-4.90%; 状态bottom_area; 底部未确认
29,82.79781367741938,73.09129032258066,002657,中科金财,bottom_area,2024-01-22,15.0,2024-01-22,14.88,0.8064516129032205,9.54301075268817,30.597014925373134,False,-6.5421,3.2337,1,1,1,100.0,56.540447504302946,56.540447504302946,14.19354838709678,0.8064516129032205,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-6.54%; 状态bottom_area; 底部未确认
30,82.64940349389627,73.5756783919598,603121,华培动力,bottom_area,2024-01-22,8.06,2024-01-22,7.96,1.2562814070351824,7.788944723618092,28.865058087578195,False,-4.8406,3.3553,1,1,1,100.0,18.279569892473123,18.279569892473123,13.743718592964818,1.2562814070351824,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-4.84%; 状态bottom_area; 底部未确认
31,82.6447136291776,72.90745589619615,300647,超频三,bottom_area,2024-01-22,5.23,2024-01-22,5.19,0.7707129094412337,7.899807321772625,32.33376792698826,False,-6.1041,2.2988,2,2,2,100.0,31.90688886947406,48.45360824742268,14.229287090558765,0.7707129094412337,历史2/2次成功; 当前距低点0.77%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
32,82.55291148339383,73.34308876808599,605123,派克新材,bottom_area,2024-01-22,67.77,2024-01-22,67.0,1.1492537313432778,7.7313432835821,30.353430353430355,False,-3.0749,1.3349,1,1,1,100.0,15.71713589004656,15.71713589004656,13.85074626865672,1.1492537313432778,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
33,82.3212909330962,74.6986920593789,300517,海波重科,bottom_area,2024-01-22,10.76,2024-01-22,10.52,2.281368821292778,11.216730038022812,27.297857636489294,False,-6.5972,3.1678,1,1,1,100.0,36.88286544046467,36.88286544046467,12.718631178707222,2.281368821292778,历史1/1次成功; 当前距低点2.28%; 最新日涨幅-6.60%; 状态bottom_area; 底部未确认
34,82.26979019556936,72.79915887850466,300580,贝斯特,bottom_area,2024-01-22,23.76,2024-01-22,23.54,0.9345794392523468,8.198810535259133,27.09817280891917,False,-6.383,1.8892,1,1,1,100.0,53.89266817838245,53.89266817838245,14.065420560747652,0.9345794392523468,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-6.38%; 状态bottom_area; 底部未确认
35,82.25173082394893,72.03078028039316,688176,亚虹医药,bottom_area,2024-01-22,7.96,2024-01-22,7.93,0.3783102143757913,11.979823455233305,27.380952380952383,False,-9.5455,3.3396,2,2,2,100.0,22.38348155467721,25.473484848484844,14.62168978562421,0.3783102143757913,历史2/2次成功; 当前距低点0.38%; 最新日涨幅-9.55%; 状态bottom_area; 底部未确认
36,82.17550324591284,73.1059547525924,605378,野马电池,bottom_area,2024-01-22,21.55,2024-01-22,21.29,1.2212306247064424,9.816815406294035,32.88146279949559,False,-8.8409,17.5297,1,1,1,100.0,15.324519230769235,15.324519230769235,13.778769375293557,1.2212306247064424,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-8.84%; 状态bottom_area; 底部未确认
37,82.14493754614135,73.12516051560127,002330,得利斯,bottom_area,2024-01-22,4.84,2024-01-22,4.78,1.2552301255230043,7.740585774058579,27.685325264750375,False,-6.0194,1.7765,1,1,1,100.0,15.844544095665164,15.844544095665164,13.744769874476995,1.2552301255230043,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
38,81.69526218134494,72.33978090131865,002676,顺威股份,bottom_area,2024-01-22,4.16,2024-01-22,4.12,0.9708737864077678,8.009708737864079,29.331046312178387,False,-6.3063,1.5163,2,2,2,100.0,31.308457711442777,39.33333333333333,14.029126213592233,0.9708737864077678,历史2/2次成功; 当前距低点0.97%; 最新日涨幅-6.31%; 状态bottom_area; 底部未确认
39,81.68869622533457,71.7563150117795,300579,数字认证,bottom_area,2024-01-22,20.42,2024-01-22,20.31,0.5416051206302461,8.813392417528325,32.300000000000004,False,-7.2661,1.0732,2,2,2,100.0,22.90954132697023,24.946808510638284,14.458394879369754,0.5416051206302461,历史2/2次成功; 当前距低点0.54%; 最新日涨幅-7.27%; 状态bottom_area; 底部未确认
40,81.03176169433988,71.1377975902235,002819,东方中科,bottom_area,2024-01-22,23.63,2024-01-22,23.51,0.5104210974053485,7.698851552530832,28.627808136004845,False,-6.6746,4.4771,2,2,2,100.0,19.20192307692308,20.487179487179493,14.489578902594651,0.5104210974053485,历史2/2次成功; 当前距低点0.51%; 最新日涨幅-6.67%; 状态bottom_area; 底部未确认
41,81.02767604947431,72.56107043952414,601995,中金公司,bottom_area,2024-01-22,31.62,2024-01-22,31.13,1.5740443302280822,4.914873112752964,31.280353200883,False,-3.0359,0.5325,1,1,1,100.0,16.719846841097638,16.719846841097638,13.425955669771916,1.5740443302280822,历史1/1次成功; 当前距低点1.57%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
42,80.91045480376069,73.98318983768527,002495,佳隆股份,bottom_area,2024-01-22,2.67,2024-01-22,2.6,2.6923076923076863,10.769230769230761,27.97783933518005,False,-7.6125,4.3197,1,1,1,100.0,38.07339449541283,38.07339449541283,12.307692307692314,2.6923076923076863,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
43,80.61777940731761,72.06475133150315,688039,当虹科技,bottom_area,2024-01-22,26.09,2024-01-22,25.71,1.4780241151302955,9.918319719953328,29.329301814183623,False,-6.3532,2.0582,3,4,3,75.0,17.04110921505497,17.31207289293849,13.521975884869702,1.4780241151302955,历史3/4次成功; 当前距低点1.48%; 最新日涨幅-6.35%; 状态bottom_area; 底部未确认
44,80.53536438928948,71.017660572696,688329,艾隆科技,bottom_area,2024-01-22,20.18,2024-01-22,20.03,0.748876684972534,8.33749375936095,31.144723272602263,False,-7.0046,2.6437,2,2,2,100.0,21.479029109856874,21.72890326374596,14.251123315027463,0.748876684972534,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-7.00%; 状态bottom_area; 底部未确认
45,80.17094603967905,70.14430161323568,002399,海普瑞,bottom_area,2024-01-22,9.14,2024-01-22,9.11,0.32930845225028693,7.135016465422616,29.760986892829617,False,-6.1602,0.4087,1,1,1,100.0,28.307123034227555,28.307123034227555,14.670691547749712,0.32930845225028693,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-6.16%; 状态bottom_area; 底部未确认
46,80.03745995935815,72.48733942442594,002298,中电鑫龙,bottom_area,2024-01-22,4.69,2024-01-22,4.59,2.1786492374727784,8.496732026143803,28.504672897196265,False,-5.2525,2.5833,1,1,1,100.0,23.734729493891784,23.734729493891784,12.82135076252722,2.1786492374727784,历史1/1次成功; 当前距低点2.18%; 最新日涨幅-5.25%; 状态bottom_area; 底部未确认
47,80.01530838253964,72.0501331160415,002765,蓝黛科技,bottom_area,2024-01-22,5.45,2024-01-22,5.35,1.8691588785046829,8.598130841121495,32.704402515723274,False,-6.518,2.9024,3,4,3,75.0,21.75707182275358,28.213879408418663,13.130841121495319,1.8691588785046829,历史3/4次成功; 当前距低点1.87%; 最新日涨幅-6.52%; 状态bottom_area; 底部未确认
48,79.73218568339581,70.17605701863901,688280,精进电动,bottom_area,2024-01-22,6.22,2024-01-22,6.18,0.647249190938512,8.090614886731393,31.333333333333336,False,-6.3253,0.948,1,1,1,100.0,32.37518910741301,32.37518910741301,14.352750809061487,0.647249190938512,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-6.33%; 状态bottom_area; 底部未确认
49,79.52854521142275,69.42286614028083,002439,启明星辰,bottom_area,2024-01-22,19.4,2024-01-22,19.36,0.20661157024792948,7.438016528925627,28.849687614847486,False,-6.2802,1.4704,1,1,1,100.0,22.924411400247834,22.924411400247834,14.793388429752069,0.20661157024792948,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
50,79.44288469513614,71.51924768011983,688173,希荻微,bottom_area,2024-01-22,13.16,2024-01-22,12.92,1.8575851393188871,9.984520123839017,27.005649717514125,False,-6.0671,1.6025,3,4,3,75.0,18.7609774073489,23.120837297811605,13.142414860681113,1.8575851393188871,历史3/4次成功; 当前距低点1.86%; 最新日涨幅-6.07%; 状态bottom_area; 底部未确认
51,79.38923128451839,70.47317703037237,600343,航天动力,bottom_area,2024-01-22,8.24,2024-01-22,8.15,1.1042944785276054,8.343558282208585,27.426536064113982,False,-6.4699,1.2637,2,3,2,66.66666666666666,38.62527835886361,55.72413793103447,13.895705521472394,1.1042944785276054,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-6.47%; 状态bottom_area; 底部未确认
52,79.1680561868717,70.32233059312003,000868,安凯客车,bottom_area,2024-01-22,4.44,2024-01-22,4.39,1.1389521640091278,8.42824601366743,27.07641196013289,False,-4.9251,2.1382,3,5,3,60.0,36.016889930434594,69.53846153846153,13.861047835990872,1.1389521640091278,历史3/5次成功; 当前距低点1.14%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
53,79.06639817278607,70.1807515535017,300607,拓斯达,bottom_area,2024-01-22,11.95,2024-01-22,11.82,1.0998307952622588,10.067681895093058,29.263913824057454,False,-8.2181,4.1439,2,3,2,66.66666666666666,36.99838225824183,45.9265890778872,13.900169204737741,1.0998307952622588,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-8.22%; 状态bottom_area; 底部未确认
54,78.94865,68.65100000000001,600287,苏豪时尚,bottom_area,2024-01-22,5.48,2024-01-22,5.48,0.0,6.934306569343063,30.191082802547765,False,-6.1644,1.827,1,1,1,100.0,28.499999999999993,28.499999999999993,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-6.16%; 状态bottom_area; 底部未确认
55,78.86795991843563,69.11036889961677,600416,湘电股份,bottom_area,2024-01-22,12.2,2024-01-22,12.15,0.41152263374484715,6.74897119341564,27.721594289113614,False,-6.226,1.1653,1,1,1,100.0,23.756131744919415,23.756131744919415,14.588477366255153,0.41152263374484715,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-6.23%; 状态bottom_area; 底部未确认
56,78.21677278232964,69.09100282576046,002151,北斗星通,bottom_area,2024-01-22,26.4,2024-01-22,26.18,0.8403361344537772,7.944996180290305,28.175582990397814,False,-6.5487,1.5091,1,1,1,100.0,28.90843662534986,28.90843662534986,14.159663865546223,0.8403361344537772,历史1/1次成功; 当前距低点0.84%; 最新日涨幅-6.55%; 状态bottom_area; 底部未确认
57,78.01734310050122,68.57587896253602,002110,三钢闽光,bottom_area,2024-01-22,3.49,2024-01-22,3.47,0.5763688760806921,6.628242074927954,28.74743326488706,False,-5.4201,0.55,1,1,1,100.0,22.90322580645161,22.90322580645161,14.423631123919305,0.5763688760806921,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
58,77.76922646893577,68.67163398110179,002609,捷顺科技,bottom_area,2024-01-22,8.59,2024-01-22,8.52,0.8215962441314587,8.802816901408452,31.345688960515716,False,-6.427,2.8907,1,1,1,100.0,26.42405063291139,26.42405063291139,14.17840375586854,0.8215962441314587,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-6.43%; 状态bottom_area; 底部未确认
59,77.6831719250866,68.60186011480684,000021,深科技,bottom_area,2024-01-22,12.2,2024-01-22,12.1,0.8264462809917326,6.859504132231406,32.022471910112365,False,-5.353,1.6019,1,1,1,100.0,26.108374384236456,26.108374384236456,14.173553719008266,0.8264462809917326,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-5.35%; 状态bottom_area; 底部未确认
60,77.57030210541637,70.59373957329214,301382,蜂助手,bottom_area,2024-01-22,29.41,2024-01-22,28.71,2.438174851967953,11.529083942877055,28.759305210918107,False,-9.0881,11.1158,1,1,1,100.0,16.735366859027195,16.735366859027195,12.561825148032046,2.438174851967953,历史1/1次成功; 当前距低点2.44%; 最新日涨幅-9.09%; 状态bottom_area; 底部未确认
61,77.56398091014358,67.98095178278096,002152,广电运通,bottom_area,2024-01-22,9.52,2024-01-22,9.48,0.42194092827003316,6.751054852320662,29.464285714285708,False,-5.6492,0.8345,1,1,1,100.0,17.811704834605592,17.811704834605592,14.578059071729966,0.42194092827003316,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-5.65%; 状态bottom_area; 底部未确认
62,77.55085878354322,68.33660563573272,300676,华大基因,bottom_area,2024-01-22,39.7,2024-01-22,39.42,0.7102993404363296,6.189751395230841,29.07520690896005,False,-5.0693,0.6585,1,1,1,100.0,23.258538343696497,23.258538343696497,14.28970065956367,0.7102993404363296,历史1/1次成功; 当前距低点0.71%; 最新日涨幅-5.07%; 状态bottom_area; 底部未确认
63,77.4331287182706,68.42026142064961,605158,华达新材,bottom_area,2024-01-22,7.06,2024-01-22,7.0,0.8571428571428517,8.571428571428566,27.00729927007299,False,-6.117,2.8171,1,1,1,100.0,25.5083179297597,25.5083179297597,14.14285714285715,0.8571428571428517,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-6.12%; 状态bottom_area; 底部未确认
64,76.18916237763075,67.06449935152632,688061,灿瑞科技,bottom_area,2024-01-22,29.3,2024-01-22,29.11,0.652696667811753,10.408794228787363,27.784668816670806,False,-7.7165,1.8579,1,1,1,100.0,15.713159968479115,15.713159968479115,14.347303332188247,0.652696667811753,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-7.72%; 状态bottom_area; 底部未确认
65,76.1204929163099,67.01343895357911,300553,集智股份,bottom_area,2024-01-22,25.92,2024-01-22,25.75,0.6601941747572883,7.844660194174756,28.3328694684108,False,-5.814,5.5953,1,1,1,100.0,15.530546623794205,15.530546623794205,14.33980582524271,0.6601941747572883,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-5.81%; 状态bottom_area; 底部未确认
66,75.83097272212171,66.95393424869874,300633,开立医疗,bottom_area,2024-01-22,38.27,2024-01-22,37.96,0.8166491043203432,7.060063224446784,27.418738049713188,False,-5.9705,1.1663,1,1,1,100.0,17.12846347607052,17.12846347607052,14.183350895679656,0.8166491043203432,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
67,75.74698354828509,66.9741266811661,688200,华峰测控,bottom_area,2024-01-22,87.08,2024-01-22,86.31,0.8921330089213255,6.99803035569458,30.327736519212134,False,-5.2448,1.0461,1,1,1,100.0,18.16231151347698,18.16231151347698,14.107866991078675,0.8921330089213255,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
68,75.55250403161847,69.48951698867424,002093,国脉科技,bottom_area,2024-01-22,6.51,2024-01-22,6.32,3.0063291139240427,11.234177215189872,28.828828828828833,False,-7.265,1.1897,1,1,1,100.0,17.76315789473684,17.76315789473684,11.993670886075956,3.0063291139240427,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-7.26%; 状态bottom_area; 底部未确认
69,75.47714879276653,67.29981575763682,300534,陇神戎发,bottom_area,2024-01-22,8.3,2024-01-22,8.19,1.3431013431013579,9.157509157509159,31.1764705882353,False,-7.1588,3.4939,2,3,2,66.66666666666666,24.491506200221796,26.86762778505898,13.656898656898642,1.3431013431013579,历史2/3次成功; 当前距低点1.34%; 最新日涨幅-7.16%; 状态bottom_area; 底部未确认
70,75.24061503471579,66.63798509632683,002664,信质集团,bottom_area,2024-01-22,13.37,2024-01-22,13.24,0.9818731117824698,9.214501510574022,31.61157024793388,False,-6.8293,1.4912,1,1,1,100.0,17.45513866231648,17.45513866231648,14.01812688821753,0.9818731117824698,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-6.83%; 状态bottom_area; 底部未确认
71,74.95719454393831,66.40123245977689,600360,华微电子,bottom_area,2024-01-22,6.1,2024-01-22,6.04,0.993377483443702,8.112582781456958,32.058492688413956,False,-6.585,1.7714,1,1,1,100.0,16.32329635499208,16.32329635499208,14.006622516556297,0.993377483443702,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-6.58%; 状态bottom_area; 底部未确认
72,74.53334965294759,66.86982326148639,002395,双象股份,bottom_area,2024-01-22,16.4,2024-01-22,16.13,1.673899566026036,10.291382517048978,32.53868674194898,False,-5.1475,8.3959,2,3,2,66.66666666666666,26.23466454494123,36.59976387249114,13.326100433973965,1.673899566026036,历史2/3次成功; 当前距低点1.67%; 最新日涨幅-5.15%; 状态bottom_area; 底部未确认
