rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.23166840262631,84.17568948742434,002843,泰嘉股份,bottom_area,2023-04-24,15.49,2023-04-24,15.27,1.440733464309107,2.4885396201702736,29.174397031539883,False,0.3238,1.2485,2,2,2,100.0,28.175063365855337,31.56626506024095,13.559266535690892,1.440733464309107,历史2/2次成功; 当前距低点1.44%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
23,74.19531370677768,64.68565137424143,603026,石大胜华,bottom_area,2023-04-24,71.99,2023-04-24,71.89,0.13910140492418183,2.044790652385587,31.50071462601239,False,-1.3565,0.9252,2,3,2,66.66666666666666,25.30180597205321,31.14618918600542,14.860898595075817,0.13910140492418183,历史2/3次成功; 当前距低点0.14%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
24,73.86035121002074,67.92169506723717,002355,兴民智通,bottom_area,2023-04-24,3.78,2023-04-24,3.67,2.9972752043596698,3.814713896457769,29.150579150579148,False,0.8,1.3991,2,3,2,66.66666666666666,15.423741217798595,15.624999999999991,12.00272479564033,2.9972752043596698,历史2/3次成功; 当前距低点3.00%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
25,73.67255896656859,65.08128476440542,601369,陕鼓动力,bottom_area,2023-04-24,9.56,2023-04-24,9.48,0.8438818565400852,3.3755274261603407,29.09498878085265,False,-2.7467,1.0475,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,14.156118143459913,0.8438818565400852,历史2/3次成功; 当前距低点0.84%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
26,73.24965705881903,66.20747790524459,002786,银宝山新,bottom_area,2023-04-24,5.42,2023-04-24,5.31,2.071563088512247,3.201506591337115,28.915662650602414,False,-0.7326,1.9883,2,3,2,66.66666666666666,17.33319935691319,18.75000000000001,12.928436911487754,2.071563088512247,历史2/3次成功; 当前距低点2.07%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
27,72.33064920571165,65.8203042596349,000678,襄阳轴承,bottom_area,2023-04-24,5.05,2023-04-24,4.93,2.4340770791075075,3.448275862068964,32.09366391184573,False,1.2024,1.334,1,2,1,50.0,121.62162162162164,121.62162162162164,12.565922920892492,2.4340770791075075,历史1/2次成功; 当前距低点2.43%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
28,72.24473774974429,65.18674811564075,688045,必易微,bottom_area,2023-04-24,59.77,2023-04-24,58.61,1.9791844395154474,9.025763521583347,30.059665871121716,False,-6.8132,10.3522,2,3,2,66.66666666666666,20.928075113275824,21.048975338659265,13.020815560484552,1.9791844395154474,历史2/3次成功; 当前距低点1.98%; 最新日涨幅-6.81%; 状态bottom_area; 底部未确认
29,71.88449978078593,64.10718309859158,688272,富吉瑞,bottom_area,2023-04-24,17.99,2023-04-24,17.75,1.3521126760563293,3.492957746478879,28.02108678021087,False,-1.8549,3.2543,1,2,1,50.0,58.95303326810176,58.95303326810176,13.647887323943669,1.3521126760563293,历史1/2次成功; 当前距低点1.35%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
30,71.65712560687807,64.68406873668667,300758,七彩化学,bottom_area,2023-04-24,10.19,2023-04-24,9.99,2.0020020020019946,3.103103103103108,27.87003610108303,False,0.0982,1.1096,1,2,1,50.0,38.59480269489894,38.59480269489894,12.997997997998004,2.0020020020019946,历史1/2次成功; 当前距低点2.00%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
31,69.30706555655564,62.58393939393938,002753,永东股份,bottom_area,2023-04-24,7.07,2023-04-24,6.93,2.0202020202020283,2.4531024531024523,27.96257796257796,False,-0.4225,1.8273,1,2,1,50.0,69.36936936936937,69.36936936936937,12.979797979797972,2.0202020202020283,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
32,69.28262999301424,60.54803087890751,002759,天际股份,bottom_area,2023-04-24,14.98,2023-04-24,14.94,0.2677376171352137,1.9410977242302605,28.448275862068968,False,-0.6631,0.9243,2,4,2,50.0,24.07780992460108,27.166666666666668,14.732262382864786,0.2677376171352137,历史2/4次成功; 当前距低点0.27%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
33,68.27434917394942,61.516702111891505,002806,华锋股份,bottom_area,2023-04-24,10.71,2023-04-24,10.51,1.9029495718363563,3.044719314938157,30.30503978779841,False,1.0377,1.8072,1,2,1,50.0,20.35175879396985,20.35175879396985,13.097050428163643,1.9029495718363563,历史1/2次成功; 当前距低点1.90%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
34,68.13734339837815,60.67415077202543,002585,双星新材,bottom_area,2023-04-24,11.15,2023-04-24,11.01,1.2715712988192605,2.3614895549500434,28.22685788787484,False,-1.3274,1.2722,1,3,1,33.33333333333333,56.338028169014066,56.338028169014066,13.72842870118074,1.2715712988192605,历史1/3次成功; 当前距低点1.27%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
35,67.9905400955644,60.2703239298745,000059,华锦股份,bottom_area,2023-04-24,6.87,2023-04-24,6.8,1.0294117647058865,3.235294117647055,28.870292887029294,False,-1.1511,0.9095,1,2,1,50.0,25.41603630862328,25.41603630862328,13.970588235294112,1.0294117647058865,历史1/2次成功; 当前距低点1.03%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
36,67.69649026970504,61.66987873666987,001319,铭科精技,bottom_area,2023-04-24,19.33,2023-04-24,18.86,2.4920466595970248,3.446447507953352,32.810830067687924,False,0.6771,2.0492,1,2,1,50.0,28.396479142747793,28.396479142747793,12.507953340402974,2.4920466595970248,历史1/2次成功; 当前距低点2.49%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
37,67.24494713325295,60.71417858185001,002622,皓宸医疗,bottom_area,2023-04-24,3.04,2023-04-24,2.98,2.0134228187919483,3.35570469798658,28.53717026378897,False,0.33,0.9659,1,2,1,50.0,17.391304347826082,17.391304347826082,12.98657718120805,2.0134228187919483,历史1/2次成功; 当前距低点2.01%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
38,66.27933024495599,60.12172673480367,603029,天鹅股份,bottom_area,2023-04-24,19.43,2023-04-24,19.0,2.2631578947368407,2.894736842105267,28.16635160680529,False,0.8827,2.384,1,2,1,50.0,17.26734803657881,17.26734803657881,12.736842105263158,2.2631578947368407,历史1/2次成功; 当前距低点2.26%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
39,62.38898523536713,55.741561985329135,002112,三变科技,bottom_area,2023-04-24,9.79,2023-04-24,9.65,1.4507772020725263,3.419689119170985,27.004538577912257,False,-4.6738,10.8405,1,2,1,50.0,16.44803229061553,16.44803229061553,13.549222797927474,1.4507772020725263,历史1/2次成功; 当前距低点1.45%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
40,61.89576128949831,57.218385344657285,001896,豫能控股,bottom_area,2023-04-24,4.41,2023-04-24,4.27,3.2786885245901773,5.85480093676815,27.993254637436767,False,0.2273,0.7358,1,4,1,25.0,34.93975903614456,34.93975903614456,11.721311475409822,3.2786885245901773,历史1/4次成功; 当前距低点3.28%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
41,56.209695217339956,49.733799792300296,688209,英集芯,bottom_area,2023-04-24,18.47,2023-04-24,18.3,0.9289617486338697,4.043715846994527,30.391783948269296,False,-3.6515,3.6761,1,2,1,50.0,17.590497737556557,17.590497737556557,14.07103825136613,0.9289617486338697,历史1/2次成功; 当前距低点0.93%; 最新日涨幅-3.65%; 状态bottom_area; 底部未确认
