rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,85.79340709428584,78.68285339389745,002765,蓝黛科技,bottom_area,2023-08-24,6.49,2023-08-21,6.31,2.8526148969889165,8.874801901743274,29.339305711086226,False,-1.0671,1.8797,3,3,3,100.0,21.75707182275358,28.213879408418663,12.147385103011082,2.8526148969889165,历史3/3次成功; 当前距低点2.85%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
13,85.20909578467123,75.65781867562174,603070,万控智造,bottom_area,2023-08-24,16.29,2023-08-24,16.11,1.1173184357541883,3.5381750465549366,28.400000000000002,False,-1.6898,2.2165,1,1,1,100.0,17.555401662049874,17.555401662049874,13.88268156424581,1.1173184357541883,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
14,84.2169639372285,74.06787674123274,688328,深科达,bottom_area,2023-08-24,21.54,2023-08-24,21.41,0.607192900513774,2.895843063988795,31.966952653320618,False,-0.783,2.9815,2,2,2,100.0,25.92621803443088,29.170984455958543,14.392807099486227,0.607192900513774,历史2/2次成功; 当前距低点0.61%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
15,84.17858200424169,75.4558820403744,688248,南网科技,bottom_area,2023-08-24,30.0,2023-08-22,29.52,1.6260162601626031,4.234417344173442,31.31689157747789,False,0.6374,2.4091,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,13.373983739837398,1.6260162601626031,历史2/3次成功; 当前距低点1.63%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
16,83.01706360465924,76.24669134071877,688277,天智航,bottom_area,2023-08-24,13.7,2023-08-23,13.31,2.930127723516144,8.489857250187821,29.088971763452314,False,0.2195,1.4107,1,1,1,100.0,20.469798657718112,20.469798657718112,12.069872276483856,2.930127723516144,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
17,82.62070011485645,74.34499589997046,688233,神工股份,bottom_area,2023-08-24,28.9,2023-08-24,28.38,1.8322762508809005,4.298801973220587,27.04370179948586,False,-0.0692,1.1125,1,1,1,100.0,19.261213720316633,19.261213720316633,13.167723749119098,1.8322762508809005,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
18,82.6098995207222,73.27644532415096,688286,敏芯股份,bottom_area,2023-08-24,47.51,2023-08-16,47.01,1.0636034886194428,7.679217187832375,28.338414634146336,False,0.0632,0.9272,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,13.936396511380556,1.0636034886194428,历史2/3次成功; 当前距低点1.06%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
19,82.01812364320533,72.98954933574402,603005,晶方科技,bottom_area,2023-08-24,18.8,2023-08-24,18.57,1.2385568120624686,2.961766289714597,27.96741660201707,False,0.9667,1.872,2,3,2,66.66666666666666,21.111786024622447,24.55991516436903,13.76144318793753,1.2385568120624686,历史2/3次成功; 当前距低点1.24%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
20,81.7220486147277,73.73635536096201,302132,中航成飞,bottom_area,2023-08-24,43.31,2023-08-24,42.47,1.9778667294560948,3.9792794914056926,30.43407043407043,False,-1.4786,3.0255,3,4,3,75.0,21.94027690388128,28.81165919282512,13.022133270543904,1.9778667294560948,历史3/4次成功; 当前距低点1.98%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
21,79.73085164572478,70.06176923076923,002819,东方中科,bottom_area,2023-08-24,25.1,2023-08-24,24.96,0.5608974358974381,2.7644230769230678,28.68571428571428,False,-0.3968,0.5547,1,1,1,100.0,20.487179487179493,20.487179487179493,14.43910256410256,0.5608974358974381,历史1/1次成功; 当前距低点0.56%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
22,75.58524243498188,65.93847725934606,002386,天原股份,bottom_area,2023-08-24,5.81,2023-08-24,5.8,0.1724137931034446,1.7241379310344922,30.036188178528345,False,-1.3582,0.6755,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,14.827586206896553,0.1724137931034446,历史2/3次成功; 当前距低点0.17%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
23,72.99628309460634,64.4644027329056,601127,赛力斯,bottom_area,2023-08-24,32.89,2023-08-24,32.62,0.8277130594727258,3.034947884733299,29.409218783813035,False,-0.6944,1.7105,5,8,5,62.5,24.914454346792535,30.591200733272228,14.172286940527274,0.8277130594727258,历史5/8次成功; 当前距低点0.83%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
24,72.74847192934858,67.64852341501368,688117,圣诺生物,bottom_area,2023-08-24,25.07,2023-08-22,24.2,3.5950413223140543,5.1652892561983474,30.995152552038785,False,0.6423,7.2434,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,11.404958677685945,3.5950413223140543,历史2/3次成功; 当前距低点3.60%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
25,72.3469015280594,63.252920009842484,688173,希荻微,bottom_area,2023-08-24,17.26,2023-08-24,17.21,0.29052876234747654,2.8471818710052204,28.291666666666664,False,-0.6904,1.7479,2,3,2,66.66666666666666,19.455155491011066,23.120837297811605,14.709471237652522,0.29052876234747654,历史2/3次成功; 当前距低点0.29%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
