rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.73681617209088,83.79249232819494,002160,常铝股份,bottom_area,2025-11-28,5.19,2025-11-24,4.97,4.426559356136834,8.249496981891351,28.386167146974074,True,0.9728,7.7914,3,3,3,100.0,36.855094947241525,40.066225165562926,15.573440643863169,4.426559356136834,历史3/3次成功; 当前距低点4.43%; 最新日涨幅0.97%; 状态bottom_area; 底部已确认
17,70.39409025465729,61.62076849183479,002017,东信和平,bottom_area,2025-11-28,21.38,2025-11-24,20.82,2.6897214217098884,4.514889529298757,27.88361621059924,False,1.0875,1.6384,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,17.310278578290113,2.6897214217098884,历史1/3次成功; 当前距低点2.69%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
18,69.25828358693755,62.1628594570077,603127,昭衍新药,bottom_area,2025-11-28,27.93,2025-11-21,26.84,4.061102831594635,8.792846497764529,29.33122696155871,True,0.1075,1.4584,1,2,1,50.0,41.08695652173912,41.08695652173912,15.938897168405367,4.061102831594635,历史1/2次成功; 当前距低点4.06%; 最新日涨幅0.11%; 状态bottom_area; 底部已确认
19,67.97265132985396,61.37091365920511,002664,信质集团,bottom_area,2025-11-28,22.85,2025-11-24,21.89,4.385564184559163,5.984467793513014,30.727848101265824,False,0.5279,2.0161,1,2,1,50.0,52.526315789473685,52.526315789473685,15.614435815440839,4.385564184559163,历史1/2次成功; 当前距低点4.39%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
20,67.30420689498791,58.221632262100265,603366,日出东方,bottom_area,2025-11-28,9.5,2025-11-28,9.31,2.040816326530607,2.148227712137479,30.522388059701488,False,1.1715,3.2094,1,4,1,25.0,25.15964240102172,25.15964240102172,17.959183673469393,2.040816326530607,历史1/4次成功; 当前距低点2.04%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
21,63.771995778787236,56.9490519962473,603197,保隆科技,bottom_area,2025-11-28,35.39,2025-11-21,34.1,3.7829912023460386,3.988269794721406,27.431368376250266,False,1.2589,0.8067,2,6,2,33.33333333333333,21.617949485284576,23.07435811937312,16.21700879765396,3.7829912023460386,历史2/6次成功; 当前距低点3.78%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
22,61.6633169466608,56.009681468255664,300584,海辰药业,bottom_area,2025-11-28,55.3,2025-11-24,52.81,4.715016095436461,9.827684150729024,28.05177111716621,True,-1.5313,6.967,2,6,2,33.33333333333333,41.271961465147655,54.23197492163009,15.28498390456354,4.715016095436461,历史2/6次成功; 当前距低点4.72%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
23,60.45517313293501,54.38662259140487,300687,赛意信息,bottom_area,2025-11-28,23.14,2025-11-24,22.21,4.187303016659161,9.14002701485816,27.251883393383558,True,-0.8569,2.2666,1,2,1,50.0,23.299319727891156,23.299319727891156,15.81269698334084,4.187303016659161,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
24,59.57069690777545,50.17980392295895,000661,长春高新,bottom_area,2025-11-28,99.26,2025-11-24,98.68,0.5877584110255354,2.452371301175504,30.394300627777387,False,-0.4014,0.9544,1,3,1,33.33333333333333,25.03526756324649,25.03526756324649,19.412241588974467,0.5877584110255354,历史1/3次成功; 当前距低点0.59%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
25,56.46159751115829,51.378948811523685,002338,奥普光电,bottom_area,2025-11-28,51.15,2025-11-21,48.8,4.815573770491807,5.389344262295088,30.632551528073915,False,1.7101,1.5312,1,3,1,33.33333333333333,20.995288574793882,20.995288574793882,15.184426229508194,4.815573770491807,历史1/3次成功; 当前距低点4.82%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
26,56.00220152090539,50.966915857841535,002213,大为股份,bottom_area,2025-11-28,27.39,2025-11-28,26.13,4.822043628013784,5.243015690776889,28.68449781659389,False,2.6612,19.5485,1,4,1,25.0,20.248254460822338,20.248254460822338,15.177956371986218,4.822043628013784,历史1/4次成功; 当前距低点4.82%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
