rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,73.7061249551736,67.22532714949459,002302,西部建设,bottom_area,2024-09-09,5.84,2024-09-06,5.83,0.17152658662092257,7.718696397941684,28.201970443349744,False,-4.5752,4.2836,1,1,1,100.0,10.679611650485443,10.679611650485443,9.828473413379077,0.17152658662092257,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
30,72.75807192989525,67.3283650694553,002140,东华科技,bottom_area,2024-09-09,6.51,2024-09-09,6.45,0.9302325581395288,2.0155038759689905,28.333333333333332,False,-0.1534,0.6066,1,1,1,100.0,10.318791946308728,10.318791946308728,9.06976744186047,0.9302325581395288,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
31,72.16977546233545,69.71885146774488,002369,卓翼科技,bottom_area,2024-09-09,4.21,2024-09-09,4.08,3.1862745098039187,7.352941176470584,27.915194346289752,False,-1.1737,10.9336,3,4,3,75.0,15.15353414031079,17.345132743362825,6.813725490196082,3.1862745098039187,历史3/4次成功; 当前距低点3.19%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
32,70.25670009409555,64.7196373936104,601919,中远海控,bottom_area,2024-09-09,11.63,2024-09-09,11.55,0.6926406926406933,2.5108225108225035,28.835489833641404,False,-1.8565,0.5332,2,3,2,66.66666666666666,32.26984680733607,40.45881126173098,9.307359307359308,0.6926406926406933,历史2/3次成功; 当前距低点0.69%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
33,70.22894239522098,64.73617595090202,000037,深南电A,bottom_area,2024-09-09,6.93,2024-08-28,6.88,0.726744186046509,5.523255813953487,28.92561983471074,False,-1.5625,1.1524,5,8,5,62.5,25.1379177155272,45.16765285996055,9.273255813953492,0.726744186046509,历史5/8次成功; 当前距低点0.73%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
34,69.29979682505459,67.94704914479128,301607,富特科技,confirmed_rebound,2024-09-09,41.69,2024-09-09,40.1,3.965087281795502,11.895261845386523,28.90070921985815,False,-13.1458,62.4236,1,1,1,100.0,31.437893264973205,31.437893264973205,6.034912718204499,3.965087281795502,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-13.15%; 状态confirmed_rebound; 底部未确认
35,69.20511538954571,63.65250280493229,300573,兴齐眼药,bottom_area,2024-09-09,77.31,2024-09-09,76.84,0.6116605934409147,3.448724622592388,27.768377514570403,False,-2.1145,3.5282,3,5,3,60.0,23.31768256977187,42.86062675283501,9.388339406559085,0.6116605934409147,历史3/5次成功; 当前距低点0.61%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
36,62.89063040948176,59.979843868790454,000591,太阳能,bottom_area,2024-09-09,4.08,2024-08-23,3.98,2.5125628140703538,7.035175879396981,28.158844765342963,True,-1.4493,0.3815,1,2,1,50.0,32.84132841328414,32.84132841328414,7.487437185929647,2.5125628140703538,历史1/2次成功; 当前距低点2.51%; 最新日涨幅-1.45%; 状态bottom_area; 底部已确认
37,61.7876406084126,60.21024754182174,603282,亚光股份,bottom_area,2024-09-09,12.52,2024-09-09,12.08,3.6423841059602604,3.8907284768211974,27.880597014925375,False,0.8864,1.1831,1,2,1,50.0,34.64991023339317,34.64991023339317,6.357615894039739,3.6423841059602604,历史1/2次成功; 当前距低点3.64%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
38,60.95584765943248,56.2375595321967,000922,佳电股份,bottom_area,2024-09-09,9.13,2024-09-09,9.06,0.772626931567332,2.3178807947019764,27.808764940239044,False,-1.1905,0.8847,1,2,1,50.0,40.42553191489362,40.42553191489362,9.22737306843267,0.772626931567332,历史1/2次成功; 当前距低点0.77%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
39,60.57843214049075,56.56712305316175,301538,骏鼎达,bottom_area,2024-09-09,66.42,2024-09-09,65.5,1.4045801526717583,2.1832061068702395,31.6640584246218,False,-0.0151,3.3867,1,2,1,50.0,10.10519247985676,10.10519247985676,8.595419847328243,1.4045801526717583,历史1/2次成功; 当前距低点1.40%; 最新日涨幅-0.02%; 状态bottom_area; 底部未确认
40,60.00786022002833,56.926740588192814,300751,迈为股份,bottom_area,2024-09-09,79.65,2024-08-28,77.91,2.2333461686561535,8.201771274547557,27.89449329014345,True,-0.0878,0.7732,1,2,1,50.0,13.004138993165853,13.004138993165853,7.766653831343848,2.2333461686561535,历史1/2次成功; 当前距低点2.23%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
41,55.46270088423121,53.98983626319966,000625,长安汽车,bottom_area,2024-09-09,11.84,2024-08-29,11.43,3.5870516185476826,8.136482939632543,29.138251704897705,True,-1.7427,1.0106,1,2,1,50.0,13.808139534883724,13.808139534883724,6.412948381452319,3.5870516185476826,历史1/2次成功; 当前距低点3.59%; 最新日涨幅-1.74%; 状态bottom_area; 底部已确认
