rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.88578535250373,91.30280479071205,688358,祥生医疗,bottom_area,2024-10-17,23.03,2024-10-16,22.7,1.4537444933920787,4.5374449339207095,28.232690483717988,False,0.6996,0.8183,4,4,4,100.0,33.31904427766654,68.06588735387884,6.546255506607921,1.4537444933920787,历史4/4次成功; 当前距低点1.45%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
12,84.50751918505942,79.85675111654571,688315,诺禾致源,confirmed_rebound,2024-10-17,11.47,2024-10-14,11.35,1.0572687224669692,8.01762114537445,27.70700636942675,True,-1.2059,0.8241,4,5,4,80.0,33.749052708443045,86.2826357231662,6.9427312775330305,1.0572687224669692,历史4/5次成功; 当前距低点1.06%; 最新日涨幅-1.21%; 状态confirmed_rebound; 底部已确认
13,84.22799252391465,80.55755555555557,000430,张家界,bottom_area,2024-10-17,6.04,2024-10-16,5.94,1.6835016835016776,4.377104377104373,28.433734939759038,False,-0.9836,4.2896,2,2,2,100.0,34.17171717171716,53.99999999999999,6.316498316498323,1.6835016835016776,历史2/2次成功; 当前距低点1.68%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
14,84.21651144459427,81.69856520925146,300751,迈为股份,bottom_area,2024-10-17,92.2,2024-10-16,90.02,2.4216840702066285,5.965341035325489,29.17387883556255,False,1.3744,1.7663,3,3,3,100.0,10.215080050121285,13.004138993165853,5.578315929793372,2.4216840702066285,历史3/3次成功; 当前距低点2.42%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
15,82.86272678758975,82.84527911692203,688320,禾川科技,confirmed_rebound,2024-10-17,26.59,2024-10-14,25.57,3.989049667579193,9.307782557684781,30.440696409140365,True,1.1796,2.8511,5,5,5,100.0,19.94791590861607,38.29133374308544,4.010950332420808,3.989049667579193,历史5/5次成功; 当前距低点3.99%; 最新日涨幅1.18%; 状态confirmed_rebound; 底部已确认
16,82.10236353813173,80.46551384695721,605117,德业股份,bottom_area,2024-10-17,82.98,2024-10-17,80.6,2.9528535980149004,7.071960297766753,27.906976744186053,False,-3.5116,3.0637,9,9,9,100.0,26.118387367909573,60.22338317420285,5.0471464019851,2.9528535980149004,历史9/9次成功; 当前距低点2.95%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
17,81.964485503848,78.03161152578268,300413,芒果超媒,bottom_area,2024-10-17,23.19,2024-10-16,22.86,1.4435695538057824,3.849518810148727,27.56653992395437,False,0.0863,2.001,1,1,1,100.0,11.843817787418656,11.843817787418656,6.556430446194218,1.4435695538057824,历史1/1次成功; 当前距低点1.44%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
18,81.60073328364943,75.8252183283264,300347,泰格医药,bottom_area,2024-10-17,59.72,2024-10-16,59.61,0.18453279651065163,3.4893474249287,27.99855054958329,False,-0.4833,1.648,3,3,3,100.0,13.526629593390835,20.78172934893761,7.815467203489349,0.18453279651065163,历史3/3次成功; 当前距低点0.18%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
19,81.20583676519172,75.85769600570286,688148,芳源股份,bottom_area,2024-10-17,4.38,2024-10-16,4.36,0.45871559633026543,4.1284403669724705,27.333333333333325,False,-0.6803,1.485,3,3,3,100.0,17.062191211483146,26.66666666666668,7.541284403669735,0.45871559633026543,历史3/3次成功; 当前距低点0.46%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
20,81.07444791596508,75.76276041170532,688036,传音控股,bottom_area,2024-10-17,90.43,2024-10-17,90.0,0.4777777777777854,3.75555555555555,30.507296733842942,False,0.0885,0.9023,2,2,2,100.0,10.978998629240042,13.001154924929873,7.522222222222215,0.4777777777777854,历史2/2次成功; 当前距低点0.48%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
21,81.02858524796723,79.63090651922336,300510,金冠股份,confirmed_rebound,2024-10-17,4.33,2024-10-11,4.2,3.0952380952380927,8.809523809523812,27.835051546391753,True,-0.6881,2.9,3,3,3,100.0,30.849727829925854,40.000000000000014,4.904761904761908,3.0952380952380927,历史3/3次成功; 当前距低点3.10%; 最新日涨幅-0.69%; 状态confirmed_rebound; 底部已确认
22,80.86452437385506,77.75878105925149,688255,凯尔达,confirmed_rebound,2024-10-17,20.25,2024-10-11,19.86,1.9637462235649576,9.214501510574028,27.834302325581394,True,0.1979,1.251,1,1,1,100.0,17.774851876234372,17.774851876234372,6.036253776435043,1.9637462235649576,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.20%; 状态confirmed_rebound; 底部已确认
23,80.78947276402194,75.83563129075964,300759,康龙化成,bottom_area,2024-10-17,25.51,2024-10-16,25.33,0.7106198183971705,3.8294512435846917,30.45030203185064,False,-2.1856,3.0019,3,3,3,100.0,20.0314219177698,32.829977628635355,7.289380181602829,0.7106198183971705,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
24,80.60258970428427,74.63202750396691,688177,百奥泰,bottom_area,2024-10-17,21.8,2024-10-16,21.8,0.0,3.4862385321100824,28.242264647794595,False,-0.9991,0.5953,3,3,3,100.0,17.107674752510242,28.56629536471435,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
25,78.9276369852326,78.76621854873802,603076,乐惠国际,bottom_area,2024-10-17,21.08,2024-10-16,20.29,3.8935436175455846,6.949236076885167,27.09306503772907,False,3.2827,1.8568,3,3,3,100.0,12.491924713666421,13.440860215053762,4.106456382454415,3.8935436175455846,历史3/3次成功; 当前距低点3.89%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
26,78.66639062760945,74.0909495336044,688310,迈得医疗,bottom_area,2024-10-17,11.4,2024-10-16,11.3,0.8849557522123862,3.8938053097345082,28.25396825396825,False,0.0,0.9551,1,1,1,100.0,23.648648648648653,23.648648648648653,7.115044247787614,0.8849557522123862,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,78.50016525167443,72.84173483546981,300568,星源材质,bottom_area,2024-10-17,8.97,2024-10-16,8.96,0.11160714285714046,3.683035714285695,27.449392712550598,False,-0.6645,2.9306,2,2,2,100.0,13.259135060129514,17.608695652173925,7.888392857142859,0.11160714285714046,历史2/2次成功; 当前距低点0.11%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
28,78.21781885562937,73.32530489497728,688062,迈威生物,bottom_area,2024-10-17,23.5,2024-10-17,23.35,0.6423982869378954,3.383297644539611,29.242424242424235,False,-0.802,1.4662,2,2,2,100.0,22.365446178471394,35.34313725490197,7.357601713062105,0.6423982869378954,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
29,77.92072991316567,72.40258562562909,688121,卓然股份,bottom_area,2024-10-17,10.99,2024-10-17,10.97,0.18231540565177368,4.466727438468552,28.76623376623376,False,-2.0499,1.9434,4,5,4,80.0,21.76486425008136,55.206611570247944,7.817684594348226,0.18231540565177368,历史4/5次成功; 当前距低点0.18%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
30,77.87330958207906,72.65850488837617,688357,建龙微纳,bottom_area,2024-10-17,22.75,2024-10-17,22.66,0.39717563989408583,3.0008826125330965,27.208480565371023,False,-0.9578,1.0983,5,6,5,83.33333333333334,18.55232265592121,31.65083135391925,7.602824360105914,0.39717563989408583,历史5/6次成功; 当前距低点0.40%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
31,77.19059277156953,72.1912987012987,300723,一品红,bottom_area,2024-10-17,15.48,2024-10-16,15.4,0.5194805194805199,3.441558441558437,27.76735459662289,False,-0.4502,0.966,1,1,1,100.0,31.428571428571427,31.428571428571427,7.48051948051948,0.5194805194805199,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
32,76.14619798382884,70.8382904892759,688226,威腾电气,bottom_area,2024-10-17,16.41,2024-10-16,16.37,0.24434941967012305,4.703726328649966,27.244444444444436,False,-1.8541,2.0871,1,1,1,100.0,20.78175895765472,20.78175895765472,7.755650580329878,0.24434941967012305,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
33,75.63003246094878,70.18571962984839,001215,千味央厨,bottom_area,2024-10-17,25.68,2024-10-17,25.65,0.11695906432748983,3.6647173489278804,27.562835357243713,False,-2.2087,3.715,1,1,1,100.0,15.711754282339044,15.711754282339044,7.8830409356725095,0.11695906432748983,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
34,75.42378794401934,71.72299654020964,688236,春立医疗,bottom_area,2024-10-17,12.45,2024-10-16,12.28,1.384364820846905,3.583061889250825,29.18108419838524,False,-0.1604,3.0057,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,6.615635179153095,1.384364820846905,历史2/3次成功; 当前距低点1.38%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
35,75.4108145256569,73.52724856773834,301538,骏鼎达,confirmed_rebound,2024-10-17,74.2,2024-10-11,72.26,2.6847495156379706,9.825629670633813,27.010101010101007,True,-0.656,7.4607,2,2,2,100.0,9.669233674155395,10.10519247985676,5.315250484362029,2.6847495156379706,历史2/2次成功; 当前距低点2.68%; 最新日涨幅-0.66%; 状态confirmed_rebound; 底部已确认
36,75.29251675083253,69.99337902956384,688126,沪硅产业,bottom_area,2024-10-17,19.39,2024-10-17,19.35,0.20671834625322552,4.702842377260982,29.224579370885145,False,-1.7233,1.0941,1,1,1,100.0,15.777940102264429,15.777940102264429,7.793281653746775,0.20671834625322552,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
37,74.31783366187106,75.03068978513083,300615,欣天科技,confirmed_rebound,2024-10-17,11.62,2024-10-11,11.12,4.496402877697842,11.960431654676261,28.165374677002593,True,0.1724,4.6275,2,2,2,100.0,17.486496485386603,24.306326304106545,3.503597122302158,4.496402877697842,历史2/2次成功; 当前距低点4.50%; 最新日涨幅0.17%; 状态confirmed_rebound; 底部已确认
38,74.31591103873482,73.0273765993796,300662,科锐国际,bottom_area,2024-10-17,18.68,2024-10-16,18.12,3.0905077262693084,6.125827814569533,31.519274376417233,False,-0.107,3.7185,1,1,1,100.0,27.600721587492483,27.600721587492483,4.9094922737306925,3.0905077262693084,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
39,74.1179803021279,68.85920408768288,688006,杭可科技,bottom_area,2024-10-17,17.19,2024-10-17,17.16,0.17482517482518145,3.5547785547785518,27.04081632653061,False,-0.9222,0.6135,1,1,1,100.0,9.289276807980063,9.289276807980063,7.825174825174819,0.17482517482518145,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
40,73.83538401595214,68.75006013008189,688271,联影医疗,bottom_area,2024-10-17,110.35,2024-10-17,110.03,0.2908297736980761,2.908297736980826,27.611842105263158,False,-1.3764,0.6763,1,1,1,100.0,10.124473194158579,10.124473194158579,7.709170226301924,0.2908297736980761,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
41,72.13057067512256,70.10389752306028,688117,圣诺生物,bottom_area,2024-10-17,26.87,2024-10-14,26.21,2.518122853872568,5.036245707745136,29.123850730124385,False,0.1118,1.7423,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,5.481877146127432,2.518122853872568,历史2/3次成功; 当前距低点2.52%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
42,71.1084546093566,66.92892669744843,688238,和元生物,bottom_area,2024-10-17,4.74,2024-10-16,4.7,0.8510638297872347,4.04255319148935,27.018633540372672,False,-1.25,1.7818,3,4,3,75.0,11.367485104103912,11.958224543080954,7.148936170212765,0.8510638297872347,历史3/4次成功; 当前距低点0.85%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
43,70.66727180098127,70.97661297131631,301529,福赛科技,bottom_area,2024-10-17,33.04,2024-10-14,31.7,4.2271293375394325,6.940063091482648,27.126436781609197,False,2.291,3.5207,1,1,1,100.0,8.034773445732341,8.034773445732341,3.7728706624605675,4.2271293375394325,历史1/1次成功; 当前距低点4.23%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
44,68.48987031427626,63.474954643095074,688105,诺唯赞,bottom_area,2024-10-17,20.93,2024-10-17,20.92,0.047801147227523946,3.776290630975139,28.06052269601099,False,-1.7371,1.0142,2,3,2,66.66666666666666,17.673519312404096,25.237580993520524,7.952198852772477,0.047801147227523946,历史2/3次成功; 当前距低点0.05%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
