rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.77538024773911,85.728972734663,688039,当虹科技,bottom_area,2025-10-16,52.0,2025-10-15,51.18,1.6021883548261044,3.7514654161781977,27.885021840214176,False,-1.6827,3.1703,7,7,7,100.0,27.644957976701654,79.31638913234006,6.397811645173896,1.6021883548261044,历史7/7次成功; 当前距低点1.60%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
12,75.83219901463691,76.36647396557478,601208,东材科技,confirmed_rebound,2025-10-16,18.41,2025-10-14,17.64,4.365079365079363,10.034013605442174,28.088055442315536,True,-2.5926,2.979,3,3,3,100.0,28.86481138685871,48.70466321243524,3.6349206349206375,4.365079365079363,历史3/3次成功; 当前距低点4.37%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部已确认
13,75.46848242037818,76.33638969337781,000679,大连友谊,confirmed_rebound,2025-10-16,7.74,2025-10-13,7.4,4.594594594594593,10.675675675675663,29.924242424242426,True,-2.1492,2.0545,8,8,8,100.0,14.8498138121154,24.94061757719715,3.4054054054054075,4.594594594594593,历史8/8次成功; 当前距低点4.59%; 最新日涨幅-2.15%; 状态confirmed_rebound; 底部已确认
14,75.00135174858909,70.45378500195476,002453,华软科技,bottom_area,2025-10-16,6.73,2025-10-16,6.68,0.7485029940119867,3.7425149700598808,31.557377049180328,False,-3.1655,7.9544,2,2,2,100.0,18.44285929194665,28.60169491525425,7.251497005988014,0.7485029940119867,历史2/2次成功; 当前距低点0.75%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
15,74.65676795837268,75.96304841713463,002022,科华生物,bottom_area,2025-10-16,6.42,2025-10-13,6.12,4.901960784313722,6.04575163398693,27.573964497041416,False,-0.7728,0.9821,4,4,4,100.0,15.588811856827467,25.04038772213247,3.098039215686278,4.901960784313722,历史4/4次成功; 当前距低点4.90%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
16,74.63089289719916,75.04888669652159,600232,金鹰股份,bottom_area,2025-10-16,6.32,2025-10-13,6.06,4.290429042904302,6.930693069306945,28.28402366863905,False,-1.8634,2.0207,3,3,3,100.0,19.844435023351593,27.954545454545443,3.709570957095698,4.290429042904302,历史3/3次成功; 当前距低点4.29%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
17,74.61462607452118,73.08378589056734,000428,华天酒店,bottom_area,2025-10-16,3.17,2025-10-13,3.08,2.9220779220779174,5.194805194805199,28.70370370370371,False,-1.2461,1.9907,4,5,4,80.0,19.17270727368273,28.045977011494273,5.077922077922083,2.9220779220779174,历史4/5次成功; 当前距低点2.92%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
18,74.08892746777688,70.38448109438802,300459,汤姆猫,bottom_area,2025-10-16,4.56,2025-10-13,4.5,1.3333333333333246,5.555555555555555,27.884615384615387,False,-1.9355,2.3343,4,6,4,66.66666666666666,14.074271116781395,19.047619047619044,6.666666666666677,1.3333333333333246,历史4/6次成功; 当前距低点1.33%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
19,73.82593599521897,73.6209588476154,601900,南方传媒,confirmed_rebound,2025-10-16,12.93,2025-09-23,12.45,3.855421686746992,9.156626506024102,30.756395995550616,True,-0.1544,0.5343,2,2,2,100.0,24.523227383863077,39.999999999999986,4.1445783132530085,3.855421686746992,历史2/2次成功; 当前距低点3.86%; 最新日涨幅-0.15%; 状态confirmed_rebound; 底部已确认
20,73.60459429398333,74.92625890094904,603083,剑桥科技,bottom_area,2025-10-16,104.81,2025-10-15,99.89,4.925417959755733,7.718490339373305,29.901754385964914,True,0.9439,9.1276,1,1,1,100.0,28.63554757630162,28.63554757630162,3.074582040244267,4.925417959755733,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.94%; 状态bottom_area; 底部已确认
21,73.25079356969947,74.64359447004207,688335,复洁科技,confirmed_rebound,2025-10-16,25.51,2025-10-16,24.3,4.979423868312761,12.55144032921811,31.45275035260931,False,2.2855,8.2565,3,3,3,100.0,13.853123063414838,21.15059221658205,3.0205761316872395,4.979423868312761,历史3/3次成功; 当前距低点4.98%; 最新日涨幅2.29%; 状态confirmed_rebound; 底部未确认
22,72.93255438684885,72.42848180481569,603228,景旺电子,bottom_area,2025-10-16,56.67,2025-10-15,54.68,3.6393562545720592,5.267008046817854,32.83380420095811,False,-0.9785,1.8137,2,2,2,100.0,14.442011103440802,14.566719829877735,4.360643745427941,3.6393562545720592,历史2/2次成功; 当前距低点3.64%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
23,72.19837573518832,69.63775485329266,002123,梦网科技,bottom_area,2025-10-16,12.51,2025-10-13,12.25,2.122448979591835,5.1428571428571495,29.39481268011528,False,-1.5736,1.8004,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,5.877551020408165,2.122448979591835,历史2/3次成功; 当前距低点2.12%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
24,72.12353321043258,70.86257670532105,300056,中创环保,confirmed_rebound,2025-10-16,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,-4.0359,3.7867,1,1,1,100.0,27.10472279260781,27.10472279260781,4.917148362235083,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-4.04%; 状态confirmed_rebound; 底部已确认
25,71.4907758139535,66.19516279069768,301209,联合化学,confirmed_rebound,2025-10-16,91.62,2025-10-16,91.62,0.0,17.878192534381135,30.4855842185129,False,-19.9965,15.3953,1,1,1,100.0,25.51162790697674,25.51162790697674,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
26,71.46077850128326,70.37629669372181,601869,长飞光纤,bottom_area,2025-10-16,85.66,2025-10-15,83.0,3.2048192771084296,5.879518072289152,30.833333333333336,False,-0.4069,1.9172,1,1,1,100.0,14.748842180263628,14.748842180263628,4.795180722891571,3.2048192771084296,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
27,70.57607654151803,71.32028824494353,000926,福星股份,confirmed_rebound,2025-10-16,2.53,2025-10-13,2.42,4.5454545454545405,9.090909090909099,30.65902578796562,True,-1.5564,1.916,2,2,2,100.0,20.612497895590682,28.668941979522177,3.4545454545454595,4.5454545454545405,历史2/2次成功; 当前距低点4.55%; 最新日涨幅-1.56%; 状态confirmed_rebound; 底部已确认
28,69.12869924497444,69.65847246516682,300732,设研院,bottom_area,2025-10-16,8.31,2025-10-13,7.96,4.396984924623122,7.663316582914577,28.673835125448026,True,-1.5403,2.1194,3,4,3,75.0,20.47633383498678,33.58348968105066,3.603015075376878,4.396984924623122,历史3/4次成功; 当前距低点4.40%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
29,68.2690706083371,68.62453582990207,600749,西藏旅游,bottom_area,2025-10-16,18.07,2025-10-13,17.33,4.270051933064063,7.039815349105612,32.03921568627452,True,-1.9533,4.0209,1,1,1,100.0,9.19491525423728,9.19491525423728,3.729948066935937,4.270051933064063,历史1/1次成功; 当前距低点4.27%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
30,67.6843243570383,68.03648700887787,688186,广大特材,confirmed_rebound,2025-10-16,24.42,2025-10-15,23.42,4.269854824935952,11.315115286080268,27.581941867656155,True,-4.0094,7.2689,2,2,2,100.0,9.794387149095895,11.474739210472489,3.730145175064048,4.269854824935952,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-4.01%; 状态confirmed_rebound; 底部已确认
31,66.85310116634032,67.81887374970862,300049,福瑞医科,confirmed_rebound,2025-10-16,68.2,2025-10-13,65.11,4.745814774996165,8.692981108892637,28.19805910895457,True,-0.4234,2.5089,1,1,1,100.0,20.910384068278802,20.910384068278802,3.254185225003835,4.745814774996165,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.42%; 状态confirmed_rebound; 底部已确认
32,66.44194225093723,67.73207705192631,301320,豪江智能,bottom_area,2025-10-16,17.64,2025-10-13,16.8,4.999999999999999,7.8571428571428585,29.411764705882355,True,-1.727,2.6535,1,1,1,100.0,13.34450027917365,13.34450027917365,3.0000000000000013,4.999999999999999,历史1/1次成功; 当前距低点5.00%; 最新日涨幅-1.73%; 状态bottom_area; 底部已确认
