rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,98.48868947809572,84.02744450063192,300986,志特新材,bottom_area,2026-03-04,27.6,39.56,2026-03-04,27.25,1.2844036697247758,5.761467889908258,31.117290192113252,30.23255813953488,False,-1.7444,5.367,2,2,2,100.0,47.93486487959358,54.76987447698747,18.715596330275226,1.2844036697247758,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
16,84.31685039554255,71.24513423030314,688236,春立医疗,bottom_area,2026-03-04,19.97,27.56,2026-03-04,19.82,0.7568113017154318,3.6326942482341007,28.084179970972418,27.53991291727141,False,-2.0118,0.5959,3,4,3,75.0,33.4175483774963,48.33672776646301,19.24318869828457,0.7568113017154318,历史3/4次成功; 当前距低点0.76%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
17,83.55529962648451,71.7402932981264,688302,海创药业,bottom_area,2026-03-04,40.5,54.67,2026-03-04,39.85,1.6311166875784155,2.484316185696366,27.108103164441193,25.919151271263953,False,0.8717,1.2612,2,4,2,50.0,38.6518244398128,40.24920312952768,18.368883312421584,1.6311166875784155,历史2/4次成功; 当前距低点1.63%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
18,82.88416829369393,70.28130272849708,603758,秦安股份,bottom_area,2026-03-04,13.83,19.16,2026-03-04,13.7,0.9489051094890568,2.6277372262773815,28.496868475991654,27.818371607515658,False,-1.073,0.8365,1,1,1,100.0,26.423690205011397,26.423690205011397,19.051094890510946,0.9489051094890568,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
19,81.50633975970182,68.42439865502877,300663,科蓝软件,bottom_area,2026-03-04,14.98,20.71,2026-03-04,14.92,0.4021447721179658,2.546916890080434,27.95750845002415,27.667793336552393,False,-1.5769,2.2563,2,3,2,66.66666666666666,48.62700036984445,76.77304964539006,19.597855227882036,0.4021447721179658,历史2/3次成功; 当前距低点0.40%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
20,79.84557000173568,68.60778801541353,300426,华智数媒,bottom_area,2026-03-04,7.9,10.88,2026-03-04,7.77,1.6731016731016832,2.4453024453024503,28.58455882352942,27.389705882352942,False,-0.3783,1.9275,2,3,2,66.66666666666666,25.35372668504675,25.936811168258643,18.326898326898316,1.6731016731016832,历史2/3次成功; 当前距低点1.67%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
21,78.51569965651953,68.73111682942334,603130,云中马,bottom_area,2026-03-04,43.13,61.5,2026-03-04,42.0,2.6904761904761965,4.142857142857148,31.70731707317073,29.869918699186986,False,-0.5075,1.2807,2,3,2,66.66666666666666,38.48782729592695,52.76771857216763,17.309523809523807,2.6904761904761965,历史2/3次成功; 当前距低点2.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
22,78.50052645936115,69.78013449884747,301413,安培龙,bottom_area,2026-03-04,131.36,178.99,2026-03-04,126.88,3.530895334174037,4.397856242118547,29.11335828817253,26.610425163416945,False,0.0838,5.0001,2,3,2,66.66666666666666,31.956501043535567,40.258064516129025,16.469104665825967,3.530895334174037,历史2/3次成功; 当前距低点3.53%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
23,76.34559397971708,64.83601769911505,688166,博瑞医药,bottom_area,2026-03-04,41.1,55.88,2026-03-04,40.68,1.032448377581125,3.220255653883978,27.201145311381538,26.449534717251254,False,-1.2019,2.1982,1,2,1,50.0,50.993377483443716,50.993377483443716,18.967551622418878,1.032448377581125,历史1/2次成功; 当前距低点1.03%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
24,73.70221658528993,65.57026810730402,600693,东百集团,bottom_area,2026-03-04,12.74,17.5,2026-03-04,12.3,3.5772357723577195,4.471544715447146,29.714285714285708,27.199999999999996,False,0.315,3.2075,2,4,2,50.0,29.335299291825866,30.632090761750412,16.42276422764228,3.5772357723577195,历史2/4次成功; 当前距低点3.58%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
25,71.81803668077531,60.63430607573829,688318,财富趋势,bottom_area,2026-03-04,115.98,163.63,2026-03-04,115.16,0.7120527961097667,3.1521361583883376,29.621707510847646,29.120576911324324,False,-0.8718,1.0056,4,8,4,50.0,29.988099198218027,36.949152542372886,19.287947203890234,0.7120527961097667,历史4/8次成功; 当前距低点0.71%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
26,66.3468280833471,56.32554535835923,300612,宣亚国际,bottom_area,2026-03-04,15.94,22.05,2026-03-04,15.78,1.0139416983523457,2.5982256020278958,28.43537414965987,27.709750566893426,False,0.0,4.9619,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,18.986058301647653,1.0139416983523457,历史1/7次成功; 当前距低点1.01%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,65.67498321867568,57.16926183284971,002009,天奇股份,bottom_area,2026-03-04,27.49,38.0,2026-03-04,26.85,2.3836126629422605,4.655493482309125,29.34210526315789,27.65789473684211,False,-0.6505,11.3285,1,3,1,33.33333333333333,44.78798586572438,44.78798586572438,17.61638733705774,2.3836126629422605,历史1/3次成功; 当前距低点2.38%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
