rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
25,76.94965577464616,69.04636988989321,300358,楚天科技,bottom_area,2025-01-13,6.43,2025-01-13,6.18,4.045307443365696,4.2071197411003345,28.637413394919175,False,1.4196,1.2006,2,3,2,66.66666666666666,34.317226850001745,38.205499276411004,15.954692556634303,4.045307443365696,历史2/3次成功; 当前距低点4.05%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
26,76.46203890724142,68.42240618097665,300393,中来股份,bottom_area,2025-01-13,5.6,2025-01-13,5.39,3.896103896103896,4.823747680890551,29.357798165137616,False,0.7194,1.3461,3,5,3,60.0,26.911414323083477,36.516853932584276,16.103896103896105,3.896103896103896,历史3/5次成功; 当前距低点3.90%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
27,75.19551971414336,67.5914783947356,600162,香江控股,bottom_area,2025-01-13,1.76,2025-01-13,1.69,4.14201183431953,4.733727810650891,30.165289256198346,False,0.5714,0.7324,2,3,2,66.66666666666666,27.68063822751323,28.90624999999999,15.85798816568047,4.14201183431953,历史2/3次成功; 当前距低点4.14%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
28,74.85433169558885,67.69568682705909,688318,财富趋势,bottom_area,2025-01-13,151.72,2025-01-13,145.22,4.475967497589864,5.625946839278328,30.804783913851434,False,1.8255,1.5714,3,5,3,60.0,30.11232646002135,36.949152542372886,15.524032502410137,4.475967497589864,历史3/5次成功; 当前距低点4.48%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
29,74.36725092681854,65.35703435471582,300363,博腾股份,bottom_area,2025-01-13,14.87,2025-01-13,14.45,2.9065743944636675,3.391003460207614,31.223227034745367,False,0.8136,1.0465,2,5,2,40.0,41.63453749512357,46.29503738953092,17.093425605536332,2.9065743944636675,历史2/5次成功; 当前距低点2.91%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
30,74.20973252421265,67.4683757291771,601020,华钰矿业,bottom_area,2025-01-13,12.31,2025-01-06,11.75,4.765957446808515,7.4042553191489295,27.018633540372676,True,2.3275,2.733,2,3,2,66.66666666666666,25.473613124913108,26.324110671936758,15.234042553191484,4.765957446808515,历史2/3次成功; 当前距低点4.77%; 最新日涨幅2.33%; 状态bottom_area; 底部已确认
31,74.19770664099441,66.29284032401972,002819,东方中科,bottom_area,2025-01-13,24.79,2025-01-06,23.88,3.810720268006701,6.616415410385268,28.072289156626518,False,1.3077,1.3987,2,4,2,50.0,36.08216416706984,51.677148846960186,16.1892797319933,3.810720268006701,历史2/4次成功; 当前距低点3.81%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
32,74.142947200567,65.01705882352942,000420,吉林化纤,bottom_area,2025-01-13,3.32,2025-01-13,3.23,2.786377708978324,3.0959752321981453,30.68669527896996,False,1.2195,1.3503,1,2,1,50.0,53.9249146757679,53.9249146757679,17.213622291021675,2.786377708978324,历史1/2次成功; 当前距低点2.79%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
33,73.66922376928156,64.81139593884164,002761,浙江建投,bottom_area,2025-01-13,7.99,2025-01-13,7.76,2.9639175257732013,3.479381443298964,30.71428571428571,False,0.6297,1.2675,3,7,3,42.857142857142854,33.213437237505204,43.73730534867976,17.0360824742268,2.9639175257732013,历史3/7次成功; 当前距低点2.96%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
34,72.67270264973126,63.74037762237765,300725,药石科技,bottom_area,2025-01-13,29.4,2025-01-13,28.6,2.7972027972027873,3.356643356643347,29.2604501607717,False,0.9962,1.4847,1,2,1,50.0,43.26881720430109,43.26881720430109,17.202797202797214,2.7972027972027873,历史1/2次成功; 当前距低点2.80%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
