rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.44180980076908,76.00177028187147,300724,捷佳伟创,bottom_area,2022-04-13,59.8,2022-04-13,59.74,0.100435219283554,4.620020087043853,27.919884169884163,False,-5.2298,2.8903,3,3,3,100.0,23.660013880849316,30.55368319691865,9.899564780716446,0.100435219283554,历史3/3次成功; 当前距低点0.10%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
24,74.35864194838908,67.84406937748302,603305,旭升集团,bottom_area,2022-04-13,26.4,2022-04-13,26.35,0.18975332068310116,4.743833017077798,29.994686503719443,False,-4.6931,1.0059,1,1,1,100.0,14.229607250755288,14.229607250755288,9.810246679316899,0.18975332068310116,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
25,74.02977643635106,68.27247104247104,002482,广田集团,bottom_area,2022-04-13,2.68,2022-04-13,2.66,0.7518796992481209,7.518796992481193,27.717391304347828,False,-6.2937,4.6547,1,1,1,100.0,23.423423423423422,23.423423423423422,9.24812030075188,0.7518796992481209,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
26,73.59927556911758,67.97652589622034,002617,露笑科技,bottom_area,2022-04-13,9.72,2022-04-12,9.64,0.8298755186721999,4.045643153526958,29.532163742690052,False,-2.1148,1.3676,1,1,1,100.0,12.573344509639565,12.573344509639565,9.1701244813278,0.8298755186721999,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
27,73.3486708496983,67.1596153846154,000665,湖北广电,bottom_area,2022-04-13,8.03,2022-04-13,8.0,0.374999999999992,7.1250000000000036,27.007299270073,False,-8.2286,11.261,1,1,1,100.0,12.820512820512828,12.820512820512828,9.625000000000009,0.374999999999992,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-8.23%; 状态bottom_area; 底部未确认
28,73.19890765326335,66.91153103056381,000533,顺钠股份,bottom_area,2022-04-13,3.48,2022-04-13,3.47,0.28818443804033966,5.187319884726216,30.738522954091806,False,-5.1771,3.8602,1,1,1,100.0,10.42253521126761,10.42253521126761,9.71181556195966,0.28818443804033966,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
29,73.06742664554845,66.96059405940595,603297,永新光学,bottom_area,2022-04-13,81.14,2022-04-13,80.8,0.42079207920792505,7.240099009901001,28.848185980979224,False,-7.5854,1.8657,1,1,1,100.0,12.31182795698925,12.31182795698925,9.579207920792076,0.42079207920792505,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-7.59%; 状态bottom_area; 底部未确认
30,72.50106394021176,65.91005812746523,001266,宏英智能,bottom_area,2022-04-13,37.0,2022-04-13,37.0,0.0,4.486486486486477,28.72278944326719,False,-4.2691,7.5982,1,1,1,100.0,13.763753373468953,13.763753373468953,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
31,72.06943609022557,65.51766917293233,000797,中国武夷,bottom_area,2022-04-13,4.16,2022-04-13,4.16,0.0,2.8846153846153872,27.017543859649123,False,-9.9567,6.7259,1,1,1,100.0,11.654135338345865,11.654135338345865,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
32,71.84537267080746,65.31397515527951,002178,延华智能,bottom_area,2022-04-13,5.09,2022-04-13,5.09,0.0,6.0903732809430355,28.711484593837532,False,-5.7407,5.3614,1,1,1,100.0,10.559006211180119,10.559006211180119,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
33,71.50377921768307,66.22910413811202,688148,芳源股份,bottom_area,2022-04-13,19.6,2022-04-13,19.41,0.9788768675940304,5.564142194744968,30.280172413793103,False,-3.4958,2.1725,1,1,1,100.0,15.220125786163516,15.220125786163516,9.02112313240597,0.9788768675940304,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-3.50%; 状态bottom_area; 底部未确认
34,62.12753110037238,57.7070728720147,300631,久吾高科,bottom_area,2022-04-13,28.72,2022-04-13,28.4,1.1267605633802829,4.577464788732398,28.210313447927206,False,-3.2997,2.1411,1,2,1,50.0,23.04347826086956,23.04347826086956,8.873239436619718,1.1267605633802829,历史1/2次成功; 当前距低点1.13%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
35,55.103924907644235,50.76349582661148,002104,恒宝股份,bottom_area,2022-04-13,10.14,2022-04-13,10.07,0.6951340615690197,9.03674280039722,29.72784368457781,False,-8.7309,13.9687,1,2,1,50.0,20.260223048327138,20.260223048327138,9.30486593843098,0.6951340615690197,历史1/2次成功; 当前距低点0.70%; 最新日涨幅-8.73%; 状态bottom_area; 底部未确认
36,51.73575058543538,47.07242302660269,300693,盛弘股份,bottom_area,2022-04-13,22.51,2022-04-13,22.5,0.04444444444445139,3.555555555555559,30.555555555555554,False,-3.5974,2.043,1,3,1,33.33333333333333,11.88399476668121,11.88399476668121,9.955555555555549,0.04444444444445139,历史1/3次成功; 当前距低点0.04%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
