rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.77629886767514,81.71765532010971,002690,美亚光电,bottom_area,2023-05-16,24.0,2023-05-15,23.65,1.4799154334038116,2.1564482029598375,28.765060240963862,False,-0.4975,0.5403,3,3,3,100.0,21.246572625109707,27.355278093076052,6.520084566596189,1.4799154334038116,历史3/3次成功; 当前距低点1.48%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
12,79.67518778025301,77.4931319315778,688350,富淼科技,bottom_area,2023-05-16,16.45,2023-05-05,16.04,2.5561097256857868,4.301745635910232,32.774518021793796,False,-0.4237,1.5437,2,2,2,100.0,28.392807022265636,38.54748603351957,5.443890274314214,2.5561097256857868,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
13,79.63012815317568,75.88072750022346,002385,大北农,bottom_area,2023-05-16,6.8,2023-05-15,6.7,1.4925373134328304,2.9850746268656745,32.25480283114257,False,-1.1628,0.756,1,1,1,100.0,23.353293413173663,23.353293413173663,6.50746268656717,1.4925373134328304,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
14,79.17038786091818,77.66083587050359,002553,南方精工,bottom_area,2023-05-16,9.96,2023-04-26,9.67,2.9989658738366174,7.445708376421931,28.844738778513612,True,-0.8955,1.441,2,2,2,100.0,25.52945195081221,32.14285714285715,5.001034126163383,2.9989658738366174,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-0.90%; 状态bottom_area; 底部已确认
15,78.8202582502744,73.40820253403935,000059,华锦股份,bottom_area,2023-05-16,6.63,2023-05-16,6.61,0.30257186081693754,3.32829046898638,30.857740585774057,False,-2.3564,0.7726,2,2,2,100.0,18.645518154311638,25.41603630862328,7.697428139183063,0.30257186081693754,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
16,78.77918416394945,75.31334559454282,300762,上海瀚讯,bottom_area,2023-05-16,11.63,2023-05-10,11.44,1.6608391608391722,4.895104895104899,27.50316856780735,False,-3.0025,1.131,1,1,1,100.0,32.580961727183514,32.580961727183514,6.339160839160828,1.6608391608391722,历史1/1次成功; 当前距低点1.66%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
17,78.63276853916241,72.83765163282997,300678,中科信息,confirmed_rebound,2023-05-16,47.5,2023-05-16,47.49,0.02105706464518427,14.761002316277105,32.42743312464428,False,-13.5892,17.439,3,3,3,100.0,15.890654517317197,24.552238805970156,7.978942935354816,0.02105706464518427,历史3/3次成功; 当前距低点0.02%; 最新日涨幅-13.59%; 状态confirmed_rebound; 底部未确认
18,78.3910506303738,75.96004726251051,688048,长光华芯,bottom_area,2023-05-16,86.24,2023-05-12,84.25,2.3620178041542967,4.629080118694369,29.20168067226891,False,-1.1576,2.0214,2,2,2,100.0,17.771225032162963,19.48504983388705,5.637982195845703,2.3620178041542967,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
19,78.35475812418056,73.05408931786131,002405,四维图新,bottom_area,2023-05-16,11.18,2023-05-16,11.14,0.3590664272890408,2.5134649910233335,27.75616083009079,False,-2.1016,1.182,2,2,2,100.0,17.434197699356595,23.478260869565215,7.640933572710959,0.3590664272890408,历史2/2次成功; 当前距低点0.36%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
20,77.00833628532918,71.3040150790085,000796,凯撒旅业,bottom_area,2023-05-16,3.29,2023-05-16,3.29,0.0,3.9513677811550116,31.315240083507305,False,-4.9133,1.9973,3,3,3,100.0,9.430188596819884,9.829619921363053,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
21,76.98736475446546,71.53071196167656,600199,金种子酒,bottom_area,2023-05-16,22.39,2023-05-16,22.35,0.17897091722594696,2.4608501118568107,29.002541296060986,False,-2.2698,0.9771,1,1,1,100.0,23.70304114490161,23.70304114490161,7.821029082774053,0.17897091722594696,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
22,76.88797385103062,76.83426919900907,002079,苏州固锝,bottom_area,2023-05-16,12.59,2023-05-10,12.11,3.96366639141206,4.624277456647404,28.512396694214885,False,0.8814,2.0508,2,2,2,100.0,19.631336405529957,22.488479262672804,4.03633360858794,3.96366639141206,历史2/2次成功; 当前距低点3.96%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
23,76.86696727653417,73.71891538637928,600114,东睦股份,bottom_area,2023-05-16,7.25,2023-05-10,7.12,1.825842696629212,4.2134831460674125,27.04918032786885,False,-0.9563,1.394,1,1,1,100.0,15.816326530612232,15.816326530612232,6.174157303370788,1.825842696629212,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
24,76.71893107475955,72.89870065880872,300426,华智数媒,confirmed_rebound,2023-05-16,12.06,2023-05-16,11.9,1.3445378151260516,15.96638655462185,30.57176196032672,False,-12.5453,8.3572,1,1,1,100.0,25.936811168258643,25.936811168258643,6.655462184873949,1.3445378151260516,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-12.55%; 状态confirmed_rebound; 底部未确认
25,76.56870997442456,73.62375959079284,000629,钒钛股份,confirmed_rebound,2023-05-16,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-1.1876,0.4451,1,1,1,100.0,27.173913043478265,27.173913043478265,6.039215686274509,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-1.19%; 状态confirmed_rebound; 底部未确认
26,76.48781159604114,75.93555302856068,300758,七彩化学,bottom_area,2023-05-16,10.01,2023-04-26,9.66,3.6231884057970976,7.349896480331253,30.252707581227433,True,-0.0998,1.1489,2,2,2,100.0,23.905497816011056,38.59480269489894,4.376811594202903,3.6231884057970976,历史2/2次成功; 当前距低点3.62%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
27,76.48595051734208,71.72841736245516,002758,浙农股份,bottom_area,2023-05-16,12.17,2023-04-25,12.09,0.6617038875103397,5.789909015715462,28.249258160237396,False,-1.9339,1.2535,2,2,2,100.0,14.016678634294234,19.064430714916153,7.33829611248966,0.6617038875103397,历史2/2次成功; 当前距低点0.66%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
28,76.45226889628522,73.38200900098546,300598,诚迈科技,bottom_area,2023-05-16,41.97,2023-05-15,41.2,1.8689320388349417,2.7912621359223264,30.027173913043477,False,-0.6862,1.1585,1,1,1,100.0,14.533193814672712,14.533193814672712,6.1310679611650585,1.8689320388349417,历史1/1次成功; 当前距低点1.87%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
29,76.37560094255413,76.41702740465152,002802,洪汇新材,bottom_area,2023-05-16,10.33,2023-05-12,9.93,4.028197381671705,4.229607250755286,31.1373092926491,False,0.4864,0.7341,2,2,2,100.0,18.17912599388721,20.65637065637066,3.9718026183282946,4.028197381671705,历史2/2次成功; 当前距低点4.03%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
30,76.30143908551476,70.76305096344264,001201,东瑞股份,bottom_area,2023-05-16,24.0,2023-05-16,23.98,0.0834028356964119,2.7522935779816518,29.429075927015884,False,-2.0408,1.315,1,1,1,100.0,18.4043517679057,18.4043517679057,7.916597164303588,0.0834028356964119,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
31,75.52267721466012,71.14748658079486,600248,陕建股份,bottom_area,2023-05-16,5.62,2023-05-16,5.57,0.897666068222618,3.7701974865350083,27.943078913324708,False,-1.9197,4.9843,2,2,2,100.0,13.785834496464656,16.28498727735369,7.102333931777382,0.897666068222618,历史2/2次成功; 当前距低点0.90%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
32,75.30109028928298,75.97959382300142,688286,敏芯股份,bottom_area,2023-05-16,47.48,2023-05-10,45.45,4.466446644664454,7.172717271727167,29.183546276098475,True,0.5719,1.2028,2,2,2,100.0,12.005871896969783,16.00279524807827,3.5335533553355463,4.466446644664454,历史2/2次成功; 当前距低点4.47%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
33,75.15624096209697,74.77897765142312,002245,蔚蓝锂芯,confirmed_rebound,2023-05-16,11.1,2023-04-26,10.7,3.7383177570093498,8.317757009345799,29.512516469038214,False,-1.2456,1.4349,3,3,3,100.0,21.840549125830286,25.653923541247494,4.26168224299065,3.7383177570093498,历史3/3次成功; 当前距低点3.74%; 最新日涨幅-1.25%; 状态confirmed_rebound; 底部未确认
34,74.78994006588411,70.17396294249845,002777,久远银海,bottom_area,2023-05-16,27.79,2023-05-16,27.6,0.688405797101441,6.884057971014487,31.851851851851848,False,-6.6196,4.4729,2,2,2,100.0,16.201764300482424,18.88352860096485,7.31159420289856,0.688405797101441,历史2/2次成功; 当前距低点0.69%; 最新日涨幅-6.62%; 状态bottom_area; 底部未确认
35,74.18069579894667,69.36000072343198,600160,巨化股份,bottom_area,2023-05-16,13.87,2023-05-16,13.8,0.5072463768115834,2.173913043478253,27.559055118110237,False,-1.2811,0.6006,1,1,1,100.0,16.05657237936772,16.05657237936772,7.492753623188417,0.5072463768115834,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
36,74.06517908676182,74.12424222797931,688328,深科达,bottom_area,2023-05-16,20.08,2023-05-15,19.3,4.041450777202059,4.870466321243511,30.04711852120333,False,1.568,2.7095,1,1,1,100.0,22.681451612903224,22.681451612903224,3.9585492227979406,4.041450777202059,历史1/1次成功; 当前距低点4.04%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
37,74.00940157766352,73.10156980820422,000518,四环生物,confirmed_rebound,2023-05-16,2.77,2023-04-25,2.68,3.358208955223875,9.328358208955223,27.956989247311824,True,-0.3597,0.4194,2,2,2,100.0,15.635947452229296,17.834394904458602,4.6417910447761255,3.358208955223875,历史2/2次成功; 当前距低点3.36%; 最新日涨幅-0.36%; 状态confirmed_rebound; 底部已确认
38,73.09776446223194,73.03389572963059,688321,微芯生物,bottom_area,2023-05-16,22.87,2023-05-15,22.0,3.954545454545459,5.772727272727271,31.888544891640862,False,0.7489,1.033,1,1,1,100.0,15.754082612872244,15.754082612872244,4.045454545454541,3.954545454545459,历史1/1次成功; 当前距低点3.95%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
39,72.06916548489144,67.11685393258426,000603,盛达资源,bottom_area,2023-05-16,13.39,2023-05-16,13.35,0.2996254681648009,4.044943820224725,31.150077359463644,False,-3.5997,1.404,1,1,1,100.0,11.666666666666679,11.666666666666679,7.7003745318352,0.2996254681648009,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-3.60%; 状态bottom_area; 底部未确认
40,71.84748179829828,68.86075045333439,688298,东方生物,bottom_area,2023-05-16,53.95,2023-05-15,53.0,1.7924528301886848,2.6981132075471694,31.771369721936153,False,-0.3693,0.6681,4,6,4,66.66666666666666,11.510087309128625,15.470039788586028,6.207547169811316,1.7924528301886848,历史4/6次成功; 当前距低点1.79%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
41,69.6633681897792,70.48606265972862,301326,捷邦科技,bottom_area,2023-05-16,32.9,2023-05-10,31.45,4.610492845786961,5.850556438791733,29.452669358456706,False,0.3661,3.8475,1,1,1,100.0,10.096700796359514,10.096700796359514,3.389507154213039,4.610492845786961,历史1/1次成功; 当前距低点4.61%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
42,69.60029545401864,69.9598389126716,688116,天奈科技,confirmed_rebound,2023-05-16,52.77,2023-05-10,50.61,4.267931238885603,8.496344595929653,29.374825565168848,True,-0.4527,1.1593,2,2,2,100.0,9.896355577047169,11.226578491576134,3.7320687611143972,4.267931238885603,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-0.45%; 状态confirmed_rebound; 底部已确认
43,69.2527162885702,70.15593313940686,002806,华锋股份,confirmed_rebound,2023-05-16,10.75,2023-04-25,10.27,4.67380720545278,11.295034079844209,31.896551724137932,True,-0.8303,2.9519,2,2,2,100.0,15.925879396984929,20.35175879396985,3.32619279454722,4.67380720545278,历史2/2次成功; 当前距低点4.67%; 最新日涨幅-0.83%; 状态confirmed_rebound; 底部已确认
44,67.28857451734208,67.25230361202324,300673,佩蒂股份,confirmed_rebound,2023-05-16,13.35,2023-04-26,12.84,3.9719626168224282,8.800623052959509,28.06722689075631,True,-1.1111,1.0863,1,1,1,100.0,8.378378378378368,8.378378378378368,4.028037383177572,3.9719626168224282,历史1/1次成功; 当前距低点3.97%; 最新日涨幅-1.11%; 状态confirmed_rebound; 底部已确认
45,67.2065571039085,67.35190224941783,300771,智莱科技,confirmed_rebound,2023-05-16,10.38,2023-04-25,9.97,4.112337011033101,10.330992978936804,32.176870748299315,True,-1.3308,1.8219,1,1,1,100.0,10.634573304157549,10.634573304157549,3.887662988966899,4.112337011033101,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部已确认
46,67.12207526528731,67.61247154060209,601138,工业富联,confirmed_rebound,2023-05-16,14.78,2023-05-15,14.16,4.378531073446322,9.180790960451983,28.736789129340718,True,-2.2487,0.8418,1,1,1,100.0,15.298507462686556,15.298507462686556,3.621468926553679,4.378531073446322,历史1/1次成功; 当前距低点4.38%; 最新日涨幅-2.25%; 状态confirmed_rebound; 底部已确认
47,66.82482147409725,62.759131709446756,300727,润禾材料,bottom_area,2023-05-16,25.97,2023-05-16,25.78,0.7370054305663216,2.0170674941815343,30.661646046261424,False,-1.4795,1.6378,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,7.262994569433678,0.7370054305663216,历史2/3次成功; 当前距低点0.74%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
48,65.20033672739437,66.30524065465198,000970,中科三环,confirmed_rebound,2023-05-16,12.05,2023-04-27,11.49,4.873803307223677,9.486510008703219,27.140139505389975,True,-1.1485,0.7444,1,1,1,100.0,14.341463414634154,14.341463414634154,3.1261966927763227,4.873803307223677,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.15%; 状态confirmed_rebound; 底部已确认
49,60.35981205072207,58.49486534487903,603068,博通集成,bottom_area,2023-05-16,28.53,2023-05-10,27.87,2.3681377825618948,4.377466810190164,30.167877724880977,False,0.1053,1.0243,1,2,1,50.0,9.807631661936297,9.807631661936297,5.631862217438105,2.3681377825618948,历史1/2次成功; 当前距低点2.37%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
50,55.15266104976997,51.160673695624226,300386,飞天诚信,bottom_area,2023-05-16,10.55,2023-05-16,10.54,0.09487666034157081,4.364326375711584,28.783783783783797,False,-3.7409,2.1639,1,2,1,50.0,15.037593984962406,15.037593984962406,7.905123339658429,0.09487666034157081,历史1/2次成功; 当前距低点0.09%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
51,54.16933510952734,50.82188246601284,601636,旗滨集团,bottom_area,2023-05-16,8.83,2023-05-16,8.77,0.6841505131128905,3.306727480045621,27.64026402640264,False,-1.8889,0.9629,1,2,1,50.0,10.224438902743147,10.224438902743147,7.315849486887109,0.6841505131128905,历史1/2次成功; 当前距低点0.68%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
