rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.14717672012405,82.0840775558167,000572,海马汽车,bottom_area,2025-11-26,8.77,2025-11-24,8.51,3.055229142185661,14.218566392479445,29.260182876142977,True,-2.2297,17.8176,2,2,2,100.0,63.051887461022396,95.5116696588869,16.94477085781434,3.055229142185661,历史2/2次成功; 当前距低点3.06%; 最新日涨幅-2.23%; 状态bottom_area; 底部已确认
12,86.76123280726523,78.36789579158318,002825,纳尔股份,bottom_area,2025-11-26,10.42,2025-11-24,9.98,4.408817635270536,4.809619238476958,27.046783625730992,False,1.2634,2.9731,1,1,1,100.0,89.24242424242425,89.24242424242425,15.591182364729466,4.408817635270536,历史1/1次成功; 当前距低点4.41%; 最新日涨幅1.26%; 状态bottom_area; 底部未确认
13,86.65344486122754,74.38393054459354,002208,合肥城建,bottom_area,2025-11-26,10.67,2025-11-26,10.5,1.6190476190476182,5.809523809523804,27.785419532324617,False,-4.219,9.3902,1,1,1,100.0,27.071823204419903,27.071823204419903,18.380952380952383,1.6190476190476182,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-4.22%; 状态bottom_area; 底部未确认
14,86.59574428841132,72.87376869391822,600550,保变电气,bottom_area,2025-11-26,9.4,2025-11-26,9.35,0.5347593582887776,3.529411764705883,28.076923076923077,False,-2.8926,4.2572,1,1,1,100.0,35.285053929121716,35.285053929121716,19.465240641711222,0.5347593582887776,历史1/1次成功; 当前距低点0.53%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
15,85.77687092030702,71.99229895068059,605333,沪光股份,bottom_area,2025-11-26,28.38,2025-11-24,28.27,0.38910505836575676,2.9006013441811116,29.112337011033105,False,-1.4583,0.6042,1,1,1,100.0,28.76052948255115,28.76052948255115,19.610894941634243,0.38910505836575676,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
16,83.73115583066271,74.71644749021004,688766,普冉股份,bottom_area,2025-11-26,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,16.25833333333334,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
17,83.35542697970556,73.59714285714287,601011,宝泰隆,bottom_area,2025-11-26,3.59,2025-11-24,3.48,3.160919540229881,5.172413793103453,28.395061728395067,False,-1.3736,3.3446,1,1,1,100.0,31.527093596059125,31.527093596059125,16.83908045977012,3.160919540229881,历史1/1次成功; 当前距低点3.16%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
18,81.98966151629588,74.56552846480054,300072,海新能科,bottom_area,2025-11-26,4.6,2025-11-24,4.39,4.783599088838268,7.5170842824601385,31.29890453834116,True,-1.2876,2.3256,1,1,1,100.0,47.4308300395257,47.4308300395257,15.216400911161731,4.783599088838268,历史1/1次成功; 当前距低点4.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部已确认
19,80.92626168462827,71.83584876866085,002337,赛象科技,bottom_area,2025-11-26,5.99,2025-11-21,5.79,3.4542314335060476,5.1813471502590644,29.47624847746651,False,-0.3328,1.9672,1,1,1,100.0,25.653206650831358,25.653206650831358,16.545768566493955,3.4542314335060476,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
20,79.01001827482249,70.43528760933788,002338,奥普光电,bottom_area,2025-11-26,50.6,2025-11-21,48.8,3.688524590163943,5.389344262295088,30.632551528073915,False,-0.5112,1.2927,1,1,1,100.0,20.995288574793882,20.995288574793882,16.311475409836056,3.688524590163943,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
21,78.55103342539296,70.3244049247606,002309,中利集团,bottom_area,2025-11-26,3.18,2025-11-21,3.06,3.921568627450984,6.862745098039215,29.49308755760368,False,-2.1538,3.7058,1,1,1,100.0,23.25581395348837,23.25581395348837,16.07843137254902,3.921568627450984,历史1/1次成功; 当前距低点3.92%; 最新日涨幅-2.15%; 状态bottom_area; 底部未确认
22,75.91168316118187,69.21921739130435,600815,厦工股份,bottom_area,2025-11-26,3.62,2025-11-24,3.45,4.927536231884055,11.594202898550723,29.591836734693878,True,-3.2086,6.2711,1,1,1,100.0,30.666666666666664,30.666666666666664,15.072463768115945,4.927536231884055,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.21%; 状态bottom_area; 底部已确认
23,74.69631967136144,68.15770498560543,002250,联化科技,bottom_area,2025-11-26,12.05,2025-11-24,11.48,4.96515679442509,6.794425087108008,29.17951881554596,False,-0.4955,4.0307,1,1,1,100.0,24.399260628465807,24.399260628465807,15.03484320557491,4.96515679442509,历史1/1次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
24,62.03624260941321,54.84838565544202,300730,科创信息,bottom_area,2025-11-26,13.72,2025-11-24,13.29,3.2355154251316893,8.803611738148998,31.84615384615385,True,-3.7193,5.2483,1,2,1,50.0,24.329896907216508,24.329896907216508,16.76448457486831,3.2355154251316893,历史1/2次成功; 当前距低点3.24%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
25,56.938893338554074,50.95093669786358,603767,中马传动,bottom_area,2025-11-26,22.94,2025-11-21,22.08,3.894927536231898,5.9329710144927645,27.725040916530286,False,-0.6066,1.7467,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,16.105072463768103,3.894927536231898,历史1/3次成功; 当前距低点3.89%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
