rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.92667791172764,75.75587336468632,002219,新里程,bottom_area,2024-08-23,1.7,2024-08-23,1.69,0.5917159763313614,2.3668639053254457,29.288702928870297,False,-0.5848,0.6984,2,2,2,100.0,34.81175156302061,45.685279187817265,19.40828402366864,0.5917159763313614,历史2/2次成功; 当前距低点0.59%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
19,65.92143978712754,55.442758441654775,000591,太阳能,bottom_area,2024-08-23,4.0,2024-08-23,3.98,0.5025125628140708,1.5075376884422125,28.158844765342963,False,-0.7444,0.4577,1,2,1,50.0,32.84132841328414,32.84132841328414,19.49748743718593,0.5025125628140708,历史1/2次成功; 当前距低点0.50%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
20,65.38953736654804,54.491281138790036,300718,长盛轴承,bottom_area,2024-08-23,12.92,2024-08-23,12.92,0.0,7.972136222910212,29.706202393906416,False,-10.958,18.7741,1,2,1,50.0,44.03914590747332,44.03914590747332,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.96%; 状态bottom_area; 底部未确认
21,64.95859175118356,57.63689056204191,002545,东方铁塔,bottom_area,2024-08-23,6.03,2024-07-25,5.83,3.430531732418528,7.375643224699823,29.247572815533985,True,0.5,0.5489,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,16.56946826758147,3.430531732418528,历史1/3次成功; 当前距低点3.43%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
22,64.5908172914556,54.53476190476191,002685,华东重机,bottom_area,2024-08-23,2.82,2024-08-23,2.8,0.714285714285715,2.142857142857145,28.934010152284266,False,-1.3986,2.5831,1,3,1,33.33333333333333,109.52380952380952,109.52380952380952,19.28571428571429,0.714285714285715,历史1/3次成功; 当前距低点0.71%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
23,64.53009348002404,54.49909975669104,000597,东北制药,bottom_area,2024-08-23,4.14,2024-08-23,4.11,0.7299270072992544,2.6763990267639763,31.38564273789649,False,-1.4286,2.5781,1,3,1,33.33333333333333,61.02150537634409,61.02150537634409,19.270072992700747,0.7299270072992544,历史1/3次成功; 当前距低点0.73%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
24,64.20436089193828,53.876363636363656,002110,三钢闽光,bottom_area,2024-08-23,2.65,2024-08-23,2.64,0.3787878787878707,1.5151515151515165,29.787234042553184,False,-0.3759,0.2451,1,2,1,50.0,22.90322580645161,22.90322580645161,19.62121212121213,0.3787878787878707,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
25,64.1413459543675,55.13188714762747,002732,燕塘乳业,bottom_area,2024-08-23,13.23,2024-08-23,13.01,1.6910069177555775,2.22905457340508,29.599567099567103,False,-1.0471,0.551,1,3,1,33.33333333333333,25.344352617079892,25.344352617079892,18.308993082244424,1.6910069177555775,历史1/3次成功; 当前距低点1.69%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
26,63.850703259005144,53.20891938250429,002682,龙洲股份,bottom_area,2024-08-23,3.47,2024-08-23,3.47,0.0,2.0172910662824157,27.858627858627848,False,-1.6997,2.2406,1,2,1,50.0,26.929674099485425,26.929674099485425,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
27,60.32738587926646,53.991322315269045,301360,荣旗科技,bottom_area,2024-08-23,41.26,2024-08-23,39.71,3.9032989171493253,5.439435910350029,30.333333333333336,False,1.0037,7.5783,1,3,1,33.33333333333333,23.857583403420236,23.857583403420236,16.096701082850675,3.9032989171493253,历史1/3次成功; 当前距低点3.90%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
28,56.61107092154143,47.68372742937049,688202,美迪西,bottom_area,2024-08-23,24.1,2024-08-23,23.96,0.5843071786310541,2.54590984974958,28.306403351286658,False,-1.7129,1.4214,1,5,1,20.0,23.795418261555337,23.795418261555337,19.415692821368946,0.5843071786310541,历史1/5次成功; 当前距低点0.58%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
